工作名称,地址,薪资,经验要求,学历要求,技能要求,联系人,公司名,公司相关信息,公司福利,详情页url
数据分析师-今日头条/西瓜视频/番茄小说,北京/海淀区/知春路,20-40K·16薪,在校/应届,学历不限,方差分析,李先生/算法,今日头条,移动互联网/未融资/10000人以上,住房补贴/零食下午茶/年终奖/交通补助/定期体检/全勤奖/员工旅游/补充医疗保险/股票期权/加班补助/免费班车/节日福利/五险一金/带薪年假/包吃/通讯补贴,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.1&securityId=mHjEZt2XhxkfZ-K1E1oTTqBVxLi4dyQEJiZsitdawY3XM1hMfli1Scr_d8Cd7v1RkBjbu_XpcWdVYrAstXcHKoKOHRNuB8gPsM2w5i-nC_HCnnBk4njmEgJ5uIq3Ot5MeswyMdX8
数据分析实习生,北京/朝阳区/国贸,3-4K,经验不限,本科,数据分析,陈品秀/HR,QuestMobile,移动互联网/未融资/100-499人,补充医疗保险/定期体检/员工旅游/晋升发展/扁平管理/年终奖/节日福利/带薪年假/办公环境/零食下午茶/五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.2&securityId=IJxMMAVLYDq1Z-T1qHazKfH6pFAJPjv_lXl4vBXleCBZ52oYpwEYzt3fUFI2zq0l185HKJ5JcuPDVTbRv8gvoY-THrtx2zsgnKcYZO9HEhud62L9QddO8GWK44jJW27TsHxlGAFcgw~~
数据分析实习生,北京/海淀区/西北旺,200-260元/天,,学历不限,SQL/Python/Excel/Tableau/BI,王欣彦/数据分析实习生,滴滴,移动互联网/D轮及以上/1000-9999人,五险一金/补充医疗保险/定期体检,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.3&securityId=EDztBGLXK2-Ou-e1yh97whfdJ3Z7AMpBiwkfz8qEjH0a31vcPExBB_USeZoFlm48cNf-yWT4xEeAv8SVzFu916hNmdtu9OrVKFOHoJ90daqXboHbhRmw0iqpfARB42JCXOkbe70F2AN-
数据分析实习生,北京/海淀区/西北旺,200-300元/天,,学历不限,SQL/Python/Excel,黄先生/战略总监,滴滴出行,移动互联网/D轮及以上/1000-9999人,交通补助/补充医疗保险/节日福利/免费班车/五险一金/年终奖/带薪年假/股票期权/零食下午茶/定期体检,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.4&securityId=AsBGk7EIIge35-61hlqyZhNobH1-dND3z99_lYBsDmPJ8naJ_pv7GggnHvhJCLY7nBaLWo11Nw3U9P4AxF0aU51K0WorM6DmCFUdRFnGEPvOxJZA8ZwUGmw1mvbk3KPhRLY6HloM
安全数据分析实习生,北京/朝阳区/798,150-300元/天,,学历不限,Python/SQL/逆向分析/网络安全/数据安全/信息安全,端女士/360集团校招专员,奇虎360,互联网/已上市/1000-9999人,定期体检/补充医疗保险/零食下午茶/年终奖/免费班车/带薪年假/餐补/包吃/交通补助/股票期权/五险一金/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.5&securityId=6OUgfNUyh4jGN-51mZZ-kyzAxvoQc1DJvJLlE-QPDBi86qhEKk13_9IXShPBKPkJIBYNFHg_Qd3ErgiSJLu_vnj_Ib9efELeS8HDJP7Dzvs0bDaqXX_XyzTuxMlOzNLPS7lrMj0~
数据分析实习生-数据平台,北京/海淀区/上地,350-400元/天,,学历不限,SQL/Tableau,管越/研发线-数据平台部/产品运营,快手,社交网络/已上市/10000人以上,年终奖/补充医疗保险/定期体检/股票期权/五险一金/带薪年假/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.6&securityId=eQMOmcntXoFQ1-11Wsfgx4DtDFXTQLp-gA10iJAeG_aObZK6N2CYCO7rQqiYuZjO3BJEdlRnhm6UdGSzT6Lhdhk5QT23MtsHW1bfxMs0CAvnlST3fQnt-qa2xYdA4j_Uyz0Kt56HHw~~
数据分析（医学、红外图像方向 ）,北京/海淀区/上地,200-250元/天,,学历不限,SQL/Python/Tableau/R/BI,蔡心怡/招聘者,大有泰莱,医疗健康/未融资/0-20人,五险一金/餐补/节日福利,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.7&securityId=sJDwd0sk3zZ7P-O1n5FSrh15SQ9Ks9_SWFuE8YDeZWBctBStdbd14Mt9gXSaOr1mVfUmXAF1P60NKWBJZdVKP42urDzeao_6i6lfSMfoHDYP2AT458ANC6YF7ukbukeVGFW6keNb3g1IXA~~
数据分析师,北京/朝阳区/国贸,7-11K·13薪,在校/应届,本科,相关分析/决策树/描述统计,谢文娟/创始合伙人,聚德公司,企业服务/未融资/0-20人,员工旅游/交通补助/通讯补贴/零食下午茶/五险一金/年终奖/定期体检/节日福利/带薪年假,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.8&securityId=A8Z34zUSGkflu-B161VWbQ9bn0LiTdCXI3rJhXt1ZUt--O2KyUO91p6X0pGb1wDoJpIzLYjNMC-x_1aYzbshMZo0U201T3TLtRDzlOJ97k0OWtma3oVmb9zCO4zTDW3PLR_0XobxR60~
数据分析师,北京/海淀区/永泰,7-12K,经验不限,学历不限,咨询领域/Excel/描述统计/因子分析/多元统计分析,常女士/副总经理,国威永耀,咨询/未融资/0-20人,五险一金/员工旅游/全勤奖/股票期权/年终奖/带薪年假/加班补助,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.9&securityId=RaXi15F0Tzgzy-N1tjjhnki7mxIwCXrDugOFnrXL-qMXh4jcK7oS-sj0llEtFGQo-RddaasbARU1CI1Xbo2PamThsyn23sGM0al7TPS35ieSyBmDJDP4-bTSPzMZ8NFlbPIhEQ3k3sI~
数据分析师,北京/大兴区/亦庄,14-18K·16薪,在校/应届,本科,SPSS/Hive/SQL/Python,周坤/总监,京东集团,电子商务/已上市/10000人以上,餐补/带薪年假/交通补助/股票期权/免费班车/包吃/五险一金/年终奖/节日福利/零食下午茶/员工旅游/补充医疗保险/定期体检,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.10&securityId=-N_5Zdd3u5uLG-M1IlJmEXVi32NC8BLLDkKkBG3AI0gwRmMKsCTKBRdepzBckWIClUE8-k74InDb86v_mFgWOSt1wmKhAOrNYeBkPjniep6SXiTFIze3WBpzHJ7tyco5kIS_PU9GVg~~
数据分析师,北京//,12-24K,在校/应届,硕士,SQL/SAS/描述统计,陈卓/量化运营,京东科技集团,互联网/不需要融资/1000-9999人,免费班车/餐补/五险一金/补充医疗保险,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.11&securityId=_xNMO7pxSvChn-I1xnqscsI_ObcfPHLncKChllpybm2Bu_-8EpR2yQkn7NRdcJ6TumwgknOwcYVgP1bb14aT6hKWq29klW_tZRtwSreO_aF4BIgxxlJESu6ToZ2dYlQoNOP6Aj1REgZI
数据分析师,北京/朝阳区/国贸,10-13K,在校/应届,本科,Python/SQL/Power BI,黄女士/行政人事专员,光尘,投资/融资/不需要融资/0-20人,交通补助/加班补助/年终奖/五险一金/餐补/零食下午茶,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.12&securityId=TgZgwWIFkmNI5-Z1bpzxsnHXxdDOTqnbiPQxpq4H5btlBKuFkvoG8rayeBS0agGpc_YHg7ClsaxiTajvQs-4jc3rlS_HTnCldHk4J5mCYhebpDBYSzrnM4YTOu899pqeiDAImJLj4BPp
数据分析师,北京/朝阳区/亚运村,10-15K·14薪,在校/应届,本科,Python/Excel/Tableau/Pandas/Matplotlib/Hive,孟靖松/供应链规划高级经理,瑞幸咖啡,互联网/已上市/10000人以上,五险一金/年终奖/员工饮/餐补/员工旅游/带薪年假/节日福利/通讯补贴/交通补助/股票期权,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.13&securityId=bANEeCf4Ae9Ci-11tOWtzTPZN1OXXxzCR_wZ6EQP4FXBde4PzP-ErD1_TyjZdd0TIOwR3JWU_bLG7l2AenrfK9k0t8BnZ-5iNikD-LTAF4R9KCnDyCVs21NP7Jzk3awtXwv6NW_Ltt-Z
数据分析师,北京/朝阳区/世贸天阶,8-13K·24薪,经验不限,学历不限,经济/工商管理相关专业/电商/零售行业数据相关经验/风控相关经验,张月强/招聘者,恒瑞拓鑫,其他专业服务//100-499人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.14&securityId=WPUBkPsx0ywDC-M1VZ-ZM3DunIC5HAcpKz13ZlKytGKkje-BY6gj4TWy71FEBl38OHAkR7p36w6GT0VbVSSXlIcNq_JBxXpg1si3HIZq_5sPPv2qcuAQ9HQVNt_5HzBv-11qU65l9HAqxQ~~
数据分析师,北京/西城区/西单,10-15K·14薪,在校/应届,硕士,Python,聂晶/总裁/总经理/CEO,避雷针信用服务,互联网/天使轮/0-20人,员工旅游/生日福利/团建聚餐/五险一金/带薪年假/零食下午茶/节日福利/定期体检,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.15&securityId=kmawcLmmrKGPw-h1ZNDznc2AZQY9EcrSL1m0ESAWIes55fAvRbVSR7f94NtrJROyOwr5hF9-peqqEdBeLoWWyjZg6rfVN-LihUJdW-KeW2woirZWysE5-qGkeCU_gsBW9YcoA8e3otqA
数据分析师,北京/朝阳区/太阳宫,10-15K·16薪,在校/应届,本科,SQLServer/python,李晓艺/数据分析师,BOSS直聘,人力资源服务/已上市/1000-9999人,交通补助/股票期权/员工旅游/加班补助/带薪年假/餐补/年终奖/补充医疗保险/节日福利/五险一金/住房补贴/定期体检,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.16&securityId=CYynHP4rQiM3J-21Wef3qG4EBY79qKQODLIT5o4xyTi9_VNjZxYnOd1AMic8lti_wEPq4thozdtIs55W32hodtlgsKH0iOynUwdSDiTgyrFznoFIes8-HgUxs46VoFkJwEk~
数据分析师,北京/朝阳区/望京,10-12K·14薪,在校/应届,本科,Python/SQL/Excel/SPSS/Hadoop,张悦/数据分析,一点资讯,移动互联网/D轮及以上/1000-9999人,五险一金/员工旅游/股票期权/定期体检/带薪年假/补充医疗保险/节日福利/零食下午茶,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.17&securityId=WU63VAFLDkoTP-81fv09z2ZldVRYxFEdBgBjw3CMxLhurQo1cSOdIM6bwex3jGnGeo2y80FqiXF_2N12ixVWO7dCePTECLBj1bMyVExCQ9S1Dq-Gx2xQSRCB7_RBfpzDieB_zUc~
数据分析师,北京/海淀区/上地,10-15K,经验不限,学历不限,Python/Matlab,卫贝/HR Manager,思源智能,智能硬件/B轮/20-99人,节日福利/工龄工资/股票期权/带薪年假/员工旅游/五险一金/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.18&securityId=hLAygr5cznAe1-o1_y2Ht_9wzTcWMYjww_0iIZZOtw6kf3XtdlsEk3iZwpf8t-P3v4F95E59JjqUQl2Ni6FZA5K5731n1kPmgKWtModD3Bi2j5_3uJDjI-s6siRATO1RRG_-ynptE9k~
数据分析师（北京）,北京/海淀区/万柳,12-20K·13薪,在校/应届,硕士,SPSS/SAS/R/Excel,朱莎/人事主管,麦可思数据科技,数据服务/未融资/100-499人,交通补助/餐补/零食下午茶/年终奖/定期体检/五险一金/带薪年假/节日福利/通讯补贴,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3AoHaVEK9Ia.search.19&securityId=KeZygZQ4-XEDN-11AVe1ayXGes-4QA1xpq3wtkp8stbdGW3lkzihRVUJw5GkCDvx_DJMaE4LiJtF5Lxy5hvGsC0Kko69wrvuiVn_pMBOCm5VvqtTEfDQluKZPuSOyj25ADYxoi9vr4cd
