工作名称,地址,薪资,经验要求,学历要求,技能要求,联系人,公司名,公司相关信息,公司福利,详情页url
智能小镇老娘舅店招聘服务员,杭州/余杭区/老余杭,3-7K,经验不限,学历不限,五险一金,汤明轩/店总,智能小镇老娘舅店,餐饮/未融资/100-499人,加班补助/带薪年假/包吃/零食下午茶/餐补/节日福利/五险一金/员工旅游/住房补贴/通讯补贴,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.1&securityId=HLRX1hNBImuag-11ygd_AhW0begvfII2wSfXsYec5QNmvh4HejqWtZgcDVfeSp833amNCQZ2EbadIxO6o6vwS-GSbosa3TQApoPK3kaxRpsUg3cKt2-RoWcef9ycqWzLKdWWAMV57ryMaA~~
杭州帕镭方姆互娱科技招聘服务员,杭州/西湖区/黄龙,4-5K,经验不限,高中,免费培训/环境好/游戏咖啡体验馆/水吧/饮品制作/加班费/有无线网/全职/下午茶/甜品店/五险,饶耿铭/招聘者,杭州帕镭方姆互娱科技,休闲/娱乐//0-20人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.2&securityId=TxUQx1vidZw8N-i1Ux6kKfGvZvtWfO-YURQB3zCmnuzyjI9YPkfbDNQwP94J--rvPlh_MaScB_3k8XyQWsFpF2p27ZEp2T0AXzhUsLQlfdGgpBtIWFGAQcrXJ_-WModVegH8UMZtoyFp
智能小镇老娘舅店招聘服务员,杭州/余杭区/老余杭,3-7K,经验不限,学历不限,五险一金,汤明轩/店总,智能小镇老娘舅店,餐饮/未融资/100-499人,节日福利/五险一金/带薪年假/包吃/加班补助/员工旅游/零食下午茶/餐补/住房补贴/通讯补贴,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.3&securityId=goEHtd9g1B_Gu-V1rxaIAZFHkbNGs3zaXb_X7WAPoecVtG3PrG1fYWjoshBNBw9mv5YS6EglcRqMWMmqFqAdAev9QTAR37wZFMLyHKK9y-JJJ8-IU49Vf4RYj4Hr9_RqBcL3bxwmK3eahA~~
人工智能训练师,杭州//,5-10K,经验不限,学历不限,店小蜜/人工智能客服,刘女士/人力资源经理,丹玥,电子商务/不需要融资/20-99人,全勤奖/带薪年假/年终奖/员工旅游/零食下午茶/节日福利/五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.4&securityId=5BlEY2rXUfiA3-H1fSR0Y-znKr6pTlS5us7YFaXwiZRb99JQlYVuFVBKr-yf4efPffcOYyf8gfv5eMl40UmEa15G7kDZyXw2xxrKRoZFD_sSob-I5tUsFG0_Tfb4bXtZPQCuGLXwF-M~
人工智能销售,杭州/余杭区/西溪,5-10K,经验不限,高中,企业（To B）/电话销售/会展销售/面销/陌拜/电子商务/无经验要求/软件/企业服务产品,李慧萍/行政人事,杭州喜倍科技有限公司,其他行业//0-20人,节日福利/员工旅游/全勤奖/交通补助/五险一金/带薪年假/年终奖,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.5&securityId=eq5F8qEZLiyT2-D1pyllw1liIXNkEF00yBisxPYaZkbKy0GGAHePd3C9QffAVoU006zdFpoNsB4caKyJLrRbHuBMXuy5jDla-fXJDAy4n34ZAm2Kn6jYrYo_aqXq4HIc656Po_8ousxMaQ~~
人工智能训练师,杭州/滨江区/长河,4-9K,经验不限,学历不限,图片/文字/不涉黄涉暴,李先生/云实施星火战队主管,乐言科技,互联网/D轮及以上/1000-9999人,带薪年假/补充医疗保险/年终奖/五险一金/节日福利/定期体检/零食下午茶,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.6&securityId=Y4wXetj6RbY8L-x18xfWwGxIimkvu9QuabKkeeo8NTQgKLdCZbQp1LzS8MjLOPmOQTtZbAh96ysI8juteH-9Wh5AcIWInh9JY2BnDatGcLBb7qKWkaEbpFESaX_NCj9eHnOdKx6lxFHR
人工智能课程讲师,杭州/临平区/临平,4-8K,经验不限,学历不限,人工智能/机器学习/深度学习,米女士/技术开发小组组长,夺蓝网络,在线教育/不需要融资/100-499人,,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.7&securityId=1GrPAMkTNwpmj-k1f459o0DKECeS_4mla_XDYo3iepq3JpkTQL_fTR9QUXJNmvCdFltf969VamYcf8sGfT67HAYy9DDWUC02Y0xpiYu7jO68GwArZfvaaKLqI_fI-1cUHOGr_lA7tA~~
人工智能训练师,杭州/余杭区/五常,10-15K,经验不限,学历不限,文本分类/知识图谱/智能客服,陈女士/招聘者,杭州摩科智能互联,智能硬件/不需要融资/100-499人,五险一金/年终奖/股票期权/员工旅游/定期体检/零食下午茶/节日福利/全勤奖/加班补助/带薪年假,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.8&securityId=scNIEBfNpXYOj-o12Slc7uQ-ghRqC0gy5lY--Ztm1tWV66wKrk-_Rt2EbHGXe-FqRlpV0Ngj8QBYG0YY5EI_KWIEXk1gvuko_UaGPHlAZK0PsEruIqZD2gd1Iitwo8WABZp2rmHAv6g~
人工智能课程研发工程师,杭州/余杭区/未来科技城,12-18K,经验不限,学历不限,深度学习算法/算法设计/Python/C++/TensorFlow/PyTorch/Keras,郑培/市场运营,一蓦,在线教育/未融资/20-99人,五险一金,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.9&securityId=2YaN3GVa8BH9Y-t1BKOnHEtg02fCv7UzzB-k3fix9XHB2YXiLFH0WpVoD4P7Kzqf7B5j3AYgS6_W8em1cg4rPsBTE3LRhXUtmzUG9hz4Vs88e2CE-XAimDyf29pwzEVqQ60UwSuI9E6G
人工智能算法工程师,杭州/上城区/钱江新城,15-20K,经验不限,学历不限,C++/Python/深度学习算法/PyTorch,黄兰芬/人事,浙江钱意科技有限公司,数据服务/不需要融资/20-99人,零食下午茶/节日福利/交通补助/带薪年假/五险一金/股票期权,https://www.zhipin.com/job_detail/fe2af1bb664595dc1XRz29m_EVtX.html?lid=3wuVxG1ISHm.search.10&securityId=OsluGX9hNBsQX-41PvGxm0X0VstQzmmeS8iROh3-GkMkysSiEVfNZs2u4y_nbSCJ7FkgTwfrsdGnX4FHiGqNHFq8wt_F4fanu9uPXGGApNLJ8Gvwb6MoRxOaiDyzvzjJngxYOmAStJB5XQ~~
