页数,文章链接,文章标题,时间,来源,作者,浏览量
1,https://www.jhc.cn/2023/0318/c4548a153930/page.htm,金职院顺利完成首批教学诊断改进制度建设省级复核工作,2023-03-18,督导处,岑建  摄影  郑胜杰  孙立臣  王天,10
1,https://mp.weixin.qq.com/s/n8ZzwhlmME3TxItRZ5f_JQ,金职院召开2023年全面从严治党工作会议 暨清廉校园建设部署会,2023-03-17,,,
1,https://www.jhc.cn/2023/0317/c4548a153920/page.htm,瞄准未来，数智赋能——金华市智能物联网技术论坛大咖云集,2023-03-17,信息工程学院（怀卡托国际学院）,郭天鹏,69
1,https://www.jhc.cn/2023/0317/c4548a153917/page.htm,金职院召开2022年招生总结暨2023年招生宣传动员会,2023-03-17,学生处,唐芳  摄影  郑胜杰,86
1,https://www.jhc.cn/2023/0317/c4548a153858/page.htm,推动科技创新  推进科教融汇​——市科技局局长一行来金职院走访调研,2023-03-17,科技处,​王桂锋,10
1,https://www.jhc.cn/2023/0315/c4548a153847/page.htm,金职院召开2023年上半年党建工作例会,2023-03-16,组织部,陈静泓   摄影  郑胜杰,198
1,https://mp.weixin.qq.com/s/CO7Taf8ruk_6vNIic0qGqQ,金职院党群服务中心入选首批全省高校示范性党群服务中心,2023-03-14,,,
1,https://www.jhc.cn/2023/0310/c4548a153533/page.htm,金职院“春泥”劳动教育实践基地正式启动,2023-03-10,后勤中心,何育民,78
1,https://mp.weixin.qq.com/s/u39wM-uw_sGuMmYNIN7KiQ,金职院党委开展第30期夜学,2023-03-09,,,
1,https://www.jhc.cn/2023/0309/c4548a153425/page.htm,阿克苏地区教育考察团来金职院考察交流,2023-03-09,师范学院 ,陈诗  摄影  郑胜杰,115
1,https://www.jhc.cn/2023/0309/c4548a153377/page.htm,金职院召开2023年继续教育工作部署会,2023-03-09,继续教育处,陈泓伊,11
1,https://mp.weixin.qq.com/s/4JA9_cbjw-rTr2Q8Xx5nkw,春风化雨  盼樱成林——金职院开展2023年植树节活动,2023-03-08,,,
1,https://www.jhc.cn/2023/0306/c4548a153245/page.htm,金职院教育发展基金会再次获评浙江省5A级社会组织,2023-03-06,校友办,王宏艳,10
1,https://www.jhc.cn/2023/0306/c4548a153226/page.htm,学思践悟二十大，砥砺奋进新时代——开学第一课，校长梁克东这样寄语金职学子,2023-03-06,宣传统战部（文化育人办公室）,王璐 摄影 王天 胡宇翔 胡云莺等,10
2,https://mp.weixin.qq.com/s/kpNzsYxCFfVP5v_X2Sx-tw,金职院召开党委专题会议暨2022年度双高建设总结及2023年任务部署会,2023-03-05,,,
2,https://www.jhc.cn/2023/0305/c4548a153178/page.htm,金职院召开创新创业工作及国家级创新创业学院建设专题研讨会,2023-03-05,创业学院,​   程立珂  摄影 王天,10
