标题名,影片名,格式,音频,属性,年份,时长,IMDB值,简介,影片海报,影片下载web_url,影片下载url之一
Agente Oculto Torrent (2022) Dual Áudio / Dublado WEB-DL 1080p – Download,Agente Oculto,MKV,"Português, Inglês","Ação,Suspense",2022,1h 36 Min.,5.9/10,":Na Europa, um agente da CIA que se tornou assassino tenta escapar de forças misteriosas enquanto tenta salvar a vida das filhas que não sabem que ele existe.",https://filmestorrents.site/wp-content/uploads/2022/07/Agente-Oculto-filmestorrents-net.jpg,https://filmestorrents.site/agente-oculto-torrent-2022-dual-audio-dublado-web-dl-1080p-download/#more-34613,magnet:?xt=urn:btih:ddeff26db6e7013221f5f6704aac704930b08f2f&dn=Agente%20Oculto%202022%201080p%20WEB-DL%20DUAL%205.1&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
O Último Dragão Torrent (2022) Dual Áudio / Dublado WEB-DL 1080p – Download,O Ultimo Dragao,MKV,"Português, Inglês","Ação,Fantasia",2022,1h 38 Min.,N/A/10,":Quando uma força malévola toma conta dos reinos de Agonos, um cavaleiro solitário deve embarcar numa perigosa busca para encontrar o último dragão e salvar o mundo deste grande e crescente mal. ",https://filmestorrents.site/wp-content/uploads/2022/07/O-Ultimo-Dragao-filmestorrents-net.jpg,https://filmestorrents.site/o-ultimo-dragao-torrent-2022-dual-audio-dublado-web-dl-1080p-download/#more-34574,magnet:?xt=urn:btih:754ff1107cc131cdd3f8776a5f8f97b1343f5972&dn=O%20%c3%9altimo%20Drag%c3%a3o%202022%201080p%20WEB-DL%20DUAL%205.1&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
Thor: Amor e Trovão Torrent (2022) Dual Áudio / Dublado HDCAM 1080p – Download,Thor Amor e Trovao,MKV,Português / Inglês,"Ação,Aventura,Comédia",2022,1h 59 Min.,N/A/10,"Thor parte em uma jornada diferente de tudo que já enfrentou – uma busca pela paz interior. Mas sua aposentadoria é interrompida por um assassino galáctico conhecido como Gorr, o Carniceiro de Deus, que busca a extinção dos deuses. Para combater a ameaça, Thor pede a ajuda do Rei Valquíria, Korg e da ex-namorada Jane Foster, que – para surpresa de Thor – inexplicavelmente empunha seu martelo mágico, Mjolnir, como o Poderoso Thor. Juntos, eles embarcam em uma angustiante aventura cósmica para descobrir o mistério da vingança do God Butcher e detê-lo antes que seja tarde demais.",https://filmestorrents.site/wp-content/uploads/2022/07/Thor-Amor-e-Trovao-filmestorrents-net-1.jpg,https://filmestorrents.site/thor-amor-e-trovao-torrent-2022-dual-audio-dublado-hdcam-1080p-download/#more-34550,magnet:?xt=urn:btih:6A3859E6D4A925E4C0499489484A44BD1C317AE7&dn=Thor.Love.and.Thunder.2022.720p.HDCAM.Dublado.mkv&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce
Jurassic World: Domínio Torrent (2022) Dual Áudio / Dublado WEB-DL 1080p – Download,Jurassic World Dominio,MKV,Português | Inglês,"Ação,Aventura,Ficção",2022,2h 26 Min.,6.0/10,":Quatro anos após a destruição da Ilha Nublar, os dinossauros agora vivem – e caçam – ao lado de humanos em todo o mundo. Esse frágil equilíbrio remodelará o futuro e determinará, de uma vez por todas, se os seres humanos continuarão sendo os principais predadores em um planeta que agora compartilham com as criaturas mais temíveis da história.",https://filmestorrents.site/wp-content/uploads/2022/07/Jurassic-World-Dominio-filmestorrents-net-1.jpg,https://filmestorrents.site/jurassic-world-dominio-torrent-2022-dual-audio-dublado-web-dl-1080p-download/#more-34455,magnet:?xt=urn:btih:3fb51471312e4fa98c0ddeb8311da2aa9fb5c08f&dn=Jurassic%20World%20-%20Dom%c3%adnio%202022%201080p%20WEB-DL%20DUAL%205.1&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
Lightyear Torrent (2022) Dual Áudio / Dublado WEB-DL 720p & 1080p & 4K – Download,Lightyear,MKV,"Português, Inglês","Animação,Ação,Aventura,Ficção",2022,1h 47 Min.,5.2/10,A aventura de ação e ficção científica apresenta a história de origem definitiva de Buzz Lightyear – o herói que inspirou o brinquedo – apresentando o lendário Space Ranger que conquistaria gerações de fãs.,https://filmestorrents.site/wp-content/uploads/2022/07/Lightyear-filmestorrents-net.jpg,https://filmestorrents.site/lightyear-torrent-2022-dual-audio-dublado-web-dl-720p-1080p-4k-download/#more-34447,magnet:?xt=urn:btih:CD26EC171192F25069FC3C685E73B59DCDEE033E&dn=Lightyear.2022.720p.CAMRip.Dublado.mkv&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=http%3a%2f%2ftrax.corbina.net%3a6969%2fannounce
Ms. Marvel 1ª Temporada Torrent Dual Áudio / Dublado WEB-DL 720p & 1080p & 4K – Download,Ms. Marvel,MKV,"Português, Inglês","Ação,Comédia,Aventura",2022,50 Min./Ep.,6.1/10,":Kamala Khan é uma adolescente muçulmana de Jersey City. Ela adora jogar videogames e escrever fanfictions, além de ser fã de super-heróis e ter uma imaginação sem limites – especialmente quando se trata da Capitã Marvel. Kamala sente que não se encaixa na escola e, às vezes, nem mesmo em casa. Mas um dia ela descobre que tem superpoderes como os heróis que sempre admirou… e a vida fica bem melhor com superpoderes, não é? ",https://filmestorrents.site/wp-content/uploads/2022/06/Ms.-Marvel-filmestorrents-net.jpg,https://filmestorrents.site/ms-marvel-1a-temporada-torrent-dual-audio-dublado-web-dl-720p-1080p-4k-download/#more-33874,magnet:?xt=urn:btih:c6a331ba3407a88f6b7c36f0b42fe0c3c070d4e2&dn=Ms.Marvel.S01E01.1080p.WEB.DUAL&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
Bob’s Burger: O Filme Torrent (2022) Dual Áudio / Dublado BluRay 1080p – Download,Bobs Burger O Filme,MKV,"Português, Inglês","Animação,Aventura,Comédia",2022,1h 42 Min.,7.4/10,":Um cano rompido cria um buraco em frente ao Bob’s Burgers, bloqueando a entrada e arruinando os planos de um verão bem-sucedido. Enquanto Bob e Linda lutam para manter o negócio, as crianças tentam resolver um mistério que pode salvar o restaurante da família. Os perigos aumentam, e eles se ajudam, lutando para voltar para trás do balcão.",https://filmestorrents.site/wp-content/uploads/2022/07/Bobs-Burger-O-Filme-filmestorrents-net.jpg,https://filmestorrents.site/bobs-burger-o-filme-torrent-2022-dual-audio-dublado-bluray-1080p-download/#more-34382,magnet:?xt=urn:btih:ff9d63ed406b6dab8df0d6171b7d6556cad8c6c4&dn=Bob%27s%20Burger%20-%20O%20Filme%202022%201080p%20BluRay%20DUAL%205.1&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
The Boys 3ª Temporada Torrent Dual Áudio / Dublado WEB-DL 720p & 1080p – Download,The Boys,MKV,"Português, Inglês","Ação,Comédia,Crime",2022,55 Min.,8.7/10,":Na trama, conhecemos um mundo em que super-heróis são as maiores celebridades do planeta, e rotineiramente abusam dos seus poderes ao invés de os usarem para o bem.",https://filmestorrents.site/wp-content/uploads/2022/06/The-Boys-filmestorrents-net.jpg,https://filmestorrents.site/the-boys-3a-temporada-torrent-dual-audio-dublado-web-dl-720p-1080p-download/#more-33782,magnet:?xt=urn:btih:fd434b69dfdd923f9b4a2296f3d2b20e589c84e0&dn=The.Boys.S03E01-02-03.1080p.WEB-DL.DUAL&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
A Fera do Mar Torrent (2022) Dual Áudio / Dublado WEB-DL 1080p – Download,A Fera do Mar,MKV,"Português, Inglês","Animação,Aventura,Comédia",2022,1h 55 Min.,6.3/10,:A vida de um caçador de monstros marinhos vira de cabeça para baixo depois que uma menina se esconde em seu navio.,https://filmestorrents.site/wp-content/uploads/2022/07/A-Fera-do-Mar-filmestorrents-net.jpg,https://filmestorrents.site/a-fera-do-mar-torrent-2022-dual-audio-dublado-web-dl-1080p-download/#more-34320,magnet:?xt=urn:btih:d10bce312fa90d64dd5e7c8e1c93b22079968361&dn=A%20Fera%20do%20Mar%202022%201080p%20WEB-DL%20DUAL%205.1&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
A Princesa Torrent (2022) Dual Áudio / Dublado WEB-DL 1080p & 4K – Download,A Princesa,MKV,"Português, Inglês","Ação,Drama,Fantasia",2022,1h 34 Min.,N/A/10,":Quando uma princesa bela e determinada se recusa a se casar com o cruel sociopata para quem está prometida, ela é sequestrada e trancada em uma torre remota no castelo de seu pai. Com seu pretendente desprezado e vingativo querendo tomar o trono, a princesa deve proteger sua família e salvar o reino, custe o que custar.",https://filmestorrents.site/wp-content/uploads/2022/07/A-Princesa-filmestorrents-net.jpg,https://filmestorrents.site/a-princesa-torrent-2022-dual-audio-dublado-web-dl-1080p-4k-download/#more-34237,magnet:?xt=urn:btih:8c87850f08fa631e45fd55efc8290788f7007f93&dn=A%20Princesa%202022%201080p%20WEB-DL%20DUAL%205.1&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.publicbt.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.internetwarriors.net%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fwww.torrent.eu.org%3a451%2fannounce
