Longitude,Latitude,Country-CH,Country,Report number,Disease,Genotype/ Serotype/ Subtype,Reason,Start date,Report date,reportId,reportStatus,eventId,eventStatus,animalType
114.109497,22.396428,香港,Hong Kong,FUR_5,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/02/01,2023/03/20,159953,Validated,4898,On-going,terrestrial
43.679291,33.223191,伊拉克,Iraq,FUR_7,Foot and mouth disease virus (Inf. with) ,SAT 2,Unexpected change or increase,2023/01/03,2023/03/19,159942,Validated,4856,On-going,terrestrial
-3.435973,55.378051,联合王国,United Kingdom,FUR_2,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2023/02/28,2023/03/17,159938,Validated,4954,On-going,terrestrial
-3.435973,55.378051,联合王国,United Kingdom,FUR_36,Contagious equine metritis ,,Recurrence of an eradicated disease,2022/06/27,2023/03/17,159937,Validated,4525,On-going,terrestrial
5.291266,52.132633,荷兰,Netherlands,FUR_46,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2021/10/26,2023/03/17,159934,Validated,4031,On-going,terrestrial
,,,Türkiye,FUR_6,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2023/01/31,2023/03/17,159933,Validated,4878,On-going,terrestrial
-77.781167,21.521757,古巴,Cuba,FUR_4,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,First occurrence in the country,2023/02/04,2023/03/17,159931,Validated,4895,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,FUR_1,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2023/01/26,2023/03/17,159921,Validated,4889,Resolved,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_9,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2023/01/11,2023/03/17,159920,Validated,4835,Resolved,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,FUR_11,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/12/23,2023/03/17,159919,Validated,4801,Resolved,terrestrial
28.369885,47.411631,摩尔多瓦,Moldova,IN,Newcastle disease virus (Inf. with) ,,First occurrence in a zone or a compartment,2023/03/13,2023/03/17,159918,Validated,4975,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,IN,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/03/14,2023/03/17,159915,Validated,4974,On-going,terrestrial
105.318756,61.52401,俄罗斯,Russia,IN,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/03/08,2023/03/17,159914,Validated,4973,On-going,terrestrial
10.451526,51.165691,德国,Germany,IN,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2023/03/14,2023/03/16,159909,Validated,4972,On-going,terrestrial
4.469936,50.503887,比利时,Belgium,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),Untyped or partially typed,Unusual host species,2022/04/07,2023/03/17,159908,Validated,4971,On-going,terrestrial
8.227512,46.818188,瑞士,Switzerland,FUR_16,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/11/14,2023/03/16,159906,Validated,4733,On-going,terrestrial
4.469936,50.503887,比利时,Belgium,FUR_94,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/11/05,2023/03/16,159905,Validated,4073,On-going,terrestrial
10.451526,51.165691,德国,Germany,FUR_10,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/07/14,2023/03/16,159903,Validated,4530,On-going,terrestrial
19.145136,51.919438,波兰,Poland,FUR_3,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/02/10,2023/03/17,159902,Validated,4921,On-going,terrestrial
19.145136,51.919438,波兰,Poland,FUR_14,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2022/04/01,2023/03/17,159901,Validated,4390,On-going,terrestrial
19.145136,51.919438,波兰,Poland,FUR_25,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2021/12/07,2023/03/17,159900,Validated,4389,On-going,terrestrial
,,,Türkiye,FUR_1,Foot and mouth disease virus (Inf. with) ,SAT 2,New strain in the country,2023/03/03,2023/03/16,159899,Validated,4959,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_26,Rabies virus (Inf. with) ,RABV,Recurrence of an eradicated disease,2022/09/26,2023/03/16,159898,Validated,4628,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_148,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2019/12/07,2023/03/16,159897,Validated,3075,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_73,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2021/08/04,2023/03/16,159896,Validated,3870,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_163,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2019/08/21,2023/03/16,159895,Validated,3014,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_64,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/10/28,2023/03/16,159894,Validated,4062,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_159,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2019/09/25,2023/03/16,159892,Validated,3040,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_72,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/08/29,2023/03/16,159891,Validated,3936,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_175,African swine fever virus (Inf. with) ,,First occurrence in a zone or a compartment,2019/04/28,2023/03/16,159890,Validated,2887,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_66,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2021/09/05,2023/03/16,159888,Validated,3996,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_64,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2021/11/04,2023/03/16,159887,Validated,4070,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_8,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2023/01/10,2023/03/16,159886,Validated,4834,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_17,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/11/03,2023/03/16,159885,Validated,4706,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_13,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/12/18,2023/03/16,159884,Validated,4784,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_16,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/11/27,2023/03/16,159883,Validated,4750,On-going,terrestrial
19.145136,51.919438,波兰,Poland,FUR_2,African swine fever virus (Inf. with) ,,Recurrence of an eradicated disease,2023/02/04,2023/03/17,159882,Validated,4934,On-going,terrestrial
19.503304,47.162494,匈牙利,Hungary,FUR_25,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2022/11/02,2023/03/16,159881,Validated,4693,On-going,terrestrial
90.433601,27.514162,不丹,Bhutan,IN,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2023/03/11,2023/03/16,159880,Validated,4970,On-going,terrestrial
14.550072,47.516231,奥地利,Austria,FUR_14,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/11/07,2023/03/17,159879,Validated,4710,On-going,terrestrial
14.550072,47.516231,奥地利,Austria,FUR_6,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N1,Recurrence of an eradicated disease,2023/01/16,2023/03/16,159878,Validated,4847,On-going,terrestrial
138.252924,36.204824,日本,Japan,FUR_1,High pathogenicity avian influenza viruses (poultry) (Inf. with),H5N2,New strain in the country,2023/01/16,2023/03/16,159877,Validated,4844,On-going,terrestrial
138.252924,36.204824,日本,Japan,FUR_11,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N1,Recurrence of an eradicated disease,2022/01/11,2023/03/16,159875,Validated,4634,On-going,terrestrial
