产地,规格,价格,公司,时间
云南,规格：120头 春三七,市场价 100元/公斤,文山州正贸三七有限公司,2022-09-13
云南,规格：120头 春三七,市场价 100元/公斤,文山市云汇康宝三七商行,2022-09-13
云南,规格：120头 春三七,市场价 98元/公斤,文山市利同三七经营部,2022-09-13
云南,规格：120头 春三七,市场价 98元/公斤,文山州康鑫三七有限责任公司,2022-09-13
云南,规格：120头 春三七,市场价 96元/公斤,文山福康三七云南药材批发中心,2022-09-13
云南,规格：120头 春三七,市场价 105元/公斤,河北安国市场,2022-09-13
云南,规格：120头 春三七,市场价 105元/公斤,安徽亳州市场,2022-09-13
云南,规格：120头 春三七,市场价 100元/公斤,文山州正贸三七有限公司,2022-09-09
云南,规格：120头 春三七,市场价 100元/公斤,康辉中药饮片有限公司,2022-09-09
云南,规格：120头 春三七,市场价 98元/公斤,文山市利同三七经营部,2022-09-09
云南,规格：120头 春三七,市场价 98元/公斤,文山州康鑫三七有限责任公司,2022-09-09
云南,规格：120头 春三七,市场价 96元/公斤,文山福康三七云南药材批发中心,2022-09-09
云南,规格：120头 春三七,市场价 110元/公斤,河北安国市场,2022-09-09
云南,规格：120头 春三七,市场价 105元/公斤,安徽亳州市场,2022-09-09
云南,规格：120头 春三七,市场价 100元/公斤,文山州正贸三七有限公司,2022-09-06
云南,规格：120头 春三七,市场价 100元/公斤,康辉中药饮片有限公司,2022-09-06
云南,规格：120头 春三七,市场价 100元/公斤,文山市利同三七经营部,2022-09-06
云南,规格：120头 春三七,市场价 98元/公斤,文山州康鑫三七有限责任公司,2022-09-06
云南,规格：120头 春三七,市场价 96元/公斤,文山福康三七云南药材批发中心,2022-09-06
云南,规格：120头 春三七,市场价 110元/公斤,河北安国市场,2022-09-06
云南,规格：120头 春三七,市场价 105元/公斤,安徽亳州市场,2022-09-06
云南,规格：120头 春三七,市场价 100元/公斤,文山州正贸三七有限公司,2022-09-02
云南,规格：120头 春三七,市场价 100元/公斤,康辉中药饮片有限公司,2022-09-02
云南,规格：120头 春三七,市场价 98元/公斤,文山市利同三七经营部,2022-09-02
云南,规格：120头 春三七,市场价 98元/公斤,文山州康鑫三七有限责任公司,2022-09-02
云南,规格：120头 春三七,市场价 96元/公斤,文山福康三七云南药材批发中心,2022-09-02
云南,规格：120头 春三七,市场价 110元/公斤,河北安国市场,2022-09-02
云南,规格：120头 春三七,市场价 110元/公斤,安徽亳州市场,2022-09-02
云南,规格：120头 春三七,市场价 100元/公斤,文山州正贸三七有限公司,2022-08-30
云南,规格：120头 春三七,市场价 100元/公斤,康辉中药饮片有限公司,2022-08-30
云南,规格：120头 春三七,市场价 100元/公斤,文山市利同三七经营部,2022-08-30
云南,规格：120头 春三七,市场价 98元/公斤,文山州康鑫三七有限责任公司,2022-08-30
云南,规格：120头 春三七,市场价 96元/公斤,文山福康三七云南药材批发中心,2022-08-30
云南,规格：120头 春三七,市场价 110元/公斤,河北安国市场,2022-08-30
