商品名称,种类,鲜(干)货,市场名称,价格,采集时间
松露,野生菌,鲜货,南华市场,380.00,2020-12-22
羊肚菌,野生菌,干货,南华市场,2200.00,2020-12-22
黑牛肝,野生菌,干货,南华市场,450.00,2020-12-22
虎掌菌,野生菌,干货,南华市场,1100.00,2020-12-22
鸡油菌,野生菌,干货,南华市场,400.00,2020-12-22
松茸,野生菌,干货,南华市场,1400.00,2020-12-22
牛肝菌,野生菌,干货,南华市场,400.00,2020-12-22
大红菇,野生菌,干货,南华市场,1200.00,2020-12-22
鸡枞,野生菌,干货,南华市场,500.00,2020-12-20
松露,野生菌,鲜货,南华市场,380.00,2020-12-14
松茸,野生菌,干货,南华市场,1500.00,2020-12-14
牛肝菌,野生菌,干货,南华市场,400.00,2020-12-14
羊肚菌,野生菌,干货,南华市场,2200.00,2020-12-14
黑牛肝菌,野生菌,干货,南华市场,450.00,2020-12-14
虎掌菌,野生菌,干货,南华市场,1100.00,2020-12-14
鸡枞,野生菌,干货,南华市场,500.00,2020-12-14
大红菇,野生菌,干货,南华市场,1200.00,2020-12-14
松露,野生菌,鲜货,南华市场,380.00,2020-11-18
松茸,野生菌,干货,南华市场,1500.00,2020-11-18
黑牛肝菌,野生菌,干货,南华市场,450.00,2020-11-18
牛肝菌,野生菌,干货,南华市场,400.00,2020-11-18
鸡油菌,野生菌,干货,南华市场,400.00,2020-11-18
大红菇,野生菌,干货,南华市场,1200.00,2020-11-18
鸡枞,野生菌,干货,南华市场,500.00,2020-11-18
虎掌菌,野生菌,干货,南华市场,1080.00,2020-11-18
松露,野生菌,鲜货,南华市场,380.00,2020-10-20
干巴菌,野生菌,鲜货,南华市场,560.00,2020-10-20
松茸,野生菌,干货,南华市场,1500.00,2020-10-20
黑牛肝菌,野生菌,干货,南华市场,450.00,2020-10-20
鸡油菌,野生菌,干货,南华市场,400.00,2020-10-20
虎掌菌,野生菌,干货,南华市场,1100.00,2020-10-20
大红菇,野生菌,干货,南华市场,1200.00,2020-10-20
鸡枞,野生菌,干货,南华市场,5000.00,2020-10-20
鸡枞,野生菌,鲜货,南华市场,280.00,2020-10-08
鸡油菌,野生菌,鲜货,南华市场,120.00,2020-10-08
松露,野生菌,鲜货,南华市场,380.00,2020-10-08
干巴菌,野生菌,鲜货,南华市场,560.00,2020-10-08
青头菌,野生菌,鲜货,南华市场,110.00,2020-10-08
黑虎掌菌,野生菌,鲜货,南华市场,160.00,2020-10-08
松茸,野生菌,鲜货,南华市场,680.00,2020-10-08
牛肝菌,野生菌,鲜货,南华市场,60.00,2020-10-08
松茸,野生菌,鲜货,南华市场,600.00,2020-09-22
黑虎掌菌,野生菌,鲜货,南华市场,160.00,2020-09-22
鸡枞,野生菌,鲜货,南华市场,280.00,2020-09-22
牛肝菌,野生菌,鲜货,南华市场,60.00,2020-09-22
香根,野生菌,鲜货,南华市场,95.00,2020-09-22
鸡油菌,野生菌,鲜货,南华市场,100.00,2020-09-22
青头菌,野生菌,鲜货,南华市场,110.00,2020-09-22
干巴菌,野生菌,鲜货,南华市场,560.00,2020-09-22
松茸,野生菌,鲜货,南华市场,480.00,2020-08-24
白牛肝菌,野生菌,鲜货,南华市场,100.00,2020-08-24
红牛肝菌,野生菌,鲜货,南华市场,110.00,2020-08-24
青头菌,野生菌,鲜货,南华市场,95.00,2020-08-24
牛肝菌,野生菌,鲜货,南华市场,40.00,2020-08-24
鸡枞,野生菌,鲜货,南华市场,280.00,2020-08-24
干巴菌,野生菌,鲜货,南华市场,500.00,2020-08-24
鸡油菌,野生菌,鲜货,南华上市场,100.00,2020-08-24
松茸,野生菌,鲜货,南华市场,480.00,2020-08-17
干巴菌,野生菌,鲜货,南华市场,500.00,2020-08-17
白牛肝菌,野生菌,鲜货,南华市场,100.00,2020-08-17
红牛肝菌,野生菌,鲜货,南华市场,110.00,2020-08-17
鸡枞,野生菌,鲜货,南华市场,280.00,2020-08-17
青头菌,野生菌,鲜货,南华市场,95.00,2020-08-17
鸡油菌,野生菌,鲜货,南华市场,110.00,2020-08-17
牛肝菌,野生菌,鲜货,南华市场,40.00,2020-08-17
松茸,野生菌,鲜货,南华市场,480.00,2020-08-10
干巴菌,野生菌,鲜货,南华市场,500.00,2020-08-10
牛肝菌,野生菌,鲜货,南华市场,40.00,2020-08-10
青头菌,野生菌,鲜货,南华市场,95.00,2020-08-10
鸡油菌,野生菌,鲜货,南华市场,100.00,2020-08-10
鸡枞,野生菌,鲜货,南华市场,280.00,2020-08-10
白牛肝菌,野生菌,鲜货,南华市场,100.00,2020-08-10
红牛肝菌,野生菌,鲜货,南华市场,110.00,2020-08-10
红牛肝菌,野生菌,鲜货,南华市场,110.00,2020-07-28
白牛肝菌,野生菌,鲜货,南华市场,100.00,2020-07-28
松茸,野生菌,鲜货,南华市场,550.00,2020-07-28
牛肝菌,野生菌,鲜货,南华市场,40.00,2020-07-28
干巴菌,野生菌,鲜货,南华市场,480.00,2020-07-28
青头菌,野生菌,鲜货,南华市场,95.00,2020-07-28
鸡枞,野生菌,鲜货,南华市场,280.00,2020-07-28
鸡油菌,野生菌,鲜货,南华市场,100.00,2020-07-28
鲜红牛干菌,野生菌,鲜货,南华市场,120.00,2020-07-19
鲜松茸,野生菌,鲜货,南华市场,650.00,2020-07-19
鲜白牛干菌,野生菌,鲜货,南华市场,100.00,2020-07-19
鲜牛肝菌,野生菌,鲜货,南华市场,40.00,2020-07-19
鲜干巴菌,野生菌,鲜货,南华市场,580.00,2020-07-19
鲜青头菌,野生菌,鲜货,南华市场,100.00,2020-07-19
鲜鸡油菌,野生菌,鲜货,南华市场,110.00,2020-07-19
鲜鸡枞,野生菌,鲜货,南华市场,300.00,2020-07-19
红牛肝菌,野生菌,鲜货,南华市场,150.00,2020-07-08
白牛肝菌,野生菌,鲜货,南华市场,120.00,2020-07-08
鸡枞,野生菌,鲜货,南华市场,300.00,2020-07-08
牛肝菌,野生菌,鲜货,南华市场,65.00,2020-07-08
大红菇,野生菌,干货,南华市场,1200.00,2020-07-08
鸡油菌,野生菌,干货,南华市场,400.00,2020-07-08
虎掌菌,野生菌,干货,南华市场,1100.00,2020-07-08
松露,野生菌,干货,南华市场,1400.00,2020-07-08
白牛干菌,野生菌,鲜货,南华市场,120.00,2020-06-27
红牛肝菌,野生菌,鲜货,南华市场,150.00,2020-06-27
鸡枞,野生菌,鲜货,南华市场,300.00,2020-06-27
牛肝菌,野生菌,鲜货,南华市场,70.00,2020-06-27
松茸,野生菌,干货,南华市场,1500.00,2020-06-27
大红菇,野生菌,干货,南华市场,1200.00,2020-06-27
虎掌菌,野生菌,干货,南华市场,1050.00,2020-06-27
羊肚菌,野生菌,干货,南华市场,2200.00,2020-06-27
红牛肝菌,野生菌,鲜货,南华市场,150.00,2020-06-20
白牛干菌,野生菌,鲜货,南华市场,120.00,2020-06-20
鸡枞,野生菌,鲜货,南华市场,300.00,2020-06-20
牛肝菌,野生菌,鲜货,南华市场,70.00,2020-06-20
虎掌菌,野生菌,干货,南华市场,1100.00,2020-06-20
松露,野生菌,干货,南华市场,1400.00,2020-06-20
大红菇,野生菌,干货,南华市场,1200.00,2020-06-20
羊肚菌,野生菌,干货,南华市场,2200.00,2020-06-20
白牛干菌,野生菌,鲜货,南华市场,120.00,2020-06-11
红牛干菌,野生菌,鲜货,南华市场,150.00,2020-06-11
鸡枞,野生菌,鲜货,南华市场,300.00,2020-06-11
牛肝菌,野生菌,鲜货,南华市场,70.00,2020-06-11
松露,野生菌,干货,南华市场,1400.00,2020-06-11
虎掌菌,野生菌,干货,南华市场,1100.00,2020-06-11
鸡油菌,野生菌,干货,南华市场,380.00,2020-06-11
松茸,野生菌,干货,南华市场,1500.00,2020-06-11
红牛肝菌,野生菌,鲜货,南华市场,150.00,2020-06-03
白牛肝菌,野生菌,鲜货,南华市场,120.00,2020-06-03
牛肝菌,野生菌,鲜货,南华市场,70.00,2020-06-03
鸡枞,野生菌,鲜货,南华市场,300.00,2020-06-03
松露,野生菌,干货,南华市场,1400.00,2020-06-03
松茸,野生菌,干货,南华市场,1500.00,2020-06-03
虎掌菌,野生菌,干货,南华市场,1100.00,2020-06-03
大红菇,野生菌,干货,南华市场,1200.00,2020-06-03
松露,野生菌,干货,南华市场,1400.00,2020-05-26
松茸,野生菌,干货,南华市场,1500.00,2020-05-26
羊肚菌,野生菌,干货,南华市场,2200.00,2020-05-26
