车辆品牌,价格,上牌时间,里程,所在地,图片链接
奔驰C级 C200L 2.0T 自动 运动版成就特别版 ,22.8, 2018年01月,7.0万公里 ,上海,https://s2.iautos.cn/source/carupload/photo/2022/0715/19/2022071519014077440535549693.jpg-mediumpic
奥迪A4L 45TFSI 2.0T 自动 风尚型 ,17.9, 2017年11月,5.6万公里 ,上海,https://s2.iautos.cn/source/carupload/photo/2022/0716/15/2022071615584429876315554785.jpg-mediumpic
奥迪A4L 35TFSI 2.0T 自动 舒适型 ,14.6, 2015年11月,6.6万公里 ,上海,https://s3.iautos.cn/source/carupload/photo/2022/0716/09/2022071609480492624530394735.jpg-mediumpic
福特蒙迪欧 1.5T 自动 EcoBoost180豪华型 ,10.2, 2018年11月,4.6万公里 ,上海,https://s1.iautos.cn/source/carupload/photo/2022/0716/16/2022071616115126895238908147.jpg-mediumpic
宝马5系 525Li 2.0T 自动 豪华套装 ,32.9, 2021年06月,1.6万公里 ,杭州,https://s1.iautos.cn/source/carupload/photo/2022/0628/15/2022062815200863722431815779.jpg-mediumpic
宝马5系 525Li 2.0T 自动 豪华设计套装 ,29.38, 2019年03月,2.0万公里 ,宁波,https://s1.iautos.cn/source/carupload/photo/2022/0311/11/2022031111280456435915219389.jpg-mediumpic
宝马5系 525Li 2.0T 自动 M运动套装 ,33.8, 2020年11月,3.0万公里 ,宁波,https://s2.iautos.cn/source/carupload/photo/2022/0302/15/2022030215214789793218314095.jpg-mediumpic
宝马5系 530Li 2.0T 自动 改款尊享型豪华套装 ,33.8, 2021年03月,2.6万公里 ,杭州,https://s1.iautos.cn/source/carupload/photo/2022/0628/15/2022062815315426228117638620.jpg-mediumpic
宝马5系 530Li 2.0T 自动 改款领先型豪华套装 ,30.5, 2021年01月,1.4万公里 ,杭州,https://s1.iautos.cn/source/carupload/photo/2022/0628/15/2022062815410902155932327981.jpg-mediumpic
宝马5系 530Li 2.0T 自动 xDrive-M运动套装改款 ,30.88, 2019年10月,6.0万公里 ,金华,https://s2.iautos.cn/source/carupload/photo/2022/0714/08/2022071408565860297540258438.jpg-mediumpic
宝马5系 528Li 2.0T 自动 上市特别版 ,27.8, 2018年10月,5.8万公里 ,泰安,https://s3.iautos.cn/source/carupload/photo/2022/0714/09/2022071409045530458744575465.jpg-mediumpic
宝马5系 530Li 2.0T 自动 领先型M运动套装 ,32.5, 2019年11月,2.6万公里 ,周口,https://s2.iautos.cn/source/carupload/photo/2022/0502/11/2022050211025439279414061755.jpg-mediumpic
宝马5系 530Li 2.0T 自动 M运动套装 ,36.8, 2021年07月,2.2万公里 ,杭州,https://s1.iautos.cn/source/carupload/photo/2022/0628/15/2022062815132482289329786539.jpg-mediumpic
宝马5系 530Li 2.0T 自动 领先型豪华套装改款 ,29.2, 2018年11月,6.0万公里 ,苏州,https://s1.iautos.cn/source/carupload/photo/2022/0713/20/2022071320134048256234089307.jpg-mediumpic
宝马5系 525Li 2.0T 自动 M运动套装改款 ,28.8, 2018年12月,3.56万公里 ,金华,https://s1.iautos.cn/source/carupload/photo/2022/0502/11/2022050211121378338718873478.jpg-mediumpic
宝马5系 525Li 2.0T 自动 豪华套装 ,35.88, 2020年08月,3.2万公里 ,宁波,https://s3.iautos.cn/source/carupload/photo/2022/0310/15/2022031015442816730903479051.jpg-mediumpic
