店名,地址,联系方式,详情url
伊微科技美容养生SPA(阜阳万达店),,,https://www.dianping.com/shop/k85fvPUDT7nO1rgX
静润皮肤管理·SPA中心(海亮华府店),,,https://www.dianping.com/shop/k7KqWOLI5DEu4fdH
壹加壹医疗美容(皖北旗舰店),"颍州区
        淮河路万达广场A1区 116-121号
        ",4000876600-1549,https://www.dianping.com/shop/k4gKi7mTIbRnn5A8
关于我们·美甲美睫生活馆,"颍州区
        在万达1号公寓13楼1323
        ",18055886522,https://www.dianping.com/shop/EEhLp3ePaQv6nNwT
克丽缇娜(万达店),"颍州区
        颍南路碧桂园颖州府清涟苑2号楼
        ",0558-2199626,https://www.dianping.com/shop/H3wotk27r4QFqlkS
伊佳一美容养生馆,"临泉县其他
        光明南路61号第一大药房旁边大门院内二楼
        ",13355583336,https://www.dianping.com/shop/H4E1R3Ks8ZS1hWGd
微悦医疗美容医院·眼鼻整形,"颍州区
        经济开发区淮河路与沙河路交叉口天瑞名城19号
        ",4000876600-3144,https://www.dianping.com/shop/jBb1zASQXUM26k4p
金公主SPA尊尚养生会所(摩玛蓝湾店),"颍州区
        颍河西路摩玛蓝湾(大润发对面)
        ",0558-2236688,https://www.dianping.com/shop/G35Bao40fF39fQYR
梵美博瑞美容(玫瑰庄园店),"太和县其他
        民安路与解放路交叉口向西100米路北
        ",15856897868,https://www.dianping.com/shop/l19sY3ADIWnswS98
那年花开美容会所,"临泉县其他
        城东街道光明社区新建路水榭花都北门
        ",13329087699,https://www.dianping.com/shop/H1r8j7U9hv5ACXH7
管管美容养生(颍河东路店),"颍东区
        颍河东路开乐小区田三卷馍楼上一号楼三单元810室
        ",18321545026,https://www.dianping.com/shop/kawNyKpepk0Of2he
自然美Natural Beauty,"颍州区
        颖南路碧桂园颍州府3号商住楼115室
        ",18955892108,https://www.dianping.com/shop/H4Xgvi6C5IkFmz3x
蕾特恩·祛痘皮肤管理中心(商厦店),"颍州区
        颖上北路193号粮运小区沿街楼104号（粮运小区中国建设银行中间）
        ",4008882801,https://www.dianping.com/shop/H12mCrdzNypvnm3L
天蕴美容养生会所(时代广场店),"颍州区
        颍河西路与中南大道交口阜阳商厦时代广场2号楼13楼1306
        ",18844913746,https://www.dianping.com/shop/k4ZHShsuotVvHSDJ
skin79皮肤管理基站(万达广场店),"颍州区
        淮河路万达1号公寓801
        ",17555861977,https://www.dianping.com/shop/k4BMQ2X5TQbY0jSr
AKM皮肤管理中心,"颍州区
        临泉路111号
        ",0558-2528188,https://www.dianping.com/shop/k70SDlFvHc0iiObP
雅典娜美容,"太和县其他
        建设路南侧人民医院北区57幢101铺
        ",15955806006,https://www.dianping.com/shop/laGIj5zbJwogTqcP
Miss睿·半永久•美睫中心,,,https://www.dianping.com/shop/l7YyxGbevA5XcQAe
琪雅美容会所,"临泉县其他
        光明路与前进路交口南150米路东三楼(大转盘南)
        ",15755820339,https://www.dianping.com/shop/GaJdeF0JS4cPdk5w
