报道链接,报道标题,报道引言,报道形式,报道封面图片
http://news.cctv.com/VR/yxvrbdcqdyz/index.html,武汉重启第一周 烟火气又回来了,点击开启！我们一起努力奔跑吧,图片,https:////p1.img.cctvpic.com/photoAlbum/page/performance/img/2020/5/13/1589355218564_950.jpg
http://news.cctv.com/VR/yxvrbdkx/index.html,逆旅凯旋“桂”人还,武汉站——美丽家乡站,图片,https:////p5.img.cctvpic.com/photoAlbum/page/performance/img/2020/5/13/1589355006942_709.jpg
http://news.cctv.com/VR/yxvrbdwhcq/index.html,武汉重启，黄鹤楼上楚天舒,那个熟悉的武汉又回来了。,图片,https:////p4.img.cctvpic.com/photoAlbum/page/performance/img/2020/5/13/1589354715236_378.jpg
http://news.cctv.com/VR/yxvrbdlm/index.html,空城罗马 战疫无声,面对疫情，四海一家，休戚与共。,图片,https:////p1.img.cctvpic.com/photoAlbum/page/performance/img/2020/5/13/1589354407894_783.jpg
http://news.cctv.com/VR/yxvrbdyh/index.html,武大“樱”你绽放,让我们一起隔着屏幕闻花香。,图片,https:////p1.img.cctvpic.com/photoAlbum/page/performance/img/2020/3/18/1584516623704_896.jpg
http://news.cctv.com/VR/yxvrbdwhcg/index.html,这个春天，在荆楚大地播种希望,春耕播种新希望，不负农时不负春。,图片,https:////p5.img.cctvpic.com/photoAlbum/page/performance/img/2020/3/18/1584516432062_829.jpg
http://news.cctv.com/VR/yxvrbdfc/index.html,有一种胜利叫“关门大吉”,16→0,图片,https:////p3.img.cctvpic.com/photoAlbum/page/performance/img/2020/3/12/1583981060927_65.jpg
http://news.cctv.com/VR/yxvrbdnys/index.html,"方舱女中医：""关门大吉""最开心",一袭白衣，逆行无畏！致敬战“疫”一线的巾帼女将！,图片,https:////p3.img.cctvpic.com/photoAlbum/page/performance/img/2020/3/9/1583742277646_476.jpg
http://news.cctv.com/VR/yxvrbdhk/index.html,树下人海，这是每朵樱花的梦想,云赏花，关不住的春色温暖人心。,图片,https:////p2.img.cctvpic.com/photoAlbum/page/performance/img/2020/3/9/1583742193391_298.jpg
http://news.cctv.com/VR/yxvrbdhf/index.html,一份盒饭的战“疫”旅程,小盒饭传递大温暖！一起来品品抗“疫”一线的“暖心餐”。,图片,https:////p2.img.cctvpic.com/photoAlbum/page/performance/img/2020/3/2/1583142296093_357.jpg
http://news.cctv.com/VR/yxvrbdzyz/index.html,暖心“志愿红” 小区“摆渡人”,一名武汉社区志愿者的12小时,图片,https:////p3.img.cctvpic.com/photoAlbum/page/performance/img/2020/3/2/1583122739333_368.jpg
http://news.cctv.com/VR/yxvrbd/index.html,“疫”路有你 江城畅通！,记一位武汉交警的铁骨柔情,图片,https:////p4.img.cctvpic.com/photoAlbum/page/performance/img/2020/3/2/1583141187074_22.jpg
http://news.cctv.com/VR/zyzqxsyr/index.html,"风雨送药人将""救命药""送到前方",药品配送员的战“疫”,图片,https:////p2.img.cctvpic.com/photoAlbum/page/performance/img/2020/3/2/1583141020974_368.jpg
http://news.cctv.com/VR/zyzqxwhjy/index.html,同气连枝 珍重待春风,多地用灯光秀为武汉加油！为中国加油！,图片,https:////p4.img.cctvpic.com/photoAlbum/page/performance/img/2020/2/16/1581865821823_429.jpg
http://news.cctv.com/VR/zyzqxfj/index.html,武汉首个中医方舱医院开放,“中医国家队”江夏方舱医院硬核上线,图片,https:////p5.img.cctvpic.com/photoAlbum/page/performance/img/2020/2/16/1581866083819_563.jpg
http://news.cctv.com/VR/zyzqxwhax/index.html,星夜兼程 他们给武汉送吉“梨”,延安果农用“小心意”支援武汉,图片,https:////p3.img.cctvpic.com/photoAlbum/page/performance/img/2020/2/16/1581866312082_69.jpg
http://news.cctv.com/VR/zyzqxwmxg/index.html,我不停 武汉行！,记江城外卖小哥的一天,图片,https:////p2.img.cctvpic.com/photoAlbum/page/performance/img/2020/2/12/1581489349219_376.jpg
http://news.cctv.com/VR/zyzqxwhfc/index.html,武汉“封城”18日,人间烟火气，最抚凡人心。,图片,https:////p4.img.cctvpic.com/photoAlbum/page/performance/img/2020/2/11/1581400479262_599.jpg
http://news.cctv.com/VR/zyzqxwhyj/index.html,霓虹万千星辉 静待不夜江城,夜幕下的武汉,图片,https:////p2.img.cctvpic.com/photoAlbum/page/performance/img/2020/2/9/1581218982527_906.jpg
http://news.cctv.com/VR/zyzqxhc/index.html,期待开往春天的列车 在这站停留,期盼战“疫”胜利之日,图片,https:////p4.img.cctvpic.com/photoAlbum/page/performance/img/2020/2/9/1581218784484_261.jpg
http://news.cctv.com/VR/zyzqxwhjd/index.html,期待战疫胜利 看大江大湖大武汉,全景航拍看武汉,图片,https:////p4.img.cctvpic.com/photoAlbum/page/performance/img/2020/2/9/1581219728088_451.jpg
http://news.cctv.com/VR/kyzqylss/index.html,建雷神山医院 看中国速度,与时间赛跑，全景看雷神山“变身”。,图片,https:////p4.img.cctvpic.com/photoAlbum/page/performance/img/2020/2/9/1581219080723_974.jpg
https://vrnews.v.cctv.com/player/index.html?appid=kb7e5vi8&vuuid=1bbl9wh3&from=groupmessage&isappinstalled=0,不负韶华 一起努力再出发,一个个奋斗的身影，一张张暖心的面孔，是这个时代最好的见证。,视频,https:////p4.img.cctvpic.com/photoAlbum/page/performance/img/2020/1/2/1577932656381_27.jpg
https://vrnews.v.cctv.com/player/index.html?appid=kb7e5vi8&vuuid=zefca3k4&from=groupmessage&isappinstalled=0,回家二十年,琴弦的旋律，校园的铃声，园区的英才，奏响两地融合的乐章。,视频,https:////p1.img.cctvpic.com/photoAlbum/page/performance/img/2019/12/18/1576634159130_116.jpg
https://vrnews.v.cctv.com/player/index.html?appid=kb7e5vi8&vuuid=zabnqeq7&subtitle=%2Fvrnews%2Fzabnqeq7%2Fs0%2Fsubtitle%2Fsubtitle-1.srt,7大工程 全景看祖国壮丽70年,七大工程，“建”证新中国的发展变迁，“筑”福祖国繁荣昌盛。,视频,https:////p3.img.cctvpic.com/photoAlbum/page/performance/img/2019/9/29/1569744622461_736.jpg
https://vrnews.v.cctv.com/player/index.html?appid=kb7e5vi8&vuuid=rtc635zo&subtitle=/vrnews/rtc635zo/s0/subtitle/subtitle.srt,"一所会堂,群贤毕至共议国是民生",VR带你“打卡”人民大会堂，前排入座，聆听主席台的声音！,视频,https:////p4.img.cctvpic.com/photoAlbum/page/performance/img/2019/9/29/1569744441908_1.jpg
