id,昵称,捐款金额/元,时间,评论内容
669949,张***5,10.00,2022-07-24 16:01:29,助力公益，让我们从现在开始！
669936,宇***2,1.00,2022-07-24 15:22:23,助力公益，让我们从现在开始！
669917,最***娇,1.00,2022-07-24 14:09:34,公益无大小，行动即榜样！
669768,一***鱼,1.50,2022-07-24 08:07:51,用关注传递温暖，让行动表达关爱！
669765,爱心网友,10.00,2022-07-24 08:07:04,助力公益，让我们从现在开始！
669748,东***礼,10.00,2022-07-24 08:03:46,跟我一起，为爱添力！
669744,大***得,1.00,2022-07-24 08:02:56,用关注传递温暖，让行动表达关爱！
669743,你***烧,1.00,2022-07-24 08:02:46,公益无大小，行动即榜样！
669739,爱心网友,11.28,2022-07-24 08:02:33,公益无大小，行动即榜样！
669557,远***果,1.00,2022-07-23 14:43:15,一起向善良致敬！
669426,亦***天,10.00,2022-07-23 08:09:08,用关注传递温暖，让行动表达关爱！
669408,海***蟹,1.00,2022-07-23 08:03:33,跟我一起，为爱添力！
669373,Y***T,2.00,2022-07-23 08:00:35,助力公益，让我们从现在开始！
669205,爱心网友,1.00,2022-07-22 16:03:24,用关注传递温暖，让行动表达关爱！
669204,祺***花,10.00,2022-07-22 16:00:36,一起向善良致敬！
669189,萌***宸,1.00,2022-07-22 14:26:40,一起向善良致敬！
669118,远***果,1.00,2022-07-22 09:20:06,一起向善良致敬！
669084,秦***旋,1.00,2022-07-22 08:05:09,用关注传递温暖，让行动表达关爱！
669078,人***华,1.00,2022-07-22 08:03:14,一起向善良致敬！
668980,远***果,1.00,2022-07-21 22:38:00,公益无大小，行动即榜样！
668924,爱心网友,12.00,2022-07-21 17:44:52,用关注传递温暖，让行动表达关爱！
668883,小***噢,10.00,2022-07-21 14:30:29,公益无大小，行动即榜样！
668875,·***·,2.00,2022-07-21 14:00:35,用关注传递温暖，让行动表达关爱！
668740,爱心网友,1.00,2022-07-21 08:03:04,公益无大小，行动即榜样！
668738,瑶***烊,1.00,2022-07-21 08:02:59,助力公益，让我们从现在开始！
668736,蜡***-,3.40,2022-07-21 08:02:36,公益无大小，行动即榜样！
668726,云***_,1.00,2022-07-21 08:00:26,一起向善良致敬！
668572,m***6,1.00,2022-07-20 18:43:49,公益无大小，行动即榜样！
668555,順***e,1.00,2022-07-20 17:41:16,跟我一起，为爱添力！
668484,盛***福,10.00,2022-07-20 13:35:14,一起向善良致敬！
668346,壹***n,3.00,2022-07-20 10:02:46,跟我一起，为爱添力！
668216,U***1,1.00,2022-07-20 08:07:51,跟我一起，为爱添力！
668209,爱心网友,10.00,2022-07-20 08:05:21,助力公益，让我们从现在开始！
668203,爱心网友,1.00,2022-07-20 08:03:48,用关注传递温暖，让行动表达关爱！
668202,爱心网友,10.00,2022-07-20 08:03:43,跟我一起，为爱添力！
667889,爱***b,1.00,2022-07-19 08:12:50,助力公益，让我们从现在开始！
667884,爱心网友,5.00,2022-07-19 08:04:09,一起向善良致敬！
667883,栗***羽,1.00,2022-07-19 08:04:04,助力公益，让我们从现在开始！
667882,千***Z,2.00,2022-07-19 08:04:02,助力公益，让我们从现在开始！
667881,大***e,10.00,2022-07-19 08:03:53,助力公益，让我们从现在开始！
667880,饼***呢,1.00,2022-07-19 08:03:48,跟我一起，为爱添力！
667879,我***O,1.00,2022-07-19 08:03:39,公益无大小，行动即榜样！
667878,爱心网友,1.00,2022-07-19 08:03:38,用关注传递温暖，让行动表达关爱！
667877,白***鹿,10.00,2022-07-19 08:03:36,跟我一起，为爱添力！
667876,4***命,1.00,2022-07-19 08:03:31,跟我一起，为爱添力！
667874,爱心网友,1.00,2022-07-19 08:03:24,用关注传递温暖，让行动表达关爱！
667794,爱心网友,10.00,2022-07-19 00:13:23,助力公益，让我们从现在开始！
667779,Y***9,1.00,2022-07-18 22:22:46,用关注传递温暖，让行动表达关爱！
667757,I***0,66.00,2022-07-18 20:39:40,跟我一起，为爱添力！
667709,别***啊,1.00,2022-07-18 15:31:21,公益无大小，行动即榜样！
667570,爱心网友,3.00,2022-07-18 08:05:35,跟我一起，为爱添力！
667564,爱心网友,10.00,2022-07-18 08:04:22,一起向善良致敬！
667563,用***6,10.05,2022-07-18 08:04:15,跟我一起，为爱添力！
667559,丨***丨,1.00,2022-07-18 08:03:03,一起向善良致敬！
667557,咻***恼,1.00,2022-07-18 08:03:01,跟我一起，为爱添力！
667556,爱心网友,10.00,2022-07-18 08:02:58,公益无大小，行动即榜样！
667555,十***行,10.00,2022-07-18 08:02:55,公益无大小，行动即榜样！
667554,西***3,1.00,2022-07-18 08:02:53,跟我一起，为爱添力！
667553,爱心网友,10.00,2022-07-18 08:02:50,助力公益，让我们从现在开始！
667552,u***j,10.00,2022-07-18 08:02:47,用关注传递温暖，让行动表达关爱！
667551,黑***_,1.00,2022-07-18 08:02:46,公益无大小，行动即榜样！
