页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数,用户粉丝数
1,4838304040354564,卫平布莱恩特-,2022-11-21 18:03:56,❤️#卡塔尔王子#        分享阿根廷🇦🇷国家队到达卡塔尔时，卡塔尔小王子接机视频给大家，有一说一，小王子真的好可爱嗷！#世界杯#·#宝藏二创榜# 卫平布莱恩特-的微博视频 ,https://m.weibo.cn/detail/4838304040354564,60,59,1680,319万
1,4838358436546569,TheBeckhams,2022-11-21 21:40:06,贝克汉姆现场观战英格兰 VS 伊朗的比赛 这个男人怎么这么帅！！！#卡塔尔世界杯##英格兰vs伊朗# ,https://m.weibo.cn/detail/4838358436546569,279,104,1355,543.9万
1,4838359699030773,英超联赛,2022-11-21 21:45:06,少年自有少年强！本届世界杯第一个进球的英超球员诞生！@阿森纳足球俱乐部 布卡约·萨卡！#萨卡世界杯首球# #近击卡塔尔# ,https://m.weibo.cn/detail/4838359699030773,91,44,453,535.8万
1,4838297417817382,清南师兄,2022-11-21 17:37:38,2022卡塔尔世界杯十大帅哥盘点，不懂球没事，看脸就行 （剪辑：@唯可爱与笨拙）#卡塔尔在当一种很新的东道主# 清南师兄的微博视频 ,https://m.weibo.cn/detail/4838297417817382,435,364,3414,701.7万
1,4838365273261181,傅家小怪兽,2022-11-21 22:07:16,你们的四年变成什么样了呢 #世界杯间隔四年发生的变化  #卡塔尔世界杯 傅家小怪兽的微博视频 ,https://m.weibo.cn/detail/4838365273261181,0,0,0,4.2万
1,4838365269331803,空气_air,2022-11-21 22:07:15,FIFA卡塔尔世界杯揭幕战     丅柱坪苔------网页链接 恋爱多年的人们就这样形同陌路，彼此生活。或许，他们并不是不爱对方了，而是不能给对方各自要的生活。应该相信，他们或许依然爱着对方。 4F ,https://m.weibo.cn/detail/4838365269331803,0,0,0,537
1,4838365260945035,译鸣Babel,2022-11-21 22:07:13,#国际足联禁止佩戴彩虹臂章##世界杯# 同学们可以留意这条新闻中的“have backed down on wearing 'OneLove' armbands at the FIFAWorldCup under pressure from FIFA”，指的就是多国球队队长在国际足联的压力下放弃佩戴支持LGBTQ群体的“彩虹臂章”。其中涉及一个小知识点“back down on sth”，表示“放弃（遭到强烈反对的要求、主张等）”。#自娱笔记# 语料积累。,https://m.weibo.cn/detail/4838365260945035,0,0,0,171.5万
1,4838365260154652,l如果云知道l,2022-11-21 22:07:12,#为阿根廷加油#  @广汽三菱  全新欧蓝德携手阿根廷国家队登场全新欧蓝德为阿根廷加油～诸神的黄昏——梅西世界杯上最后的能量绽放2022年世界杯，梅西的最后一届世界杯。2022年10月，他自己宣布的。今年的梅西已经35岁了，这将是他的第五届世界杯，也是他参加的最后一届世界杯。他为阿根廷国家队，贡献了所有能量，截至2022年10月，164场出赛足球史第三，90个进球足球史第三。1990年后七届世界杯，阿根廷仅有一次世界杯跨过八强，是他2014年带队到决赛; 1993年后阿根廷仅有的一次美洲杯冠军，是去年夏天他带出来的。一起为阿根廷加油，一起为梅西打call～,https://m.weibo.cn/detail/4838365260154652,0,0,0,863
1,4838365255702354,阿柠哎-,2022-11-21 22:07:12,这两天的抖音，除了世界杯还能给我推掉别的不😅 ,https://m.weibo.cn/detail/4838365255702354,0,0,0,1422
1,4838365251508987,一只哈哈鹿SWAG,2022-11-21 22:07:11,鹿晗lh#鹿晗 世界杯解说##卡塔尔世界杯##鹿晗将参与解说2场世界杯比赛# 鹿晗 西装帅哥 ,https://m.weibo.cn/detail/4838365251508987,0,0,0,2325
