页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数,用户粉丝数
1,4801546543432356,中国新闻网,2022-08-12 07:42:47,【#美国承认向乌提供清单外武器#】本周，美国宣布再向乌克兰提供价值10亿美元的军事物资。在五角大楼公布的武器清单中，有与“海马斯”多管火箭炮系统和“地空导弹系统”适配的弹药、7.5万发155毫米口径炮弹等。不过，五角大楼也首次承认，向乌克兰提供了一款并不在清单中的反雷达武器。（央视新闻客户 ...全文,https://m.weibo.cn/detail/4801546543432356,422,2594,21890,7657.6万
1,4801635568323690,央视军事,2022-08-12 13:36:32,【#美首次承认向乌提供清单外武器#】本周，五角大楼宣布#美将再向乌提供10亿美元军援#。五角大楼也首次承认，向乌克兰提供了一款并不在公开的武器清单中的反雷达武器。据悉，这种雷达可从乌战机上发射，能够破坏俄方雷达。有军备控制与裁军专家表示，这是很危险的挑衅行为。#俄乌局势#  ...全文,https://m.weibo.cn/detail/4801635568323690,14,10,60,399.6万
1,4800910998113440,地瓜熊老六,2022-08-10 13:37:21,#丁香医生#乌克兰战争，欧美国家对俄罗斯的疯狂制裁证明：什么东西都是有国界的！同样道理，被美国资本扶植起来的科普公司也是有国界的！只不过，有的表现的明显一些，有的表现的隐蔽一些，大象公会、科学松鼠会、回形针、果壳网等也用他们夹带的私货证明了这一点。 ,https://m.weibo.cn/detail/4800910998113440,268,201,2834,655.5万
1,4801656237067114,新浪军事,2022-08-12 14:58:40,【乌军无人机攻击俄军反无人机系统，后者反应尬了】乌克兰动用无人机攻击俄军新型RLK-MC（ROSC-1）反无人机系统，向该系统的无线电探测模块及反制模块投掷了多枚炸弹，结果俄军反无人机系统毫无动静。。。@河婆Jason007 河婆Jason007的微博视频  #乌扎波罗热核电站再遭炮击# #核电站炸毁的危害有多大# ,https://m.weibo.cn/detail/4801656237067114,2,11,23,3584.8万
1,4801715637588259,绿色拖鞋-,2022-08-12 18:54:42,#哇唧唧哇# #尹浩宇# 关于你是猪的这个想法，是典型的词汇缺乏症的表现。要我教你们吗？ 你是猪，可以延伸为：你是野猪、豪猪、花猪、光猪、蠢猪、笨猪、乌克兰小乳猪、猪八戒。你是圈养杂食的懒惰生物体，你是星光灿烂下，一只绝望而孤独的动物，是永远飞不上蓝天的蠢猪@INTO1-尹浩宇 ,https://m.weibo.cn/detail/4801715637588259,0,0,0,9
1,4801715566546867,直新闻,2022-08-12 18:54:25,#克里米亚军用机场发生爆炸# 【刘和平：克里米亚俄空军基地连环爆炸，乌克兰危机或升级】#直说热评# 据克里米亚政府官员和俄罗斯国防部消息，当地时间8月9日，克里米亚新费多罗夫卡附近的机场航空弹药储存区域发生数起爆炸事件。直新闻特约评论员刘和平认为，丢掉了克里米亚，那就完全无法向国内交待 ...全文,https://m.weibo.cn/detail/4801715566546867,0,0,0,112.4万
2,4801612374344732,缘木球鱼,2022-08-12 12:04:22,战场实拍，俄军攻破乌军阵地，抓获一名顽抗的俘虏。该俘虏被炸伤，俄军士兵质问他：叫你投降，为什么不投降，投降就不会变成这样。随后俄军对受伤的乌军俘虏展开紧急救治。俄军对俘虏真的挺好，文明之师。#俄乌局势##乌克兰局势##关注俄乌局势最新进展# 缘木球鱼的微博视频 ,https://m.weibo.cn/detail/4801612374344732,3,7,23,22.6万
2,4801714202614794,SMGNEWS,2022-08-12 18:49:00,【射程超48公里！美承认向乌提供清单外武器 可瞄准俄军S-400的雷达】本周，美国宣布再向乌克兰提供价值10亿美元的军事物资，在公开的武器清单中，大多是一些美国此前多次提到的武器。然而事实上，美国还在向乌克兰提供清单之外的武器。据另一名五角大楼官员透露，这些导弹为雷神公司生产的AGM-88高速反 ...全文,https://m.weibo.cn/detail/4801714202614794,0,0,0,19.1万
2,4801644871029631,科莫湖的狂奔,2022-08-12 14:13:30,阿尔捷莫夫斯克东郊夜战的后果。 来自乌克兰武装力量的视频。#俄乌局势##关注俄乌局势最新进#科莫湖的狂奔 俄罗斯联邦 科莫湖的狂奔的微博视频 ,https://m.weibo.cn/detail/4801644871029631,0,1,10,20.2万
2,4801624575575235,大鹏守御千户所,2022-08-12 12:52:51,【俄乌战争】《华盛顿邮报》报道，乌克兰60%以上的煤矿、40%以上的金属、20%的天然气矿床集中在俄军占领区，总价值为12.4万亿美元。 ,https://m.weibo.cn/detail/4801624575575235,14,18,77,64万
2,4801674810495329,鹅毛毛丹尼尔,2022-08-12 16:12:28,交付给乌克兰的15门PzH 2000自行火炮中只有5门处于工作状态。北约的枪又贵又脆弱。 ,https://m.weibo.cn/detail/4801674810495329,1,10,72,4.2万
2,4801713460742036,环视频,2022-08-12 18:46:03,#乌国防部警告俄游客今夏别去克里米亚#【隐晦的威胁？乌国防部：俄游客别去克里米亚，除非想过酷热的暑假】据“今日俄罗斯”（RT）、美国福克斯新闻网报道，乌克兰国防部当地时间周四（11日）在社交媒体对俄罗斯人发出“隐晦的威胁”，警告他们不要在今年夏天前往克里米亚，否则可能将面临一个“酷热的 ...全文,https://m.weibo.cn/detail/4801713460742036,0,0,1,427.2万
