页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数,用户粉丝数
1,4801205932918997,中国日报,2022-08-11 09:09:19,【 #台农怒斥佩洛西把台湾搞得鸡飞狗跳#：我们损失谁赔偿？】美众议院议长南希·佩洛西不顾中方强烈反对，执意窜访台湾地区，造成台海局势升温。#台媒称佩洛西窜台留下一地鸡毛#，不少台农台商渔民直言“损失惨重”。有橘农怒斥民进党当局：佩洛西来了，搞得鸡飞狗跳！还有前立法委员直言：要是没有新的 ...全文,https://m.weibo.cn/detail/4801205932918997,81,341,3386,6495.5万
1,4800991008392125,央视新闻,2022-08-10 18:55:17,【#王毅提出台海局势要警惕三个动向#】近日，国务委员兼外长王毅在与蒙古国、韩国、尼泊尔外长接触中，针对台海局势新动向，阐明了中方的立场，指出佩洛西窜访中国台湾地区，已被证实是一场彻头彻尾的政治挑衅，也是一场彻头彻尾的政治闹剧。王毅说，台海形势目前还在发展，尤其要警惕三个危险动向： ...全文,https://m.weibo.cn/detail/4800991008392125,2033,1316,35515,1.3亿
1,4801673455733753,包容万物恒河水,2022-08-12 16:07:05,🔺北方舰队鸭嘴兽的飞行。🔺与我们石榴飞行在台海之上比，又是另外一种感觉。#关注俄乌局势最新进展# #致这个动荡的世界#  包容万物恒河水的微博视频 ,https://m.weibo.cn/detail/4801673455733753,4,5,80,65.4万
1,4801655902311183,镇长小可爱,2022-08-12 14:57:20,好多人问我台海局势，看热搜就知道了！最紧张的时期早已经过去，热搜热度天天在下降！基本震慑完毕，预计很快航班就会放开了！ ,https://m.weibo.cn/detail/4801655902311183,1,3,112,1.5万
1,4801691360432104,亟兮般若,2022-08-12 17:18:14,台海局势没你想的那么简单，若动台湾，美国保还是不保？若保，正面刚上了，俄罗斯会去收北方四岛，曹县趁机借口收韩国，印度也会偷袭一下边境，关岛都会成为战场，日韩美军基地也会被炮火覆盖，乱成一锅粥的亚太谁也不想看到。#台海局势# 但我依然希望收复台湾，尽快。 ,https://m.weibo.cn/detail/4801691360432104,8,31,134,166.6万
1,4801705532985242,小永远爱吃小龙虾,2022-08-12 18:14:33,台海局势紧张成这样了，我哪有心思关心谁跟谁是不是同吃一块蛋糕🍰，多少有点大病。 ,https://m.weibo.cn/detail/4801705532985242,0,0,0,298
1,4801539497264750,半斤仈两,2022-08-12 07:14:47,#台海问题# 台湾政客黎建南：台湾已经千疮百孔，迟早会#统一# 大陆官方宣布#统一后台湾财政尽可用于改善民生#台海局势 西安·西安电视台 半斤仈两的微博视频 ,https://m.weibo.cn/detail/4801539497264750,4,13,83,38
1,4801703490095451,谜之免女郎X,2022-08-12 18:06:25,#佩洛西窜台偷偷带儿子# 图三和图五想把我笑死然后继承我的游戏账号？#台海局势#,https://m.weibo.cn/detail/4801703490095451,0,0,1,10.5万
1,4801692119860034,寧晓言,2022-08-12 17:21:15,#台海局势##v评智库# 法国军方人物放狂言，声称：团结作战即能战胜中国。毫无疑问，西方无耻政客的名单又增加了一个名额！8月11日，根据法国媒体RFI报道，法国海军参谋长范迪亚上将7月底在法国国会国防委员会上提出警告，此人声称，中国海军扩张是二战后首见。范迪亚表示，对抗中国海军，若我们一起作 ...全文,https://m.weibo.cn/detail/4801692119860034,20,37,59,145.7万
1,4801701918018886,断剑天涯,2022-08-12 18:00:11,中国外长称美国可能利用台湾周边局势动荡升级危机北京（人造卫星）- 中国外交部长王毅周五表示，中国保持警惕，因为美国可能会利用台湾周围的不稳定局势进一步升级危机。“台海局势仍然紧张，我们将保持警惕，因为美国可能会利用这种情况计划增加军事存在并试图升级危机”。 ,https://m.weibo.cn/detail/4801701918018886,0,0,0,16.8万
