用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4801206263742603,崩坏重构,2022-08-11 09:09:19,北京,最后还不是票投民进党[单身青蛙][单身青蛙],127,472
4801207111254974,月光草原时代,2022-08-11 09:09:19,辽宁,那就用你们的选票说理去,3590,375
4801206549480024,一博战战说明年就结婚,2022-08-11 09:09:19,广东,只有刀割到自己身上了才知道痛,18,310
4801209490213379,去吧皮卡丘200104,2022-08-11 09:09:19,广东,受着吧。自己选的。没有人无辜,71,275
4801208910877463,只有点点,2022-08-11 09:09:19,浙江,可是是你们投她的哎,127,203
4801208038722176,迪哥不是哥,2022-08-11 09:09:19,四川,切！你们的损失选票赔呀…高票当选的嘛！哈哈哈哈哈,12,120
4801209297277574,啊喵很随意,2022-08-11 09:09:19,广东,就这？这么快不行啦！不是说中秋我们会后悔吃不到凤梨酥吗,51,88
4801211596014865,小白-yayawu,2022-08-11 09:09:19,广东,我认为惠台必须取消，不论哪个政党上台，想要惠台，谈判统一,229,97
4801207271689468,伸张正义的白熊,2022-08-11 09:09:19,上海,那是谁邀请佩洛西去台湾的呢？是谁热情的接见她的呢？蔡有没有考虑过这件事的后果，她有没有在乎会对台湾人民带来的损失，没有。,18,71
4801208621208971,_时光不负我,2022-08-11 09:09:19,福建,来的当天不是挺高兴的吗？继续高兴呀！,118,50
4801207514958480,深海中的群子,2022-08-11 09:09:19,广东,自作自受，慢慢享受,749,29
4801206210006847,HIA-Z,2022-08-11 09:09:19,河南,你选的嘛偶像,63,33
4801206683437523,找呀找到你啦,2022-08-11 09:09:19,上海,身无分文选英文,82,20
4801210463554897,简而言之我就这样,2022-08-11 09:09:19,安徽,自己利益受损了而已,183,22
4801231472558863,秋夕3,2022-08-11 09:09:19,广西,活该啊，这是你们自己选的政府啊，此时此刻，我只有感觉到真棒👏🏻👏🏻👏🏻,25,20
4801210517553934,一碗小面加点糖,2022-08-11 09:09:19,重庆,回头还不是支持菜老妖，所以装啥呢？,87,18
4801206825781480,一个找不到昵称的账户,2022-08-11 09:09:19,广东,骂归骂，骂完继续投票给他们,234,13
4801231283028289,魏不言,2022-08-11 09:09:19,四川,那不是你们自己投票选出来的吗,35,9
4801209787224727,亚希马sil,2022-08-11 09:09:19,北京,来之前怎么不骂啊,153,10
4801285490220201,甘枸杞的前世今生,2022-08-11 09:09:19,北京,痛了才知道谁是父母，自己选的祖宗自己受着,3586,3
4800991579346871,黑色的红龙,2022-08-10 18:55:17,广东,防外鬼、内鬼、墙头草[机智],1,10259
4801000974319986,killua320,2022-08-10 18:55:17,北京,老政治家看的是真准呐……感觉这三条一条都跑不了，三个动向都会出现……,117,2671
4800991470290643,会玩滑板的煎蛋,2022-08-10 18:55:17,北京,中国必须统一也必将统一,825,1900
4800991997726414,龏奭嚻艸,2022-08-10 18:55:17,河北,时刻保持警惕！随时准备战斗,1567,687
4800992283984021,月半希瑟·,2022-08-10 18:55:17,河南,世界上只有一个中国🇨🇳,3461,400
4800994318486700,兔的鲸鱼,2022-08-10 18:55:17,新加坡,中国一点都不能少！台湾是中国领土不可分割的一部分！,1万,328
4801014845153692,白玫瑰kebao,2022-08-10 18:55:17,湖北,还有还有，国宝别被人偷梁换柱了！那可是我们中国的！！,66,282
4800992611402597,栗香派派,2022-08-10 18:55:17,广东,台海局势三个警惕,13.6万,153
4800994296204113,校门口烧烤,2022-08-10 18:55:17,江西,上天欲其灭亡，必先令其疯狂。弯弯可劲的作，好日子没几天了。,58,123
