页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数,用户粉丝数
1,4802363469077418,人民日报,2022-08-14 13:48:57,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,366,1230,24136,1.5亿
1,4802279150194735,林哥观察,2022-08-14 08:13:54,#彭州山洪#来袭时，男子抱住孩子以脊背阻挡洪水，最终仍被大水冲走 。孩子的尸体在下游找到，眼睛因为冲击撞没了，再看着这个视频当时的无助感…真的很难过、痛心#彭州山洪已致7人死亡##彭州突发山洪造成7死8伤##彭州山洪3名重伤人员抢救无效死亡#林哥观察的微博视频 ,https://m.weibo.cn/detail/4802279150194735,672,2066,32945,376.4万
1,4802360931518593,无为李爷,2022-08-14 13:38:52,【#彭州龙漕沟系小红书网红打卡地##平台推荐未开发景点该担责吗#？#彭州山洪3名重伤人员抢救无效死亡##彭州山洪已致7人死亡# ？？？当地政府的确有责任，不应该只安置警示标语，不应该只加装铁丝网，不应该拿着大喇叭苦口婆心的劝说赶紧上来，而是应该把他们都锁家里，或者聘请这几位博主去沿河巡视。 ,https://m.weibo.cn/detail/4802360931518593,209,185,3095,88.2万
1,4802099038389977,头条新闻,2022-08-13 20:18:12,【#彭州山洪亲历者发声#】#彭州山洪# 据@彭州应急 通报：今天下午，彭州市龙门山镇龙漕沟突发山洪，#彭州未撤离游客被卷入山洪#。截至19时30分，#四川彭州突发山洪致4死9伤#，伤员均已送往医院救治，省、市应急救援力量均已赶到现场参与救援。#亲历者讲述彭州山洪现场#↓↓@WUuuYOoo· @煮一锅沥青 @浅淡的如果 @JeneyPeng @元元妈妈_小花 @Felix_tc @_不卑不亢的普哥,https://m.weibo.cn/detail/4802099038389977,630,1157,27658,1.03亿
1,4802372234907942,风闻社区,2022-08-14 14:23:47,【四川紧急通知：峡谷等野外风景区域落实专人盯守】8月13日，四川彭州市龙门山镇龙漕沟突发山洪，目前遇难者已上升至7人。#彭州山洪已致7人死亡#13日晚间，四川省防汛抗旱指挥部办公室印发紧急通知，要求各地紧急排查辖区内易发多发险情的涉水景区以及滩涂、峡谷等野外风景区域，组织多部门联合开展动态巡护，落实专人在重要点位盯守巡查，做好警示提示，极端天气情况下严禁任何户外探险、涉水活动，及时劝阻山间溪谷、浅滩水域内野游、露营等行为，坚决确保人员安全。据四川省应急管理厅微信公号8月14日公开的信息，上述四川省防办《关于深刻汲取教训扎实做好局地短时强降雨防范应对工作的紧急通知》指出，各地要深刻认识当前正处防汛关键期，旱涝并存、旱涝急转，在防范高温干旱的同时，必须高度警惕局地短时强降雨可能造成的灾害风险，进一步强化底线思维和极限思维，科学精准做好防范应对各项工作。要认真落实防汛减灾专项整治工作要求，对隐患排查、避险转移、应急救援等关键环节和重点工作要及时整改到位。“各地要加强部门协调配合，健全信息通报和沟通机制，及时共享雨情、水情和洪水调度等信息，上游地区要主动通报下游地区来水情况，及时提醒防灾避险。“通知要求，针对当前极端天气突发、短时、局地等特点，要建立点对点通报机制，减少中间环节，高效传递信息，有效组织避险减灾。要进一步强化预警响应联动，根据雨情汛情监测预报，把预警和转移群众各项措施落实到基层一线，做到及时叫应、及时处置、及时转移。通知还强调，要加强重点地区灾害风险提醒提示，加大防汛避险知识宣传力度，引导消夏避暑游客和户外探险者理性出游，遇到险情保持冷静，正确避险和撤离。据彭州市应急管理局通报，8月13日下午14时37分，彭州市龙门山镇接到气象预报，辖区有对流云团生成，将伴有短时强降雨。接报后，龙门山镇政府立即组织镇村（社区）干部、巡逻队员及志愿者等力量对辖区内河道沿线戏水游客进行劝离。15时30分，小鱼洞社区龙漕沟突发山洪，河道未撤离游客被卷入山洪。四川省应急管理厅微信公号8月13日晚间发布的消息介绍，13日15时30分许，彭州市龙门山镇后山下雨，引起龙漕沟区域突发山洪导致群众被困。8月14日凌晨，彭州市融媒体中心消息称，截至8月13日24时，经省、市专家组全力救治，“8·13”突发山洪灾害3名重伤人员抢救无效死亡。目前，灾害已造成7人死亡，尚有3名轻伤者住院观察，生命体征平稳。记者从搜救现场了解到，搜救工作仍在进行中。#彭州山洪3名重伤人员抢救无效死亡#（澎湃新闻）,https://m.weibo.cn/detail/4802372234907942,47,45,1315,229万
1,4802400604391230,八街南渡江南溪南下,2022-08-14 16:16:31,#彭州突发山洪造成7死8伤#我看了都无语，人家说山洪来了，喊快点跑，还在那里磨磨唧唧的收东西。明明能够活下来，要站在水中间，当水越来越大的时候，才反应过来 ,https://m.weibo.cn/detail/4802400604391230,0,0,0,73
1,4802400462046366,吉林台郝峰,2022-08-14 16:15:56,山西中阳发生山洪导致5人失联 水退后街道留下厚厚淤泥山西中阳发生山洪导致5人失联 水退后街道留下厚厚淤泥#山西中阳山洪致5人失联##山西中阳暴雨引发山洪5人失联##山西中阳暴雨已致5人失联# ,https://m.weibo.cn/detail/4802400462046366,0,0,0,72.4万
1,4802400357978340,贵阳消防,2022-08-14 16:15:32,#彭州突发山洪造成7死8伤#【遇到山洪地质灾害如何逃生？】山洪是指由于暴雨、冰雪融化等原因，在山区沿河流、溪沟形成的暴涨暴落的洪水及伴随发生的滑坡、崩塌、泥石流的总称。山洪灾害可能造成河流改道、公路中断、耕地冲淹等。遇到山洪地质灾害如何逃生？戳视频了解↓ 江苏消防的微博视频 ,https://m.weibo.cn/detail/4802400357978340,0,0,0,15万
2,4802400106054752,MS童GG,2022-08-14 16:14:31,#彭州突发山洪造成7死8伤#又是网红打卡地… ,https://m.weibo.cn/detail/4802400106054752,0,0,1,188
2,4802400098191455,发现美丽成都,2022-08-14 16:14:30,#夏日视界# 山区一条小河沟，山洪来时竟如此恐怖！成都彭州市龙门山镇龙槽沟突发山洪灾害致使7人死亡的消息，让很多人倍感惋惜！为什么小河沟造成大伤亡？为此小编普及一下相关情况：1.平时看起来人畜无害的龙槽沟，积水面积很大，因此沟里觉得没下雨却有洪水，可谓：山间一阵雨，河里百丈洪！2.龙槽沟不是景区，当地政府在河边设置了警示牌，安装了铁丝网，并且有人在河边劝阻下河玩水的人。3.当日上游山洪爆发后，有人用喇叭呼喊预警，但有的游人没当回事，未及时从河沟里撤离，最终酿成悲剧。酷暑时节，踩水寻凉一定要牢记：河水虽清凉，生命更宝贵！,https://m.weibo.cn/detail/4802400098191455,0,0,0,1.5万
