微博id(评论来自于这),微博标题,正文url,评论人id,评论人昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4802363469077418,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,4802365763618882,风伤依旧312,2022-08-14 13:48:57,辽宁,基层工作人员已经尽力了，铁丝网，警示牌，大声劝阻，能做的工作已经做了，希望相关部门不要因为人员重大伤亡为原由，从而让基层工作人员背锅。这件事纯属部分游客咎由自取，绝对不能让谁闹谁有理的事情发生，相关部门更不能和稀泥。,520,4934
4802363469077418,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,4802363737772446,高級怨婦,2022-08-14 13:48:57,广东,节哀顺变，希望以后能听当地人劝告，不要装听不见了,6.4万,1801
4802363469077418,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,4802364919516355,舞青双,2022-08-14 13:48:57,山东,这七百多人，带着设备大热天搜了三十多里，这可不是平路，是高低不平的河床！谁能体谅一下他们的辛苦。,32,1626
4802363469077418,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,4802364021934179,日本国父,2022-08-14 13:48:57,重庆,据说山洪发生前有工作人员喊他们赶快疏离了，但是他们不听，不知道是不是真的。。。,4200,1271
4802363469077418,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,4802364672840133,旋怀,2022-08-14 13:48:57,北京,唉，是泄洪渠不是景区，告示牌围栏都设置了，上游突发暴雨，官方发警告了，工作人员也提前去劝离了。。敬畏自然，珍视生命。,301,911
4802363469077418,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,4802363996768581,大阿呆Z6,2022-08-14 13:48:57,上海,拦也拦了，劝也劝了，还不听,601,709
4802363469077418,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,4802364601797133,Aang陈天铨,2022-08-14 13:48:57,福建,破坏隔离网，不看警示牌，喊话了还磨磨唧唧,2163,604
4802363469077418,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,4802365649589584,·北岛荒凉·,2022-08-14 13:48:57,广东,通过这次事件应该举一反三，已经设置围栏，设置警示标语严禁下水，谁把围栏开的口子，应该追究其刑事责任，这些人安全意识淡泊，私自下水，造成安全事故，对于这些人违反规定的行为应该进行罚款，并且收取救援费用，浪费大量人力，物力，占用公共资源，人要为自己的行为买单。,758,500
4802363469077418,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,4802366223680933,深空星海如初,2022-08-14 13:48:57,四川,那个地方本来就有很大警示牌，横幅，而且还有围栏警示，当地政府也派人劝阻，不晓得那些人为何还要下去。希望这次事件上级政府不要怪罪当地政府，应该让这些人自己负责，这样才能让所有人知道不敬畏自然，不看警示牌，会有多严重。,136,376
4802363469077418,【#彭州突发山洪造成7死8伤#】记者从四川省彭州市应急局获悉，自8月14日零时起，龙门山镇共出动260余人对事发地周边农家乐、住户进行人员排查。8月14日早上6时起，彭州市再次集结15支救援队伍308人，以及民兵80人、特警50人，携带无人救生艇、潜水装置、生命探测仪、卫星定位系统等专业救援设备，对龙槽沟至湔江河道丹景山河段开展三轮拉网式搜索，将搜救范围扩大至事发地点沿河下游约30公里。截至目前，此次突发山洪灾害共造成7人死亡、8人轻伤。现场搜救排查工作已接近尾声。已展开遇难者家属善后工作。天目新闻的微博视频,https://m.weibo.cn/detail/4802363469077418,4802372293362104,明天开始要早睡早起,2022-08-14 13:48:57,湖南,自然选择  自然淘汰,0,368
