页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数,用户粉丝数
1,4801217786807065,新华网,2022-08-11 09:56:25,#三亚首个气膜方舱实验室投入使用#【记者#探访三亚首个气膜方舱实验室#】海南三亚首个气膜方舱实验室24小时建成并投入使用。10日，记者来到三亚市技师学院室内体育馆，实地探访该实验室的设计布局和检验流程，现场感受抗疫背后的科技力量。据介绍，气膜方舱实验室具有快速拆装、机动灵活、反应迅速、可移动等优势。该实验室全面投入使用后，核酸日检测量可达到10万管以上，可实现每日100万人以上新冠病毒核酸快速筛查，将为三亚市核酸检测工作提供有力支撑。  新华网的微博视频,https://m.weibo.cn/detail/4801217786807065,36,27,211,9567.3万
1,4808910089225515,花送我吧,2022-09-01 15:22:53,#江西鹰潭方舱隔离条件堪忧#乡下人的命就不是命吗？清零就是把感染的拉走然后丢在一堆吗？ ,https://m.weibo.cn/detail/4808910089225515,0,0,1,39
1,4808909712002356,也爱吃荔枝,2022-09-01 15:21:23,其实新冠疫情真的可以不叫疫情了，你见过哪次疫情里大部分得了病的人被打进方舱之后待个一周就又活蹦乱跳的？像黑死病，西班牙流感，霍乱这样的才是疫情，新冠顶多可以称之为传染病。 ,https://m.weibo.cn/detail/4808909712002356,0,0,0,45
1,4808908247406678,捕捉一只小胖墩,2022-09-01 15:15:34,拉萨这疫情啥时候是个头。锤子的…..都封了快一个月了，每天还是稳定增长200多、200多。难道这边政府能力是纸糊的嘛小🐑人拉不走，任其自由发展信息搞错，阴性拉走，在方舱感染成🐑，酒店隔离。哦，第七天转阴了，你得隔离时间到了，快走，管你是不是真的好了，小伙伴快回家感染其他人，都搞成🐑，争取（阴性）清零真的好搞笑……以前对这边有多向往，现在就对这边有多厌恶。再也不想来这边了……,https://m.weibo.cn/detail/4808908247406678,0,6,1,36
1,4808907496623837,别再熬夜啦xy,2022-09-01 15:12:35,六点起床收拾行李八点半在国旗广场集合等了两个多小时车十点多上车了十一点到方舱门口进不去 车上没水没饭热得要命 问为啥不让进说医护人员下班了 什么班下午3点上 这个班也让我去@章丘赭山方舱医院 @济南疫情 ,https://m.weibo.cn/detail/4808907496623837,0,0,1,8
1,4808907178116748,墨痕酒二号,2022-09-01 15:11:19,#酒的猫# 在历经了半个小时舌战群儒之后我终于侥幸从方舱医院逃脱，拥抱了俺的猫猫 ,https://m.weibo.cn/detail/4808907178116748,0,0,0,22
2,4808903709429400,用户7786821155,2022-09-01 14:57:32,疫情山东协和学院太厉害了，学生到了方舱跟前进不去，工作人员还没有上班，从11点多到现在还没吃上饭，喝上水，疫情防控做的好啊，真的牛批 济南·山东协和学院 ,https://m.weibo.cn/detail/4808903709429400,0,2,0,1
2,4808903218957091,污味雅女,2022-09-01 14:55:35,@人民日报 @央视新闻 多关注下江西疫情吧，这方舱环境真的太差了#贵溪疫情#,https://m.weibo.cn/detail/4808903218957091,0,0,4,45
2,4808520007160717,Yimi昕辰,2022-08-31 13:32:50,继续12345投诉上海市教委，不知道是哪位领导想的好点子。开学每日核酸，折腾老师折腾学生折腾家长，请问市教委领导：我们是送孩子是去学校还是去方舱？学校是高风险地区吗？上海幼儿园开学前需要准备：健康码、核酸码、行程码、离线码，同住人信息上报各种承诺书。小朋友戴个“工牌”把离线码打印好装里面，每日对幼儿园小朋友捅喉咙，对黏膜是否有伤害？我每次做完核酸喉咙都难受。去医院，乘公共交通工具，大人上班都是72小时核酸，为什么学生是每日核酸？离谱的要求投诉到底！,https://m.weibo.cn/detail/4808520007160717,9,23,53,1899
2,4808901625644992,-iiiiirregular,2022-09-01 14:49:15,我的学校看起来全员方舱了 柜子发霉床单上全是灰 厕所水管是断的 喷头烂得跟呼吸机一样 而我在家 逃过一劫 ,https://m.weibo.cn/detail/4808901625644992,0,0,0,9
2,4808900442067267,Drrncc_沢Jin阿biu,2022-09-01 14:44:33,午睡又做了惊险梦。住在像方舱一样密集的楼盘里，大病初愈的奶奶瘫坐在一个角落，妈妈撅着屁股在浴室忙活，问她在干嘛，她说你闻，有股腥臭味，我发现是水龙头口子上的味道，想打开水龙头冲一下，水出得很少像被什么堵住一样，慢慢流出姨妈一样的东西，夹着大块的子宫内膜，越来越多开始喷涌。我说 跑吧！去卧室拿了一瓶水一把剪刀，回来时发现地面也在涌血，既然上下都有，怎么跑，这时候我还困得睁不开眼，先清醒才行，把头使劲砸在墙上，狂叫醒醒啊要死人了，才真的醒了，半天才反应过来是梦。还困，继续睡了。,https://m.weibo.cn/detail/4808900442067267,0,0,0,371
2,4808900383870747,用户7786719958,2022-09-01 14:44:19,各位尊敬的领导们，您们好，我是乌鲁木齐经开区海鸿国际的一个商户，现我区已视为低风险小区，我是隔离方舱的供应商，货也出不了，货要到了，卸不了货可能要化，，现在人也出不去，哎，我什么时候可以出去啊？ 乌鲁木齐·时代橙堡 ,https://m.weibo.cn/detail/4808900383870747,0,0,0,1
2,4808899154151635,陆甜甜甜筒,2022-09-01 14:39:26,为在方舱医院的你祈祷 希望你在一线平平安安治病救人的同时做好防护疫情结束医院见🙏🙏 ,https://m.weibo.cn/detail/4808899154151635,0,0,0,69
2,4808200753516665,不会种玫瑰,2022-08-30 16:24:14,我是来自江西鹰潭贵溪小县城的一名高中生，因为感染而被接到这里的方舱医院。但事实上这算不上医院，它没有药品没有物资 。其实鹰潭真的需要政府部门真正关注，现在每天晚上拉起码三车人走，一车坐至少八个，在这个有限公司改造的方舱医院，患者没有地方洗澡，每个患者相隔30cm最多，一排二十二个人， 一层起码有150个人。没有物资，没有药，很多人发烧，就只能躺着睡觉，有人咳嗽咳的心脏痛，也还是睡。这不是隔离 这是集中患者！不管死活！垃圾桶堆满饭菜溢出来，并且鹰潭还瞒报，实际已经最少五百多人感染，而且绝对不止！但是以上热搜他就压下去，什么都不行，公关行。我们鹰潭发出去的微博，不知道为什么只会让江西人看到。我不知道怎么办了 看到麻烦回复一下我不想等死，因为他们把阳性病例放一起想让他们自愈没有药，如果抵抗力好自愈了，还是会感染吧。每个人的病床靠这么近，条件不止是堪忧，是恶劣啊！我从二十七号的晚上九点多到这里，本来只是咳嗽的我，开始咳黄痰，头晕，大概是混合感染，本身我抵抗力就不太好，周围的人都咳嗽的很厉害，今天又拉肚子，好多人都拉肚子了，可能是饭菜，因为也没别的吃了，这里都是抢水喝。可以帮助一下我转发点赞提升热度吗,https://m.weibo.cn/detail/4808200753516665,508,265,1416,142
2,4808896989888922,安安静静的话唠选手,2022-09-01 14:30:49,好啊！那你第一个没收入第一个拉去方舱隔离好不好呀！,https://m.weibo.cn/detail/4808896989888922,0,0,1,28
3,4808896780698311,哈尔滨指南,2022-09-01 14:30:00,【#哈尔滨疫情防控# 哈尔滨方舱医院拟进行三期建设，总面积2万平方米】近日，哈尔滨市方舱医院三期项目已由相关部门批准建设，招标人为哈尔滨市道外区卫生健康局，项目已具备招标条件，现对该项目的全过程工程咨询进行公开招标。依据招标文件，哈尔滨市方舱医院三期项目建设地点位于道外区团结东西13路、防护绿地、相邻地块围合区域的医疗用地内。建设总用地面积19592平方米，总建筑面积2万平方米。 #哈尔滨疫情# 哈尔滨 （via 哈尔滨日报）,https://m.weibo.cn/detail/4808896780698311,0,0,5,95.7万
3,4808448716051848,重生孙蓓蓓,2022-08-31 08:49:33,石家庄学院#石家庄学院随意将学生公寓当隔离点未通知学生#        石家庄一个省会没有方舱医院没有隔离点，随意占用宿舍还不告诉学生，几次了？每次开学的东西都要重新买，挺大个高校要不要脸啊，怎么不安排你家去？像土匪一样乱扔东西，还装死是吧，怎么好意思收住宿费的？良心让狗吃了是吧,https://m.weibo.cn/detail/4808448716051848,1,24,169,36
