页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数,用户粉丝数
1,4801695982818086,中国新闻网,2022-08-12 17:36:36,【美官员称暂停中美禁毒合作“不可接受” 中方：#破坏禁毒合作责任完全在美方#】中国外交部发言人汪文斌8月12日主持例行记者会。有记者提问：近日，美国白宫国家禁毒政策办公室主任古普塔就中方针对佩洛西窜台反制措施发表推特，称吸毒过量造成美每年10万人失去生命，中方暂停中美禁毒合作是“不可接 ...全文,https://m.weibo.cn/detail/4801695982818086,34,83,683,7657.6万
1,4801620808565099,金灿荣教授,2022-08-12 12:37:52,韩国在这一次佩洛西窜访台湾上总体反应还可以，我们对韩方的反应也不错，所以这一次两国外长在青岛会谈就是一件顺理成章的事。韩国这次能做出这样的反应我觉得也很正常，它的国家命运某种程度上取决于如何处理好与美国和中国之间的关系。#v光深评# ,https://m.weibo.cn/detail/4801620808565099,87,151,1135,254.6万
1,4801712504701934,VanTalk,2022-08-12 18:42:15,中字头股票，全部要从美国撤回了，这事不小。 ,https://m.weibo.cn/detail/4801712504701934,0,0,0,12.3万
1,4801712470887225,耐性与敏感,2022-08-12 18:42:06,几轮经济危机美国怎么霍霍全世界的，这次我要看他怎么死！,https://m.weibo.cn/detail/4801712470887225,0,0,0,135
1,4801706905567324,魏天谌Tianchen,2022-08-12 18:19:59,#中石油中石化将从纽交所退市# 跟阿里、百度这些直接去美股市场上市的企业不同，中石油中石化只是在美股市场发行了ADR（美国存托凭证），这几家公司的ADR只占一小部分，国企和政府还是绝对大股东。所以，这部分ADR退市对企业和对市场都不会有太大影响。美方看起来并不打算在审计底稿方面松手，中方 ...全文,https://m.weibo.cn/detail/4801706905567324,7,11,18,20万
1,4801695845188614,毛毛猫儿,2022-08-12 17:36:03,#美官员称暂停中美禁毒合作不可接受#1、这种药可害人可救人2、我们国家有原材料，原材料可以出口3、以前我国收到美国私人或企业向我国采购原材料的，我们都会通知美国让他们自己查一下他们国家的这些人买去干嘛，属于禁毒合作4、现在，我们不合作了，美国任何人都可以来找我们买原材料，我们不再通 ...全文,https://m.weibo.cn/detail/4801695845188614,3,9,95,1117
1,4801712450438041,YvieFung,2022-08-12 18:42:02,#美官员称暂停中美禁毒合作不可接受#我希望美国越来越好 ,https://m.weibo.cn/detail/4801712450438041,0,0,0,1
2,4801710042382600,神嘛事儿,2022-08-12 18:32:27,rmb对美元很快会进入自由浮动，做外贸的要尽快转型，这些大型央企是稳定汇率的压舱石，压舱石撤走，没人再会帮美国压汇率了 ,https://m.weibo.cn/detail/4801710042382600,19,29,129,103.6万
2,4801712357644543,港股通AiH,2022-08-12 18:41:40,美國通脹真的觸頂了嗎？別高興的太早了[話筒]#通脹 # ,https://m.weibo.cn/detail/4801712357644543,0,0,0,187.1万
2,4801712333000146,鳄鱼十三,2022-08-12 18:41:34,从美国退市! 走了刚刚，中石油、中石化、中国人寿、中国铝业、上海石油化工等多家央企宣布：从美国退市。不敢解读，你自己想象! 美股中石油，那么多年也没怎么涨。A股散户金句： 问君为何很忧愁，恰似满仓中石油”#中石油中石化将从纽交所退市# ,https://m.weibo.cn/detail/4801712333000146,0,0,1,84.5万
2,4801710822787450,胜利主义章北海,2022-08-12 18:35:34,好多企业都要从美国退市了 ,https://m.weibo.cn/detail/4801710822787450,14,16,134,274.3万
2,4801712302328751,城市信报,2022-08-12 18:41:27,【面临数万起致癌诉讼！#强生全球停售含滑石粉的婴儿爽身粉#】据路透社报道，强生公司周四表示，将于2023年在全球范围内停止销售含滑石粉的婴儿爽身粉。2020年，强生宣布将在美国和加拿大停止销售滑石粉婴儿爽身粉。强生面临约3.8万起来自消费者及其幸存者的诉讼，声称其滑石粉产品因被已知的致 ...全文,https://m.weibo.cn/detail/4801712302328751,0,0,0,38.7万
2,4801709480085842,闸北锂业三厂一车间保安队长,2022-08-12 18:30:14,目前有两种解释，第一种，脱钩加速，第二种，美国监管从严，央企不方便披露，所以退市。对于第二种解释，其实不只是央企，所有大型互联网企业面临和央企一样的问题。当一个平台拥有一亿以上用户的时候，他自然而然就牵涉很多国家机密。那么你说，是不是一样得退。 ,https://m.weibo.cn/detail/4801709480085842,9,14,57,57.9万
2,4801694997684956,鸡腮耳,2022-08-12 17:32:41,#佩洛西窜台偷偷带儿子#作为土生土长的台湾人，真的有话想说： 看到这条热搜真的很兴奋，因为在台湾有多少台独真的数不清了，甚至不敢在同学面前提台湾是中国的，因为有可能会因此被排挤，所以真的很想祖国快点统一，不然我心里的中国魂不知和谁诉说，周围人也不认同，真的好难过。 还有对于美国 ...全文,https://m.weibo.cn/detail/4801694997684956,0,9,75,1592
2,4801706557441119,星话大白,2022-08-12 18:18:36,#中石油中石化将从纽交所退市# 看样子，双方围绕着“审计底稿”的沟通，可能是没有太好的结果。在今年二季度，是一直有各路传闻，我们和美国开始围绕着“审计底稿”进行一些接触、沟通。一度有传闻，双方围绕着“审计底稿”出现一些积极迹象。不过，最近一个月，美国又开始拿着“审计底稿”来做文章 ...全文,https://m.weibo.cn/detail/4801706557441119,8,3,35,42.7万
2,4801695982818086,中国新闻网,2022-08-12 17:36:36,【美官员称暂停中美禁毒合作“不可接受” 中方：#破坏禁毒合作责任完全在美方#】中国外交部发言人汪文斌8月12日主持例行记者会。有记者提问：近日，美国白宫国家禁毒政策办公室主任古普塔就中方针对佩洛西窜台反制措施发表推特，称吸毒过量造成美每年10万人失去生命，中方暂停中美禁毒合作是“不可接 ...全文,https://m.weibo.cn/detail/4801695982818086,34,83,683,7657.6万
2,4801712248587223,约瑟夫的灭火员,2022-08-12 18:41:13,根据媒体报道，美国与台岛正式签署总价值约二十五亿新台币的爱国者三型防空导弹系统合约，试图增强台岛的防空能力！对此我想说，美国通过此次台海危机又大赚了一笔军火费用，而台岛却不会因为买来所谓的爱国者防空导弹系统而带来真正的安全！因为对于我军的东风系列导弹和第五代隐形战斗机来说，任 ...全文,https://m.weibo.cn/detail/4801712248587223,0,0,0,505.5万
3,4801712189343116,DoNews,2022-08-12 18:41:00,【#人体冷冻是科幻还是骗局#】#第一批冷冻人现在怎么样了# 抗凝、灌注、降温，将患者身体的温度迅速降到零下近200℃，最后储存在装满液氮的特制容器中......人体冷冻并非近几年兴起的新鲜事，1967年，美国心理学家詹姆斯·贝德福德博士成为世界上第一例接受人体冷冻手术的人。如果说人体冷冻技术属于 ...全文,https://m.weibo.cn/detail/4801712189343116,0,0,0,52.8万
3,4801712185674946,风澈__,2022-08-12 18:40:59,【中国石油等多家央企拟从美国纽交所退市】今日，中国石油、中国石化、中国人寿、中国铝业、上海石油化工股份等多家公司相继发布公告称，拟将美国存托中石油等多家公司拟将美国存托股份从纽交所退市 (来自@东方财富网) ,https://m.weibo.cn/detail/4801712185674946,0,0,0,343
3,4801704715359628,萌音新视界,2022-08-12 18:11:18,你们见过美国政客这么不要脸的没？天天对国际上发言是一套，要军事介入啊，要支持台湾啊，然后我们一问，又矢口否认，说没变化。消停不了一天，又开始对外说，要军售啊，要窜访啊，然后我们一问，又矢口否认。这样来个几次，换谁也不会相信美国人说什么了，我想就因为这个，军事上才彻底断线的。美国 ...全文,https://m.weibo.cn/detail/4801704715359628,4,7,27,3.9万
3,4801710977979168,盖世英雄玉娇龙,2022-08-12 18:36:11,当年台湾渔船被索马里海盗劫持，是大陆军舰去护救的。从来没有听到台湾人提起这件事，如果是日本美国他们肯定念叨很多年…… ,https://m.weibo.cn/detail/4801710977979168,3,7,48,9万
3,4801701989057607,吴小平,2022-08-12 18:00:28,多家中国大型企业集体撤出美国股票交易所，这是对中概股最终命运谈判的鲜明表态，也是对中美金融关系长期发展的断然刹车。别了，司徒雷登，别了，美国华尔街。大国交往，不仅仅有军事表态，还有金融，经济，投资，都要表态。 ,https://m.weibo.cn/detail/4801701989057607,8,8,39,102.6万
3,4801712126690450,K线的背叛,2022-08-12 18:40:45,美国智库战略国际研究中心指出，中美半导体行业已深度融合，若要使供应链完全本地化，将付出巨大的经济和技术成本，全球半导体行业完全“脱钩”是非常不切实际的。目前美国正面临芯片短缺问题，汽车、家电、武器等行业均受到冲击，建设新工厂需要数年时间，该法案难解燃眉之急。对于拜登政府能够以多快 ...全文,https://m.weibo.cn/detail/4801712126690450,0,0,0,104
3,4801697572717405,中国网直播,2022-08-12 17:42:55,【外交部回应#美官员称暂停中美禁毒合作不可接受#】#破坏中美禁毒合作责任完全在美方# 近日，美官员称吸毒过量造成美每年10万人失去生命，中方暂停中美禁毒合作是“不可接受的”。12日，外交部发言人汪文斌表示，佩洛西执意窜访台湾，中方宣布八项反制措施，完全合理恰当适度。美国芬太尼滥用的根源在 ...全文,https://m.weibo.cn/detail/4801697572717405,0,3,34,560.8万
