微博id(评论来自于这),用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4801695982818086,4801696230281690,少女们,2022-08-12 17:36:36,辽宁,实在不行你就报警吧,4.8万,0
4801695982818086,4801696662815655,日本国父,2022-08-12 17:36:36,重庆,美国可以把所有毒品合法化，就不用跟我们合作了,4200,47
4801695982818086,4801696423739760,Espoir-17,2022-08-12 17:36:36,四川,真的，如果不是这次制裁，我都不知道美国居然在禁毒,187,0
4801695982818086,4801697878383222,HYH吴情,2022-08-12 17:36:36,湖北,鹰酱：我的犯罪率世界最底。🐰：你怎么做到的。鹰酱：把犯罪合法化。🐰：,618,0
4801695982818086,4801696670680713,乐评文案,2022-08-12 17:36:36,湖北,就是要这个效果,1.1万,0
4801695982818086,4801696305779155,春天的_Spring,2022-08-12 17:36:36,江苏,未来会有更多你们不可接受的东西，等着吧,454,0
4801695982818086,4801697199690022,栗香派派,2022-08-12 17:36:36,广东,那疼就打那,13.6万,4
4801695982818086,4801696163957119,栗香派派,2022-08-12 17:36:36,广东,不可接受就挺着，自找的,13.6万,2
4801695982818086,4801696943052395,热冰美式,2022-08-12 17:36:36,韩国,,2592,0
4801695982818086,4801704908820760,无知无觉的小透明,2022-08-12 17:36:36,北京,爱接受不接受,2,1
4801695982818086,4801698696266330,urCruuush,2022-08-12 17:36:36,北京,属实是仁至义尽了，再问就不礼貌了,299,0
4801695982818086,4801698272644523,软禁八阿哥,2022-08-12 17:36:36,,不到好喜欢继续坚持坚持就能从你那车俊俊夫麻烦看看蜂蜜蜂蜜奶粉奶粉那麻烦麻烦你发你能否能否能否你能否能否能否男女愤怒愤怒愤怒南方南方农村奶奶才能吃奶粉你能否农村奶奶烦恼呢,1323,0
4801695982818086,4801697958074904,软禁八阿哥,2022-08-12 17:36:36,,好多话好多好多话,1323,0
4801695982818086,4801697890967064,软禁八阿哥,2022-08-12 17:36:36,,h sh s j,1323,0
4801695982818086,4801697798691246,软禁八阿哥,2022-08-12 17:36:36,,黄金时间中j j d j d,1323,0
4801695982818086,4801696662033627,软禁八阿哥,2022-08-12 17:36:36,,du j s,1323,0
4801695982818086,4801702673252650,_诸事顺意_,2022-08-12 17:36:36,海南,我们对美国政府的不可接受表示不可接受,190,0
4801695982818086,4801709829002539,珊大刘学生真兴伏,2022-08-12 17:36:36,北京,美国人多吸点,16,0
4801695982818086,4801706036040726,沉默是金H3,2022-08-12 17:36:36,天津,美国脸就是大，不可接受自己内部消化去，跟中国说不着。,17,0
4801695982818086,4801705348172728,小镇牧羊人_,2022-08-12 17:36:36,江苏,美国什么时候禁过毒了,57,0
4801620808565099,4801622054536126,金灿荣教授,2022-08-12 12:37:52,北京,不当家不知柴米贵。//@随性随风可奈何:尹锡悦这次的表现，出乎很多人的意料，毕竟之前都视他为右，很亲美，比较反华。看来尹锡悦和他背后的力量都比较清醒。,254.6万,77
4801620808565099,4801622196357150,大机哥哥继续前进,2022-08-12 12:37:52,北京,南朝鲜：我是棒子，又不是傻子,49,110
4801620808565099,4801621211745077,网络精神病司法鉴定中心,2022-08-12 12:37:52,江苏,要的就是两边通吃，反正太子之位也轮不到他，倭寇暂时是太子！,1.2万,91
4801620808565099,4801621882572940,枫叶秋色染,2022-08-12 12:37:52,江西,美国掏空中国的一中原则，韩国掏空美国的芯片法案,113,22
4801620808565099,4801623157639001,8Milell,2022-08-12 12:37:52,广东,没必要过度解读，美国还是他爹。时时变的,3,20
4801620808565099,4801621722924168,河北刘江宏,2022-08-12 12:37:52,山东,南朝鲜能认识到这点儿已经很不错了。,389,17
4801620808565099,4801624750949530,景园1983,2022-08-12 12:37:52,黑龙江,因为表现可以，所以见面顺理成章！你可是一个学者呀，对国际关系就这认知水平？,21,3
4801620808565099,4801621060225284,kaaia,2022-08-12 12:37:52,江苏,韩国相对来说比日本处理的好一点,57,3
4801620808565099,4801621625932724,罂粟刺儿1222,2022-08-12 12:37:52,新疆,墙头草。比日本强一点。,26,8
4801620808565099,4801625014668003,科朗纳多,2022-08-12 12:37:52,北京,寄生虫国家的悲哀，他们的命运完全取决于宿主们,1.4万,5
4801620808565099,4801633390692721,CrowleyFung,2022-08-12 12:37:52,北京,再往后看吧 萨德一安说什么也没用,159,4
4801620808565099,4801623761884612,Sttttevennn,2022-08-12 12:37:52,广东,芯片问题影响最大是韩国,1509,4
4801620808565099,4801638772247368,大空头LM,2022-08-12 12:37:52,广东,但是最后韩国还是会参加美国的芯片联盟围堵中国啊,89,1
4801620808565099,4801633390959977,限速42的大馬路,2022-08-12 12:37:52,浙江,毕竟韩国不属于总统属于财团,3151,2
4801620808565099,4801622901528033,firstinter,2022-08-12 12:37:52,广东,小鬼子表现差，得教训一下,259,4
4801620808565099,4801654140699104,牙缝妞,2022-08-12 12:37:52,江苏,不支持一中，我们就支持一个朝鲜，他看着办吧,203,0
4801620808565099,4801642829190892,蛊傩,2022-08-12 12:37:52,广东,这不是韩国的真实面，而是我们政府多年来的经营摁住了他的命门，所以老祖宗一再三强调打铁还需自身硬，,206,3
4801620808565099,4801667588164573,无尘道道,2022-08-12 12:37:52,江苏,南朝鲜:北边有个动不动发导弹说要扔蘑菇的疯子，你说我清醒不清醒,145,1
4801620808565099,4801645222824366,冰封号角,2022-08-12 12:37:52,江西,韩国布置萨德也顺理成章？,159,2
4801620808565099,4801626348457701,慎独信仰,2022-08-12 12:37:52,山西,有个小兄弟就是好啊,13,1
