页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数,用户粉丝数
1,4973084947778244,科技新一,2023-11-28 16:15:10,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,26,196,582,612.5万
1,4973439657969826,浆糊脑脑,2023-11-29 15:44:39,华为电脑真垃圾！不要买！！！！！听劝！！！ ,https://m.weibo.cn/detail/4973439657969826,0,0,0,128
1,4973439644861379,离别造就了男子汉,2023-11-29 15:44:36,#马云内网回应拼多多市值逼近阿里#傻批平台 之前百亿补贴抢的华为 莫名其妙砍单 ,https://m.weibo.cn/detail/4973439644861379,0,0,0,46
1,4973439524278020,送芽芽子,2023-11-29 15:44:07,sky光遇黑市华为渠道服换绑怎么卡申诉？ ,https://m.weibo.cn/detail/4973439524278020,0,0,0,4
1,4973439289658519,雪豹财经社,2023-11-29 15:43:11,【华为与北汽将在2024年推出HI模式新车型】#华为北汽将推出新车型#据钛媒体，从北汽集团内部人士获悉，基于此前的合作模式，北汽集团与华为还将在2024年推出一款HI模式的新车型，据悉该车将是一款基于现有阿尔法S 先行版的全新车型，将搭载华为最新的智能驾驶系统和智能座舱系统。该内部人士还表示，极狐现有HI版车型将在年底导入华为ADAS 2.0最新智能驾驶系统。,https://m.weibo.cn/detail/4973439289658519,0,0,0,1.7万
1,4973439243520135,晚睡会长不高的,2023-11-29 15:43:00,sky光遇黑市又来抓代代子了华为干饭煲粥 ,https://m.weibo.cn/detail/4973439243520135,0,29,2,155
1,4973439163564172,领着阳光奔跑,2023-11-29 15:42:40,移动公司未来将不再是中国移动的代称，而是一家公司+员工在一辆华为汽车里办公=移动公司！华为汽车到哪那里就是公司，简称移动公司！未来可期！ ,https://m.weibo.cn/detail/4973439163564172,0,0,0,1
1,4973439020175083,证券市场周刊投服号,2023-11-29 15:42:07,发布了头条文章：《华为智界S7正式发布，带火两大概念！》 11月28日，华为正式发布鸿蒙智行首款轿车智界S7，定位纯电中大型轿车，是华为与奇瑞合作打造的智选车型。新车除了搭载华为途灵智能底盘以及HarmonyOS 4智能座舱、HUAWEI ADS 2.0高阶智能驾驶系统等智能科技外，还搭载了全新华为“巨鲸”800V碳化硅高压电池平台，可实现充电5分钟续航215km，CLTC综合续航达855km。 华为智界S7正式发布，带火两大概念！,https://m.weibo.cn/detail/4973439020175083,0,0,0,18万
1,4973396482329273,朱玉龙-YL,2023-11-29 12:53:05,鸿蒙智行战略合作启动仪式🤣最近华为的事，有点看不懂啊 ，这是两种模式准备打擂台么？🤣 ,https://m.weibo.cn/detail/4973396482329273,5,34,69,93.6万
1,4973419171153288,华为何刚,2023-11-29 14:23:15,我们的AI云增强功能采用云端的人像增强、背景增强和亮色增强算法，不仅可以让人像特写和夜景人像的效果更佳，还非常适用于多人合影的场景。我身边就有很多朋友反馈这个功能很好用，还分享了他们的合影照片，增强前后的效果对比非常明显。特别是照片放大后，人物的面部细节更清晰，肤质也更细腻，每个人都是照片的主角！目前，我们的#华为Mate60#Pro和 #华为MateX5#等产品都支持这一功能，欢迎大家来体验。,https://m.weibo.cn/detail/4973419171153288,0,16,106,331.8万
