微博id(评论来自于这),微博标题,正文url,评论人id,评论人昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973085600776268,跪猿鹿,2023-11-28 16:15:10,广东,我开威马住恒大，我骄傲了吗,928,72
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973085594747593,丶吴彦祖丶,2023-11-28 16:15:10,山东,0.3S绝杀，我只在NBA见过。,51,31
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973085066265751,怀着童真水瓶座的小育,2023-11-28 16:15:10,上海,新一送一个平板给我,436,8
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973115868185013,WwwwwwwwwwwwwwYyyyyyyyyyyynima,2023-11-28 16:15:10,湖南,我还差个车停,1294,7
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973085247409078,阿尔及尔的加缪,2023-11-28 16:15:10,山东,你已经成功集齐了韭菜三件套,752,23
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973110338521635,阳阳要发财啦,2023-11-28 16:15:10,上海,来接我,7.8万,1
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973085012001905,从来爱是没有借口-,2023-11-28 16:15:10,贵州,花🐶,66,2
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973102338935242,捣鬼科技,2023-11-28 16:15:10,湖南,实在找不到这样的傻B了,24,8
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973090008203714,组长Will,2023-11-28 16:15:10,山东,就如同世界上，再也找不出第二个长着3条腿的男人一样。,1569,2
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973137230039815,昼夜听雨,2023-11-28 16:15:10,江苏,还有个吊毛叫科技三秒,58,1
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973103319089796,Jack不是夹克,2023-11-28 16:15:10,河北,这个方向盘用着好用吗？拐弯儿的时候操控怎么样,4.9万,0
4973084947778244,戴着非凡大师，用着Mate60，开着智界S7，全球还能找到第二人吗#智界S7# #华为发布会# ,https://m.weibo.cn/detail/4973084947778244,4973336787944814,Super君醉,2023-11-28 16:15:10,江苏,3秒3连坑,109,1
