页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数,用户粉丝数
1,4868674294646943,不是毒奶色我是专业解说黄旭东,2023-02-13 13:24:30,10年前的新闻，我还为此和这个报纸的记者吵架。10年后，我们是冠军 ,https://m.weibo.cn/detail/4868674294646943,521,496,9954,352.2万
1,4878450178133764,一颗小饭粒Fan,2023-03-12 12:50:22,GR战队比赛冲冲冲冲啊啊啊啊，杀进线下！！线下！！！！！今天赢！！！！！赢！！！！拿到冠军！！！！我们是冠军啊啊啊啊啊啊！！！！杀杀杀，线下冲冲冲啊啊啊啊！！！！！！！ 佛山·广东财经大学(三水校区) ,https://m.weibo.cn/detail/4878450178133764,0,0,9,25
1,4871737194318109,庞峥麟,2023-02-22 00:15:22,虽然过程很艰辛，但是结果是值得的！要感谢的人太多了，自己所获得的荣誉离不开教练，队友整个团队的鼓励与信任！谢谢支持我们广西威壮的朋友们，我们是冠军🏆 ,https://m.weibo.cn/detail/4871737194318109,7,35,102,512
1,4878418140726613,黑熊王子二爷,2023-03-12 10:43:04,伯恩山 努力比赛，我们是冠军🏆！ ,https://m.weibo.cn/detail/4878418140726613,0,1,3,374
1,4878383638644256,就是宁哥的小星星呀,2023-03-12 08:25:58,南京Hero久竞 看了昨天的比赛结果，我觉得很开心 ，毕竟某队粉丝不是一直很高傲嘛，一直是冠军，一直S组，那怎么会输了比赛呢，不是应该无敌吗？我们的队伍一直重组，轮换，找到最佳的位置，你们不是无敌吗？怎么能输，这么看下来，我觉得我们输了比赛也能接受，毕竟我们是B组一直打上来的，一步一个脚印，踏踏实实的。看完比赛，最大的感受是（哇 KPL终于要百花盛开了）期待值直接拉满在我们队伍再次光芒万丈之前，我们都要欣然接受眼下的不堪和不易，我们要去接受它的无助和无力感，更要去接受它们的不完美，关关难过关关过，长路漫漫亦灿灿。【永远相信Hero 冲冲冲】,https://m.weibo.cn/detail/4878383638644256,0,0,0,127
1,4878300235694909,Les_collines_dAnacapri,2023-03-12 02:54:33,Wryyyyyyyyyyyyy过伍迪了！谢谢神官ex谢谢狮子狩猎谢谢舞娘奥义谢谢石榴叶双面叶扩散剂谢谢商人潜能谢谢集体唆使谢谢究极魔法谢谢神官潜能谢谢奥库塔谢谢谢谢谢谢大家的努力谢谢谢谢我们胜利了！！！我们是冠军！！！只是我想记录一下我的过关配置：一队Throne+猎人⬅️爪子太多后来放弃撒网了Agnea+发明家⬅️除了潜能线圈没用过别的技能Hikari+武器大师⬅️无情的狮子狩猎发射机Castti+神官⬅️来回被拍死就奶过一口群血⬆️事实上打得很难崩……Castti一给拍死就会断奶痛的不行，本想放二阶段结果打不过这不就尴尬了吗二队Temenos+学者⬅️承担了90%奶量的英雄母亲Osvald+神官⬅️吸魔杖才吸20sp还不如不带Partitio+舞娘⬅️接招吧，舞男的耳语！Ochette+剑士⬅️全程没用过剑士技能⬆️舞娘奥义给Temenos真好用，谁也不能拒绝全队规模的超量治疗或者群发带破盾的多段属乱……Osvald老师经常因为被拍死or缺蓝空窗导致输出挺乏，但奶量够大打得比一队还稳👍八人战很刺激，但打完了感觉意外的难度不大，不如说正好一边回蓝一边输出轮班搭配干活不累。给hikari和ochette都带了破防追击但只触发过一次……不过也赚出2w+的输出了。,https://m.weibo.cn/detail/4878300235694909,0,9,0,25
1,4878282488547401,A不知所起,2023-03-12 01:44:02,这个周末真的很开心，今天被食堂阿姨夸好年轻好好看！还夸了我两遍！晚上居然还记得我呜呜呜呜！今天还有一位荣耀的射手带我打游戏！打全国大赛、排位和匹配都赢啦！十连胜！我们是冠军！今天还克服不耐烦和暴躁的情绪写完了1500！今天他好会！还给我分享了歌单～开心开心开心！！！！！ ,https://m.weibo.cn/detail/4878282488547401,0,0,0,2
1,4878254098091946,Abstainfromevasion,2023-03-11 23:51:13,我们是冠军  全校直播比赛爆c 稳坐首发咯 ,https://m.weibo.cn/detail/4878254098091946,0,0,0,12
1,4878234581996457,谁动了我的猪饲料,2023-03-11 22:33:40,久违了，还是和好兄弟们一起打游戏味道我们是冠军✌🏻 ,https://m.weibo.cn/detail/4878234581996457,0,0,0,1
1,4878206488548226,Little-known-perfume,2023-03-11 20:42:02,无所谓，赢一把够了🥺我们是冠军！ ,https://m.weibo.cn/detail/4878206488548226,0,0,0,9
