页码,微博id,微博作者,发布时间,微博内容,微博正文url,转发数,评论数,点赞数,用户粉丝数
1,4865009388359405,江宁婆婆,2023-02-03 10:41:28,胡鑫宇事件各大平台处理谣言情况汇总。微博：共清理传播相关谣言的违规内容3500余条，138个违规账号予以禁言7天至关闭账号处置。抖音：平台共处置相关谣言内容8.5万条，对制造、传播相关谣言的首发账号，从严予以无限期封禁。快手：处置相关网传不实信息2.1万条，对于传播相关不实信息的账号予以处罚。,https://m.weibo.cn/detail/4865009388359405,514,501,8049,605.2万
1,4883454170502239,耕耘天地333,2023-03-26 08:14:27,说胡鑫宇是从学校监控盲区走岀学校的。这是胡说八道！所谓盲区，就是一大片地方监控不到！一个学校，有一百多摄像头，能有大片区域监控不到吗？这才是造谣误导人民！！掩盖案情真像。是我们造谣还是你们造谣？请问专班大人胡满松，校长刘谷来，谁在谣？？？？ ,https://m.weibo.cn/detail/4883454170502239,0,0,15,3882
1,4883415478042855,林小路吖,2023-03-26 05:40:42,现在应该大家都模糊了胡鑫宇这个名字了，当时很多人在各种说以后不让孩子随便体检了现在纷纷扬扬在讨论不能去泰兰德 ,https://m.weibo.cn/detail/4883415478042855,0,0,0,729
1,4883282896881619,有你才幸福1314_cri,2023-03-25 20:53:51,#胡鑫宇 #我在快手涨知识 ##快手# @快手 小苏同学的快手视频 ,https://m.weibo.cn/detail/4883282896881619,0,0,0,936
1,4883281428873433,你的小卷毛狗狗,2023-03-25 20:48:01,#1894个涉胡鑫宇事件违法违规账号被处置#这波终于过去，所以说只要一日没有Amber，我就不信兔子没有企管买卖。人家1996年就能做出来的系统我痒痒大兔子支付宝都有，Amber竟然没有。 ,https://m.weibo.cn/detail/4883281428873433,0,0,1,1098
1,4883119586940201,k别叫我宝贝,2023-03-25 10:04:56,#警犬在木炭中嗅出毛肚等走私货物#警犬这么厉害胡鑫宇失踪时也没找到 ,https://m.weibo.cn/detail/4883119586940201,0,0,1,46
1,4883077324605897,桂楠澜未雨绸缪Lg,2023-03-25 07:17:00,胡鑫宇的事情热度不减2023年，从开年到现在胡鑫宇的事情为什么热度不减？这件事情举国关注，影响力之大，其后果不可估量。挖掘机找饭卡。慢悠悠的找了106天。突然的出现，然后一又以迅雷不及掩耳之势，匆匆忙忙，草率的下了定义。这背后究竟隐藏着什么？人民不是傻子。请不要把人民当傻子耍。这件事情对全国人民的伤害不言而喻。对社会影响之恶劣。不是你们，堵住别人的嘴就可以平息的。没有了做人的底线，丝毫没有敬畏之心。如此丑陋不堪，龌龊至极的人，对自己所犯的罪行仓皇而逃，丑态毕现。试问这样的人有何脸面生于天地之间，简直是猪狗不如。相关部门装聋作哑，弃人民于不顾。一再的伤害大众的感情与信任，无异于自掘坟墓。希望这些僵硬老化，腐朽不堪龌龊至极阴暗的家伙好自为之。水能载舟，亦能覆舟。这些恶人多行不义必自毙。伤天害理，必有报应。就像周立波说的那样，让他们自生自灭，你若理他，同归于尽，你若信他，你便是他。,https://m.weibo.cn/detail/4883077324605897,0,0,0,58
1,4883052091932827,一切出发点都是为了自己,2023-03-25 05:36:44,很多家长根本没能力保护小孩，这一点其实胡鑫宇的母亲做得挺好的，她是一个有能力培养优秀小孩的父母，只可惜小孩自己选择走捷径，无论如何我们还是应该珍惜生命 ,https://m.weibo.cn/detail/4883052091932827,0,0,0,1
1,4882942976854847,混不吝vs断舍离,2023-03-24 22:23:09,#海南临高女孩遭遇校园霸凌#tmd! 又被骗了互殴 互殴 互相拍视频发 不是谁弱谁有理 为什么总有这些烂糟的事被人带节奏？胡鑫宇 、叶婷……没完没了的，搞得我现在一看到这类视频就泛膈应 ,https://m.weibo.cn/detail/4882942976854847,0,3,6,11
1,4882874799490700,L芥子纳须弥J,2023-03-24 17:52:14,我如果成为胡鑫宇二号，和学校绝对脱不了干系！！！ ,https://m.weibo.cn/detail/4882874799490700,0,1,0,178
2,4882782834923285,呼哈尔,2023-03-24 11:46:48,全网急寻人启事：别让他跑了！请大家一起帮着西安市市场监督管理局寻找西安国恒法律服务公司法人代表张伟！！！加油！！！ @国家市场监督管理局 #国家市场监督管理局#@央视新闻调查 #央视新闻调查##今日贴纸打卡##胡军代言翻车疑似涉及390亿元##胡鑫宇事件# ,https://m.weibo.cn/detail/4882782834923285,0,0,2,57
2,4882619587888567,转圈圈的小熊罐头,2023-03-24 00:58:07,不明白为什么现在网上都这么喜欢阴谋论，胡鑫宇事件如此，美七这事也是。 ,https://m.weibo.cn/detail/4882619587888567,0,0,1,17
2,4882561023086315,一块不甜,2023-03-23 21:05:24,我永远理解不了为什么人们对噶腰子阴谋论这么津津乐道，从胡鑫宇失踪案到现在泰国旅游话题，总有无数人坚信有人觊觎自己配型率极低根本没有用的腰子！ ,https://m.weibo.cn/detail/4882561023086315,0,2,1,13
2,4882463157389397,微博政务,2023-03-23 14:36:31,#热点案件聚焦# 【2023微博政关注·热点案件档案——2月#要案速报# 回顾】政务官微作为权威信息的发布出口，作为还原案件真相的官方渠道，一直坚守在舆论阵地的第一线。2023年2月，有哪些大案要案发生，有哪些政务官微在微博公开通报，跟着政务君，一起回顾！政务微博，你我一同关注 @政务新媒体研学中心 @警察蜀黍TV【2月热点内容抢先关注】@江西公安 @江西发布 #胡鑫宇事件调查情况发布会#@上城警方 #警方通报邵逸夫医院凶杀案#@湖南高速警察  #湖南高速多车相撞致16死66伤#@沈阳皇姑公安  #辽宁省中医医院一名医生遇袭# 微博政务的微博视频,https://m.weibo.cn/detail/4882463157389397,4,3,6,186.4万
2,4882411705864350,用户7023052152,2023-03-23 11:12:04,『胡鑫宇遗体百天后找到，近在咫尺是灯下黑吗?』胡鑫宇遗体百天后找到，近在咫尺是灯下黑吗? ,https://m.weibo.cn/detail/4882411705864350,1,1,1,377
2,4882389539753270,端木赐香三糊涂,2023-03-23 09:43:59,毕业这么多年，李雪琴还对母校耿耿于怀。就因为北大心理中心把她抑郁到几次崩溃有严重轻生倾向的信息，按程序反馈到了系里。系里安排班长找到陪她去咨询的人，交待对方好好看顾她。李雪琴意思，我一辈子没有求过人，求不要告系里，不想让母亲知道。这也是幸存偏差吧，幸亏你没自杀成，胡鑫宇的例子在那儿放着呢。中国司法人性，从没有理直气壮地支持学校，学生自杀不碍学校的事儿。也没有支持心理中心，只要学生要求保密，咱就坚决保密。学校能拦住闹丧的家长，还是舆论不支撑闹丧的家长？,https://m.weibo.cn/detail/4882389539753270,1,1,11,57万
