用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808238758104361,白名琰,2022-08-30 12:37:12,陕西,什么时候法律能严格点，打工人就能活得久一点,227,15826
4808247478062346,胡言不语的乐妞儿,2022-08-30 12:37:12,北京,疯狂加班➕炼狱通勤➕生存成本过高，还有神马在前方伏击？,935,4230
4808143764719904,少女们,2022-08-30 12:37:12,辽宁,今晚亿定早睡,6万,3705
4808152871077177,似水流年叹,2022-08-30 12:37:12,安徽,我们的工作，需要值夜班，肯定不能睡觉呀（医院）。,194,2205
4808266603043579,宇宙无敌快乐宝儿,2022-08-30 12:37:12,北京,从今天开始我努力做到23点睡觉💤,27,734
4808240376844532,L疯癫病态,2022-08-30 12:37:12,河南,这个…算工伤吗？,54,715
4808264913782827,PuppyKitten,2022-08-30 12:37:12,安徽,9点下班回家随便吃点啥洗个澡护个肤就12点了 再稍微刷会手机看会电视就凌晨了 然后第二天还得早起上班 如果这也算熬夜 那人活着就是只需要工作呗,719,527
4808244138087125,多宝的鸡腿,2022-08-30 12:37:12,江苏,打工人太难了,4,447
4808152262641132,C17jisung,2022-08-30 12:37:12,广西,为了身体，要早睡了,51,202
4808261944217162,鲁迅的秋天,2022-08-30 12:37:12,陕西,只是上班时发生了脑出血，并没有说是上班造成了熬夜啊，都是瞎联想！总体来说，20多岁年轻人心脑血管出问题，大多是自控差、纵欲过度（看剧玩游戏刷手机）熬夜造成的，外在因素影响很小。,1.8万,123
4808258231213560,deepoceandaybreak,2022-08-30 12:37:12,江苏,资本家的目标就是把剩余价值榨干，榨的精干,173,115
4808253664665289,永远的橘子控,2022-08-30 12:37:12,辽宁,脑血管畸形或者脑动脉瘤破裂可能。,10,99
4808262408472459,我好运连连一切都好,2022-08-30 12:37:12,山西,人间常态996.007我就是廉价劳动力的最佳体现,2,97
4808235222040662,帕尼Yui,2022-08-30 12:37:12,广东,天天失眠偶尔通宵咋办半夜还要醒几次那种,2158,54
4808255269766201,基础锻炼,2022-08-30 12:37:12,湖南,日常生活中，要注意避免腹部高压和用力排便。腹部高压和用力排便，容易诱发脑出血。,101,35
4808257271496889,雪花纷纷fun,2022-08-30 12:37:12,四川,TM 不是工作累的嘛  每天除了睡觉都在工作,352,52
4808224178441148,七字阁,2022-08-30 12:37:12,广东,恐怖,29,30
4808263369494006,桃枝兔子0,2022-08-30 12:37:12,云南,以前我以为年轻人不会，我从19.20熬了快10年了，玩手机，想事情，夜宵 反正都是为感情操劳，不是工作,0,26
4808272203225796,可怕-匿了匿了,2022-08-30 12:37:12,广东,前不久还有“专家”说要给年轻人多加点事做,19,31
4808259821111633,咔咔咕噜咪,2022-08-30 12:37:12,宁夏,我本人就是那种濒死感  大家还是多注意身体 过度劳累真的会死,142,19
4808262447536750,基础锻炼,2022-08-30 20:15:32,湖南,腹部高压和用力排便，往往是脑出血的重要诱因。,101,1
4808260755922415,duncan在旅行,2022-08-30 20:15:32,海南,,944,0
4808459327112034,玖玖玖玖麓,2022-08-30 20:15:32,上海,转发微博,45,0
4808265849115585,小超人pika,2022-08-30 20:15:32,山东,@荔枝酱kira,267,1
4808272026538394,天天快乐122,2022-08-30 20:46:22,天津,学起来,8,3
4808423281263036,暖阳flq,2022-08-30 20:46:22,福建,学会急救技能,30,1
4808302774980281,实在才幸运,2022-08-30 20:46:22,河南,转发微博,1088,1
4808279336944353,麟花小影,2022-08-30 20:46:22,广东,转发微博,99,1
4808311901524648,乘心而行,2022-08-30 20:46:22,广东,转发微博,131,1
4808289530155792,乘心而行,2022-08-30 20:46:22,广东,转发微博,131,1
4808282105191524,每天都很喜欢芳汉南,2022-08-30 20:46:22,福建,收到,22,1
4808267220389540,翰斯愛拉拉,2022-08-30 20:46:22,中国台湾,收到,185,2
4808287206251683,四川监狱,2022-08-30 21:34:20,,健康提示，转给你关心的人#张警官分享#,19.7万,0
4808458392046101,贵州省凯里监狱,2022-08-30 21:34:20,,转发微博,5.9万,0
4808302577323924,Poison_LU鹿,2022-08-30 21:34:20,四川,关于中风急救知识,9,0
4808301985923117,我的生活就是工作,2022-08-30 21:34:20,四川,健康提示,1422,0
4808302335365625,抱着啃白蔡,2022-08-30 21:34:20,四川,健康知识指南,89,0
4808302841563131,爱人yty,2022-08-30 21:34:20,四川,健康,2,0
4808449983255627,四川省川西监狱,2022-08-30 21:34:20,,//@四川监狱: 健康提示，转给你关心的人#张警官分享#,7225,0
4808471888789847,平安曲靖,2022-08-31 07:03:53,,,3.1万,0
4808432480160347,唯一支持卡布叻男團,2022-08-31 07:03:53,中国台湾,,1001,0
4808460606639554,嘉荫检察,2022-08-31 07:03:53,,关注热点，传递正能量！,3428,0
4808423574866051,薇薇晓行,2022-08-31 07:03:53,四川,早安,1209,0
4808494437632787,涪城公安,2022-08-31 09:28:16,,,18.3万,0
4808491326505001,黄龙检察,2022-08-31 09:28:16,,@平安江阳,2万,0
4808491288233372,黄龙检察,2022-08-31 09:28:16,,关注热点，传播资讯,2万,0
4808487642595331,成都市中级人民法院,2022-08-31 09:28:16,,,14.2万,0
4808486489949666,铜仁消防,2022-08-31 09:28:16,,,23.1万,0
4808474984710294,宁津公安,2022-08-31 09:28:16,,,6.6万,0
4808472179245881,锦绣青羊,2022-08-31 09:28:16,,关注@锦绣青羊,59.8万,0
4808459814702550,双流发布,2022-08-31 09:28:16,,和@双流发布 共同关注,98万,0
4808459210719862,若水千黎,2022-08-31 09:28:16,江苏,,2.3万,0
4808505452398661,金沙检察,2022-08-31 09:28:16,,,1205,0
4808496002630062,电白检察,2022-08-31 09:28:16,,,2860,0
4808490609021585,平安银川,2022-08-31 09:28:16,,,218.9万,0
4808482391591623,攀枝花-平安东区,2022-08-31 09:28:16,,,1.2万,0
4808466020962091,淮安法院,2022-08-31 09:28:16,,,11万,0
4808475270188619,成都人社局,2022-08-31 09:28:16,,,120.6万,0
4808454794120568,许后容,2022-08-31 09:00:01,山东,收藏！一条能救命的急救方法合集！,932,0
4808468442120443,莫须有时在,2022-08-31 09:00:01,广西,这条又乖乖进了我的收藏夹，虽然急救的时候想不起来,486,0
4808503862233768,我是黄丽花,2022-08-31 09:25:15,广西,,729,0
4808476281540729,兰州文化旅游,2022-08-31 09:25:15,,,81.9万,0
4808471591260128,扬州法院,2022-08-31 09:25:15,,关注热点资讯，传递法治声音@扬州法院@山东消防,5.1万,0
4808469033255274,四川消防,2022-08-31 09:25:15,,,100.1万,0
4808464604596203,山东长安网,2022-08-31 09:25:15,,,6.8万,0
4808458064363789,大秦服你,2022-08-31 09:25:15,陕西,好家伙，发文这么积极,146,0
4808501895893423,遗落人间的宇航员,2022-08-31 09:25:15,山东,注意安全啊,105,0
4808486955778841,德州消防,2022-08-31 09:25:15,,,30.7万,0
4808467192480642,白银公安,2022-08-31 09:25:15,,,12万,0
4808459595550828,滨州消防,2022-08-31 09:25:15,,#23岁女子上班时突发脑出血#,6328,0
4808483720924555,南充文旅,2022-08-31 09:25:15,,,3.2万,0
4808466802412834,安静的馨瑶,2022-08-31 09:25:15,四川,,200,0
4808492067586895,青茫Dan,2022-08-31 09:25:15,四川,,74,0
4808482430388737,大渡口区法院,2022-08-31 09:25:15,,,8664,0
4808498355117155,菏泽市人民检察院,2022-08-31 11:13:45,,传递信息微平台,2.6万,0
4808490050127728,东湖检察,2022-08-31 11:13:45,,#23岁女子上班时突发脑出血# 动画片《请不要虐待自己的器官》,1710,0
4808267207282106,我想弃梦而行,2022-08-30 20:36:56,河北,我就在头痛，还打喷嚏,195,1
4808270654740303,Laundry明,2022-08-30 20:36:56,河北,长知识,1271,0
4808295431277313,放纵必然,2022-08-30 20:36:56,浙江,都知道熬夜伤身体，有多少早睡的？,35,0
4808272085258374,一切安好hzx,2022-08-30 20:36:56,北京,转发微博,482,0
4808271866630180,繁哥的小迷妹,2022-08-30 20:36:56,北京,转发微博,6,0
