用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808273520495110,PUTAOZIHH,2022-08-30 21:12:35,河南,难道是因为年龄吗 明明是约不上,17,27443
4808273448406270,认真生活的地球人,2022-08-30 21:12:35,广东,约都约不了,19,26593
4808273675684214,指间随想,2022-08-30 21:12:35,上海,艹！我刚刚打完4价，现在跟我说9价能打了,752,14013
4808273486153091,厚乳拿铁不加糖呀,2022-08-30 21:12:35,安徽,关键得有苗,173,8625
4808273800469534,薇薇丶Rita,2022-08-30 21:12:35,广西,抢都抢不上，我45岁之前能打上吗？,508,5317
4808274065495890,-女菩撒-,2022-08-30 21:12:35,河北,年龄限制的这么随便 是九价药性变了 还是药变多了谁都能打了？ 标准是啥 这么随便？,3075,5264
4808273986060968,絵嵐,2022-08-30 21:12:35,湖南,约不到的还是约不到，扩龄不如扩苗,22,4503
4808273477244196,Rung99848,2022-08-30 21:12:35,浙江,有来骗钱，越打抵抗力越差,8,1894
4808273900868263,万古霉素暗恋利多卡因,2022-08-30 21:12:35,福建,男的什么时候可以约,121,1592
4808273716577182,一懵的小破店,2022-08-30 21:12:35,浙江,为什么突然扩了？以前限制年龄的原因是什么？,146,929
4808274699096557,Lucia321,2022-08-30 21:12:35,广东,所以为啥不多放苗,90,761
4808273696657427,喵呜爱吃冰淇淋,2022-08-30 21:12:35,浙江,搞了两价，结果九价有了。,5973,515
4808275381458723,chen-0001,2022-08-30 21:12:35,贵州,慢慢约，还有25年，总能约上,47,501
4808275386958185,十四_Ruby,2022-08-30 21:12:35,福建,排队从五万多好不容易排到四万多了，等排到我的时候46岁不用打了,421,425
4808275071075094,邱燮彬,2022-08-30 21:12:35,江苏,男的也想打,6295,223
4808273553522764,自由更胜一筹_,2022-08-30 21:12:35,黑龙江,所以从哪约,115,214
4808286026601131,香树阳,2022-08-30 21:12:35,吉林,上午疫苗大公司业绩下滑，晚上9到45女的都打疫苗,294,175
4808273822485328,飞菲-,2022-08-30 21:12:35,云南,意思疫苗还是一样的 但是年龄延至45 那以前的怎么就只能到26 没搞懂 有懂的可以给我解释解释么,149,184
4808277378469745,MonyoC_,2022-08-30 21:12:35,辽宁,能骂人么 刚扎完四价,1175,106
4808277940507237,黑胡椒根,2022-08-30 21:12:35,江苏,我看约苗的门诊挺多的，还都是正经社区门诊,1.3万,269
4808269430784954,He就是呢个与众不同火星来的少年,2022-08-30 20:50:17,山东,给女性同胞们免费接种吧,24,9465
4808269388058480,姜大声你小声点,2022-08-30 20:50:17,广东,那又怎么样，又抢不到,87,6253
4808269157110288,省港澳瞎话王黄师虎,2022-08-30 20:50:17,浙江,被嘎韭菜了，7000多带女朋友抢着打的,32,1513
4808269431048725,奇怪的熊猫Y,2022-08-30 20:50:17,广东,老子都打完了……才放开年龄段,159,1326
4808269603016717,今天背单词了Malz,2022-08-30 20:50:17,四川,芜湖~果然沉得住气是有好处的 下一步就等九价像港澳那样全面放开咯,21,810
4808269414011336,一枝小紅花_送給心上人,2022-08-30 20:50:17,江苏,何时能普及男性,1.2万,570
4808269736707091,满级绿茶的小可怜,2022-08-30 20:50:17,广东,太难约了，老是约不上,1399,285
4808269333794340,独享壹个世界1210,2022-08-30 20:50:17,江苏,哈哈哈哈快让我约上,195,211
4808269463555790,夜猫有三只猫,2022-08-30 20:50:17,重庆,45岁之前我能打上吗,625,211
4808269619531963,O滚滚o_,2022-08-30 20:50:17,福建,打了二价了来这出,160,178
4808270683840070,利德森医疗,2022-08-30 20:50:17,广东,利德森医疗 现在在努力三年后 让大家全部可以免费打九价,2.7万,117
4808270085363758,米奇猫丝_,2022-08-30 20:50:17,广东,抢不到的还是抢不到，譬如说我,184,94
4808271876326081,椰椰小星,2022-08-30 20:50:17,广东,你扩龄又怎样我又约不到,241,50
4808269711542126,是小迷妹本人没错,2022-08-30 20:50:17,湖北,7月才打四价第一针的我怎么办,120,73
4808270131235144,Anniversary1993,2022-08-30 20:50:17,四川,我的天，怎么不早点出，才打了四价，钱还没捂热乎,154,32
4808270039221960,西北孤傲的狼6666,2022-08-30 20:50:17,河北,我刚打完四价,21,48
4808270160595543,banbino云云云云云云云云,2022-08-30 20:50:17,广西,啊啊啊啊终于等到啦  从五六年前朋友都出国打九价 等到国内有九价的这里面我年龄都过了 终于等到放宽年龄了,1233,42
4808270323388854,将幸福进行到底qq,2022-08-30 20:50:17,广东,四月份打了四价第一针，第二针可以打九价吗,384,27
4808270100824402,godie674,2022-08-30 20:50:17,贵州,四价才刚打第一针真的栓口了,60,23
4808474296584715,少女们,2022-08-31 10:30:40,辽宁,这下更预约不上了……,6万,3720
4808474346918120,高昊然,2022-08-31 10:30:40,广东,是因为年龄吗 明明是约不上,87.1万,2863
4808474292917188,我是阿宅宅宅宅,2022-08-31 10:30:40,贵州,更抢不到了,10.7万,1028
4808474389121462,仙草颜究所,2022-08-31 10:30:40,福建,但是真的太难抢了可能会让我从现在一直抢到45岁,1.3万,750
4808474301567664,Z-郭汾阳喝养乐多身高一米一,2022-08-31 10:30:40,广东,苗够吗？本来就难抢了，现在还抢得到吗？,933,476
4808474473792587,小宇媳妇852058,2022-08-31 10:30:40,贵州,不是因为年龄错过呀，是根本抢不到呀,9.6万,303
4808475358791704,程门立雪HH,2022-08-31 10:30:40,安徽,一直预约不上，那拓展了年龄，疫苗是不是也应该多放点出来,1.1万,243
4808474783126578,言午士心弓口虫,2022-08-31 10:30:40,天津,关键太少了约不上,28.3万,166
4808478185227383,CameliaBai养乐多,2022-08-31 10:30:40,北京,为了不错过年龄，已经高价接种了,172,116
4808474426343498,李承鄞,2022-08-31 10:30:40,山东,预约不到，有办法解决吗,2.8万,118
4808474787580640,四時若夏,2022-08-31 10:30:40,北京,好像我们每个人都能预约的上一样🙃,179,94
4808476565967877,卫生发展研究院,2022-08-31 10:30:40,山东,没上北大是因为我不想吗……,165,79
4808475080921163,·NA·NA·,2022-08-31 10:30:40,北京,昨天问了私立医院，他们还没得到通知调整到45岁,814,58
4808482471808683,六音-偃甲七号,2022-08-31 10:30:40,江苏,现在问题是，那么多黄牛都有苗，我他妈去医院约不上，这是为什么,352,66
4808482249507800,约苗,2022-08-31 10:30:40,四川,目前仅开放扩龄段人群订阅（排队）通道，实际可接种时间需根据扩龄后疫苗新指导政策及说明书到接种单位后确定，姐妹们不要太着急呀,48.1万,266
4808475966180565,亖个叉,2022-08-31 10:30:40,陕西,四价剩一针,181,45
4808474393313540,丸村吸吸冻,2022-08-31 10:30:40,江西,会不会抢的人更多了,275,40
4808476650637749,衔花入梦来,2022-08-31 10:30:40,湖南,从9岁抢到45岁,623,37
4808475718189379,陈开心呐-,2022-08-31 10:30:40,云南,与其扩宽年龄段，不如扩苗,42,28
4808474497912285,岸芷汀兰_s,2022-08-31 10:30:40,广东,二价还剩最后一针😅,425,27
4808478440818876,米兰花儿儿,2022-08-31 09:50:14,四川,疫苗能不能纳入医保啊,82,11
4808464965308520,最爱透明,2022-08-31 09:50:14,北京,北京哪里可以打,216,1
4808489753381362,距离退休又近了一天耶,2022-08-31 09:50:14,北京,我四价都排了一年半才排上,5,1
4808470875080665,刘小兽0629,2022-08-31 09:50:14,北京,@请叫cici黑眼圈小姐,1,0
4808464356872711,FANTASY-ZYL,2022-08-31 09:50:14,湖南,那蛮好，正好抢不到，原本还想在26之前打了,73,1
4808494139836294,约苗,2022-08-31 09:50:14,四川,好消息来啦~国产2、3、4、9、11、14价都在研究中！专家预测，国产9价有望在2025年进入市场，而且，还可能支持男生接种，未来可期！,48.1万,0
4808492047925334,草莓味儿的巧乐兹,2022-08-31 09:50:14,浙江,回复@米兰花儿儿:我去打的地方能用医保刷,254,0
4808490302052550,夏夏果而,2022-08-31 09:50:14,江西,我们这四五线城市有生之年能打得到吗？,644,1
4808493356551250,慵懒的小樱花,2022-08-31 09:50:14,河南,我在郑州打完了三次，一针一针的预约打,25,0
4808492298276460,·阿木木游民·,2022-08-31 09:50:14,广西,不知道再接下来的20年能不能约上,0,0
4808297011741335,爱吃奢华版手抓饼,2022-08-30 21:56:54,北京,大物每次提出的问题也是让人想不到还揪下来去蹭,3,17
4808325671158087,田呸呸Rlx,2022-08-30 21:56:54,湖北,大物问的是啥意思 他们回答说对象看不出来有没有hpv 我可以理解成对象是第一次就是clean的吗(没有HPV感染）？ 如果看见了希望大物可以回复一下 谢谢,27,4
4808296832435818,我叫研究生啊啊啊,2022-08-30 21:56:54,河南,热搜下面看见你,61,5
4808470799584706,你是哪个小杂碎啊,2022-08-30 21:56:54,四川,我刚刚在约苗约成功了，好开心,592,30
4808297829368748,长沙王太傅JY,2022-08-30 21:56:54,山东,好消息：放开年龄了。坏消息：超龄的我这个月刚预约打了别的价，第一针,662,12
