用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4807825656910685,周末旷野,2022-08-29 15:31:19,山东,这是微博卡了吧,38,4
4807825958635823,二零二二最锦鲤女孩呀,2022-08-29 15:31:19,湖北,哈哈哈哈我苹果12也经常出现这样的问题,551,2
4807825836474875,路迷了森,2022-08-29 15:31:19,贵州,1000包邮，我，学生,195,1
4807827003281908,勾手何大爷,2022-08-29 15:31:19,北京,今日iPhone热搜：#科技C先生的iPhone 14 Pro正在量产#,15.1万,2
4807941091492635,Napishtim0802,2022-08-29 15:31:19,上海,故意打开引导式访问,0,0
4807940755949585,樱序十贰,2022-08-29 15:31:19,陕西,看到频闪了买什么iPhone 眼睛不想要了,6,1
4807930199410142,__一人一城,2022-08-29 15:31:19,湖南,这大黑边是13？,105,1
4807925274774050,纯净生活200601,2022-08-29 15:31:19,陕西,ios系统稳定,0,1
4807825936880272,彗星落兜里了,2022-08-29 15:31:19,河北,急死个人了，就是不动,386,1
4807825606055467,善导1,2022-08-29 15:31:19,贵州,哈哈哈卖了吧500包邮,21,1
4807825475241022,toneyangel,2022-08-29 15:31:19,天津,50元包邮解君愁,1037,1
4807926109968088,羽人飞007,2022-08-29 15:31:19,河北,反应太慢了，真是急死人了,1006,1
4807952588079716,地球好危险啊啊啊,2022-08-29 15:31:19,浙江,这真的是玄学,22,0
4807887497728848,洁茹的无理取闹,2022-08-29 15:31:19,江西,哈哈哈哈哈哈，我昨天到我闺蜜那点外卖的时候，动不动退出,215,0
4807884480710171,姜茶不是糖,2022-08-29 15:31:19,湖北,哈哈哈哈哈,1.1万,0
4807832966792710,元页皮金名车干,2022-08-29 15:31:19,湖北,这个可以有，有意思,291,0
4807825932687357,曾几时又几岁,2022-08-29 15:31:19,吉林,多少钱,62,0
4807861483603378,万万丶休闲时光,2022-08-29 15:31:19,天津,我的13卡的也多了,1,0
4807834149327149,秋名山车凯,2022-08-29 15:31:19,陕西,哈哈哈哈逐渐暴躁,132,0
4808051728843156,千雨道化Joker,2022-08-29 15:31:19,吉林,,1385,0
4808263847381844,巭喜,2022-08-30 17:20:00,广西,,22,0
4808220021625424,雨夜里的阳光,2022-08-30 17:20:00,安徽,星链不是免费提供吗？速率2-4m，都快有3G网速了,3,1
4808483545288603,抽烟喝酒烫头97,2022-08-30 17:20:00,河北,,28,0
4808544174474266,抹茶她爸,2022-08-31 14:47:04,湖南,求求你别发了，我买14Pro还不行嘛,649,0
4808543682692918,蓝天困死了,2022-08-31 14:47:04,福建,我只问你，14pm的013什么时候出,1.2万,0
4808541431139922,林捷Jakii,2022-08-31 14:47:04,广东,磁吸是不是要等真机确定位置,6667,1
4808545718244576,冷冷的冰雨在天空划过,2022-08-31 14:47:04,浙江,坐等13P 013,0,0
4808539992753779,AixLeftY,2022-08-31 14:47:04,陕西,14系列的膜啥时候上，都有啥,33,0
4808539636240017,sxyxyn,2022-08-31 14:47:04,广东,你就有尺寸了吗,3,0
