用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4800804605395515,勇敢的乌克兰人民万岁,2022-08-10 04:07:24,江苏,永远支持乌克兰,14,78
4800814927316414,科学自由剑,2022-08-10 04:07:24,山东,五个常任理事国中，有四个没有承认克里米亚归俄。,11.9万,38
4800811403839259,凌竹晨,2022-08-10 04:07:24,山东,公投，这不是美式民主吗？咋不承认？真虚伪！,15,7
4800854555362350,Jackie-HZ,2022-08-10 04:07:24,广东,抗战胜利后苏俄操控蒙古公投，蒙古脱离了中国。2014年俄国熊又在克里米亚重复了这一卑鄙的操作。,1082,42
4800807361053201,溪林风月,2022-08-10 04:07:24,重庆,商业利润可以直接变成子弹用于战争，这等同于给战争输血和加油。说无关政治，不知是无知还是傲慢…,35,19
4800851325485927,轻轻的我来了818,2022-08-10 04:07:24,广东,狠狠打击侵略者！,108,6
4800859114836514,溪林风月,2022-08-10 04:07:24,重庆,民主分英式美式？这种提法基本上就是唯英美马首是瞻、他们总是对的错误思想作祟。要知道好东西没有国家属性，就像马克思主义一样，谁都可以用得很好。//@凌竹晨:公投，这不是美式民主吗？咋不承认？真虚伪！,35,1
4800865799768601,俗人看世界202012,2022-08-10 04:07:24,宁夏,不知道博士为啥对被美帝侵略的中东各国视而不见，对乌克兰却感同身受如丧考妣,5,0
4800863657263423,衡山3,2022-08-10 04:07:24,贵州,很多国家内部都有民族问题，开不得先河//@斯图卡8403:南奥塞梯，科索沃，阿布哈兹，克里米亚，中国全部不承认//@科学自由剑:五个常任理事国中，有四个没有承认克里米亚归俄。,377,2
4800808225342623,407438738huang,2022-08-10 04:07:24,重庆,什么访问。,177,3
4800920325724506,Fei36496,2022-08-10 04:07:24,上海,克里米亚迟早回归,19,0
4800822640380694,心系双子1,2022-08-10 04:07:24,北京,任何主权国家不容侵犯！,20,6
4800970309502030,暮雪千山666,2022-08-10 04:07:24,四川,佩洛西防台像中国这样回应，不知道中国接受不？,0,0
4800899316976817,xishuiinsz,2022-08-10 04:07:24,湖北,永远支持乌克兰人民,4,1
4800788558250434,ovkrl9zha1,2022-08-10 04:07:24,陕西,看车辆方向，大都是去爆炸地点的，没有逃亡啊,15,0
4801013901690436,马叉虫宝各,2022-08-10 04:07:24,浙江,一边说立场没有变，一边派倌方背景的团队，说的就是你，美国,150,0
4800862180610689,江湖冷开水_灭妖司,2022-08-10 04:07:24,山西,谁访问的，乌克兰应该把他炸死,3,2
4800858124453555,天人合一之境,2022-08-10 04:07:24,江苏,转发微博,26.3万,0
4808458673063766,纠结体an巛d汉纸,2022-08-31 09:22:15,广西,巴铁递刀子，不应该啊,61,14
4808461747753706,喝咖啡的短毛猫,2022-08-31 09:22:15,广东,为巴铁点赞,365,28
4808465295610298,我行我素87815,2022-08-31 09:22:15,吉林,巴铁本来就是米帝的小弟呀，因为三哥投靠了大鹅，巴铁也得找个大哥罩着呀。,38,23
4808460790666174,续行前,2022-08-31 09:22:15,山东,还是独立包装啊,69,8
4808472129178407,xxxpert1345,2022-08-31 09:22:15,上海,巴铁好样的！,151,6
4808473588007453,逆風Z-001,2022-08-31 09:22:15,江苏,现装现用,58,1
4808471956424597,请别跟我较劲,2022-08-31 09:22:15,山东,最强开箱视频,123,4
4808466579590977,雷先勇2012,2022-08-31 09:22:15,福建,巴鐵可以嘛,13,11
4808477199309000,消消乐2022,2022-08-31 09:22:15,广西,黄俄们心要碎了,7,7
4808458659956251,火焰山生活,2022-08-31 09:22:15,广东,巴基斯坦一向有仿制枪械的军工业，能精确加工来福线的话估计炮弹也差不多能造,79,6
4808467170199639,小镇灯塔VB,2022-08-31 09:22:15,北京,巴铁这个叛徒,1.2万,5
4808467170984983,语言不完美因为世界不完美,2022-08-31 09:22:15,广东,弹药真的是个大问题，不但欧洲没有多少存货，现在连美国都库存告急了,199,2
4808489762036354,Aliiiiiiiiiiiice,2022-08-31 09:22:15,江苏,哈哈，所以黄鹅给俄皇军许诺的武器怎么连个残骸都找不到呀，肯定是隐形武器吧,8,2
4808501581058903,什么事都不易啊,2022-08-31 09:22:15,江苏,阿富汗的武器也是巴铁准备的,57,0
4808347083080317,这个世界好烦啊真讨厌,2022-08-31 02:00:29,上海,终于走向言论不自由了美国再不给钱估计就要兵变了,1,19
4808380654289165,啤酒花王,2022-08-31 02:00:29,浙江,乌的胜利，好像一直只留在司机的发言与美粉的视频中[捂脸],0,14
4808451203533023,夹来夹去只夹自己人,2022-08-31 02:00:29,云南,送人头博世界关注的反攻，乌纳真好笑。,6,1
4808445708212424,胡桃晒月亮,2022-08-31 02:00:29,新加坡,必将乌克兰武装部队及其佣兵部队全部消灭，以此来推开美国失落时代的大门,85,2
4808415861276884,ichbincao,2022-08-31 02:00:29,上海,哈哈哈哈哈鸟克兰这什么鸵鸟行为,141,2
