用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808288165954598,佚依依,2022-08-30 22:04:50,江西,我不喜欢辛巴，但他能折腾到这样还是挺牛逼的，包括一哥一姐这种垄断的也很讨厌，要求品牌的价格不可以低于直播间。,19,1133
4808298426269727,得桃易,2022-08-30 22:04:50,河南,自从辛巴当时捐款几个亿以后，我对他特别好感，虽然一次也没买过 就觉得不管出于何种原因吧，能捐出去这么多，就特别有担当，有社会责任感当时爆出来假燕窝事件，还挺惋惜的   我就发了个，被限流了,93,269
4808296017696789,流年不似水呀,2022-08-30 22:04:50,陕西,辛巴是找痘印平台算账，因为行业竞争他被当了出头鸟，差点成了牺牲品,13,571
4808295288409263,蒸鱼传媒,2022-08-30 22:04:50,福建,哈哈，辛巴完了？前几天还卖20个亿,2,182
4808298493380553,阳光起司,2022-08-30 22:04:50,天津,辛巴眼红了他其实就垄断电商这一块 像李佳琪,185,193
4808300183165040,赤橙黄绿绿绿绿绿,2022-08-30 22:04:50,福建,@平安北京 能不能查一查这辛巴，非常嚣张,166,108
4808321179321551,steamsc,2022-08-30 22:04:50,浙江,哭就不用赔钱了？,7,21
4808287867898131,莪琅传说,2022-08-30 22:04:50,湖北,zha浪,86,64
4808295498386712,肖麻麻-,2022-08-30 22:04:50,内蒙古,emmm什么叫辛巴完蛋了？他在快手做的还是风生水起的只是想说既然大家都卖假货了那就都该道歉道歉该赔偿赔偿,210,29
4808300514512011,aslmer,2022-08-30 22:04:50,北京,求辛巴闭嘴,217,26
4808311104604322,好运爆棚的me,2022-08-30 22:04:50,山东,辛巴说的没毛病啊，不管谁都该一视同仁,44,23
4808287939725082,得桃易,2022-08-30 22:04:50,河南,辛巴挺可惜的,93,20
4808296403306330,呱呱呱YY,2022-08-30 22:04:50,广东,快手干净？去看看小🐯队最糊的那个 天天在快手卖的什么吧,6,4
4808342507094469,盛一伦oupa,2022-08-30 22:04:50,山东,辛巴现在带的东西也是没牌子的多，看过他几场直播，也是演戏，双簧对砍价格，天天喊赔钱，天天赔钱公司早倒闭了,160,12
4808321489966018,曾敬明,2022-08-30 22:04:50,广东,支持辛巴，,664,6
4808301730597239,是最可爱的爆爆啊,2022-08-30 22:04:50,广东,昂！ 网红不都卖假货吗  某毒某海购都是假的呀 ,367,3
4808513437567454,狩猎者819,2022-08-30 22:04:50,江苏,应该一视同仁，所有卖过糖水燕窝的都得罚，都得赔，都得公开道歉！而不是把后台隐藏了，删除了，你就变干净了，互联网是有记忆的！,4125,0
4808495604696878,创意家居丨设计馆,2022-08-30 22:04:50,北京,如果没卖过，一定要告辛巴诽谤,60万,0
4808465895130854,你的昵称已被占用请重新输入,2022-08-30 22:04:50,江苏,狗der 不是，当是好多人在刘的直播间带节奏售卖假燕窝，然后激动的哭了,21,0
4808313470977122,深深深的小跟班,2022-08-30 22:04:50,广东,辛巴完蛋在哪里,114,0
4808301822612657,哈喽栓Q,2022-08-30 23:03:08,广西,估计他们签的是同一家MCN,86,4
4808301461639197,移动叔叔,2022-08-30 23:03:08,广东,趣图评论,180.3万,8
4808301604505143,看来我嘚改个ID了,2022-08-30 23:03:08,福建,图片评论,373,1
4808303349075629,张蒙vs王艳,2022-08-30 23:03:08,上海,,119,1
