用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808530353193394,班班儿,2022-08-31 14:12:45,广东,期待华为 mate 50 pro ,2416,5
4808535643524063,吃花椒的喵酱O,2022-08-31 14:12:45,湖北,友商:我们自研的“微可变光圈”在路上,45,2
4808530450977025,开心的甜橙树,2022-08-31 14:12:45,河北,这个厉害了,54,1
4808530571300620,Gaoodong,2022-08-31 14:12:45,湖北,太厉害,33,1
4808553485828141,心驰,2022-08-31 14:12:45,浙江,光圈本来就可变的吧。,184,0
4808547222950974,信通小熊描,2022-08-31 14:12:45,广东,华为总是有办法让消费者心甘情愿的掏空几个钱包。这太可恨了。,279,1
4808545616531823,老字号凉粉,2022-08-31 14:12:45,四川,🐮，进光量可控制，景深可控制,42,1
4808553548481550,韧于心坚于行,2022-08-31 14:12:45,广东,等着升级我的mate30,284,0
4808552097256346,九尾狐_笨猫,2022-08-31 14:12:45,天津,软硬件本来就是相互的，硬件不足，如果软件牛逼，也会是优秀的产品。,154,0
4808542396352919,斜眼笑的泡泡君,2022-08-31 14:12:45,上海,华为干脆出个鸿蒙系统的微单多好,53,0
4808534305541621,顧家KC,2022-08-31 14:12:45,广东,期待！,640,0
4808533343736025,全微博都是我炸的号,2022-08-31 14:12:45,上海,只要能做到跟P50pro那样，除了芯片就没有缺点，那就牛逼了,173,0
4808543158928775,水手家园,2022-08-31 14:12:45,广东,手机支持利用北斗卫星系统发信息，这个对户外特别有用！,46,0
4808531788432719,就爱酒爱,2022-08-31 14:12:45,山东,真希望是5G。那样的话国外的芯片等高科技公司就不敢把宝都压在美国一家了。,0,0
4808535286485683,玩游戏的詹皇-ZXM,2022-08-31 14:12:45,山西,看着真牛，要是配上麒麟芯片，真的就完美了,261,0
4808533121963250,快乐青扬2010,2022-08-31 14:12:45,江苏,看好MATE50系列大卖,3936,1
4808531947816898,只想看看大千世界,2022-08-31 14:12:45,湖北,肯定买不起,36,0
4808531457084682,股农无田,2022-08-31 14:12:45,广东,支持5g不？,312,0
4808238992460390,宅数码Kael,2022-08-30 16:05:47,四川,啊，我刚刚要买那个华为智能门锁Pro……,145.3万,10
4808215419951134,科技头条,2022-08-30 16:05:47,北京,可以的，不过有钱还是高端那个好，人脸识别太特么香了，比一切指纹啥的都强,379.2万,7
4808196617142864,科技维TA命,2022-08-30 16:05:47,江苏,是不是可以和手机连接了,3,1
4808197572923853,--兵临城下,2022-08-30 16:05:47,辽宁,高端门锁首发就买了，奈何锁芯尺寸不匹配又退了。能不能多出几种锁芯啊,291,0
4808220373684134,我的征途是星辰大海F,2022-08-30 16:05:47,江苏,究竟几点发布呀,10,1
4808282725944431,渝Dlilim,2022-08-30 16:05:47,重庆,我擦，刚刚买了华为智能门锁标准版,20,1
4808213479037953,拉布拉多啦拉,2022-08-30 16:05:47,福建,这个眼很眼熟,13,0
4808211960698241,科技主观说,2022-08-30 16:05:47,河南,想问一下智能音箱的产品线真的被砍掉了吗？觉得智慧屏不搭配sound系列音箱是不完整的,14,0
4808202505949554,你眼中有星辰大海q,2022-08-30 16:05:47,河南,我买的凯迪仕的，华为早发布一个月se我就买se了,102,0
4808197620370114,松山湖填湖造地项目包工头,2022-08-30 16:05:47,广东,@护航驱逐舰雪风,63,0
4808268311168676,堕龙v5,2022-08-30 16:05:47,浙江,你发的这些不应该是要切割了的产品吗？,0,0
4808430748172952,项汉锴,2022-08-30 16:05:47,江苏,期待呀,232,0
4808197699017094,中华心潇湘情,2022-08-30 16:05:47,广东,可以，覆盖不同价格区间。,0,0
4808558967259658,热爱所爱的,2022-08-31 16:06:17,北京,Oppo有点拉了啊,164,0
4808540651000155,饮个靓靓的茶,2022-08-31 14:47:48,江苏,首个加入可变光圈的手机吧,1.1万,2
4808550524651145,木偶侃机,2022-08-31 14:47:48,江西,因为红莲买了A74，所以他不愿承认,36.4万,3
4808540725706826,去看小星星星星星,2022-08-31 14:47:48,江苏,该买还得买,62,2
4808540517041242,红莲小格格,2022-08-31 14:47:48,江苏,承认它牛逼，但不能干单反,182,2
4808539003161395,哒咩咩咩lll,2022-08-31 14:47:48,湖北,花里胡哨 直接说影像实力到底怎么样吧,87,2
4808558518993897,谢谢谢师傅-,2022-08-31 14:47:48,广东,期待期待,1704,0
4808552436469142,旭日东升天降吉象与你分享,2022-08-31 14:47:48,河北,方正出来拍照技术第一,1206,1
4808550389384699,数码骑士BIack,2022-08-31 14:47:48,广东,又是领先了。我5G没有，但是我其他方面干翻你[收到],895,2
4808559944009402,初见你_眼眸,2022-08-31 16:03:40,浙江,在哪里免费贴呢,659,0
