用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4803922546135761,不做笨蛋小狗啦·,2022-08-18 21:03:23,云南,坚持一个中国原则！,197,240
4803922441278537,瑶崽yyyyyy,2022-08-18 21:03:23,河南,只有一个中国🇨🇳,87,132
4803922700540995,江织厘,2022-08-18 21:03:23,四川,只有一个中国🇨🇳,295,79
4803922626347795,书夏悬诗,2022-08-18 21:03:23,安徽,支持！,3188,26
4803922700799929,日本国父,2022-08-18 21:03:23,重庆,子不教，父之过，对不起，我的错,4212,85
4803922566589086,HYH吴情,2022-08-18 21:03:23,湖北,本子欠核平！！！,618,52
4803927382691560,DanyZz__金歪歪,2022-08-18 21:03:23,四川,借此机会把那些日本学校铲了吧,807,24
4803923178952286,Cat6rier,2022-08-18 21:03:23,四川,什么花里胡哨的说法都有了  有且只有一个中国！,5.7万,23
4803933773502481,上官匀,2022-08-18 21:03:23,广西,日本向来是好了伤疤忘了疼,577,24
4803922810902673,HuGe_的小胡椒,2022-08-18 21:03:23,陕西,“希望日方真正做到不折不扣、言行一致地恪守一个中国原则，多做有利于维护台海和平稳定的事。”,465,14
4803924164353143,剪爱贴窗,2022-08-18 21:03:23,四川,坚持一个中国原则！只有一个中国🇨🇳,580,11
4803925561837312,CHD-ZCW,2022-08-18 21:03:23,贵州,什么时候给鬼子一个深刻的教训？,13,13
4803923417761129,Haribonce,2022-08-18 21:03:23,四川,只有一个中国🇨🇳少说其他的,411,5
4803927205743050,_CiCi秦秦_守护,2022-08-18 21:03:23,广东,坚决维护国家🇨🇳主权和领土完整！,2万,6
4803930100074481,落雾月寻紀,2022-08-18 21:03:23,江苏,只有一个中国 坚决维护国家主权和领土完整,1639,4
4803923716342865,隻琪,2022-08-18 21:03:23,广东,日方还要铭记历史就好了,3725,8
4803939520486637,别和我比帅怕你受伤害,2022-08-18 21:03:23,上海,小日本一直作死,139,10
4803979739663577,退役大军,2022-08-18 21:03:23,新疆,敢阻挠中国统一大业，日本必会亡国！,32,2
