用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4806139608831380,Emma_7丶,2022-08-24 12:01:50,新疆,都美竹能不能封杀 能不能进去 不想看到这个人了再,856,1466
4805998269171629,_白日梦记,2022-08-24 12:01:50,山东,不就是因为刘美丽手里有她犯罪证据吗都小姐怕了,6870,1272
4805996524867143,王小白白白白白白又白,2022-08-24 12:01:50,四川,刘美丽发文了,1.1万,796
4806000605398587,垂头丧气猫,2022-08-24 12:01:50,山东,报警诽谤👮没搭理哦，最后以侵犯隐私名誉权民事立案不就证明刘美丽说的都是真的吗，笑死。,48,530
4805999565999726,Lynett佳,2022-08-24 12:01:50,浙江,刘美丽放出的录音里确实有都美竹敲诈800万的事啊#都美竹录音# 而且在夜总会上班也不是粉丝说的，是和她一起上过班的人爆出来的,125,309
4806126636631183,tiffany-lin,2022-08-24 12:01:50,广东,分赃不均 起内讧。好搞笑。吴亦凡还有机会吗？,154,274
4805983756881880,超级喜欢阿凡呀,2022-08-24 12:01:50,浙江,她两姐妹控诉被都美竹诈骗了,246,187
4806142469608714,想做大帅哥,2022-08-24 12:01:50,河北,都美竹快进去吧,18,131
4806125332207781,Dyx小玉儿,2022-08-24 12:01:50,山东,这3个人一起让吴名誉扫地，吴如果被判，她们3人会一起逍遥法外，反之，一个也跑不了。吃瓜群众等待后续，吴的案子马上揭晓！,184,128
4806146252608929,草莓牛奶耶_,2022-08-24 12:01:50,重庆,dmz能不能不要再热搜了  并不关心你的事,1380,102
4805998475478631,爱你1997年,2022-08-24 12:01:50,浙江,都美竹报警是诽谤，但是法院回执是隐私名誉受损，这是法院也认可她的姐妹没有造谣诽谤而是事实吧,69,72
4806136299267689,Fili_ko,2022-08-24 12:01:50,浙江,如果说都美竹可以生胜诉，她的责任律师我看也得进去,448,96
4806047900109398,严严严严严严主任_是班的,2022-08-24 12:01:50,四川,警方单怕也是被她玩得团团转,209,74
4806154628891059,-微博名短点像我就好,2022-08-24 12:01:50,广东,都美竹真的睡不醒啊 刘美丽不是你亲口说的好朋友吗,1012,42
