用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808262974968404,阳光明媚552202203,2022-08-30 20:22:49,辽宁,吴磊的演技真的太棒了,379,14
4808263307101799,chaishuang-fdu,2022-08-30 20:22:49,河南,这个夏天谢谢吴磊的陪伴。,125,0
4808263059641216,A奔跑的蜗牛12,2022-08-30 20:22:49,辽宁,这么快结局了，很不舍,106,1
4808263055179971,江上昼雪_,2022-08-30 20:22:49,江苏,期待吴磊下一部作品,107,2
4808263017432563,年糕小狐狸24,2022-08-30 20:22:49,广东,希望平行时空的霍不疑也能见证这璀璨的人间星河,237,8
4808262992794041,饼干脆脆的123,2022-08-30 20:22:49,湖南,很是舍不得结束哦,23,2
4808262967626683,1月亮的裙角87,2022-08-30 20:22:49,河南,真的舍不得再见,455,2
4808269711542129,Wuli暖饱饱,2022-08-30 20:22:49,四川,舍不得 磊磊未来可期 年轻有礼貌充满朝气 认真对待每一个角色 正能量的好演员,49,0
4808263772671025,大流氓很快乐,2022-08-30 20:22:49,河南,希望平行时间里面的灵不一也能见证着璀璨时光。,215,0
4808263407501661,娟娟姐_72250,2022-08-30 20:22:49,河南,吴磊的演技真的是特别的棒。,127,0
4808263378666278,恒珍子,2022-08-30 20:22:49,河南,真的是有点舍不得呀，爱了爱了。,204,0
4808263360583327,3ce雪千金9,2022-08-30 20:22:49,山西,确实是有点舍不得呀。,115,0
4808263307103303,yiwangmy,2022-08-30 20:22:49,重庆,真的结束的太快了,113,0
4808263264375672,愿你不服输456,2022-08-30 20:22:49,中国,多少有点舍不得？,67,0
4808263243137547,小宝jfi,2022-08-30 20:22:49,河南,吴磊的演技真的是太棒了。,115,0
4808263226623474,茄子紫不紫,2022-08-30 20:22:49,四川,吴磊的演技真的太棒了,153,0
4808263215092899,残殇凉梦,2022-08-30 20:22:49,河南,看了这么久，真的有点舍不得。,125,0
4808263197526694,我们的少年时代258,2022-08-30 20:22:49,广东,感觉真的非常舍不得,119,0
4808263176290701,周周小宝贝11,2022-08-30 20:22:49,中国,真的是舍不得,124,0
4808263176815702,lucy黄燕霞_511,2022-08-30 20:22:49,河南,希望吴磊可以越来越好。,110,0
4808302074007666,隔壁阿雕叫巴拉养乐多不多,2022-08-30 22:54:12,北京,收官啦✌🏻露思玩儿的开心～,1.1万,903
4808302477708733,色授魂与露,2022-08-30 22:54:12,浙江,赵露思收官快乐啦,1.4万,669
4808301981999026,_-_--_---__,2022-08-30 22:54:12,湖南,庆祝庆祝🎉 赵露思实绩🈶️,54,593
4808302325927940,Erinhallo,2022-08-30 22:54:12,四川,程少商收官快乐！露思玩的开心喔,748,493
4808302392775739,露心引力,2022-08-30 22:54:12,江苏,赵露思收官快乐,340,348
4808302523059363,十五Staying,2022-08-30 22:54:12,重庆,赵露思程少商,70,298
4808299193568893,爱干饭的小lin,2022-08-30 22:54:12,广东,圆满了,20,252
4808302041503722,露心引力,2022-08-30 22:54:12,江苏,赵露思好漂亮,340,183
4808302297617361,酷奶盖的ga宁,2022-08-30 22:54:12,黑龙江,收官快乐呀 少商要永远开心哦 再见程少商👋你好赵露思,664,155
4808303051280135,小雷想暴富啊,2022-08-30 22:54:12,重庆,赵露思好漂亮收官快乐,4246,124
4808302846808183,赵小姐的馒头,2022-08-30 22:54:12,江西,感谢这个夏天遇见程少商,106,79
4808298979920031,熊之绿色上网卡哇哇比,2022-08-30 22:54:12,安徽,就是般配我说累了,136,92
4808303106071168,夕曦曦曦曦曦,2022-08-30 22:54:12,重庆,收官快乐赵露思再见啦程少商,602,57
4808302858338930,四弦倾歌lilen,2022-08-30 22:54:12,广东,程少商！收官啦！露思玩得开心,1333,57
4808302750597269,strawyyy-,2022-08-30 22:54:12,福建,收官啦,76,49
4808302733825720,烏亀意外跑的快,2022-08-30 22:54:12,中国台湾,庆功宴快乐！程少商也要快乐,1493,46
4808302690833623,是双佳啊,2022-08-30 22:54:12,江西,赵露思棒棒哒收官大吉,1936,25
4808304008365311,乌拉那拉狗剩儿,2022-08-30 22:54:12,山东,赵露思,101,23
4808300875484908,柒伍陳,2022-08-30 22:54:12,河南,这个夏天圆满落幕了,369,24
4808302628445572,今天会早睡吗,2022-08-30 22:54:12,江苏,额你带的词条还不少 赵露思程少商,156,14
4808286132771593,骚杯,2022-08-30 21:58:22,河北,我本来已经要失望了，他突然莫名其妙来一句“这是我最后的存货了。”真的很此地无银三百两,10.1万,565
4808285905750057,剧综大咖,2022-08-30 21:58:22,河北,嗑上头了好几周，有点点难过，尤其是看到他补充了一句，这是最后的存货了，我理解为以后不会再发了，要拆了，当然我希望不是这样的。,5万,162
4808285632603245,米易喲miyo,2022-08-30 21:58:22,四川,三搭再见吧 最近磕生磕死的，工作 生活 考试 都耽误下了 ，他们和剧中人告别，我也和剧中人告别，回到现实中去了就是不知道能不能控制住自己不刷超话,239,209
4808287961484182,爱吃红烧肉的咕咕,2022-08-30 21:58:22,山东,福甘已至不就是lp在身边了吗，一语双关不是嘛。而且为什么把费导放c位，因为费导是月老啊,419,136
4808286336982194,一只珍波椰修勾,2022-08-30 21:58:22,广东,三搭再见吧👋,355,36
4808286522574109,蝎子乀丫妮,2022-08-30 21:58:22,上海,越是暧昧越是让人捉摸不透，且耐人寻味！,1006,20
4808291186118064,轻罗小扇慕云熙,2022-08-30 21:58:22,湖南,我愿等一个五年后,39,17
4808291219936473,Fngayiruru_,2022-08-30 21:58:22,上海,这是我最后的存货了 为什么都被这句话磕到了？？求解,6628,4
4808285641250867,向上吧啊龙,2022-08-30 21:58:22,河北,我们也不要过度解读了 天若有道 自不会让有情人分离 我们接下来就回归各自的生活 期待下一次重逢吧,6,9
4808285389592559,柠檬大丸子哟,2022-08-30 21:58:22,江苏,这大漏勺,114,0
4808285288930430,茗茗还是绵绵,2022-08-30 21:58:22,广东,三搭再见，约好咯大家,29,3
4808340624638292,大鲸鱼和水蜜桃,2022-08-30 21:58:22,甘肃,你会云你多云,14,0
4808292377559057,六月书店老板,2022-08-30 21:58:22,湖南,三搭见,243,0
4808290855290407,六月书店老板,2022-08-30 21:58:22,湖南,明天我就要淡定的嗑了好好回归自己的生活，今晚也降温了，夏天真的好像结束了,243,1
4808285586464121,KP0428,2022-08-30 21:58:22,辽宁,想的差不多，我其实更希望他俩能三搭后在一块,11,3
4808288040649233,思无邪H念起灵,2022-08-30 21:58:22,山西,三搭见,8,2
4808285154711507,会吃的小饭团,2022-08-30 21:58:22,湖北,三搭再见吧,3,1
4808453010753530,霜色尽染199902,2022-08-30 21:58:22,辽宁,其实，在这个刚刚好的年龄谈，才最好吧，都是最好的年华，都还保持那份赤子之心，不管未来能不能真的在一起，也不管未来是否还会遇见更对的人，至少遇见过，倾慕过，在一起过。PS：上述为圈地自萌，脑中自嗨的想法。,0,0
4808297012795142,爱吃骨头的喵喵512,2022-08-30 21:58:22,山东,嗑的太累了在一起不在一起都不重要了，我们的生活还要继续。各自安好，一切随缘。,1,0
4808295338740817,徐姗_BHJPs,2022-08-30 21:58:22,北京,对,498,0
4808279656497965,Morgane人儿,2022-08-30 21:22:09,河南,因为凌不疑让我对吴磊又有了更新的认识啊 他演的真的太好了,88,4
4808283381046060,宅猫佐佐,2022-08-30 21:22:09,广东,就是剧太慢了，慢镜头，慢动作一大堆，古人讲话也慢，剧情也是，开1.4倍速刚刚好，但演员选得都不错，演技不出戏，符合人设，造型也好看，打戏看得出来很用心,154,0
4808293912150885,第二碗泡菜鱼,2022-08-30 21:22:09,河南,真的好喜欢三石弟弟这个角色了！！凌不疑yyds！！,18,0
4808280666276041,小于不吃鱼-JY,2022-08-30 21:22:09,山东,真的超级喜欢凌不疑，吴磊弟弟的演技真的没得说，期待弟弟更优秀的作品,3,0
4808279635006560,a_山野,2022-08-30 21:22:09,河北,这么好的演员和布景，是一部制作精良的好剧，值得二刷，反复喜欢上吴磊,25,0
4808279577071367,宛风·,2022-08-30 21:22:09,河南,细节处理的太好了！！一部值得反复观看的好剧！,125,0
4808279567896520,蒙檬的小尾巴2,2022-08-30 21:22:09,广东,感谢吴磊演绎的凌不疑陪我们度过了这个夏天，我们不说再见👋🏻,521,0
4808280121543975,不然jtm,2022-08-30 21:22:09,河南,吴磊真的很有演技，特别的喜欢他！,2,1
4808279786521504,派沓星嗄,2022-08-30 21:22:09,四川,说得对，好的团队，好的剧情，好的演员，好的导演都是值得二刷看起来的。,61,0
4808279781807144,我不是宋Pro,2022-08-30 21:22:09,江西,这么快就大结局了好舍不得，好喜欢凌不疑这个角色啊我狠狠爱了,16,0
4808277156697017,倩雅睡不醒,2022-08-30 21:22:09,浙江,💚💜🍑星汉因所有人而灿烂，月升因所有人而圆满，这部剧的成功离不开剧组所有人的付出，优秀的人们凑在一起组成了这部剧，感谢遇见！,2539,71
4808277210438801,只想天天都睡懒觉,2022-08-30 21:22:09,河南,💚💜🍑一部好剧的出现，离不开剧组所有人员的努力，《星汉灿烂·月升沧海》从不是个别演员的个人成就，而是大家的成就。希望剧组的大家的未来都越来越好！,93,68
4808277420149626,月下白白白白白,2022-08-30 21:22:09,重庆,💚💜🍑这个夏天，和《星汉灿烂·月升沧海》遇见极其有幸，整个剧组上上下下大家都好棒，期待三搭！期待以后大家有更多的合作！,17,57
4808284286487496,Guyan玥玥,2022-08-30 21:22:09,广东,你的（不信呢）怎么不见了,20,76
