用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4807924478382196,财入门,2022-08-29 21:31:54,山东,请大家理性留言，要不然待会就看不见了,30.8万,1699
4807932397226946,傲娇小太阳嘻哈哈,2022-08-29 21:31:54,北京,灰码以后会不会分情况有什么粉码，紫码，蓝码,50,1252
4807925976009692,香樟树下蜗牛爬,2022-08-29 21:31:54,江苏,儿子三年大学上了个寂寞，同学就认识自个儿宿舍的，教室和实验室门朝哪边开的都忘了马上毕业班了，居然无限推迟报道,0,1317
4807921768861714,声声慢慢慢不下来,2022-08-29 21:31:54,天津,可以不上班，但不可以不发工资🙏,593,854
4807921092794635,阿乐吃不瘦,2022-08-29 21:31:54,天津,那要不就别上班了吧,232,560
4807931218626692,壹贰叁肆伍nana,2022-08-29 21:31:54,陕西,以前出门见面，“您吃了嘛”，现在“您核酸了嘛”,123,451
4807931905706491,香蕉不呐呐AHA,2022-08-29 21:31:54,湖北,做核酸咋了我滴天  现在这种局势就要做核酸啊  也没耗多少时间啊  现在做核酸比以前方便还快捷  不知道一些个喷子在喷什么,74,236
4807936717360500,爱做梦的忘事精,2022-08-29 21:31:54,北京,其实重点不在于做不做核酸，而在于出市出省的人，应该规范行为，尽量少外出、少聚集。这样只让密切接触外出过的人做核酸就好了。当然这个很理想化，疫情这么久了大多数人的想法还是觉得自己不会这么背。该干嘛干嘛，不想自己的生活被影响，于是疫情一波一波又一波的，苦了我们这些听话陪跑的,317,171
4807931977008411,麦芽不是糖aaa,2022-08-29 21:31:54,广东,我今年来深圳，做了这辈子最多的核酸,178,187
4807926302379219,louywn,2022-08-29 21:31:54,四川,可以不上班，那可以不还房贷吗？,14,221
4807938877167249,雾里丶看云,2022-08-29 21:31:54,辽宁,以后办个VIP 做核酸第一个做,400,173
4807925073184320,姜汁馅儿的喜酒福,2022-08-29 21:31:54,重庆,我只想去上学求求了我马上就毕业了，让我安心上一年学，可以吗？,60,120
4807929997820679,IAuhsgniJ,2022-08-29 21:31:54,四川,我是真的很怕被裁员,37,79
4807928793536058,小福好美,2022-08-29 21:31:54,陕西,可以不上班但是外省大学生必须过去开学,45,91
4807919432634433,清mikker,2022-08-29 21:31:54,上海,大胆何人在此阴阳怪气,0,67
4807938537686503,做奋青不想做愤青的,2022-08-29 21:31:54,湖北,这个决定好，其实就应该坚持下去，不能等到没什么疫情的时候改成要5天核酸。算一场经济账的话，全民免费核酸2天一检的话，也比封城对经济的影响来的小一些。,1107,15
4807929167611880,鸡毛夫人,2022-08-29 21:31:54,广东,天天核酸都防不住,602,36
4807926793118391,岸上的郭妞,2022-08-29 21:31:54,浙江,做电商的朋友最近十分之一的订单发不了快递,110,36
4807926071952838,长情的神经病,2022-08-29 21:31:54,四川,不上班？不上学？,241,22
4807925542947922,甜甜的胖爪爪,2022-08-29 21:31:54,陕西,你是不是在说反话,26,30
4808465454993316,CNboice_丛儿,2022-08-31 08:56:49,四川,绵阳还考试吗,807,5
4808465455514646,椰橘今天也好想猫猫,2022-08-31 08:56:49,四川,四川加油！,2441,9
4808469926641898,蒋悦曦,2022-08-31 08:56:49,四川,我真的太难了 全家都在隔离,259,1
4808450837845148,奜乵,2022-08-31 08:56:49,四川,快清零吧,26,9
4808466465555996,小人儿拾柒,2022-08-31 08:56:49,北京,四川今年太难了,0,3
4808470228373722,王子竹_,2022-08-31 08:56:49,四川,加油，四川！,371,0
4808466169071373,炬电快充,2022-08-31 08:56:49,福建,快清零吧,6,1
4808467694748958,噗噗很花心,2022-08-31 08:56:49,四川,快清零吧  不想延迟开学了,38,9
4808463346307134,秦远-,2022-08-31 08:56:49,四川,我要回学校,398,5
4808470383560100,自考柚子,2022-08-31 08:56:49,四川,加油！,2178,0
4808468047334511,皖月-,2022-08-31 08:56:49,四川,孩子想开学 又推迟了,11,4
4808466071555666,走心lw,2022-08-31 08:56:49,四川,我想开学,117,2
4808464305494196,别叫我林克我是塞尔达,2022-08-31 08:56:49,四川,看到都在隔离管控中就放心了,210,1
4808471381283371,落云之木,2022-08-31 08:56:49,四川,唉呀真是……今年又是停电又是不下雨又是高温又是山火又是疫情的……真的太难了……四川加油啊！,1.1万,0
4808470501526150,小七姑凉咕咕咕,2022-08-31 08:56:49,四川,重庆好了点四川又严重了重庆读书的四川宝宝不容易,79,0
4808469401569413,疯燕1990,2022-08-31 08:56:49,四川,快点结束吧，今年四川太难了,5341,0
4808466276814883,蔚蔚的流苏,2022-08-31 08:56:49,四川,我好难呀,563,0
4808467993597869,崽儿豁你,2022-08-31 08:56:49,江苏,我想回家,0,0
4808480521719176,云南消防,2022-08-31 10:47:41,,消防版居家防疫顺口溜,99.8万,6
4808494060929610,河北消防,2022-08-31 10:47:41,,,255.3万,3
4808481930481445,大同消防,2022-08-31 10:47:41,,,9.6万,3
4808481435288985,成都消防,2022-08-31 10:47:41,,,37.2万,2
4808478861037621,野生全智贤xxx,2022-08-31 10:47:41,北京,,817,10
4808478843995506,野生全智贤xxx,2022-08-31 10:47:41,北京,顺口溜,817,9
4808478881745840,野生全智贤xxx,2022-08-31 10:47:41,北京,记住了,817,8
4808479040865130,空白格子Uncle,2022-08-31 10:47:41,北京,扩散,38,7
4808479011770323,空白格子Uncle,2022-08-31 10:47:41,北京,转需,38,7
4808478985554735,空白格子Uncle,2022-08-31 10:47:41,北京,防疫防火,38,7
4808479250580800,UncleM影像,2022-08-31 10:47:41,北京,记住了,43,5
4808479221224291,UncleM影像,2022-08-31 10:47:41,北京,,43,5
4808479208377093,UncleM影像,2022-08-31 10:47:41,北京,多听两遍,43,5
4808510175450478,时光能缓笑靥如花,2022-08-31 10:47:41,江苏,,1.1万,0
4808483197945197,不争不求123,2022-08-31 10:47:41,贵州,,189,0
4808522073639317,眷念不等于念旧i,2022-08-31 10:47:41,四川,记住了，成都加油,203,0
4808480332976304,筑梦373,2022-08-31 10:47:41,浙江,,67,0
4808525043996506,欢欢Jennychen,2022-08-31 10:47:41,四川,蓝朋友的话请记牢,512,0
4808508791330218,锅里的鱼呦,2022-08-31 10:47:41,天津,刚看到白衣战士把人房子用木板封起来,51,2
4808529058470923,跌倒在你的上方,2022-08-31 10:47:41,新疆,静默期间发生最多的突发事件是去做核酸钥匙锁在家里。,864,0
4808455095847253,乌兹人称小嘎啦,2022-08-31 09:08:35,河南,3300多个中高风险全国一起加油,8,3
4808454739069074,没睡醒的铁,2022-08-31 09:08:35,四川,这个明显不准确,196,0
4808487618742579,卿蓓-1002,2022-08-31 09:08:35,河南,开学都开不了了,31,2
4808461890883164,孤岛小木匠,2022-08-31 09:08:35,辽宁,这个统计表太实用了,1286,2
4808459465263997,斜杠女青年常汮,2022-08-31 09:08:35,辽宁,我看国务院疫情风险查询，大连甘井子区只有一个中风险呀，为啥表格显示有两个,1.7万,1
4808531083530597,Raaaaaaaaachel,2022-08-31 09:08:35,青海,格尔木就光昨天新增49个高风险地区，这个数据不准确啊,49,0
4808487639714710,李亭澈,2022-08-31 09:08:35,河南,开封无新增了？,102,0
4808457796454529,晨大神啊,2022-08-31 09:08:35,广东,真疲惫,559,0
4808496049292902,柘七柘七,2022-08-31 09:08:35,广东,坐标龙岗莱寓公寓，签了一年合同，七层都住满了，昨天晚上接通知被征用做隔离酒店，今天下午就清空，四五百人无家可归，楼下中介坐地起价，看看孩子,84,0
4808461273007277,四级G7壬,2022-08-31 09:08:35,海南,又来清零了,0,0
4808454726487259,朴实环保人,2022-08-31 09:08:35,河南,图中，西藏那曲市，有个，尼玛县,40,0
4808507775784818,嘉陵公安,2022-08-31 10:21:29,,#健康发布# 【四川省新型冠状病毒肺炎疫情最新情况（8月31日发布）】#四川疫情防控##河北省新增新型冠状病毒肺炎确诊病例1例##8月30日增1326例本土无症状##辽宁增本土确诊5例无症状71例##重庆新增本土确诊7例# ,1.6万,0
4808537807525625,乔巴的Chopper,2022-08-31 10:21:29,四川,希望疫情早点过去,213,0
4808302380977844,早安妮妮Ni,2022-08-30 21:57:32,四川,我去真的不延啊？疫情这么严重,556,0
4808286924445033,埼玉爆弹,2022-08-30 21:57:32,江西,那还是延期一天侮辱性更强一点,32,34
4808292692399811,BenSPLATT,2022-08-30 21:57:32,湖南,都是部属,1154,2
