用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808542391897162,阿斯巴甜的米,2022-08-31 15:00:03,吉林,期待@卡布叻_周深 的舞台,1.5万,9524
4808542597683395,飘浮的Jerry,2022-08-31 15:00:03,云南,期待周深@卡布叻_周深,741,8642
4808542660596674,诗珞绽璇,2022-08-31 15:00:03,北京,啊啊啊啊啊啊周深不见不散@卡布叻_周深,1287,8271
4808542387965928,旧梦归l,2022-08-31 15:00:03,吉林,期待周深！！！,229,7485
4808542487578446,猫咪翅膀,2022-08-31 15:00:03,上海,期待周深！,619,7320
4808542513534950,小星福福福,2022-08-31 15:00:03,山西,期待周深,433,7040
4808543591468336,重生之看不了你,2022-08-31 15:00:03,河南,期待 @MIC檀健次JC-T 中秋舞台,1万,7217
4808543561586513,sunny依L,2022-08-31 15:00:03,山东,“当年弄影婆娑舞。”如今亦在灯火通明下共享美满佳节～和@MIC檀健次JC-T 一起相伴中秋。,1.2万,6838
4808543520426482,麻辣鱿鱼徐_X,2022-08-31 15:00:03,浙江,期待檀健次,1.1万,7116
4808543591728567,sunny依L,2022-08-31 15:00:03,山东,“皎皎秋空八月圆，常娥端正桂枝鲜。”八月十五秋月圆，与@MIC檀健次JC-T 一同歌赞传统团圆节～,1.2万,6805
4808543541398103,sunny依L,2022-08-31 15:00:03,山东,“平分秋⾊⼀轮满，长伴云衢千⾥明。”有明月清风相伴，中秋佳节，与你共度@MIC檀健次JC-T,1.2万,6762
4808543552932109,Reend80s,2022-08-31 15:00:03,中国台湾,中秋月，团圆夜。伴随着秋日的晚风，赏月满星稀，在歌舞中得幸福美满～@MIC檀健次JC-T,10.5万,6647
4808543578623128,麻辣鱿鱼徐_X,2022-08-31 15:00:03,浙江,期待檀健次的舞台,1.1万,6454
4808543688196953,麻辣鱿鱼徐_X,2022-08-31 15:00:03,浙江,期待檀健次,1.1万,6254
4808543582815904,RX_orb限定·,2022-08-31 15:00:03,湖北,和檀健次一起,9.7万,6140
4808543080025651,多多陪伴,2022-08-31 15:00:03,上海,期待檀健次的中秋舞台,607,5786
4808542773837868,诗珞绽璇,2022-08-31 15:00:03,北京,中秋之夜，和周深不见不散@卡布叻_周深,1287,3813
4808543716771586,被窝里次奶檀,2022-08-31 15:00:03,海南,期待檀健次,1742,5744
4808542715117839,小吐逗tt,2022-08-31 15:00:03,江西,期待檀健次，中秋见！,95,5281
4808543658052895,重生之看不了你,2022-08-31 15:00:03,河南,期待檀健次 9.10不见不散,1万,5031
4808562717493832,青岛逻言,2022-08-31 16:17:40,山东,大家看周深跳舞,200,100
4808564923958699,心灵0425,2022-08-31 16:17:40,广东,期待周深@卡布叻_周深,545,87
4808562683152097,青岛逻言,2022-08-31 16:17:40,山东,今年配了舞团,200,78
4808562683938712,四月天的sophie,2022-08-31 16:17:40,上海,期待周深,114,74
4808564101877844,星星小奶泡,2022-08-31 16:17:40,山东,谁会不期待周深跳舞呢,47,62
4808564067273897,水蝶月舞,2022-08-31 16:17:40,上海,想看周深的舞台,197,45
4808565354922959,·酸甜锅包又,2022-08-31 16:17:40,广东,期待周深,1225,33
4808564981632242,乐悠悠想瘦在努力,2022-08-31 16:17:40,天津,期待周深,223,19
4808563971854866,一闪一闪的星星叻,2022-08-31 16:17:40,广东,期待,103,17
4808564738100127,世界摸鱼锦标赛冠军,2022-08-31 16:17:40,重庆,#央视中秋晚会首波阵容官宣# 周深周深,2259,11
4808563661212855,深海里的一抹蓝丶,2022-08-31 16:17:40,陕西,期待今年,4,14
4808566143455809,冰Q小小小孩,2022-08-31 16:17:40,中国台湾,超期待周深的中秋舞台@卡布叻_周深,7,2
4808565565688989,小纲and小荭,2022-08-31 16:17:40,江西,期待周深,120,10
4808565753908288,吃饱了的小哪吒,2022-08-31 16:17:40,广东,周深,1244,8
4808576982583551,O-O槑,2022-08-31 16:17:40,上海,期待周深,28,1
4808569348165292,想把小星星放进口袋里,2022-08-31 16:17:40,河北,期待周深央视中秋舞台@卡布叻_周深,90,2
4808565401063879,深得我心叻C-929,2022-08-31 16:17:40,江苏,好期待周深啊,6,4
4808575136304844,小知糖,2022-08-31 16:17:40,重庆,哈哈哈舞团,170,0
4808566643625049,叶子有点闲,2022-08-31 16:17:40,辽宁,期待,19,4
4808566114095273,礼貌吗你少管我,2022-08-31 16:17:40,重庆,期待,571,4
4808543888475583,未晚非晚_,2022-08-31 15:06:20,浙江,期待周深不见不散,57,2903
4808544052838766,小邢陛下,2022-08-31 15:06:20,上海,期待周深@卡布叻_周深,436,2840
4808543863309032,倩茜嘻嘻,2022-08-31 15:06:20,江苏,期待周深哇，这次有舞团哦,5678,2748
4808544354042416,febrianggraeni,2022-08-31 15:06:20,马来西亚,@卡布叻_周深 ,235,2615
4808544224542777,星星在发光_叻,2022-08-31 15:06:20,湖北,期待周深，不见不散@卡布叻_周深,102,2669
4808546278969413,_玖柒玖柒,2022-08-31 15:06:20,安徽,中秋佳节与李易峰不见不散,234,3747
4808544157700466,小贺便笺,2022-08-31 15:06:20,江苏,期待大帅哥李易峰啦！9.10不见不散@李易峰,1.1万,3809
4808546175158832,你别问我怎么敢,2022-08-31 15:06:20,海南,李易峰,141,3605
4808546284208536,FforGet_,2022-08-31 15:06:20,湖北,期待李易峰,1068,3638
4808546296531416,reiuevE,2022-08-31 15:06:20,福建,期待李易峰,1.3万,3652
4808546438355310,来一份可爱87,2022-08-31 15:06:20,广西,期待李易峰,368,3537
4808546509916587,一级拽学家,2022-08-31 15:06:20,黑龙江,李易峰,2859,3458
4808546539012749,我喜欢金牛座,2022-08-31 15:06:20,北京,期待李易峰,217,3324
4808546183548043,Tiffany就是我,2022-08-31 15:06:20,浙江,期待李易峰，不见不散,17.8万,3184
4808544018239669,快来抢周深的洋芋粑粑,2022-08-31 15:06:20,云南,周深@卡布叻_周深,2,2232
4808546322222307,琴魔小龙虾,2022-08-31 15:06:20,湖南,期待李易峰,102.3万,2972
4808546203470974,·草草的橘子汽水·,2022-08-31 15:06:20,浙江,期待李易峰,1万,2768
4808544132268386,Sktang_berasC929,2022-08-31 15:06:20,马来西亚,期待周深@卡布叻_周深 ,8,1853
4808546451981337,偷懒大王LEE草,2022-08-31 15:06:20,天津,期待李易峰,643,2532
4808546481607025,盐焗气泡水·,2022-08-31 15:06:20,天津,期待李易峰@李易峰,1.1万,2307
4808580374726073,阿斯巴甜的米,2022-08-31 17:31:33,吉林,还得是@卡布叻_周深 ,1.5万,67
4808580450225582,诗珞绽璇,2022-08-31 17:31:33,北京,周深@卡布叻_周深,1287,60
4808580501603598,Miracle_Z_,2022-08-31 17:31:33,福建,周深周深周深我们秋晚不见不散,1389,42
4808580525724808,妮妮娜娜米米子,2022-08-31 17:31:33,北京,周深@卡布叻_周深,727,35
4808580605941299,诗珞绽璇,2022-08-31 17:31:33,北京,中秋之夜，和周深不见不散@卡布叻_周深,1287,27
4808580756410693,oruola99,2022-08-31 17:31:33,广东,又是一年中秋夜，和周深相约！@卡布叻_周深,38,6
4808580673307700,眼里只有深深,2022-08-31 17:31:33,广东,周深,83,5
4808580341170418,Liz白兮尔,2022-08-31 17:31:33,福建,檀健次真的期待啊,16.3万,2
4808580290582349,·番茄饺子·,2022-08-31 17:31:33,内蒙古,檀健次[上课了],1.5万,2
4808580232643767,Liz白兮尔,2022-08-31 17:31:33,福建,檀健次,16.3万,2
4808580219535475,麻辣鱿鱼徐_X,2022-08-31 17:31:33,浙江,檀健次,1.1万,2
4808580199614667,重生之看不了你,2022-08-31 17:31:33,河南,檀健次好棒！！,1万,2
4808580186768413,Liz白兮尔,2022-08-31 17:31:33,福建,“平分秋⾊⼀轮满，长伴云衢千⾥明。”有明月清风相伴，中秋佳节，与你共度@MIC檀健次JC-T,16.3万,2
4808580890366712,被窝里次奶檀,2022-08-31 17:31:33,海南,檀健次,1742,1
4808580890628155,奶包真的很方,2022-08-31 17:31:33,河北,周深怎么这么棒啊@卡布叻_周深,1636,1
4808580835838745,只喝弗瑞希De小怪兽,2022-08-31 17:31:33,上海,檀健次,1.3万,1
4808580899014327,yanyinjie,2022-08-31 17:31:33,湖南,期待@卡布叻_周深 舞台,27,1
4808580626907320,星妈AmyTJ,2022-08-31 17:31:33,上海,期待周深@卡布叻_周深 ,873,5
4808580291887672,香菇举栗子,2022-08-31 17:31:33,江苏,期待檀健次,19,0
4808580374726073,阿斯巴甜的米,2022-08-31 17:31:33,吉林,还得是@卡布叻_周深 ,1.5万,69
4808580450225582,诗珞绽璇,2022-08-31 17:31:33,北京,周深@卡布叻_周深,1287,62
4808580501603598,Miracle_Z_,2022-08-31 17:31:33,福建,周深周深周深我们秋晚不见不散,1389,43
4808580525724808,妮妮娜娜米米子,2022-08-31 17:31:33,北京,周深@卡布叻_周深,727,36
4808580605941299,诗珞绽璇,2022-08-31 17:31:33,北京,中秋之夜，和周深不见不散@卡布叻_周深,1287,28
4808580756410693,oruola99,2022-08-31 17:31:33,广东,又是一年中秋夜，和周深相约！@卡布叻_周深,38,9
4808580673307700,眼里只有深深,2022-08-31 17:31:33,广东,周深,83,7
4808580341170418,Liz白兮尔,2022-08-31 17:31:33,福建,檀健次真的期待啊,16.3万,2
4808580290582349,·番茄饺子·,2022-08-31 17:31:33,内蒙古,檀健次[上课了],1.5万,2
4808580232643767,Liz白兮尔,2022-08-31 17:31:33,福建,檀健次,16.3万,2
4808580219535475,麻辣鱿鱼徐_X,2022-08-31 17:31:33,浙江,檀健次,1.1万,2
4808580199614667,重生之看不了你,2022-08-31 17:31:33,河南,檀健次好棒！！,1万,2
4808580186768413,Liz白兮尔,2022-08-31 17:31:33,福建,“平分秋⾊⼀轮满，长伴云衢千⾥明。”有明月清风相伴，中秋佳节，与你共度@MIC檀健次JC-T,16.3万,2
4808580890366712,被窝里次奶檀,2022-08-31 17:31:33,海南,檀健次,1742,1
4808580890628155,奶包真的很方,2022-08-31 17:31:33,河北,周深怎么这么棒啊@卡布叻_周深,1636,1
4808580835838745,只喝弗瑞希De小怪兽,2022-08-31 17:31:33,上海,檀健次,1.3万,1
4808580899014327,yanyinjie,2022-08-31 17:31:33,湖南,期待@卡布叻_周深 舞台,27,1
4808580626907320,星妈AmyTJ,2022-08-31 17:31:33,上海,期待周深@卡布叻_周深 ,873,5
4808580291887672,香菇举栗子,2022-08-31 17:31:33,江苏,期待檀健次,19,0
4808567717366571,只喝弗瑞希De小怪兽,2022-08-31 16:41:48,上海,“皎皎秋空八月圆，常娥端正桂枝鲜。”八月十五秋月圆，与@MIC檀健次JC-T 一同歌赞传统团圆节～,1.3万,27
4808567783164451,慕檀鸢丶,2022-08-31 16:41:48,江苏,期待呀,1.1万,24
4808568202860072,Reend80s,2022-08-31 16:41:48,中国台湾,“皎皎秋空八月圆，常娥端正桂枝鲜。”八月十五秋月圆，与@MIC檀健次JC-T 一同歌赞传统团圆节～,10.5万,20
4808567775039598,贴贴檀猫猫-,2022-08-31 16:41:48,河北,期待檀健次一起赏月呀,2.2万,18
4808568169039207,檀山小萌主,2022-08-31 16:41:48,浙江,期待檀老师,1万,16
4808569088117194,檀香纨扇·,2022-08-31 16:41:48,甘肃,“暮云收尽溢清寒，银汉无声转玉盘。”皎洁的月儿悬挂天空，和@MIC檀健次JC-T 一起共赏圆月，共度佳节！,1.1万,15
4808569063478257,檀香纨扇·,2022-08-31 16:41:48,甘肃,“平分秋⾊⼀轮满，长伴云衢千⾥明。”有明月清风相伴，中秋佳节，与你共度@MIC檀健次JC-T,1.1万,11
4808568010705979,恋nnnnnnn,2022-08-31 16:41:48,广东,中秋月，团圆夜。伴随着秋日的晚风，赏月满星稀，在歌舞中得幸福美满～@MIC檀健次JC-T,148,9
