用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808565749973793,CW7_婧婧子,2022-08-31 13:16:23,河北,太小看我了，我的洪荒之力要爆发了🐼小潘达,17,0
4808538734201948,BigDream_萌皮皮,2022-08-31 13:16:23,天津,先给偶亲亲，盐后就救里肥家,2062,0
4808549668489626,dycdyc,2022-08-31 13:16:23,广东,为什么要这么可爱~,261,0
4808417132938401,星星不说话也没有眼睛,2022-08-31 06:37:31,江西,,1,0
4808416868435793,嫋嫋嬲嬲,2022-08-31 06:37:31,江西,无处不在的危险⚠️,5,1
4808416289883274,今年一定会瘦吧,2022-08-31 06:37:31,江西,提高对孩子的安全教育！,20,2
4808415996543943,--江消消,2022-08-31 06:37:31,江西,避免意外发生,16,2
4808450825262005,消妹江西分消,2022-08-31 06:37:31,江西,,354,0
4808416566706979,花花会开的,2022-08-31 06:37:31,江西,神兽明天就要回笼了,1,0
4808415899027004,麦辣雪碧芋泥仔,2022-08-31 06:37:31,江西,马上开学了更得教育好,1,2
4808415753273680,星星不说话也没有眼睛,2022-08-31 06:37:31,江西,儿童安全一定得注意,1,2
4808503102800048,不是宋cici,2022-08-31 06:37:31,山东,真希望以后多出这种做成宣传片！,1230,0
4808465287479948,开心冬青,2022-08-31 06:37:31,河南,@麦_淇1314,104,0
4808433273148285,Baekhyun是神,2022-08-31 06:37:31,安徽,,12,0
4808429024054236,三生有幸遇见你美,2022-08-31 06:37:31,辽宁,,1.8万,0
4808425789983275,消迷xiaofang119,2022-08-31 06:37:31,黑龙江,,57,0
4808421783900542,6婉晴晴晴,2022-08-31 06:37:31,河北,一定要看护孩子，避免意外发生,97,0
4808421443896375,唯Love晨熙,2022-08-31 06:37:31,江西,码,1604,0
4808416755189092,小鱼小鱼爱钓鱼,2022-08-31 06:37:31,江西,太惊险啦,2,0
4808416670779179,不吃香菜不吃芹菜的,2022-08-31 06:37:31,江西,周知,1,0
4808416403128465,乐消消-,2022-08-31 06:37:31,江西,还是别让孩子带孩子了,1,2
4808416118178853,今天也还是不想吃饭饭,2022-08-31 06:37:31,江西,好的 家长得好好看看,2,0
4808287592382701,不知道取什么名字好摆烂吧,2022-08-30 22:07:28,福建,注意安全第一！🙏🙏🙏,2,0
4808287502995210,包子脸的小猪_986,2022-08-30 22:07:28,福建,儿童安全千万不能马虎大意！,4,0
4808287389745794,胡迪hoodie-,2022-08-30 22:07:28,福建,家长一定要看好孩子！,98,0
4808480362598921,游仙公安,2022-08-30 22:07:28,,,2.6万,0
4808473860904951,历下检察,2022-08-30 22:07:28,,关注热点，传递法治资讯@历下检察,3.7万,0
4808471813558325,铜仁消防,2022-08-30 22:07:28,,,23.1万,0
4808458140909993,济南市天桥区人民检察,2022-08-30 22:07:28,,传递法治资讯@济南市天桥区人民检察,6.2万,0
4808457960557794,柳州共青团,2022-08-30 22:07:28,,,6.8万,0
4808453257693735,平安曲靖,2022-08-30 22:07:28,,安全第一！,3.1万,0
4808325872750706,山东消防,2022-08-30 22:07:28,,,155.8万,0
4808300736027228,平利检察,2022-08-30 22:07:28,,,2078,0
4808300710855894,平利检察,2022-08-30 22:07:28,,关注,2078,0
4808300699321413,平利检察,2022-08-30 22:07:28,,@三明消防,2078,0
4808289176789011,蒲江法院,2022-08-30 22:07:28,,注意,855,0
4808288309084621,垦利区融媒体中心官方微博,2022-08-30 22:07:28,,安全第一,726,0
4808287806030744,龏奭嚻艸,2022-08-30 22:07:28,河北,,1576,0
4808457670100895,菏泽市人民检察院,2022-08-30 22:07:28,,关注   @菏泽市人民检察院,2.6万,0
4808449349912112,柳北区共青团,2022-08-30 22:07:28,,,1247,0
4808440696799711,三岁的敏敏,2022-08-30 22:07:28,福建,记住啦,16,0
4808425815410482,重名滴滴,2022-08-30 22:07:28,云南,关注,1.3万,0
4808262048814777,巴氏腺囊肿疏通法治疗第一人,2022-08-30 20:17:03,广东,用这个装娃儿其实是非常危险的。别人还以为这是一个包，一件行李，然后别人的行李箱往这一放。哇。带娃还是用非常明显的标志好。,239,5030
4808266520202360,xxJo某某,2022-08-30 20:17:03,广东,婴儿篮子底部可以很好保护宝宝的身体，防止意外碰撞，这种袋子貌似不具备此功能,36,3446
4808260790522921,ARS_一枪穿云,2022-08-30 20:17:03,江苏,非常不安全，粗心大意落下，或者人多的时候挤一下。都很危险。,276,2164
4808260387349474,Dancingounce,2022-08-30 20:17:03,北京,头部没有保护啊,325,1715
4808431527003988,拖延强迫症艾维推推推,2022-08-30 20:17:03,广东,我的关注点是小孩两个月，做妈的就独自一人带娃出门，没有人心疼这当妈的吗？,50,1625
4808265189558825,小7-九九-qian,2022-08-30 20:17:03,广东,太危险了，安全在哪？旁边人不知道里面是孩子碰撞到怎么办，而且看着也很闷一样,354,1394
4808260811755842,欧薄荷熏,2022-08-30 20:17:03,广东,猫背包比这个安全,667,699
4808259669591475,Mr-Biscuit,2022-08-30 20:17:03,广东,出生证明记得随身携带,8972,467
4808260085094363,無敵鐵柑剛,2022-08-30 20:17:03,广东,不太建议，别人拐他也很顺手，一提就走,466,440
4808432706392088,起名困难专户,2022-08-30 20:17:03,广东,评论人均伟大父母,146,372
4808436242186843,芹菜馅儿肉包z,2022-08-30 20:17:03,浙江,宝妈：我想用这个暂时让宝宝睡一下 网友：不行，不安全,9,308
4808429144639752,媚MEI微,2022-08-30 20:17:03,广东,有专门的那种笔笔躺着的睡篮，而且是有明显的婴儿标志，就不像这种家居式的手提包，不能够理解妈妈的选择。,510,290
4808264800275949,我不将就Y,2022-08-30 20:17:03,湖北,没看出哪里安全,66,122
4808436157516210,Lucky-小壳r,2022-08-30 20:17:03,广东,这很容易被别人撞到，因为是手提袋别人不会注意，只以为也袋子装一下也没有关系，这是很不明智的选择。,80,130
4808444714162550,心情不好别凶我,2022-08-30 20:17:03,北京,网友去给人家带孩子吧真无语 人家自己的小孩诶 管好你自己,264,101
4808266746170060,填满棋盘的小钱钱,2022-08-30 20:17:03,广东,这个感觉像人贩子,563,57
