用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808136273696774,芽芽喵小酱,2022-08-30 11:27:22,河南,看视频，开始的那一推好像是想让妹妹往前跑，但是妹妹摔下来后小姑娘好怕就跑来。。。好像不是那种故意要小妹妹摔跤的,2,21
4808134847628908,较真的日常,2022-08-30 11:27:22,上海,够坏，这不好好教，将来又是一个心狠手辣小仙女,656,317
4808161405436976,就是想考cpa,2022-08-30 11:27:22,广西,楼里有拳师给这小女孩洗白。请注意看她一开始是用脚踹，没踢到，接着拉扭扭车，女婴摔倒她直接跑。事后家长质问还不承认。莫非拳师眼里摔倒的孩子不是女的？？？,688,260
4808422668896995,栩如生rs,2022-08-30 11:27:22,北京,俩小孩玩闹不知轻重把另外孩子摔着了，这事儿也能上热搜？我特想知道发小女孩邪恶的这些人，你们小时候没淘气伤过小伙伴吗？所以是小孩变邪恶了，还是回帖的大人变邪恶了？,358,83
4808127461464262,中华崛起1234,2022-08-30 11:27:22,河南,又一起手欠的熊孩子,349,23
4808435650529842,快乐的粒子,2022-08-30 11:27:22,黑龙江,我带女儿出去玩见到过很多这样特别坏的孩子，手段手段极其毒辣很绝，这是天生的，没办法,129,56
4808445067265226,微博视频,2022-08-30 11:27:22,,您好，恭喜您的视频荣登视频飙升榜，社会领域第16名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》网页链接,1511.2万,0
4808436518489919,lansky_1118,2022-08-30 11:27:22,上海,故意的吧，太过分了,254,7
4808434790695975,桃小古月,2022-08-30 11:27:22,贵州,道歉了就行，希望小女孩能认识到这样做真的很危险。。摔到后脑勺了,429,9
4808285347910133,暗里着迷卐,2022-08-30 11:27:22,湖北,我也有女儿，真的要心疼死了,203,12
4808464158691943,ManLOVETAO,2022-08-30 11:27:22,河北,推人的孩子，并不知道会磕到头，或者其他的严重后果，但她肯定是故意推的，,624,3
4808489144161475,ideafly飞扬,2022-08-30 11:27:22,福建,过失和故意是不一样的，真的很气愤。有些小孩天生爱撒谎，双面人，见的太多了。,1892,1
4808467057739725,雪心枫儿Kitty,2022-08-30 11:27:22,天津,这么说现在有的小孩真的是看上去乖其实很坏！前几天带我小外甥公园玩 他和另外小女孩和我一起追跑的游戏（因为之前玩的时候认识了）我抓住了她，她就掐我 还是偷偷那种掐,96,1
4808452801299146,千帆雪,2022-08-30 11:27:22,广东,有的恶是天生的！,86,1
4808443078117743,卡咩-酱,2022-08-30 11:27:22,江苏,这样摔到后脑勺真的很危险,82,2
4808447432856107,c苏雯雯,2022-08-30 11:27:22,上海,视频都好明显了，不明白为啥还有人在为这个大点孩子说话～,491,4
4808444962149651,一条叫蓝贝的鱼,2022-08-30 11:27:22,江苏,她还是个孩子，不要放过她！,50,5
4808435452870808,蹉跎社,2022-08-30 11:27:22,河南,一开始还踢了一脚,1189,5
4808472501161544,青山小兔兔,2022-08-30 11:27:22,河北,要是我，上去一脚踹翻这个女孩，我不要道歉，就要踹翻你,700,2
4808487857292667,要和我一起发会儿呆吗,2022-08-30 11:27:22,河北,有的小孩就是从小就坏,1,1
4808450712274310,周口消防,2022-08-31 08:12:37,,#女孩猛推扭扭车致2岁宝宝摔落#【关于儿童安全必须知道的事】,4383,0
4808452746772998,艺涵yh-z,2022-08-31 08:12:37,河南,注意,9,0
4808551489601744,尹rujing,2022-08-31 08:12:37,河南,,37,0
4808520044911188,我意所向,2022-08-31 08:12:37,河南,家长要看护好孩子,12,0
4808503853847510,静静的燃烧198603,2022-08-31 08:12:37,河南,让更多人看到,1,0
4808502235632432,小呀吗小二郎202008,2022-08-31 08:12:37,河南,安全第一,8,0
4808491808330419,大嘴猴家的猫,2022-08-31 08:12:37,河南,,14,0
4808476817099801,sun878930072,2022-08-31 08:12:37,河南,家长要看护好孩子，同时提高对孩子的安全教育工作，避免意外发生。,8,0
4808462997653847,彬彬祐李,2022-08-31 08:12:37,河南,,0,0
