用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808249142675343,白薠ing,2022-08-30 19:30:01,云南,家长做不到就不要承诺，一点信用都没有谈什么听话,872,493
4808248769911396,瓜报,2022-08-30 19:30:01,广东,说实话，他妈打麻将这事真查起来会有问题的,244,294
4808248164618100,拐子adjag,2022-08-30 19:30:01,河南,笨鸟不自己先飞，生个小鸟让他飞,452,183
4808248236968257,御宅婶,2022-08-30 19:30:01,广东,以爱之名进行绑架，“都是为了你好，你现在不懂长大就懂了”,120,113
4808248857724723,明东征提督李如松,2022-08-30 19:30:01,辽宁,之前看过一个校园霸凌（校园暴力）的新闻，一群孩子欺负一个孩子，那群孩子也说自己是未成年，法律奈何不了他们。。。所以说关于未成年的相关的法律法规，已经需要改进了。。。,124,80
4808250345918602,黑三剁,2022-08-30 19:30:01,北京,自己以身作则就是最好的教育！,396,42
4808306541201675,绩溪县金沙派出所,2022-08-30 19:30:01,,暑假作业都做不完,21.8万,10
4808248311681263,着色er,2022-08-30 19:30:01,广东,干了我小时候想干又不敢干的事,15,30
4808299566602366,看看热闹而已哦,2022-08-30 19:30:01,湖北,今天一奶奶带着六岁的孙女来我的窗口办事，孙女拿着户口本玩，奶奶打她的手，孙女说“你又打我，为什么非要在外面打？这么多人看着呢！你不怕别人笑我们吗？你就不能回去再打吗？”好可爱，也不哭，就是质问奶奶，走的时候还跟我说阿姨再见，好聪明的样子,4,24
4808277656079888,巳时_,2022-08-30 19:30:01,广西,有一说一，承诺的话，孩子做到了，家长也要做到。,3,21
4808264053167570,种花家的平凡兔,2022-08-30 19:30:01,湖南,其他不说，许诺了不兑现，这就不对了，父母要做好孩子的榜样,125,18
4808250661542387,新气象旧文章,2022-08-30 19:30:01,北京,曾子杀猪，说烂了都，家长总是不讲信用就不要怪人家讲不听,86,9
4808277026408162,Keong-但但,2022-08-30 19:30:01,上海,所以警察只是平事而忘了执法了吗？虽然是一家人的纠纷，但是报警之后应该起码要搞清楚小孩不做作业不代表父母可以对他人进行殴打的人身伤害。,16,10
4808249204806839,交易的概率,2022-08-30 19:30:01,山东,每个孩子都是模仿天才，家长一定要严以律己，以身作则，胜过万句叨叨,253,14
4808282100993089,藤蓏花落,2022-08-30 19:30:01,辽宁,家长以家长的身份压制孩子，为什么不想想自己当初做孩子的时候？？有时候异位而处会让孩子更能接受，对吧！,526,6
4808260974284903,爱是萝卜,2022-08-30 19:30:01,福建,对孩子不讲信用伤害最大,12,8
