用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4807867666272677,电视剧透社,2022-08-29 16:40:39,山西,26群同步追剧来咯来咯！电视剧透社26群,933.8万,0
4804973752221890,矮周迅,2022-08-21 18:33:20,湖南,像刚换上新校服的学妹,84万,27
4804972002412709,内鱼海棠,2022-08-21 18:33:20,江苏,真的不是18岁吗,1256,43
4804972002677669,太微衍兆,2022-08-21 18:33:20,安徽,omg上央八啦，这都好几轮上星了,1万,17
4804974343360460,Rllhzzzs,2022-08-21 18:33:20,福建,幻视如果爱了。。,8,5
4805003250769021,波兰嫖客,2022-08-21 18:33:20,北京,是孙纳！,361,4
4804973852889211,樱桃小丸子的发呆时光,2022-08-21 18:33:20,重庆,呜呜呜呜好可爱好可爱，这两天疯狂发周迅疯,1189,7
4804974523715691,枫妹宝,2022-08-21 18:33:20,广东,好嫩,791,1
4804972250139234,为木尚早,2022-08-21 18:33:20,湖南,好可爱,420,3
4804972078959597,糯o糯ouoo,2022-08-21 18:33:20,浙江,cctv8 cctv8哦~,789,2
4804977300607191,飞天肠粉教忠实信徒,2022-08-21 18:33:20,广东,@佳雨有只旺彦祖 这个发型换谁都不行,157,2
4804976533308026,LeightonSalvatore,2022-08-21 18:33:20,北京,妹妹好,89,2
4805004147824244,第四次才是缘分,2022-08-21 18:33:20,广东,这个人是大学生吧,169,0
4804997788998780,勤奋9姑娘,2022-08-21 18:33:20,山东,啊啊好久不见我迅,312,0
4804980869170080,万今夜有雨,2022-08-21 18:33:20,福建,好可爱啊,483,0
4804977740742796,九九月丫,2022-08-21 18:33:20,广东,可爱好呀！活力满满。,1578,1
4805031352342173,嶽思彤阿,2022-08-21 18:33:20,广西,老婆太可爱了,439,0
4805023152217139,侠客呜噜噜,2022-08-21 18:33:20,山东,为什么她这个年纪这么青春啊,2,0
4805009743807388,大圣控_Yee,2022-08-21 18:33:20,江西,啾,6229,0
4804986318619933,xxxhxyy,2022-08-21 18:33:20,江苏,梦回如果爱,1,0
4804977895671594,九九月丫,2022-08-21 18:33:20,广东,姐姐简直就是人间仙子小可爱。,1578,1
4809318026712054,Powder44,2022-09-02 18:22:36,陕西,喜不喜的，她又不是主演，能有啥,70,224
4809319075547183,艺非凡_0509,2022-09-02 18:22:36,河北,还是想说，战粉一切等官宣，纷纷扰扰和我们无关只关注剧，不当一切乱七八糟事情的打手，谢谢,248,434
4809317927092278,言情小说终身爱好者,2022-09-02 18:22:36,广东,笑死，难道某cpf要冲了骄阳吗,556,194
4809318123442723,一叶枝蓁蓁,2022-09-02 18:22:36,湖北,确实，人家没有伤害任何人所以不该不开心，好好演戏,0,154
4809318543137885,易个梦母,2022-09-02 18:22:36,北京,妹妹很好没有伤害任何人不该不开心,435,69
4809349899488565,不吃章鱼小丸子-,2022-09-02 18:22:36,重庆,没有伤害任何人，所以不该不开心,5,88
4809319952419837,MWLPNJSL,2022-09-02 18:22:36,上海,你们的爱恨情仇回自个儿家打去 不要打扰别人剧了我说有些人,27,61
4809318689673611,cola分我一杯,2022-09-02 18:22:36,浙江,某女粉难道还要来别人的剧撒野吗,4,48
4809350017450246,不吃章鱼小丸子-,2022-09-02 18:22:36,重庆,🍵粉少发癫,5,65
4809318492278792,七七八八啥跟啥,2022-09-02 18:22:36,安徽,小花上位少不了腥风血雨啦，姐姐有的妹妹怎么就不能有,504,42
4809319570214729,奶油猪仔包儿-,2022-09-02 18:22:36,吉林,人家本来就是正剧出名的小敏家认识她的 可不是什么cp,13,37
4809319654101815,酥酥茹,2022-09-02 18:22:36,江苏,一口一个茶 有些人要是真把你们茶死就好了,24,43
4809342342137209,大力富贵金刚花,2022-09-02 18:22:36,福建,就怕美国姐又出骚操捆绑男一顶流 毕竟老手段了  关cpf啥事自家两只又不在里面,82,2
4809318316120981,艾特我默认为被戳中了,2022-09-02 18:22:36,山东,无所谓，只要不是吴磊的女二不就行了，不然人家本来就是演员，还不让人家演戏了,6,19
4809322700475369,不准再看了,2022-09-02 18:22:36,四川,有些人欺软怕硬的我看这次敢不敢闹,0,30
