用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808300900388037,沐生-而立,2022-08-30 22:35:26,北京,真有钱 还给自己买个热搜,928,491
4808300405986169,林涧小鹿LU,2022-08-30 22:35:26,山西,又当又立在这里卖什么惨,1154,439
4808300790813112,Asulikeit_,2022-08-30 22:35:26,四川,《生育后的女性某些器官像巨峰葡萄》是这位的言论吧？yue了,1,340
4808300442948695,默默梨花落,2022-08-30 22:35:26,北京,淘汰的好，不喜欢她,41,293
4808303345930460,人间清醒FGJ,2022-08-30 22:35:26,河北,输给那个网络用语就很离谱,1129,221
4808314250069006,merewiccnqqz,2022-08-30 22:35:26,山东,就凭她粉丝疯狂diss周迅那英和拉宏桑这点，淘汰的好，别回来了，消费完了其他人再复活可是又当又立了,169,140
4808295972079229,不腰疼说话,2022-08-30 22:35:26,上海,周迅背锅,61,105
4808304385329301,酱爆哈西,2022-08-30 22:35:26,河北,不太喜欢她，之前很多不良言论,74,63
4808304272084926,ch2905,2022-08-30 22:35:26,江苏,45条评论的空降热搜,27,62
4808314121094867,冥华影闪,2022-08-30 22:35:26,北京,想放个她之前内涵杨笠和笑果的链接，一直被吞算了，反正让人知道有这事儿就行了，人家内涵完笑果和笑果艺人，笑果还给她开专场，让她上自家节目，很有排面了,327,59
4808301734792691,大咖秀i,2022-08-30 22:35:26,黑龙江,哎，一下子就不想看了。感觉是剧本，竟然输给了网剧烂梗,11,53
4808319333830976,DOUBLEY-19,2022-08-30 22:35:26,云南,怎么老嫂子还给自己买热搜啊不怕回旋镖吗,314,24
4808361226535288,会等到的对不对,2022-08-30 22:35:26,新疆,真棒 这种三观不正的人就不该出现在屏幕上！,2,17
4808323029012240,微博视频,2022-08-30 22:35:26,,您好，恭喜您的视频荣登视频飙升榜，综艺领域第2名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》网页链接,1511.2万,0
4808303769819930,羔六六mimir,2022-08-30 22:35:26,广东,小鹿淘汰真的很可惜啊！！！！凉茶笑的我头都要掉了,922,14
4808316255473246,爱珍珠不爱奶茶,2022-08-30 22:35:26,广西,好无语，输给了一堆网络用语,844,12
4808314049532603,黎先生的杂货铺,2022-08-30 22:35:26,四川,这个不是当初线下说肖战是杀人犯还是啥的那个脱口秀演员吗,21,15
4808377799278812,爱吃鱼丸面的咖喱鸡,2022-08-30 22:35:26,云南,你内涵杨笠的时候买热搜没啊？,327,8
4808301822611175,每天ai肉肉,2022-08-30 22:35:26,四川,她粉丝真可怕,13,8
4808312972119228,颜狗傲娇鬼,2022-08-30 22:35:26,北京,淘汰的好，活该,139,14
4808275390894925,小狗总是去花镇写歌,2022-08-30 20:50:55,四川,好烂。。拉宏。讲的。。,0,7548
4808281195288303,皮富贵儿,2022-08-30 20:50:55,北京,太扯淡了，一堆烂梗居然赢了小鹿,771,5543
4808277857403498,小猪罢了,2022-08-30 20:50:55,江苏,不是这是笑果对单立人的针对还是因为楼长段子的政治正确啊？拉宏说的是什么东西？我一下没笑，哦现在脱口秀说网络用语博笑也好使了是吗？看完俩人的演出我除了阴谋论真的想不出来别的。,248,4352
4808280948348765,zzzzz亘子,2022-08-30 20:50:55,山东,拉宏那是个啥呀啊啊啊啊啊啊 太烂了,1,3030
4808287701434536,不拿到证不换名,2022-08-30 20:50:55,河南,拉宏这说的啥啊 一灯不能再多了 这时候怎么不提大局观了 想念罗老师,93,2388
