用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808451722577315,LlIUYYX,2022-08-31 03:20:15,广东,疫情什么时候才能结束,71,185
4808479431200680,口水大王就是她,2022-08-31 03:20:15,广东,昌岗能出站吗？,202,10
4808472162472546,Ritam_cccc,2022-08-31 03:20:15,广东,江泰地铁站停吗？,1,3
4808468723404099,CIRCLEEEEEEEE,2022-08-31 03:20:15,广东,什么时候恢复？,36,2
4808483797734491,旭__喵喵,2022-08-31 03:20:15,广东,广州南站可以去吧？,695,2
4808499332383341,沒铕公疰掵丶確铕公疰病,2022-08-31 03:20:15,广东,昌岗请问现在解了吗能出站吗？,9481,2
4808535667640155,杨木桃_,2022-08-31 03:20:15,广东,坐高铁到广州南，然后可以坐地铁能到达鹭江嘛,100,0
4808451869639912,Amo晴天02083,2022-08-31 03:20:15,广东,什么意思啊，如果做广佛线，那就不能经过沙园站吗？还是沙园站内不允许乘客出站呢？,5,9
4808529938223075,就是就是这个昵称,2022-08-31 03:20:15,广东,想问下二号线南洲站有没有停止对外的？,165,0
4808520303644377,Elanne666,2022-08-31 03:20:15,广东,凤凰新村可以出地铁吗,591,0
4808512968853230,惠儿朵朵,2022-08-31 03:20:15,广东,在龙溪去南站可以吗？要经过沙园的,0,0
4808512536052935,冼娜-Eunice,2022-08-31 03:20:15,广东,凤凰新城 同福西恢复了吗,777,0
4808500141889027,美国小猫,2022-08-31 03:20:15,广东,请问江泰路能出站吗？,845,0
4808499975163344,_桐杼rose,2022-08-31 03:20:15,广东,广州南可以去嘉禾望岗吗,52,0
4808483977562992,·星洋真胖·,2022-08-31 03:20:15,广东,琶洲和万胜围停运吗,8,0
4808470854108178,笑口十香,2022-08-31 03:20:15,广东,意思是沙园只能换乘不能进出了是么,3,0
4808467247009360,Jewel-Teresa,2022-08-31 03:20:15,广东,中大站不影響是嗎,397,0
4808466742644973,Laiyingyeung,2022-08-31 03:20:15,广东,什么时候解封啊,331,0
4808484782872548,专注的古月_充值信仰,2022-08-31 03:20:15,广东,能不能说说封到什么时候啊,387,4
4808448036573423,大口吃gaga,2022-08-31 03:20:15,广东,只是广佛线沙园站不停，广佛线其他站点正常运行，是这个意思吗,6,37
4807852624973542,70想睡觉,2022-08-29 17:03:24,广东,西村能不能快点,1,32
4807879388826459,猫耳控Aurora,2022-08-29 17:03:24,广东,彩虹桥站终于有彩虹了，好耶,56,13
4807852462706717,偷日记的猫_,2022-08-29 17:03:24,广东,搞什么，这么漂亮！,101,5
4807861815214837,种一院小世界,2022-08-29 17:03:24,广东,期待西村,56,9
4807896007971274,刀仔小菜刀,2022-08-29 17:03:24,广东,西村地铁站搞快点,980,9
4807855331607123,wiebxnskh,2022-08-29 17:03:24,广东,彩虹桥9.28开通？,107,2
4807869046981834,si樂c冰,2022-08-29 17:03:24,广东,以后过去更加方便了,339,0
4807880504511596,卢樱君,2022-08-29 17:03:24,广东,Bulingbulingduang！背景真的太好看了,39,0
4807852419451790,广州今天入秋了吗,2022-08-29 17:03:24,广东,好靓喔,159,0
4807848876049866,sw_dk,2022-08-29 17:03:24,广东,期待！,104,1
4807850502914341,BoomsullivanleeBoom,2022-08-29 17:03:24,广东,西村真喺等到呕血,357,17
4807849014988074,Jungkookaholic,2022-08-29 17:03:24,广东,10年了 快d开啦,653,2
4808450669808363,周口消防,2022-08-31 08:36:05,,#广州地铁#【地铁防疫+消防安全提示】地铁属于人员密集场所。疫情期间，乘坐地铁时要做好个人防护。戳图了解乘坐地铁时的安全注意事项↓↓ 希望用不到，但一定要知道~ #蓝朋友的警告# ,4383,0
4808445330983462,超话社区,2022-08-31 08:36:05,,你好，你感兴趣的“广州地铁[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 广州地铁,2.35亿,0
4808452704831345,艺涵yh-z,2022-08-31 08:36:05,河南,收到,9,0
4808551459719654,尹rujing,2022-08-31 08:36:05,河南,,37,0
4808503162046498,静静的燃烧198603,2022-08-31 08:36:05,河南,让更多人看到,1,0
4808502175862588,小呀吗小二郎202008,2022-08-31 08:36:05,河南,安全第一,8,0
4808491698488007,大嘴猴家的猫,2022-08-31 08:36:05,河南,,14,0
4808477618213451,灰裤子弟,2022-08-31 08:36:05,河南,,12,0
4808476680000117,sun878930072,2022-08-31 08:36:05,河南,疫情期间，乘坐地铁时要做好个人防护。,8,0
4808473449599232,LqzlLLLLLLL,2022-08-31 08:36:05,河南,地铁安全,50,0
4808462959384378,彬彬祐李,2022-08-31 08:36:05,河南,,0,0
4808459423581046,碎牙先生,2022-08-31 08:36:05,河南,关注消防,7,0
4808457393804252,安阳市殷都大队,2022-08-31 08:36:05,河南,,56,0
4808448246284900,凌含飞,2022-08-31 08:36:05,河南,,568,0
4808446728208604,新的起点w1,2022-08-31 08:36:05,河南,转发微博,17,0
