用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4807860074316141,我超爱简哥的,2022-08-29 17:38:43,广东,为啥有人在说特效啊这不是为了保护个人隐私吗，我看很多专门吐槽的博主或者网红也会用这个特效啊,23,10177
4807860468325395,岳麓山王祖贤,2022-08-29 17:38:43,北京,现在女生是连正常坐火车下铺都不行了？？犯罪的人进一步我们就得退一步是这样吗？退到什么地方才是个头呢？,249,7578
4807862838628755,妖妖灵Angela,2022-08-29 17:38:43,广东,能不能尽量男女分车箱，真的。这种很容易出问题,211,3964
4807857842689972,爬到树上吹泡泡,2022-08-29 17:38:43,新疆,所以我坐火车不敢坐下铺，上铺最安全了,203,2150
4807858203657779,inter的DA_G21,2022-08-29 17:38:43,山东,不愿意买到下铺，总是会坐一堆人，还不好意思说,1157,1253
4807859370725206,顾柒安·,2022-08-29 17:38:43,湖南,之前坐火车也有一次跟同学一起一直有人过来骚扰我们不过我们上铺大哥特别好 直接把那人骂出去了 挺感谢那位大哥的,6,846
4807863254387770,帕罗西汀m,2022-08-29 17:38:43,陕西,能不能出一个女士专用车厢啊,262,812
4807863648390939,i乐蜜_,2022-08-29 17:38:43,广东,建议分为男、女、家庭车厢三类最好,802,373
4807858991926944,年下不叫姐,2022-08-29 17:38:43,辽宁,中卧最好，上卧我有点幽闭恐惧症犯了,7921,375
4807864780328368,一起去摘柠檬星,2022-08-29 17:38:43,辽宁,在这个评论区拉黑了不少傻呗,205,243
4807859717806319,nov23th,2022-08-29 17:38:43,江苏,就是说这种情况下就得态度强硬点，对待这种人没必要客气,282,136
4807857834560820,MissyApril,2022-08-29 17:38:43,浙江,建议出女性专用车厢,68,136
4807864210427404,某一小丑,2022-08-29 17:38:43,北京,上次回家，没抢到票，只好买了软卧，下铺，有点担心晚上关门，然后同车厢三个都是男士，从头到尾都没有坐过我的位置，斜上铺大哥吃泡面是在过道吃的，给他让位置他都不坐，说怕包厢味道散不出去，万一有人介意的话太影响了，正上铺的大哥下来换鞋都是蹲着的，不坐，满满的安全感，特别感谢,201,125
4807860024773712,罐子xi,2022-08-29 17:38:43,陕西,能不能不用这种阴间特效了……,0,93
4807859134792116,蜜柠芒果茶,2022-08-29 17:38:43,黑龙江,这滤镜有点吓人,215,57
4807859604818337,Melissa美丽go,2022-08-29 17:38:43,意大利,女生最好选择上铺。安全又清静,124,39
4807860908721160,顾翛1,2022-08-29 17:38:43,辽宁,女孩子要大胆一点，直接让他滚蛋，不要忍耐不敢说话,13,57
4807887731298108,彩色泡泡369,2022-08-29 17:38:43,北京,女性车厢，谢谢,135,19
4807870380511369,爱上网的小阿姨,2022-08-29 17:38:43,四川,变态 火车上的安全也要有所保障 最重要的是 希望国家能对性骚扰的处罚大一点 再大一点,3635,27
4807927519515667,旋筝,2022-08-29 17:38:43,四川,图片评论,21,14
4807918689716217,欧皇小可爱小仙女,2022-08-29 20:14:41,福建,遇到这种事情 女孩子要勇敢说不啊,124,22
4807918735853159,小选的自行车,2022-08-29 20:14:41,重庆,遇到这样的行为一定要勇敢拒绝呀,9,13
4807918727463969,是啊冰sir,2022-08-29 20:14:41,陕西,这也太恐怖了吧,8,14
4807975900807266,Chef大熊,2022-08-29 20:14:41,辽宁,咸猪手很多的,109.1万,0
4807963250524854,此间的山羊,2022-08-29 20:14:41,北京,可以理解,70.5万,0
4807919424767765,飞鸟与沧海1,2022-08-29 20:14:41,湖南,一定要好好保护自己遇到这样的事情要 反抗,18,1
4807918975719046,Cindy4阳光下的你,2022-08-29 20:14:41,广东,这种人真的很可恶,18,5
4807938898662496,宁晴晴晴晴,2022-08-29 20:14:41,山东,实在是太恐怖了，女孩子一定得好好的注意,13,1
4807937791362641,芋泥软欧麻薯冰泡芙,2022-08-29 20:14:41,广东,女孩子出门在外一定要提高警惕哦,15,1
4807919621375726,可可晴w,2022-08-29 20:14:41,山东,大家一定要好好注意，遇到这些问题必须反击,6,1
4807918903628332,甲乙丙丁1120,2022-08-29 20:14:41,福建,真的我发现我遇到了很多  所以现在蛮怕男的,93,4
4807925278705925,贰捌壹壹贰捌,2022-08-29 20:14:41,广东,学到了原来这些都是性骚扰啊,28,1
4807919076120513,西柚不是柚子啊啊,2022-08-29 20:14:41,河南,这种事情真的很可怕 我们要敢于保护自己,6,1
4807933830891985,你可真甜呀·,2022-08-29 20:14:41,河南,恐怖,1696,0
4807919083986627,曦曦半桃酱,2022-08-29 20:14:41,广东,出门在外必须得多留意，提高警惕才可以,5,1
4807918929057399,大人不容易,2022-08-29 20:14:41,河北,拒绝性骚扰,0,1
4807918890783042,二次元来的兜,2022-08-29 20:14:41,重庆,真的太可怕了，女孩子一定要注意呀,52,1
4808075787899930,小z一路向西,2022-08-29 20:14:41,青海,最后一个不是强奸吗？,446,0
4807974206047371,请你喝个养乐多8,2022-08-29 20:14:41,新疆,注意保护自己！！！遇到危险记得保存证据报警,76,0
4807974062915912,醒醒了画图吧,2022-08-29 20:14:41,新疆,女孩子在外一定要注意安全啊！！！,104,0
4807819289428121,vlada璨璨,2022-08-29 15:06:29,河南,小科普：性骚扰没有性别歧视，女性故意碰撞或者凝视男性也是性骚扰。,3,60
4807820224240104,Barrichello_Hu,2022-08-29 15:06:29,上海,不管是男性还是女性，遇到性骚扰必须警告对方住手，否则报警！,6255,24
4807820698190566,柳浪逍遥,2022-08-29 15:06:29,浙江,问题是，这样报案警方会受理处置么？,7,16
4807819805068335,juwfhjkk,2022-08-29 15:06:29,福建,穿着暴露也是性骚扰吧,115,14
4807820639213622,书生意气点江山,2022-08-29 15:06:29,河南,如果女性故意裸露敏感部位，比如胸部，这属于什么行为？,158,8
4807821537320428,Elliot-vi,2022-08-29 15:06:29,浙江,这是大马路上不能跟异性说话，也不能看异性，这个意思吧,387,6
4807832832053209,炫峰,2022-08-29 15:06:29,江苏,那仙人跳，陷害男人太容易了吧！,100,5
4807818970138860,萨瓦图恩的榜一,2022-08-29 15:06:29,上海,踩了一脚油门,697,3
4807842294667183,嘤嘤嘤嘤嘤嘤嘤novation,2022-08-29 15:06:29,重庆,那有些女的穿吊带要露沟呢，她能露，我不能看是吧,54,4
4807829548173500,壹兜兜豆子,2022-08-29 15:06:29,缅甸,凝视身体敏感部位，大街上的大长腿和吊带不敢再看了，忒危险。,0,4
4807819201873406,诸猴,2022-08-29 15:06:29,浙江,那些内衣模特是最大的“受害者”,2,3
4808063716165996,羊台子巷,2022-08-29 15:06:29,湖北,是不是病态,49,0
4807890482763511,看我不爽你也忍着,2022-08-29 15:06:29,江苏,看看评论区，明白了我大中华竟然能迈出了单身生育这一步的原因，基本盘糟糕到你们不敢看了是吧,68,0
4807883529913003,这样对猪不好哦,2022-08-29 15:06:29,江苏,有的人已经开始在评论下焦虑了,91,0
4807852299128857,亲爱的禹司凤,2022-08-29 15:06:29,广东,捉到应该严判,253,0
4807845784323842,lsmb2011_667,2022-08-29 15:06:29,四川,穿着暴露的，看了犯法吗？,10,1
4807844810984140,gumogumo,2022-08-29 15:06:29,河南,一直凝视敏感部位算不算呢,274,0
4807827607262010,一个小瓶,2022-08-29 15:06:29,广东,不管男女，有被性骚扰过的请扣1,65,0
4807822577240886,深海鸣沙,2022-08-29 15:06:29,上海,“只因在人群中多看了你一眼，再也不能忘记你容颜”；“只因那一次的邂逅，我们手拉手一起走”。青年朋友们，千万不要误判啊！ 但是，自我保护很重要，该告就得告。,58,1
4807822225179965,来Tom-提神醒脑,2022-08-29 15:06:29,天津,可以这么理解一下不  每天都会被同事性骚扰,275,0
4808563186993859,微博明星,2022-08-31 16:15:49,,嘿！你也在关注“李其行”吗？快戳《欢乐颂3》演员进入专题页查看并关注相关博主吧，热门精彩内容不错过！,543.7万,0
4808560557166317,是维克托没错,2022-08-31 15:24:55,宁夏,一定要有危机意识,3,0
4808559655387489,为你打破所有真理,2022-08-31 15:24:55,辽宁,今天这个衣服很好看呀,40,0
4808559189296889,暮去招来,2022-08-31 15:24:55,宁夏,在保证自身安全的情况下，及时解救别人,80,0
