用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4802539146970598,大脑切片,2022-08-14 23:01:58,河南,视频作者,1002.5万,3
4802505797802106,表情bot,2022-08-14 23:01:58,河南,就是射手女,11.2万,59
4802512827977979,KOxxx8_EL,2022-08-14 23:01:58,新疆,我以为你要告诉我怎么办呢 你怎么不说 是不是恋爱脑没救了啊,43,92
4802507387963661,kiilllIIIll,2022-08-14 23:01:58,广东,但是恋爱脑的确是一个很好的恋爱态度！,1771,41
4802515684819310,希耶谢谢谢,2022-08-14 23:01:58,四川,我不管两个恋爱脑谈恋爱就是最爽的,264,21
4802515298419393,是黄黄不是银银,2022-08-14 23:01:58,河南,为什么光骂我却不告诉我怎么办你说啊！,480,40
4802508721751083,不信女h,2022-08-14 23:01:58,浙江,远离男人 好比鱼离开了自行车,153,40
4802515457546443,M-SYX-M,2022-08-14 23:01:58,山东,巨蟹女🙋 真的很烦自己恋爱脑,84,9
4802509250234648,这条小鱼在乎L,2022-08-14 23:01:58,山东,不空虚我也应付，主要是不想上班🤫,205,24
4802670415842171,时鱼ww,2022-08-14 23:01:58,江苏,可是就是没有什么东西的快乐能比得上感情满足啊人奋斗不就是为了获得幸福吗事业成功这种世俗东西本来就只能让人感到空虚,21,5
4802512177339160,易路珍茜,2022-08-14 23:01:58,北京,感觉像在说我，但我不承认自己恋爱脑，我就想要个情感寄托，分手了马上有另一个也可以,303,15
4802643673483746,Jyu澤恺,2022-08-14 23:01:58,吉林,@黑丫蛋儿不爱系鞋带儿,3772,0
4802508209527162,跑完喝纯牛奶,2022-08-14 23:01:58,广东,我是傻瓜脑,1.4万,5
4802508759504432,是一块五花肉吖_,2022-08-14 23:01:58,浙江,就是以前的我，不过我现在已经不是了,363,4
4802642225926889,大王的朋友圈,2022-08-14 23:01:58,黑龙江,@沉迷凡间的仙女_lrz,87,0
4802523850868127,_大橙子c,2022-08-14 23:01:58,湖北,我他妈都30岁了还是没办法做到很理智的处理问题,248,2
4802514820531621,歪嘴儿鸡,2022-08-14 23:01:58,湖北,我的应付也体现在恋爱里咋整,416,2
4802541851773464,littlenobby,2022-08-14 23:01:58,美国,女生闲的就恋爱脑 男生闲的就海王 都空虚 女的找情感寄托有一种本性依靠的感觉 男的找成就感本性显得自己厉害 生活中可以有事业 有家人的爱 有朋友的依赖和精神共鸣 有身材管理 有打理好自己的生活让自己开心 有小猫小狗 生活中可以去抓住的东西太多了,258,4
4802543957575930,-Cactuses-,2022-08-14 23:01:58,广西,以前确实是这样，现在爱用完了，看谁都不会心动，也不想付出，自然就病好了，代价就是没心没肺，跟别人建立不了深层次的关系了,220,3
4802526094561715,冲浪少女小罗,2022-08-14 23:01:58,四川,@微化饼干- @牧场鲜毛肚 ,1052,2
4804640404931683,Haniyaa_,2022-08-20 20:26:47,四川,自恋的小哥哥一枚呀,10,44
4804640668909847,NauxuL,2022-08-20 20:26:47,山西,孩子这么大了有点精神疾病我们也能理解,4.1万,35
4804655122747899,zsyd3aaOKa,2022-08-20 20:26:47,山西,求个女版,3,3
4804660755958819,Winterbrokenlxxx,2022-08-20 20:26:47,云南,天蝎座也算什么buff了吗,55,2
4804639780767093,R3h1,2022-08-20 20:26:47,江苏,不是直的吧,66,8
4804638538730889,水煮栗子_,2022-08-20 20:26:47,海南,#36D#,163,0
4804638430202601,Zzpxfl_,2022-08-20 20:26:47,河南,宝，快醒醒,6338,3
4806176274908050,withhh1,2022-08-20 20:26:47,黑龙江,可是 玩马超长得都......,96,1
4805728437536392,恋旧信札-,2022-08-20 20:26:47,江西,讨厌自己#170#00后#高街#恋爱脑#极品少女音#狮子座#女大学生#月入20万#主动买单#艺术生#大美女#干净#M#单纯#18岁拥有劳斯莱斯#身价20亿#30栋别墅#温柔善解人意,65,1
4804906340585330,oliviaku0,2022-08-20 20:26:47,上海,整天发疯,18,0
4804678204266751,敏感期_,2022-08-20 20:26:47,河南,我不信国服马超 除非你带我玩,138,0
4804645866177326,在野溺爱,2022-08-20 20:26:47,湖南,爱了爱了,624,0
4804639344299055,-bsbfjkxxsc,2022-08-20 20:26:47,辽宁,别做梦了 砖还没搬完呢,1025,0
4805693360313245,谁常在窗边遥望-,2022-08-20 20:26:47,福建,图文相悖,0,0
4805242627818247,康康slow,2022-08-20 20:26:47,四川,天蝎座直接栓q,41,0
4804955132923744,和服等于冈本,2022-08-20 20:26:47,江苏,我这么帅对我有欲望也是人之常情,56,0
4804679793379634,肥牛炒酸奶,2022-08-20 20:26:47,河北,十个标签九个谎言,29,0
4804675653867855,和我负距离,2022-08-20 20:26:47,广东,？,59,0
4804667911963854,爆炒辣椒又,2022-08-20 20:26:47,湖南,笑死我了能满足里面三条就不错了,234,0
4804659753784176,今天也很乖的小周,2022-08-20 20:26:47,江苏,天蝎座大可不必,339,0
4808310375581251,她离月亮比较近,2022-08-30 23:38:46,安徽,想太多也是一种绝症,47,8334
4808310501147871,有个人可以给她一身三千宠爱,2022-08-30 23:38:46,四川,有共情能力却无能为力才让人最难过,1665,5251
4808353354089583,malibunana,2022-08-30 23:38:46,美国,共情能力太强跟恋爱脑是亲戚，共情力太强就是会无限的心疼对方，诱使恋爱脑。,877,1627
4808310283571916,想变成一根薯条,2022-08-30 23:38:46,湖北,来个人把我杀死或者我紫砂,169,1163
4808310568519281,R4uu_,2022-08-30 23:38:46,青海,确实，我共情能力太强，真的看不得催泪视频,275,877
4808310543616085,唾弃你的蓝白,2022-08-30 23:38:46,浙江,恋爱脑真的是精神疾病吧,172,367
4808310467068266,只是想被爱然后就死了,2022-08-30 23:38:46,广东,各种悲喜不比没感情的人人生更丰富么 只不过我们要去学会调和自己,79,272
4808424544537637,Vieschar_,2022-08-30 23:38:46,河北,啊😅现在共情能力强也错了吗😅,1267,116
4808312274554178,peyyy-,2022-08-30 23:38:46,安徽,洗了蒜了,26,217
4808310718991379,小亮崽ml,2022-08-30 23:38:46,广东,共情起码是好事,267,132
