用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4359900165140372,长寿贺州,2019-04-11 09:28:00,,#贺州微头条# 贺州最美女子——扶与不扶？她用行动来回答！,20.8万,0
4359831371008658,广西日报,2019-04-11 09:28:00,,#正能量#【贺州最美女子——扶与不扶？她用行动来回答！】,723.5万,0
4359823988783083,广西共青团,2019-04-11 09:28:00,,,117.2万,0
4359842120273240,钟山县公安局官方微博,2019-04-11 09:28:00,,//@八桂警方在线: #身边的暖心事# 【扶与不扶？贺州最美女子用行动来回答！】@广西日报@八桂警方在线 @贺州警方,1448,0
4360306056948453,夏儿爱诗诗,2019-04-11 09:28:00,,,1.3万,0
4359843542200009,巴马公安,2019-04-11 09:28:00,,//@八桂警方在线: #身边的暖心事# 【扶与不扶？贺州最美女子用行动来回答！】@广西日报,2.2万,0
4365968584765047,保康农商行1688,2019-04-11 09:28:00,,@文明襄阳,1,0
4792700840446802,李文很,2022-07-18 19:00:02,北京,#善行者宣言# ：充满智慧！,948,0
4784587995086994,杨师傅真的好帅,2022-06-26 09:55:44,山西,别问！哥以前是开奔驰滴,158,0
4784550401803228,IEWAUH996251,2022-06-26 09:55:44,江苏,不想用自己的好心去碰运气,268,0
4784574065804405,长安水熊,2022-06-26 09:55:44,陕西,打120,351,0
4784566571369806,婷婷文竹君,2022-06-26 09:55:44,广东,心太冷,250,0
4784573001238911,智慧闪耀,2022-06-26 09:55:44,江苏,社会风气引导错了就别怪大家心冷了,116,1
4784284512294716,白鹭小雎,2022-06-25 16:18:41,湖北,而且他一直都有做公益，有的人逃税漏税都可以在50万后面加好多个0了,96,13
4783661737839986,邱亮--QL928,2022-06-23 12:00:27,甘肃,,0,0
4779893717472666,我就打算叫崽崽了,2022-06-13 13:12:28,北京,一个互殴，几乎影响三代，考公，国企，事业编，参军全不行，亲戚的孩子也被否定了，谁担得起这种代价？尤其是一个正常的普通百姓，这个后果真的很严重,10,0
4779490821016950,十大杰出奥特曼,2022-06-12 09:18:00,江苏,如果下意识的举动（扶老人）被定义为善良的话，恰恰是法律对模糊性见义勇为行为判断的模棱两可，寒了大家的心,370,0
4779261015102177,DearSmithhh,2022-06-11 19:31:59,广东,现实为什么不允许他们救人？总共九个人打人，其余的都是路人和受害者难道少于九个？这件事路人完全可以施以援手，只有上海金山那件事有刀才是应该及时报警不允许他们施以援手，当时在场女生有四五个还有那么多男生，真的没办法仅仅阻止吗？视频里连劝都很少吧？,2,0
4779261670197206,Design_BM,2022-06-11 19:31:59,江苏,微博不就这样，你让他们现实碰碰试试,5030,1
4779258632735144,落魄的毛肚,2022-06-11 19:31:59,湖北,明白人,7,1
4779191402496548,firerase,2022-06-11 12:49:51,河北,录视频可以的,2763,0
4763017038267267,白桃乌龙NOX,2022-04-27 23:41:21,,想吃,9,1
