用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808288237525467,万事顺利平安顺遂,2022-08-30 22:10:17,浙江,现在剧都流行上下部 一起播吗,466,229
4808288070533999,屎味土豆丝,2022-08-30 22:10:17,上海,连着播吗,924,171
4808288292046098,Brightless_,2022-08-30 22:10:17,陕西,！！4来啦,38,139
4808288318003339,K-ununun,2022-08-30 22:10:17,河南,我就喜欢这样的剧,110,46
4808288287592818,啊波想要太阳,2022-08-30 22:10:17,北京,原来两季一块拍的啊！,5,19
4808288208163033,椰了·,2022-08-30 22:10:17,江苏,这个剧居然能拍四季？,507,16
4808289445220975,诺式媒女,2022-08-30 22:10:17,重庆,第三季结局太仓促，哪怕是欢1结局留了尾巴可它依然是完整故事。欢3就？？？感觉就是个引子，什么都要等欢4才展开,3.1万,10
4808289717589483,钮钴禄小心,2022-08-30 22:10:17,湖南,我希望吉吉能够升职加薪！！这一季超级喜欢这个人设,13,9
4808290813349924,陌言简语,2022-08-30 22:10:17,福建,看完预告，我还是最期待张佳宁,21,5
4808291757067922,卖黄昏的小橘子呐,2022-08-30 22:10:17,浙江,这样连着播真的是太绝了，非常的激动了呀！,4,3
4808288463494909,啵唔啵唔,2022-08-30 22:10:17,河南,迫不及待想看下一季了,59,3
4808288359421561,一碗西瓜冰-,2022-08-30 22:10:17,河南,超精彩的期待快点播！,60,2
4808289353731481,开始流浪的老蟹,2022-08-30 22:10:17,四川,何悯鸿谈恋爱也是吃亏,184,2
4808292118040198,绿笶,2022-08-30 22:10:17,浙江,这绝对不能错过，快点播出吧，很想看了！,199,1
4808291606331583,木槿花也有春天呐,2022-08-30 22:10:17,浙江,真的是非常希望蓁蓁和戴维在一起，太期待了呀！,10,1
4808291425453791,最萌的凯源呐,2022-08-30 22:10:17,浙江,这个预告片真的是太精彩了，期待接下来的剧情,301,1
4808289869109991,星球杯的奶茶,2022-08-30 22:10:17,广东,欢乐颂还有第四部吗，我的天啊赶紧播吧,17,1
4808289345343606,消消停停春风得意,2022-08-30 22:10:17,广东,真的是太让我期待了,16,1
4808288993021908,猫咪老师超可爱,2022-08-30 22:10:17,浙江,剧情看起来更精彩了,106,1
4808288913065403,时光不负少年-郎,2022-08-30 22:10:17,河北,真的期待了呀,122,1
4808422455511170,柚子琳Lisa,2022-08-30 23:21:01,上海,666,279,0
4808325155524074,空中之城堡,2022-08-30 23:21:01,上海,66,517,0
4808296639236125,粉末,2022-08-30 22:27:31,辽宁,3播完了？一点水花都没..,1.1万,18
4808292382281036,没看见过风也没关系,2022-08-30 22:27:31,马来西亚,好像连拍了三季 赌很大,5,8
4808292314645937,熊熊燃烧的熊熊,2022-08-30 22:27:31,浙江,因为是一起拍的,5760,1
4808294819172639,叶子也没见过风,2022-08-30 22:27:31,广东,没看3,1万,0
4808294898863624,我是人间的小苦瓜,2022-08-30 22:27:31,广西,一集没看,380,1
4808312237590112,内女什么时候解散,2022-08-30 22:27:31,广东,播完了？,66,0
4808295435735617,阿凡的香菜交给我,2022-08-30 22:27:31,河南,哈哈哈哈哈笑死了,74,0
4808295430230417,某某某未完待续,2022-08-30 22:27:31,江苏,都播完了呀 好家伙 无事发生,93,0
4808294163552281,·平安快乐·,2022-08-30 22:27:31,河北,炒炒撕吧撕吧热度就有了,13,0
4808293135943723,正道的光劈在你脸上,2022-08-30 22:27:31,广东,一点水花都没有,39,0
4808401584915183,马马_Jay,2022-08-30 22:27:31,天津,我看了3…太尴尬了,401,1
4808420589306468,嗨皮妞妞haac13,2022-08-30 22:27:31,山西,有人投资就有人拍，,4,0
4808302065617771,剪一次头发毁一次容的浪君,2022-08-30 22:27:31,贵州,他以为会🔥，所以一起拍了，还特地分为两季，谁知道毫无水花,181,4
4808325974196890,皿26960,2022-08-30 22:27:31,广东,😂,95,0
4808322903180223,海里的星星hx,2022-08-30 22:27:31,湖北,这要是美剧马上就砍了,35,2
4808310362475687,No_name_Kk,2022-08-30 22:27:31,重庆,我还看了,384,0
4808298480799384,我喜欢你才觉得你漂亮K,2022-08-30 22:27:31,河南,我看了，剧中没一个正常人,85,1
4808294219384636,百事甜筒666,2022-08-30 22:27:31,贵州,看了7、8集我连主角的名字都记不完,5,0
4808493858818068,超话社区,2022-08-31 11:48:55,,你好，你感兴趣的“欢乐颂4[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 欢乐颂4,2.35亿,0
4808494895600307,归鹿鸭,2022-08-31 11:42:04,广东,真的！都不知道讲了啥,33,0
4808489144419749,simalsima,2022-08-31 11:25:40,天津,欢乐颂热搜挺多，不过热度确实不太行，至少wb吧大女主余初晖基本一天一个热搜社会热点多，但是讨论量有点少,4,0
4808494396213419,拔牙B-boy,2022-08-31 11:25:40,江西,听说欢乐颂345是一起拍的……,27,0
4808495293008380,微博明星,2022-08-31 11:16:27,,嘿！你也在关注“戴维”吗？快戳《欢乐颂3》演员进入专题页查看并关注相关博主吧，热门精彩内容不错过！,543.7万,0
4808481989201738,超话社区,2022-08-31 11:01:46,,你好，你感兴趣的“欢乐颂3[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 欢乐颂3,2.35亿,0
4808481993395292,微博明星,2022-08-31 11:01:46,,嘿！你也在关注“欢乐颂3”吗？快戳《欢乐颂3》演员进入专题页查看并关注相关博主吧，热门精彩内容不错过！,543.7万,0
4808481246547516,微博明星,2022-08-31 10:58:46,,嘿！你也在关注“欢乐颂3”吗？快戳《欢乐颂3》演员进入专题页查看并关注相关博主吧，热门精彩内容不错过！,543.7万,0
4808481234750183,超话社区,2022-08-31 10:58:46,,你好，你感兴趣的“欢乐颂3[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 欢乐颂3,2.35亿,0
4808283737033372,Crystal-神探,2022-08-30 21:50:58,浙江,而且我听说是345连着拍的，已经都拍好了，我觉得投资方胆子好大啊！都不先看一下3播出的效果,2.9万,38
4808283079050533,·猪事皆宜·,2022-08-30 21:50:58,河北,真的不累吗…,906,11
4808283803880254,橘子果酱二,2022-08-30 21:50:58,安徽,但是4口碑已经不行了，真的还开5吗,20,6
4808293132534023,十次山,2022-08-30 21:50:58,上海,感觉很难卖出去了,418,1
4808283753811785,-旺仔仔仔分你一半,2022-08-30 21:50:58,辽宁,拉倒吧,1444,2
4808299817995190,孤鸢单影,2022-08-30 21:50:58,湖北,啊这？不能换个🦙薅吗,260,1
4808293728390031,Bluminous_,2022-08-30 21:50:58,西班牙,哒咩,289,0
4808286639229982,有没有心,2022-08-30 21:50:58,北京,笑死，那期待4和5的开分,3.3万,0
4808433850647049,1个脑袋两个大,2022-08-30 21:50:58,陕西,何悯鸿真的能把我气死,41,0
4808307074926589,烊烊的鹤姐,2022-08-30 21:50:58,江苏,4我看到预告了,19,0
4808498737057399,麻烦飞总快发货,2022-08-30 21:50:58,山东,到底啥时候播啊 好急人,12,0
4808458483794963,白拓图的铅笔盒,2022-08-30 21:50:58,安徽,那个戴维真的是无语,284,0
4808458396764908,白拓图的铅笔盒,2022-08-30 21:50:58,安徽,还有5啊,284,0
4808435318915217,小野人大美丽,2022-08-30 21:50:58,广东,当初1和2我是没日没夜的追，现在3我忍着看到了十几集，尴尬死了，没有一个人物是立起来的,31,0
4808357829410891,foreverFRhealth,2022-08-30 21:50:58,江苏,3还挺好看的，除了何缺乏阅历，其他三观都挺正的,52,0
4808483423127919,吧唧一口Ming,2022-08-31 10:44:48,广西,哈哈哈哈哈哈哈哈哈lxy怒骂,4936,0
4808479698848509,微博明星,2022-08-31 10:35:03,,嘿！你也在关注“何悯鸿”吗？快戳《欢乐颂3》演员进入专题页查看并关注相关博主吧，热门精彩内容不错过！,543.7万,0
4808491652879096,庄思涵Camille,2022-08-31 10:32:57,福建,听说是因为集数限制，但是不连播，就有点恶，没头没尾的,1750,0
4808474737773640,超话社区,2022-08-31 10:32:57,,你好，你感兴趣的“欢乐颂4[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 欢乐颂4,2.35亿,0
4808473315117523,微博明星,2022-08-31 10:27:14,,嘿！你也在关注“欢乐颂3”吗？快戳《欢乐颂3》演员进入专题页查看并关注相关博主吧，热门精彩内容不错过！,543.7万,1
4808472728963424,超话社区,2022-08-31 10:24:57,,你好，你感兴趣的“欢乐颂4[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 欢乐颂4,2.35亿,0
4808338518313578,Only旧時旧夢,2022-08-31 01:29:55,湖北,哦对还忘了阿初 被亲爸爸当街殴打简直不要太过分🙏🙏,239,12
4808398510752199,超话社区,2022-08-31 01:29:55,,你好，你感兴趣的“欢乐颂4[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 欢乐颂4,2.35亿,0
4808355476930829,左航家的大饺子,2022-08-31 01:29:55,四川,吉吉上司不是好人吗？,5,1
4808338242536284,微博明星,2022-08-31 01:29:55,,嘿！你也在关注“何悯鸿”吗？快戳《欢乐颂3》演员进入专题页查看并关注相关博主吧，热门精彩内容不错过！,543.7万,0
4808496387719650,燕然宛若,2022-08-31 01:29:55,浙江,最后的片尾欢乐颂4的预告太上头了，赶紧出吧！,354,0
4808469527399703,微博明星,2022-08-31 10:12:13,,嘿！你也在关注“欢乐颂3”吗？快戳《欢乐颂3》演员进入专题页查看并关注相关博主吧，热门精彩内容不错过！,543.7万,0
4808469524516707,超话社区,2022-08-31 10:12:13,,你好，你感兴趣的“欢乐颂3[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 欢乐颂3,2.35亿,0
4808481889325200,非科幻小龙,2022-08-31 10:12:13,广东,明年第四季上线,12,0
4808487743526245,小绿聪明的小脑瓜子,2022-08-31 10:11:30,江西,表示他接受不了阿初的家庭准备放手了哇,6,0
4808488147225942,微博明星,2022-08-31 10:04:48,,嘿！你也在关注“欢乐颂3”吗？快戳《欢乐颂3》演员进入专题页查看并关注相关博主吧，热门精彩内容不错过！,543.7万,0
4808306444736577,等等乔信生,2022-08-30 22:14:58,四川,我百度了说是23年年初,1444,0
4808290779533031,ALisa4er,2022-08-30 22:14:58,山东,我也是想看lucy 这结局也太突然了,157,3
4808289738556868,没脑筋的美女,2022-08-30 22:14:58,河南,想看lucy,5,3
4808290100056213,没脑筋的美女,2022-08-30 22:14:58,河南,为什么没有一点小道消息,5,2
4808349469639267,超话社区,2022-08-30 22:14:58,,你好，你感兴趣的“欢乐颂4[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 欢乐颂4,2.35亿,0
4808274458708190,裤碍哎_Kuku,2022-08-30 21:15:03,陕西,什么 你说下季明天就播?,1.2万,488
4808281937939015,蓁蓁夭夭,2022-08-30 21:15:03,四川,蓁宝儿，下季见，等你呦，一直好喜欢江疏影，为此还用过八字算命帮她试了试，没想到竟然可以那么准！不舍蓁蓁我们期待下季不见不散呀,29,138
4808274329999071,电视剧欢乐颂,2022-08-30 21:15:03,,蓁蓁我们下季再见！！！,88.4万,182
4808274611013784,良善-居士,2022-08-30 21:15:03,吉林,下一季我们不见不散@江疏影 叶蓁蓁,2493,66
