用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808464759525017,所有美好都像你-Roy,2022-08-31 09:23:14,福建,好怀念演唱会啊，下午两点王源新歌上线，一起来听,520,42
4808457888205984,奶甜丸圆,2022-08-31 09:23:14,四川,会永远怀念王源831演唱会,835,35
4808461370264661,RoyLove_Forever,2022-08-31 09:23:14,上海,最美好的一场演唱会下午还有新歌听啦 小汤圆最幸福啦#王源海风吹#,1.8万,22
4808464284516974,某知名可爱选手,2022-08-31 09:23:14,河南,希望下次见面是在演唱会的台上与台下的距离,199,19
4808466775933535,小源甜奶糕,2022-08-31 09:23:14,湖南,想念831 可惜没去成 三年啦#王源天亮一起追太阳#,1.1万,6
4808461987353961,一只小圆圆g,2022-08-31 09:23:14,江西,好听好听好听好听好听,22,5
4808461911328406,柠檬茶炒酸奶,2022-08-31 09:23:14,江苏,#王源南京演唱会三周年# 在网上看的演唱会，希望下次能在现场,6,4
4808465908242544,一只圆源君,2022-08-31 09:23:14,浙江,永远的831,39,1
4808461354013614,浆果人128,2022-08-31 09:23:14,福建,我怀念的,127,1
4808458530984976,那只侬呀,2022-08-31 09:23:14,广西,#王源831演唱会三周年# 好想念源源舞台,139,1
4808523970777195,你的颜值已超标,2022-08-31 09:23:14,四川,我怀念的#王源天亮一起追太阳#,1.6万,0
4808506480526543,以王源为核,2022-08-31 09:23:14,甘肃,三周年快乐,659,0
4808501719471449,Y-樱桃子-777,2022-08-31 09:23:14,安徽,下午听新歌！,92,0
4808495641920421,小小黑洞R6,2022-08-31 09:23:14,四川,谁曾想，这一错过，就是三年，但也不是后悔,29,0
4808495485945671,唯源安好,2022-08-31 09:23:14,四川,超爱的现场#王源南京演唱会三周年#,109,0
4808492214387607,星光就是你,2022-08-31 09:23:14,湖南,#王源南京演唱会三周年# 好爱大合唱啊  什么时候可以有机会呢@TFBOYS-王源 #王源海风吹#,852,0
4808485398644840,RoyWang_音饭1108,2022-08-31 09:23:14,上海,#王源南京演唱会三周年#  我是你的姑娘@TFBOYS-王源,146,0
4808474082412216,Ethereal--Nine,2022-08-31 09:23:14,河北,831,64,0
4808468487474826,小肥肥奶源,2022-08-31 09:23:14,江苏,早点见,799,0
4808468243944780,果O王子,2022-08-31 09:23:14,广东,怀念,163,0
4808456436974876,海盐不甜了,2022-08-31 09:19:20,浙江,二级@TFBOYS-王源 点15,12.1万,147
4808456584562941,海盐不甜了,2022-08-31 09:19:20,浙江,二级#王源天亮一起追太阳# 点15,12.1万,124
4808456726905481,海盐不甜了,2022-08-31 09:19:20,浙江,二级#天亮一起追太阳[音乐]# 点15,12.1万,106
4808457796456817,绿若风笙,2022-08-31 09:19:20,广东,#王源南京演唱会三周年# 期待下午两点的新歌,302,43
4808456760984468,等丸圆去掉前缀,2022-08-31 09:19:20,新西兰,轉發微博,11.5万,23
4808457411102412,源源是天使啊,2022-08-31 09:19:20,湖南,怀念831期待王源哥哥下午的新歌,24,20
4808461160290249,少喝奶茶不吃糖_,2022-08-31 09:19:20,湖南,今天下午两点  新歌《海风吹》 王源哥哥带你去吹海风啦@TFBOYS-王源 #王源南京演唱会三周年#,231,7
4808459835673873,嗦一口小肥脸,2022-08-31 09:19:20,山东,永远的831 三年后的今天也很幸福 因为今天有新歌听#王源南京演唱会三周年#,509,5
4808459537879637,王源帮我想个ID,2022-08-31 09:19:20,广东,我我我,0,3
4808456710132695,铭铭我也很爱你,2022-08-31 09:19:20,山东,如何在常态中保持棱角，在风光旖旎中保持清醒，从青春到垂暮，这是人们一生都要做的功课。--王源,7,7
4808463802175656,爱小源哒凝凝同学1108,2022-08-31 09:19:20,吉林,我最棒的小孩三周年快乐～#王源南京演唱会三周年#,10,3
4808496904146952,甜小源Y,2022-08-31 09:19:20,湖南,#王源南京演唱会三周年#,723,0
4808481574224369,nlroy,2022-08-31 09:19:20,辽宁,#王源南京演唱会三周年#,77,0
4808476284425100,山海可鉴Yuan,2022-08-31 09:19:20,重庆,#王源南京演唱会三周年#,271,0
4808470422098995,海盐玫瑰冻,2022-08-31 09:19:20,河北,#王源南京演唱会三周年# 我去,1358,0
4808467770513117,有空一起骑单车,2022-08-31 09:19:20,福建,下午一起听歌#王源南京演唱会三周年#,3480,1
4808457821361806,永远做你的渺小知音,2022-08-31 09:19:20,河北,#王源南京演唱会三周年# 期待下午两点的新歌！！！,544,1
4808471361622118,一一要长大,2022-08-31 09:19:20,广西,下午两点一起听新歌《海风吹》@TFBOYS-王源 #王源南京演唱会三周年#,3246,1
4808522854830347,没有名字能定义我哦,2022-08-31 09:19:20,湖北,期待王源新歌,3,0
4808500188022803,马吉克魔法biu,2022-08-31 09:19:20,河南,举起我的小手,80,0
4808531401769598,咪咕视频,2022-08-31 14:17:29,,欢迎带话题#戳中泪点的音乐现场# 安利王源,801.9万,0
4808540843939610,松饼芋源,2022-08-31 14:17:29,河南,#王源新歌海风吹好浪漫#,135,0
4808536963417105,莹颖鸭,2022-08-31 14:17:29,广东,王源14岁独立作词作曲《因为遇见你》，歌手王源的创作之路亦正式开启，21岁发行的首张实体专辑《夏野了》，人人称赞、有口皆碑，拿下热门专辑、高分专辑TOP1，2022年的新歌，我又开始听了，真幸福。,231,1
4808541603366167,昵称没有格式,2022-08-31 14:17:29,宁夏,源哥,181,1
4808543528293733,小宋是人间理想_,2022-08-31 14:17:29,湖南,#王源新歌海风吹好浪漫#,20,0
4808542660072532,x小酸奶x,2022-08-31 14:17:29,云南,好好听 ,2,0
4808541552510994,ApcHly,2022-08-31 14:17:29,湖北,#王源新歌海风吹好浪漫#,1,0
4808541309505732,wangyuan1200111,2022-08-31 14:17:29,湖南,#王源新歌海风吹好浪漫#,13,0
4808540579956079,最爱我的源源呀,2022-08-31 14:17:29,陕西,#王源新歌海风吹好浪漫# ,2,0
4808536482387630,1997QSY,2022-08-31 14:17:29,江西,#王源新歌海风吹好浪漫#,32,0
4808535948659744,拐个王小源去私奔,2022-08-31 14:17:29,河南,海风吹#王源新歌海风吹好浪漫# 🎉#王源海风吹mv预告#,97,1
4808534166341722,源爸爸的R,2022-08-31 14:17:29,河北,我们海风吹最好听最甜,1733,1
4808532216777688,我是高远女朋友,2022-08-31 14:17:29,河南,#王源海风吹# #王源新歌海风吹好浪漫# #王源海风吹#希望年少轻狂的自己，依然步履不停，满天繁星，有我想成为的那道光。——《冬夜回望》@TFBOYS-王源,52,0
4808531548571424,独一无二的1108源,2022-08-31 14:17:29,湖北,#王源南京演唱会三周年#,74,0
4808544043404218,KR蟹小源,2022-08-31 15:03:19,安徽,@蜜豆多冰少糖 @黑色御用话筒 @一等源气 @RoyLove_Forever @CandyRoy糖果源 @炒鸡蟹 @RoyBoyCool1108·王源 ,196,0
4808544338315868,山海不再远yy,2022-08-31 15:03:19,安徽,海浪已经怏把我包围 此刻就让海风轻轻吹（已回）,108,0
4808544858147693,苙奈,2022-08-31 15:03:01,云南,(已互)一瓶橘子汽水无论多遥远距离你就是我的宿命我想你我想你，You're my babe my babe声音变沙哑，复述了几百遍，爱上这感觉——王源《海风吹》,37,0
