用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4775956676346793,新浪商学院,2022-06-02 16:47:57,北京,#LET ME TALK# 连线2020届高考生分享他们#关于高考的限定回忆# 以及在大学封校期间的小确幸，疫情有时限，青春无极限，一起#加油高考# 期待美好大学生活～,24.4万,1
4775966536371648,发财童子-头上有呆毛,2022-06-02 16:47:57,北京,加油加油别对大学失望！,1496,1
4775984592851352,韩悦娇Cindy,2022-06-02 16:47:57,上海,好棒的回忆,1万,0
4775959553378795,微博教育,2022-06-02 16:47:57,内蒙古,#关于高考的限定回忆# 这有一封来自2020年考生的特别应援，请查收！#一起高考# #加油高考#,244.3万,0
4775956626017980,新浪考研,2022-06-02 16:47:57,北京,#LET ME TALK# 连线2020届高考生分享他们#关于高考的限定回忆# 以及在大学封校期间的小确幸，疫情有时限，青春无极限，一起#加油高考# 期待美好大学生活～,135.4万,0
4775956508050309,公务员考试,2022-06-02 16:47:57,北京,#LET ME TALK# 连线2020届高考生分享他们#关于高考的限定回忆# 以及在大学封校期间的小确幸，疫情有时限，青春无极限，一起#加油高考# 期待美好大学生活～,174.3万,0
4775966680028222,鱼豆腐真英俊,2022-06-02 16:47:57,北京,2020和2022哪一届更惨一点,11,0
4776009600074459,酒装火锅,2022-06-02 16:47:57,浙江,加油,4.1万,0
4775971183659997,z85186,2022-06-02 16:47:57,福建,加油，一定要好好的努力考出好成绩呀！！,136,0
4775967379948242,福清小股神,2022-06-02 16:47:57,福建,我的青春呀,67,0
4775971779772621,flidess,2022-06-02 16:47:57,河南,希望大家都可以金榜题名，心想事成,279,0
4775968043175867,期待梦想着陆,2022-06-02 16:47:57,广东,加油加油，祝高考生们一切顺利,621,0
4775967669094792,尙衫瞰日出,2022-06-02 16:47:57,安徽,预祝高考顺利 加油,1309,0
4775967589139649,我是大龙猫1,2022-06-02 16:47:57,山西,高考加油吧，希望学子们考上理想的大学,1114,0
4775967426611937,蛇盘兔串马打算,2022-06-02 16:47:57,山西,祝福所有考生都能如愿以偿，考入理想大学,396,0
4775966725639901,岁岁且年年5,2022-06-02 16:47:57,福建,这曾经是我的青春呀,84,0
4775971854484700,冰玫abc,2022-06-02 16:47:57,河南,高考倒计时了，加油加油,632,0
4775968432195164,啦啦啦555aa,2022-06-02 16:47:57,四川,预祝各位取得理想成绩，高考加油💪,586,0
4775968410961904,打开音乐的开机键,2022-06-02 16:47:57,河南,希望考生们都可以考到自己心仪的学校。,105,0
4808173662244792,超话社区,2022-08-30 14:36:34,,你好，你感兴趣的“疫情下的大学生活[超话]”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 疫情下的大学生活,2.35亿,0
4808532979090164,7興趣使然,2022-08-30 14:36:34,四川,好甜啊,121,0
4808178527373789,莹莹yy22,2022-08-30 14:36:34,云南,你好，拍送拍吗？私信我,0,0
4808126035398132,E刘ason,2022-08-30 09:14:45,重庆,我愿意开学在寝室上网课,308,0
4808093211563181,记不迟,2022-08-30 09:14:45,云南,但是省外孩子反向跑毒真的很痛苦要路过那么多站点安全真的没法保证 要是没疫情我也想回,511,7
4808093395059622,Indigooo_,2022-08-30 09:14:45,安徽,我也想回,2,0
4808108168447904,荷兰猪爱在琥珀川吃饭,2022-08-30 09:14:45,四川,我觉得很无语某些安排,11,0
4807933466515294,H1lario,2022-08-29 21:12:54,吉林,加油,27,0
4807667266617487,想吃一百个小蛋糕,2022-08-29 05:03:38,上海,无法回到过去。,0,0
4807562870917848,初忆-Nancy,2022-08-28 21:54:32,内蒙古,我真的是大学生吗,5043,0
4807559662013008,绿缇乌龙茶,2022-08-28 21:54:32,福建,以前出国出省的旅游 现在省内都回不了家,265,1
4807559628721613,趣多多cookie,2022-08-28 21:54:32,贵州,马上就去坐牢了,48,0
4807496076627538,最佳損損損損損友,2022-08-28 16:49:21,江西,回来的时候记得带只羊，我想吃烤全羊,35,0
4807412421496303,蛙蛙碎冰冰,2022-08-28 11:57:01,江苏,咱就是说真的不怕🐑嘛,83,0
4807411523912363,不为人知的情绪,2022-08-28 11:57:01,江苏,好巧我也是，学校领导可能用脚趾头想出来的,0,0
4807201904138888,升云盗月,2022-08-27 20:54:10,辽宁,可别意见建议墙了，实名制直接追查到个人,13,8
4807373259278851,我是强壮的大香蕉,2022-08-27 20:54:10,山西,眼界高一点你就会发现，不是大学，也不是山西，而是这个地方就是你说的这样,2,0
4807203640316548,微-星尘,2022-08-27 20:54:10,山西,找个营销号爆一下吧，不过孩子不知道怎么搞,6,0
4807202882459081,山西大学第一法王,2022-08-27 20:54:10,山西,意见箱就是tmd钓鱼执法,51,1
4807360054561776,岸上空气清新,2022-08-27 20:54:10,山西,因为建议箱被约谈 真的怕了 帽子太大戴不起,9,0
4807178966273636,魈鲲,2022-08-27 20:00:24,天津,19级的我已经大四了，只上了两年学，其中这两年还封校,6,0
4807177091157299,面包冰酒,2022-08-27 20:00:24,黑龙江,21级我就没体会到啥是大学生活，一年了，我一共线下一个月，剩下都在宿舍上网课，有的时候宿舍门都不让出,0,0
4807175970493888,-想发大财,2022-08-27 20:00:24,黑龙江,小声叨叨：哪儿来的阅读量啊🤕,43,0
4807005297180739,一一_alq,2022-08-27 09:13:14,河北,好烦谁能告诉我学12长什么样子私信我算求了,5,0
4806857731869255,我不配当个女孩子,2022-08-26 23:10:18,北京,别讲了，我都快哭死了,9,0
4806856986591728,今天吃了吗da,2022-08-26 23:10:18,江西,我们学校还好我在广东那边 但是也不能出那片区域真的很无聊啊大学生怪不得我哥姐他们当年都很愿意学校而我现在极度不想去学校因为他们没有疫情的大学生真的很爽,28,0
4807057922065812,Veraouo,2022-08-26 23:10:18,江苏,我们真的好惨好想体验一次没有疫情的大学生活,30,0
4806853508205604,小健志坚,2022-08-26 23:10:18,江西,呜呜呜呜呜，谁还我大学四年的青春疫情你该死啊,97,1
4806858944286595,Muradil_0214,2022-08-26 23:10:19,新疆,我说了你回不去还不信,13,0
4807025554623409,跳动的火--,2022-08-26 23:10:19,北京,飞西安或者成都中专,21,0
4806863830649489,炭烤小肥杨n,2022-08-26 22:59:37,江西,我们在这等你回来,192,0
4806846047848221,七仔去旅行叭,2022-08-26 21:48:52,湖南,跟想象中的大学生活完全不一样,29,0
4806522125420830,Zenithering,2022-08-25 23:32:17,福建,,22,0
4806509814353663,LLXLLLYL,2022-08-25 23:32:17,上海,你去做人大代表,64,0
4806794360654003,forget-1982,2022-08-25 23:32:17,河南,,30,0
4806487391863992,双益smile,2022-08-25 22:54:25,重庆,毕业也在重庆安家，真的看到缙云山着山火的时候，都不敢相信,149,0
4806494358869581,橘笙南木途归谜c,2022-08-25 22:54:25,四川,坚持就是胜利,2,0
4806425022306414,孤独时代的鲸落,2022-08-25 18:44:54,重庆,今天可能上不到100,337,1
4806435080770729,你啷个勒个那个嫩个也,2022-08-25 18:44:54,陕西,居然还有人吃亲鬼。真特么是真爱啊。佩服佩服,877,0
4806430206726759,mimidudu,2022-08-25 18:44:54,四川,雄起,137,0
