用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808532727696010,jessie静1314,2022-08-31 14:00:48,北京,这是哪一年的新闻了,58,0
4808458089533760,微博辟谣,2022-08-31 08:20:15,北京,#微博辟谣#满洲里市申请保供商超不从社区上报了？假的！,231万,0
4807440480606054,普洱政法,2022-08-28 13:26:05,,,2892,0
4807456502579775,甘泉检察,2022-08-28 13:26:05,,关注,1.5万,0
4807485333965102,黄河口检察在线,2022-08-28 10:00:01,,,2.3万,0
4807452485489251,梓潼公安,2022-08-28 10:00:01,,转发微博,5203,0
4807451717927208,平安江阳,2022-08-28 10:00:01,,,2.8万,0
4807426614755361,山东长安网,2022-08-28 10:00:01,,,6.8万,0
4807402266036554,兰州文化旅游,2022-08-28 10:00:01,,,81.9万,0
4807402253195194,大悟县检察院,2022-08-28 10:00:01,,关注热点,1540,0
4807385279892820,大同消防,2022-08-28 10:00:01,,,9.6万,0
4807383253519104,南宁检察,2022-08-28 10:00:01,,辟谣@南宁检察,4174,0
4807734236549877,正义广水,2022-08-28 10:00:01,,@平安绵阳 ,3390,0
4807545128226318,仪陇交警,2022-08-28 10:00:01,,,2437,0
4807474550933367,菏泽市人民检察院,2022-08-28 10:00:01,,传播信息微平台@菏泽市人民检察院,2.6万,0
4807464464420461,西湖检察,2022-08-28 10:00:01,,关注,7301,0
4807446256682665,菏泽中院,2022-08-28 10:00:01,,传递信息微平台,46.5万,0
4807445593720996,盐亭县公安,2022-08-28 10:00:01,,,851,0
4807431043156983,平安仙海,2022-08-28 10:00:01,,,2574,0
4807426207121838,科新公安,2022-08-28 10:00:01,,#网警辟谣# 8月27日晚，网传绵阳新增6例确诊。经绵阳网警核实，该信息为虚假信息。,722,0
4807414333835616,白银公安,2022-08-28 10:00:01,,,12万,0
4807406020724832,高新服务,2022-08-28 10:00:01,,,17.7万,0
4807384549294552,成都人社局,2022-08-28 10:00:01,,,120.6万,0
4807380423149848,广元机场公安,2022-08-28 10:00:01,,,1612,0
4807124297975405,乔巴的Chopper,2022-08-27 16:03:31,四川,坚决打击谣言,213,0
4807333031706932,深蓝色的纯黑,2022-08-27 16:03:31,四川,人家说的凌晨四点找不到地方吃早餐，本意也是好的想为支援南充的人做好服务，到你们这就掐头去尾搞文字狱？真是魔幻！,134,2
4807137542800736,月色小玖,2022-08-27 17:27:13,河北,只通知静默开始时间，不发布截至时间和标准！现在入境隔离不过7+3，凭什么让全城人民静默5天，一点说法都不给！国家严禁疫情一刀切！今年这是第三次了？还要多少次？通勤人员多少人失业了？实体店多少店铺倒闭了？领导们睁眼看看吧……,6,86
4807131034030060,蓝天白云向日葵123,2022-08-27 17:27:13,河北,赶紧解封行吗？我要上班养家糊口，我要还房贷，让不让人活了,285,57
4807129896061162,又是想打游戏的一天呢,2022-08-27 17:27:13,河北,五点半了，还没有明天解封或者做核酸的消息？,0,39
4807141456351371,Dear-柳暗花明,2022-08-27 17:27:13,河北,民怨不可忽视，领导的乌纱帽还能戴几天？,116,28
4807138163032780,白瓷梅子汤plum,2022-08-27 17:27:13,河北,别活在自己世界里了行吗 考虑一下人民的感受吧 睁眼看看世界吧！！！,190,31
4807134476502164,白瓷梅子汤plum,2022-08-27 17:27:13,河北,那你倒是说什么时候解封啊你看看你办的什么事啊,190,20
4807134342027982,祗生欢喜,2022-08-27 17:27:13,河北,不解封没关系，再封一周都没事，主要是具体封到何时，让我们心里有个数，以便安排好个人计划。你这个总是临时封临时解，计划全被打乱,49,16
4807131029834817,先生yangyang,2022-08-27 17:27:13,河北,到底几号解封，封之前也不说好买点菜啊,2.4万,18
4807129871155214,周一又一周,2022-08-27 17:27:13,河北,那明天能解封吗,31,16
4807130555352344,谢耳朵bingo,2022-08-27 17:27:13,河北,可以通知解封了吧 都几点了,341,20
4807139766306842,赛博死刑犯,2022-08-27 17:27:13,河北,精选评论倒计时,9,11
4807137336754915,我的半岛铁盒在哪里,2022-08-27 17:27:13,河北,这意思是不是要等中高风险全部转低风险？都5轮核酸了，低风险能不能别跟着静默了。,169,12
4807161647728068,有她才完美谢幕,2022-08-27 17:27:13,河北,请问过度防疫对你们政府来说有什么好处嘛,22,7
4807136490029563,辣条碎冰冰926,2022-08-27 17:27:13,河北,那你说什么是真的！什么才是真的！,15,9
4807137039226015,芝士哦O,2022-08-27 17:27:13,北京,所以那什么时候解封啊,48,9
4807165891843251,此处一只折耳猫,2022-08-27 17:27:13,河北,你说他是假的，那你告诉我几号解封啊，既然全市静默不说几号解封那么请问您为什要划风险区呢，低风险区什么时候可以出去呢，我想回学校我想拿快递,24,7
4807135348922674,被穷哭的花涧,2022-08-27 17:27:13,河北,所以什么是真的,118,8
4807130827722194,不停上班打工人,2022-08-27 17:27:13,北京,什么时候解封,2,8
4807134417785161,我是学生让我上岸,2022-08-27 17:27:13,河北,明天解封不明天做核酸不，能不能有个信？？？,179,6
4807131939997047,静雨男孩,2022-08-27 17:27:13,河北,来这边出差，外卖快递都给停了什么意思。每天吃泡面真的顶不住啊,142,9
4806793673313587,南十字星的海,2022-08-26 19:07:19,澳大利亚,去年在悉尼市政中心路过一个反疫苗游行队伍，有一个漂亮的小姐姐举着标语：no needles in my body. 看了下她的脸，我几乎可以100%肯定她打过丰唇针,352,1
4805709579424928,南宁检察,2022-08-23 17:26:00,,,4174,0
4805684371919853,山东长安网,2022-08-23 17:26:00,,,6.8万,0
4805712422901186,诗意宣城,2022-08-23 17:26:00,,,2.8万,0
4805696816678428,娜娜真棒呀,2022-08-23 17:26:00,海南,疫情时期还敢造谣,53,1
4805726411166146,独舞泪殇,2022-08-23 17:26:00,海南,造谣可恶！,192,0
4805693088207145,程家大小姐姐,2022-08-23 17:26:00,河南,严惩不贷,13,0
4805685932721672,艾桂冰,2022-08-23 17:26:00,湖南,可不能造谣，,21,0
4805691699628462,刘同学的影迷朋友,2022-08-23 17:26:00,湖南,造谣一张嘴，辟谣跑断腿,170,0
4805756907431349,是琼家的小兔子呀,2022-08-23 17:26:00,海南,造谣者必抓,3,0
4805659382252996,无锡空港001,2022-08-23 16:01:00,江苏,,4044,0
4805572954685609,沙湾政法,2022-08-22 19:32:00,,【#编造、故意传播虚假信息罪#】,2068,0
4805331568304305,阜康检察,2022-08-22 17:39:56,,#复检热转#,15.2万,0
4806632569312915,陕西渭南临渭公安,2022-08-22 17:39:56,,转发微博,2.6万,0
4805235979586647,小小的人儿呦大大的梦,2022-08-22 11:36:59,北京,寻衅滋事真好用哈哈哈 万能罪冤假错案产生的利器,3468,0
4804209368895849,微博辟谣,2022-08-19 16:00:06,北京,#微博辟谣# 蒙阴一网民散布涉疫情谣言被处罚,231万,1
4804132719039233,果子果果2015,2022-08-19 10:00:02,陕西,此外应该加大短视频平台的监管和违规惩处力度，促使其强化自律和自我净化意识@汉中网警,61,0
4804119548921086,你身上我光,2022-08-19 10:00:02,陕西,不信谣不传谣,17,0
4804082990321714,紫幽新家,2022-08-19 07:29:37,陕西,网络不是法外之地,5831,0
4803926018500152,草莓与你-,2022-08-18 20:47:38,陕西,这都几年了还张口就来,61,5
4803921535830628,心如死水啊哒啊,2022-08-18 20:47:38,陕西,尼玛 吓死人,291,1
4804107481382961,打小红领巾,2022-08-18 20:47:38,陕西,“一个好人”,300,0
4804107724394737,岁月有刺,2022-08-18 20:47:38,陕西,有人制造恐慌提升经济，反正坐牢时间不长，这种时间屡次发生,100,0
4803918935105325,米兰城的发发儿,2022-08-18 20:47:38,陕西,脑子都有麻搭呢，赶紧吃两天牢饭,21,6
4803745378734396,if光知道,2022-08-18 09:19:15,湖北,所以简单的一件事真的让人茅塞顿开,0,0
