用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808178040050531,IO傻白甜,2022-08-30 14:51:42,意大利,塞壬女魔你好我就爱女魔头#王晓晨东八区的先生们#,1257,49
4808180729646444,IO傻白甜,2022-08-30 14:51:42,意大利,想看女魔头谈恋爱,1257,50
4808178691475021,王晓晨的老婆是ww,2022-08-30 14:51:42,江苏,多多霸气,137,31
4808177868868389,钦呀晨,2022-08-30 14:51:42,上海,许总v5,6737,27
4808178438506261,君晨吾爱,2022-08-30 14:51:42,天津,王晓晨欢迎许总，撒花🌸🌸🌸//@王晓晨:许多马上要来了！咱们智动科技见，好好练一练！,3006,21
4808182747107287,王晓晨工作室,2022-08-30 14:51:42,河北,#东八区的先生们有难同当版预告# 在工作中成长，在感情里历练，期待许多CEO上线！//@王晓晨:许多马上要来了！咱们智动科技见，好好练一练！,12.5万,13
4808181085110850,依米sunshine725,2022-08-30 14:51:42,山东,期待,353,21
4808179017846202,王晓晨的热心网友,2022-08-30 14:51:42,江苏,明天就能看到许多了,41,16
4808178573247109,王晓晨的老婆是ww,2022-08-30 14:51:42,江苏,明天见了,137,14
4808178245833539,晨曦北鼻呐,2022-08-30 14:51:42,上海,啊啊好期待许总 明天见喽~,452,6
4808177868606704,土豆0223,2022-08-30 14:51:42,上海,许总好,178,7
4808194373716685,DFBM小田,2022-08-30 14:51:42,广东,期待霸气许总上线~#王晓晨东八区的先生们#,2352,2
4808178971968151,撩撩怼怼姐,2022-08-30 14:51:42,天津,终于等到你@王晓晨 ,326,7
4808177616423984,诺尘一露相随,2022-08-30 14:51:42,山东,期待许总,171,5
4808179320622684,旭日东升9505,2022-08-30 14:51:42,天津,好,122,7
4808185704090652,喜宝爱点点喵喵,2022-08-30 14:51:42,重庆,来来来 等你好久了//@王晓晨:许多马上要来了！咱们智动科技见，好好练一练！,1043,7
4808182716698411,七一荌倩,2022-08-30 14:51:42,四川,许多快来，想死你了,10,6
4808177890363446,晨欣在爬行,2022-08-30 14:51:42,北京,嘿嘿，练起来,864,5
4808194909799920,hsiu-shan,2022-08-30 14:51:42,中国台湾,所有晨曦们听令：明天大家一定要看#王晓晨东八区的先生们# 这不是威脅这是恐嚇,324,6
4808200279031830,晨曦麦欣呐,2022-08-30 14:51:42,山西,明天不见不散欧~//@王晓晨:许多马上要来了！咱们智动科技见，好好练一练！,149,4
4808584196792198,阿拉灯神丁_-,2022-08-31 17:47:23,北京,,375,0
4808275298879763,买劵也用辣椒,2022-08-30 21:10:07,北京,职场丽人的水瓶都是这么卡哇伊的吗,119,2
4808274161179187,Dear琛哥,2022-08-30 21:10:07,河北,乐乐的锁骨是不是能放硬币,164,1
4808272874308788,今天和波波啵啵了吗,2022-08-30 21:10:07,河南,这个角色看衣品就不简单,556,1
4808273629023133,你前任线上经纪人,2022-08-30 21:10:07,山东,我就说月底了应该会交作业吧 孩子长大了，不用催了,1340,1
4808275746364303,来半份水果捞,2022-08-30 21:10:07,河南,御姐风嘛？哈哈哈哈,555,0
4808308072907896,w张yi山j,2022-08-30 21:10:07,山东,职场女人 保温杯里泡枸杞～,1219,1
4808273117321799,今天和波波啵啵了吗,2022-08-30 21:10:07,河南,你这样拍不行的啊，你得把那个手机……唉算了你把自己寄过来我帮你拍,556,1
4808272953743621,沐兮芒果杯Rainy,2022-08-30 21:10:07,新疆,今天是酷girl！,1.3万,2
4808279526737440,叶七七的小五,2022-08-30 21:10:07,甘肃,杯杯好可爱我是说baby你真的好可爱,75,1
4808282449385286,Crown_小晨不萌,2022-08-30 21:10:07,江西,你穿这么酷用这么可爱的水瓶好像有点违和,240,0
4808273268056028,·来碗拌面吧·,2022-08-30 21:10:07,浙江,美丽的女人,1.3万,0
4808427140811819,故事始于盛夏199201,2022-08-30 21:10:07,山东,酷,0,0
4808302951926691,Taeyeon_薇薇,2022-08-30 21:10:07,上海,酷,99,0
4808292779431060,闭嘴你不要说话,2022-08-30 21:10:07,广西,宝贝注意防暑呀,1304,0
4808276989184642,zhou亚山,2022-08-30 21:10:07,辽宁,emm，很严肃,4,0
4808276228965222,依崽my,2022-08-30 21:10:07,河南,好看,0,0
4808274534732422,本蛙在此,2022-08-30 21:10:07,海南,好看好看好看,689,0
4808272882697612,榆树和川,2022-08-30 21:10:07,浙江,帅的不对劲，该叫老公还是老婆捏！！！,57,0
4808272820046988,瞅你咋滴小清新,2022-08-30 21:10:07,江苏,哇好看,167,0
4808583793349895,少即是鹿,2022-08-31 17:40:51,河南,看到就睡不着了吧,9,0
4808582850419193,行舟临秀川_,2022-08-31 17:40:51,山西,我不想活了，卤味你们别钓了,46,4
4808583680623511,Carodeer,2022-08-31 17:40:51,广东,让我看看吧,37,0
4808582698896688,一个追鹿人,2022-08-31 17:40:51,山东,同样是职场新人，晚上八点还在加班,19,1
4808582601644316,Tokodoo,2022-08-31 17:40:51,福建,私,2133,0
4808577812274042,眼睛听,2022-08-31 17:13:09,陕西,看了兔姐这里的咨询，才知道那么多女性的生活被男人拖垮。同为女人，也是个惊醒,1317,3
4808577715799295,大大哒大白兔,2022-08-31 17:13:09,江苏,2.3.4都是糊涂人的糊涂账,786,1
4808577154549286,村口的那束狗尾巴草,2022-08-31 17:13:09,浙江,图3这样的信任度和了解度还达不到结婚的程度吧,268,1
4808579338736611,我比从前更快乐了,2022-08-31 17:13:09,广西,世人皆糊涂，大多数人都是糊涂人，懂得上网投稿自救的还有机会，救都不救的，很凉,0,0
4808584258394242,小费妈2002,2022-08-31 17:13:09,浙江,@小费妈2002: 图4的老公太拉垮了，把老婆的钱作的一份不剩，还欠一屁股债，本来好好的工作，家里财务也自由,125,0
4808582774128705,电视剧东八区的先生们,2022-08-31 17:42:14,,请问有人要租房吗？未来城小区实施了全智能化管理和应用，力求给业主最舒适的居住环境和最稳妥的安全保障！详情来芒果TV、腾讯视频戳#东八区的先生们# ,2.7万,0
4808584258651393,马岩禹泽,2022-08-31 17:41:54,陕西,欢迎大家来看#关晓彤二十不惑2# ,7,0
4808259506018815,盯裆妈,2022-08-30 20:04:33,广东,👍🏻这条,1.7万,639
4808257145406189,猫猫会捡球,2022-08-30 20:04:33,安徽,我做噩梦没有一片落叶是无辜的,7691,362
4808257816235678,本本i啊,2022-08-30 20:04:33,福建,这破锣嗓子 难听死了,3153,254
4808257937868441,斯达迪dei,2022-08-30 20:04:33,江西,搞个内赞上去吧,6218,239
4808256813271141,每天为马嘉祺心动,2022-08-30 20:04:33,山西,落地   生根,1,177
4808257061526421,每天为马嘉祺心动,2022-08-30 20:04:33,山西,还有那个爱人错过里，你妈有没有告诉你，我以为他在骂人,1,180
4808258218891867,可盐可甜呆桃战,2022-08-30 20:04:33,安徽,我哩我哩耳朵,1,104
4808257455264882,想一直开心的不开心,2022-08-30 20:04:33,河南,别生根了，要做噩梦了,91,122
4808262455658330,Cokebarrels-,2022-08-30 20:04:33,黑龙江,丁程鑫这辈子没受到过这么多关注 偷着乐去吧,3960,112
4808257128631669,马小路小盆友,2022-08-30 20:04:33,山东,哈哈哈哈哈哈哈落地生根↘,0,65
4808257019578592,白檀松茶,2022-08-30 20:04:33,辽宁,我的耳朵啊啊啊,15,47
4808258035124655,你也喜欢香菜吧,2022-08-30 20:04:33,黑龙江,这是谁呀,379,78
4808266187544509,七区記养狗狗,2022-08-30 20:04:33,浙江,啊啊啊啊啊好多经典老番,3293,45
4808257636667711,永远爱舞台-,2022-08-30 20:04:33,湖南,宝宝们别委屈自己，咱们堵住耳朵饶自己一命吧,107,59
4808261310354999,偏執上癮,2022-08-30 20:04:33,中国台湾,强迫自己数学没算完前必须循环播放鲶鱼歌 那么我算数学的速度（）……,366,33
4808258164102337,你也喜欢香菜吧,2022-08-30 20:04:33,黑龙江,你讨厌的东西好多呀,379,58
4808261897814422,每天都要打瞌睡ma,2022-08-30 20:04:33,河南,每一步的泥泞执念落地生↑根↓,1386,40
4808262266652846,钱多多今天要开心呀,2022-08-30 20:04:33,湖北,我做错了什么要听到这个,6,20
4808257195212931,春日祺迹君,2022-08-30 20:04:33,山西,你好损，我好爱,8,26
4808265239893420,BeDauntless,2022-08-30 20:04:33,浙江,最后……可怕！当时直播的时候就惊到了,253,25
4808579733522985,人间枉少年,2022-08-31 17:25:40,上海,快点来一部吧,126,9
4808580018733899,神奇宝宝大喵喵喵,2022-08-31 17:25:40,上海,啊啊啊啊啊 期待,956,8
4808580798087607,川海倩雪,2022-08-31 17:25:40,上海,坐等,26,5
4808581751245462,艾利克斯喵,2022-08-31 17:25:40,上海,我真的很想念律政佳人 爱的二八定律秦施,34,3
4808579515683279,司空摘星呐,2022-08-31 17:25:40,上海,持续等待中,476,10
4808579377010781,扶海摇天,2022-08-31 17:25:40,上海,超级期待，播哪部都可以,0,11
4808579213692514,团团圆圆是喵喵,2022-08-31 17:25:40,上海,期待,3,12
4808580484302563,夏晴晚薇,2022-08-31 17:25:40,上海,快点来一部吧,6,6
4808581523706844,倩雪晴菲,2022-08-31 17:25:40,上海,哇塞 医疗正剧谢谢你医生 好期待,7,4
4808581176624348,灵雪晚星,2022-08-31 17:25:40,上海,啊啊啊啊啊啊 想看啊啊啊,4,5
4808582660621556,北大在逃保安,2022-08-31 17:38:49,北京,除此之外，这个话题本身就有点儿自娱自乐自我陶醉的感觉,221,0
4808543351342257,kakashi的猫,2022-08-31 14:59:36,贵州,正好最近准备离职但是又不知道该怎么说 学到了,30,27
4808543352389939,撸串小学生吼,2022-08-31 14:59:36,山东,最重要的还是要遇到一个好的hr  不然没有用(个人拙见),52,46
4808543439421967,Milchstrate浮笙,2022-08-31 14:59:36,河南,语言表达的艺术，我已经学会了,1.1万,14
4808545017011971,甜崽崽不是甜仔仔,2022-08-31 14:59:36,天津,每次都想好要怎么说了 但是真早面对我就都忘了想说的话,26,8
4808543730141416,你笑兵长一米六兵长笑你帅不够,2022-08-31 14:59:36,贵州,全都是干货 马住了,26,8
4808544149045630,小柴睡不醒-,2022-08-31 14:59:36,河南,还没毕业就已经掌握从应聘到离职的各种技能,4,5
4808544995777691,echolde,2022-08-31 14:59:36,山东,学到了，码住学以致用,75,2
4808547404353047,奏七月的阳天真,2022-08-31 14:59:36,广东,说话可别太直接，能圆滑委婉点最好,35,1
4808546228901151,风和自由-Jay,2022-08-31 14:59:36,安徽,学到了 就用这个 必须收藏了,5,1
4808559856718256,小猪佩奇线,2022-08-31 14:59:36,河北,满满的干货果断码住了,122,0
4808552931657426,GpsyzSFM,2022-08-31 14:59:36,江苏,学到了说话小技巧,59,0
4808548515055902,JenniferBigBomb,2022-08-31 14:59:36,广东,在校时好好学语文，特别是写作文,24,0
4808560065644096,亚里士多德线,2022-08-31 14:59:36,河北,这些职场经验真实用,5,0
4808551308202205,YUZELON,2022-08-31 14:59:36,江苏,保存起来。满满的干货,6,0
4808549895505983,梦醒不来我们回不去,2022-08-31 14:59:36,四川,果然语言是一门艺术 情商就体现出来了,6,0
4808548498804843,Lucky-girl菲,2022-08-31 14:59:36,上海,哈哈哈哈哈学到了，再也不会为某些事情怎么而头痛啦,0,0
4808546602979021,Carinali丽,2022-08-31 14:59:36,上海,哈哈哈哈哈刚好所需，本来想好怎么说可关键时刻说不出来啦,5,0
4808545138382254,沉浸芋泥波波,2022-08-31 14:59:36,安徽,还是要慧眼识公司呀 找个好公司才是最重要的,21,0
4808544300566112,面包糠油炸冰淇淋,2022-08-31 14:59:36,江西,论语言表达的魅力,101,1
4808543766847945,一条蓝人,2022-08-31 14:59:36,江西,这个作业我抄的很舒服,103,0
4808571504562243,最暖的翰,2022-08-31 16:56:27,中国香港,心疼童语,1643,42
4808571323678818,兜兜里有张翰,2022-08-31 16:56:27,浙江,你太活跃了大哥,183,37
4808571361693254,紫凝凝凝凝1006,2022-08-31 16:56:27,福建,惨哈哈哈哈,1.1万,36
4808571454489118,紫凝凝凝凝1006,2022-08-31 16:56:27,福建,可怜的童语哈哈,1.1万,28
4808571583465314,Hans忆辰,2022-08-31 16:56:27,河南,受气包童语#张翰 东八区的先生们#,809,23
4808571563016400,爱喝奶茶的七七七吖,2022-08-31 16:56:27,江西,受气包童工,1.2万,21
4808571735510745,假寐的永远喊不醒,2022-08-31 16:56:27,浙江,你刚刚怎么撩完就跑不负责,101,16
4808571659753376,蜜糖姜茶,2022-08-31 16:56:27,北京,不是我说 封腾好大的胆子啊 敢把童语踢出群,5819,16
4808571982447886,OnlyHAN1006,2022-08-31 16:56:27,湖南,好可爱呀  宝贝,716,16
4808572225717399,H-a-n-s1314,2022-08-31 16:56:27,辽宁,真好看,51,11
4808571516616999,Hans忆辰,2022-08-31 16:56:27,河南,哈哈哈哈童语一整个大无语,809,10
4808572351548866,H-a-n-s1314,2022-08-31 16:56:27,辽宁,受气包童语先生,51,11
4808571474936093,蜜糖姜茶,2022-08-31 16:56:27,北京,小委屈包童语,5819,9
4808571377943956,啾咪秋秋Z-,2022-08-31 16:56:27,湖北,啧啧啧我看你是不服气,1412,10
4808572174598804,奶白塘,2022-08-31 16:56:27,江苏,哈哈哈哈哈哈哈哈哈哈哈,404,5
4808571709821338,Hans衣领子,2022-08-31 16:56:27,广东,你真的太活跃了@张翰,105,5
4808573584671774,Hans_粤堡贝,2022-08-31 16:56:27,广东,张翰 @张翰 //@张翰:童语：服服服…真fu～我怎么在哪都受这气呢,8630,2
4808572602682975,李颖ying,2022-08-31 16:56:27,内蒙古,哥你今天好活跃,87,4
4808573035481373,awsh103,2022-08-31 16:56:27,上海,项目遭遇打击，心疼童总工@张翰 ,679,3
4808571886241789,啾咪秋秋Z-,2022-08-31 16:56:27,湖北,下雨过后又天晴了了啊这是,1412,4
4808569625513346,甜媛儿,2022-08-31 16:44:48,广东,姜小果真的演的很好 202真滴超级超级好看！,244,24
4808568924014027,核核核核核核桃啊,2022-08-31 16:44:48,河北,啊。。。,131,19
4808571794227378,小陆小路-,2022-08-31 16:44:48,江苏,绝！不！腿！软！好会演,17,18
4808572195573677,KoiTiam,2022-08-31 16:44:48,江西,看到这段我真的头皮发麻,10,14
4808572090978214,人生浪费指南圣经,2022-08-31 16:44:48,江西,谁还没看过我都会伤心的ok？,9,18
4808572263990191,茄柒七,2022-08-31 16:44:48,辽宁,看这段最气的是她的老板还嬉皮笑脸 看的我真想冲进去扇他！,134,8
4808572095961607,就是一口饭,2022-08-31 16:44:48,黑龙江,这是多少普通人的缩影啊。,79,8
4808572325593186,·来时雾漫,2022-08-31 16:44:48,黑龙江,PUA真的会毁掉一个人,64,5
4808572221784374,Heliophilia-,2022-08-31 16:44:48,黑龙江,这就是被压榨的打工人呀。,50,6
4808572568870210,狙殺·月亮,2022-08-31 16:44:48,黑龙江,真的是扎心她的爆发力很强。,16,2
4808568668947503,一定一定会变好的,2022-08-31 16:44:48,上海,打工人很难不共鸣,70,5
4808576033887140,苏语晨靓,2022-08-31 16:44:48,辽宁,小果好棒我们职场需要小果这样的,12,0
4808571906166560,Lonely·Rebirth,2022-08-31 16:44:48,黑龙江,这部剧这一块真的太好看了,469,5
4808573428957587,·夏目葵子-,2022-08-31 16:44:48,湖北,暑假里面最喜欢的就是这部剧呀,19,2
4808572405552630,遗落地平线_,2022-08-31 16:44:48,黑龙江,有的老板我告诉你不要太过份。,324,2
4808572351022300,著名茶艺鉴定大师,2022-08-31 16:44:48,黑龙江,没有任何打工人能不爱这段,116,2
4808572145505337,云边有只小绵羊i,2022-08-31 16:44:48,黑龙江,这样的老板就应该不给他干,12,1
4808576155258950,醒醒了画图吧,2022-08-31 16:44:48,新疆,其实这也是我们很多人的写照,104,0
4808576071106694,想想今天吃什么啦,2022-08-31 16:44:48,新疆,真的好现实啊这一段,30,0
