用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4818060937270282,yanya风格,2022-09-26 21:19:40,广东,这接二连三的说不是恐怖袭击我都不信,2,57
4818061074895658,戈壁上的茳芏,2022-09-26 21:19:40,广东,今天第三起了吧，估计是有组织的,798,18
4818062731381114,爱喝雪碧的小石,2022-09-26 21:19:40,河北,怎么遍地开花呀，被渗透了吧,225,10
4818107581074471,PrinceWilliam0927,2022-09-26 21:19:40,美国,自由美利坚 枪击每一天,15,24
4818060424517552,Moemoe獸,2022-09-26 21:19:40,上海,有策划的恐袭？,87,4
4818069703364115,小米麦圈,2022-09-26 21:19:40,天津,美国又在搞事情了,188,8
4818063688731886,正在煮的开水2,2022-09-26 21:19:40,北京,这不是有组织有预谋的恐怖袭击嘛,48,6
4818064950694100,非雨曉鶴,2022-09-26 21:19:40,河北,好家伙,55.3万,1
4818061720817265,夲犇,2022-09-26 21:19:40,浙江,开始了,115,2
4818077093729517,碎碎念花婆婆,2022-09-26 21:19:40,上海,啥日子，这么多恐怖袭击？,119,0
4818066636282591,战舰恬淡,2022-09-26 21:19:40,上海,不寻常,5135,0
4818065423860293,九和八二三,2022-09-26 21:19:40,湖北,又有了？,97,0
4818677638368731,基围虾骑士,2022-09-26 21:19:40,上海,境外势力干预,1.2万,1
4818661627923412,情感王国B,2022-09-26 21:19:40,陕西,别放大镜皮屑子都不放过，大惊小怪危言耸听❗日常治安罢了，美国那家常便饭，是个社会中的成年人、有点新闻常识的都不会想多了的❗,2,1
4818585510218621,叶芝的炉火,2022-09-26 21:19:40,河南,莫斯科保卫战,22,0
4818317182764890,医者仁心·居安思危,2022-09-26 21:19:40,云南,责任全在美方,4,0
4818283087530258,仴脃,2022-09-26 21:19:40,天津,乱套了,184,0
4818181761269981,漫画里的J,2022-09-26 21:19:40,辽宁,美西方 玩儿埋汰了开始,186,0
4818081258412918,空中庭園巴比伦,2022-09-26 21:19:40,北京,恐怖份子搞事情,170,0
4818075448510921,Kai-Zong,2022-09-26 21:19:40,上海,肯定是有组织的破坏！当然了一群xB会说，苍蝇不叮无缝的蛋…！,167,0
4818319792411090,榆槐杨,2022-09-27 14:30:03,黑龙江,被人家一巴掌打老实了，什么东西都学人喝酒。,165,138
4818319670773843,我心不闲,2022-09-27 14:30:03,广东,黑衣男可不能受罚，而且还要表扬,30,106
4818320039349996,今谌在,2022-09-27 14:30:03,甘肃,双方违法？不是单方面挑事嘛？,1,52
4818320962880747,理想财经,2022-09-27 14:30:03,河南,这几个男人真是胆大包天，品质极其低下，一把年纪了竟然让邻桌女孩过去喝酒？谁给他们的胆子？骨子里把女人当他的附庸品，玩物，不尊重别人，难道唐山事件还没有让其长教训吗？都什么玩意儿呢？必须好好教育教育。,0,37
4818322133353356,半醒半醉日复日无风无雨年复年·,2022-09-27 14:30:03,广东,有什么冲突，黑衣大哥抚摸了一下蓝衣服而已,842,12
4818351585758943,张忆安-龙战于野,2022-09-27 14:30:03,北京,桌子招谁惹谁了？掀桌子实在不合适。我觉得对这号人要么报警，要么直接抽。,65.3万,3
