用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808291887088530,Vista看天下,2022-08-30 15:04:58,,8月30日晚，蓝田县通报网传“老人索要土地承包费”相关情况，称已向老人赔礼道歉，涉事公司拖欠款项明年2月底前兑付。,2560万,3473
4808180972390232,狐狸猫耳朵的影子朋友,2022-08-30 15:04:58,河北,看不得这种，好气,130,58167
4808181216187541,是沫沫了,2022-08-30 15:04:58,广东,不曝光就看不到，没准还能拖两年,56,50485
4808181975093008,梦有点胖,2022-08-30 15:04:58,四川,这些人但凡想一想自家爷爷，体谅体谅农民艰辛，绝对笑不出来。,5,41585
4808185460296169,香香软软栀子酱,2022-08-30 15:04:58,内蒙古,草特么的手都抖了，那个脑满肠肥的人笑什么笑，真想扇他一耳光,131,40042
4808181522367778,一只小松许的魔法口袋,2022-08-30 15:04:58,河北,这样的事情上热搜，持续严惩，普通老百姓太难了,480,21117
4808185343642821,QwQzzzY1,2022-08-30 15:04:58,广西,这种看着太难受了,703,12680
4808181337298591,咸蛋超人PK大头菜,2022-08-30 15:04:58,四川,帮up一下,61,5586
4808183773664065,kek·e,2022-08-30 15:04:58,福建,很过分,33,4256
4808186483183838,两个月亮moon,2022-08-30 15:04:58,四川,笑什么,521,3373
4808199980979081,jokeyvicky,2022-08-30 15:04:58,贵州,他下了很大的决心，鼓足了多大勇气才来。但同时他又受了多大的委屈。,3,10877
4808182067102498,贫困让我难以入睡,2022-08-30 15:04:58,广东,希望在场笑的接下来的人生都不顺,220,9883
4808182394523897,寒风起_落花飘,2022-08-30 15:04:58,广西,两年没给承包费都不清退，村委会没收好处有人信吗？,3,8247
4808181312131226,今年用什么昵称好还没想好,2022-08-30 15:04:58,新加坡,在场的笑一声户口本少一页,62,6896
4808200233419911,孙百花儿,2022-08-30 15:04:58,辽宁,感谢拍下来的人 感谢发出来的媒体,207,6147
4808181472038245,不想端水的湖妹,2022-08-30 15:04:58,贵州,代入一下要是我家老人我要提刀去拼命了,201,4280
4808183862266936,在云端_Barcelona,2022-08-30 15:04:58,天津,这就是真实的基层,1215,4309
4808183493166811,努力努力再努力kevll,2022-08-30 15:04:58,浙江,现场年轻人？肥腻中年大肚男吧……,783,3661
4808181849264219,余榮光I,2022-08-30 15:04:58,江苏,像极了《隐入尘烟》拖欠租金问题。,778,2584
4808181887534078,月城雪兔君,2022-08-30 15:04:58,山东,看看墙上挂着的是什么,114,2073
4808449563557966,镜三生,2022-08-31 08:46:16,北京,作为一个补充也是极好的，要求全国的公务员都是清官的可能性很低，有的人也不懂什么社会制度，好不容易爬上去了就知道作威作福，官僚和地方利益集团互相勾结，这种情况下，官方渠道在某种程度上可能会断掉。,136,65
4808449919288387,朱兵198303,2022-08-31 08:46:16,山东,为什么2022年不兑付，非要到2023年，只有一个原因，拖时间等舆论淡化，这个流转费肯定不会兑付。,14,47
4808449038222490,摩羯座美食家,2022-08-31 08:46:16,山东,第一个回复就不满意，土地流转费也有这位老人的一份子，这位老人本身也不是去讨要工资，是作为群众代表去讨要土地流转费欠款。,19.1万,38
4808449370885099,小小老鼠家的大脸猫,2022-08-31 08:46:16,日本,所以这年头隐蔽摄像机是必要装备，就是个扣子，扣在衣服上，遇到事，就打开，在把自己手机摔了，让对方更嚣张点,181,23
4808454680087933,义忠梁山伯,2022-08-31 08:46:16,北京,这种有限责任的农业公司就是骗子：1骗国家的种养殖、农机、农资等补贴；2骗租村里的土地，签10—30年合同，前两年还能给地租，种苗下地或养上规模就不付租金，村里也不能去拔苗牵牲口啊；3骗建场地施工队、材料供应商和招来的生产工人，有收入都进个人账户了，公司账上没有钱。总之谁起诉都没钱执行。,61,23
4808449357779053,RPG出没的围脖,2022-08-31 08:46:16,山东,事暂时解决了，人处理了吗？,172,10
