用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808462616234640,·众生喜歡·,2022-08-31 09:41:54,广东,看准时间结账的吧,836,25
4808462531563331,汪_万俟君籽儿,2022-08-31 09:41:54,黑龙江,保质期是人定的，哪能那么准就坏了？闰年2月29号咋算,1484,5
4808546686599829,Luke丶强,2022-08-31 09:41:54,浙江,即使不是过期，临期产品也需要有提示，而不是和效期好的放一起误导消费者。,505,13
4808547412743146,日常丧丧丧丧,2022-08-31 09:41:54,浙江,这种人就是职业的,105,7
4808546980201969,博君心中有一肖,2022-08-31 09:41:54,浙江,这都能被诈400，那以后想投机取巧的人都这样干就好了，月入上万不是梦。小李好样的，在“打假师”之后再创一轻松“赚”钱又能“造福”社会的“职业”。,1459,4
4808547122022546,诚必通,2022-08-31 09:41:54,辽宁,其实酸奶过期一两天也能喝,163,1
4808546740864727,叽叽叽挤挤,2022-08-31 09:41:54,浙江,保质期为21天，刚到手就过期，万一还想当明天早餐喝呢,304,2
4808546762099894,L-1jun,2022-08-31 09:41:54,浙江,这种人真的是醉了 虽说有理 但我想她应该没啥朋友,115,3
4808546644397235,小小小小小苦酱,2022-08-31 09:41:54,浙江,找茬的吧,184,3
4808547403301408,以沫欢欣,2022-08-31 09:41:54,浙江,在超市上过班，这些人统称为“打假”人员，职业性质的，专门去超市找这种快过期产品，然后让超市赔偿。这些人游离在法律边远，明目张胆的欺诈但是又不犯法。所以最后倒霉的还是超市里的导购,21,1
4808550427921245,思君绵绵047,2022-08-31 09:41:54,浙江,核算过期一分钟你试试看？？我觉得有理,549,0
4808549168847954,边缘人物K,2022-08-31 09:41:54,浙江,没问题,325,0
4808548230628375,毛毛睡不醒儿,2022-08-31 09:41:54,浙江,但是超市不应该都是提前几天下架临期的产品吗,12,0
4808547999680113,水猪神人,2022-08-31 09:41:54,浙江,专业打假,281,0
4808547575006671,爱国的东邪,2022-08-31 09:41:54,浙江,过分了,78,0
4808547505013725,纲找家教,2022-08-31 09:41:54,浙江,大超市有个临近保质期商品，这样风险有点大,168,0
4808547323349203,指缝中透过阳光,2022-08-31 09:41:54,浙江,职业的,458,0
4808547286909528,-落影_,2022-08-31 09:41:54,浙江,我面包店买的曲奇过期1天了 打了315人家说没过期,309,0
4808547273805536,曦哥Kings,2022-08-31 09:41:54,浙江,几点几分怎么看,215,0
4808547151384655,闪闪动动,2022-08-31 09:41:54,浙江,碰到这种生产日期到期的产品，我都会主动叫老板不要再摆在架子上出售的。。。没必要“索赔”什么吧。。,589,0
4808446191337671,奥赫扬马科奇,2022-08-30 19:31:10,吉林,？这当然可以了 核酸过了一分钟都不好使了呐,33,78953
