用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4784264606913250,八方朝圣,2022-06-24 01:07:55,辽宁,真的感谢博主及大家对我们的支持和关注,1654,0
4785438831415115,慢漫诚雙,2022-06-24 01:07:55,辽宁,图已经被夹了,99,1
4783690661495446,灯塔咖啡三分糖,2022-06-24 01:07:55,辽宁,锦绣华城拉错人和76岁大爷爬阳台坠楼肯定是真的，之前上过热搜的,0,172
4783703743529321,月桂挂红豆,2022-06-24 01:07:55,河北,？？还能拉错人？,154,41
4783690797023629,张琳琳,2022-06-24 01:07:55,辽宁,丹东人的的确确活的这么惨,448,87
4783693846021400,萝了个啵,2022-06-24 01:07:55,辽宁,七道社区事件也是真的,5293,36
4783690578658948,future0623,2022-06-24 01:07:55,辽宁,谢谢您的发声，丹东从4月24日开始实施封控，长达两个月。但官方文件显示是从5月24日，一个边陲地区静默了整整两月，房贷车贷还不上的跳楼了；带老父亲看病的看不了被称袭警拘留十天；阳性的在家自愈了，拉走了阴性核酸整栋楼；人权在哪儿？请大家关注丹东谢谢大家,23,34
4783691694082707,喵喵喵喵喵喵喵Carina,2022-06-24 01:07:55,辽宁,都是真的。丹东人民都知道，我是在外地的丹东人民。家长终于被关注了，太难太难了,203,54
4783748459528401,小仙女Anne呀,2022-06-24 01:07:55,辽宁,都是真的！！！！我是本地人，而且还有植物人在家里躺着躺着就阳了，同居家属都没事，都是阴性，可不可悲，唉，就这样的政府，老百姓真的是没有活路了！被逼急了，公安局就出动了，谁敢去诉求，就抓谁，纤维厂街道有老百姓去诉求要求复工复产，2个月没有收入，还要还各种贷款，活不下去了，结果被抓了,335,40
4783720193851647,难过的话要藏起来,2022-06-24 01:07:55,辽宁,不是谣言 切切实实存在的事情,679,15
4783698417812748,霄瘦瘦瘦,2022-06-24 01:07:55,山东,丹东的领导应该也有问题…希望有人查一查,563,7
4783697091887927,啾啾略,2022-06-24 01:07:55,北京,都是真的 丹东人都作证,108,26
4783773617226613,米花露,2022-06-24 01:07:55,辽宁,希望查查核酸公司跟保供公司 是否跟某市长有关,71,13
4783690821666406,y_尤y,2022-06-24 01:07:55,辽宁,谢谢丹东人来证实，千真万确，丹东人自己都觉得不可思议，但它确实发生了,0,9
4783691521591839,future0623,2022-06-24 01:07:55,辽宁,是真的，我们被封控60天无人问津,23,3
4783774778525394,六如公子NzBz,2022-06-24 01:07:55,江苏,碰瓷父女的马甲JC拨打110报警事件！真警察还用打110报警吗？,155,2
