用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808445691691105,浪里看明星,2022-08-31 08:28:28,北京,虚拟偶像好啊！不会塌房，好控制！把粉丝的心理拿捏住了,92.9万,6
4808481876477084,花澤咸菜菜,2022-08-31 08:28:28,山东,这是ai还是皮套人,40,3
4808550146902857,喂公子吃鱼,2022-08-31 08:28:28,上海,这是 后面有个人在唱还是全程序？,1,0
4808458161886690,香草拿铁加兔子,2022-08-31 08:28:28,安徽,6,6,0
4808452578478352,惊人的姐姐,2022-08-31 08:28:28,河南,出洋相,0,0
4808494430291895,杉杉源源岁岁年年,2022-08-31 08:28:28,黑龙江,抄袭别的糊糊idol的真没人管吗,723,0
4808451789947144,渣浪VIP年度会员,2022-08-31 08:28:28,山东,闲着没事干就把村口厕所的大粪挑了,75,4
4808448561120344,国服第一大小姐,2022-08-31 08:28:28,北京,贵校还招后期吗？我ps用得还阔以的 ,11,1
4808447915197083,嫂子抡大锤,2022-08-31 08:28:28,天津,这是认真的吗？说实话我觉得她的造型好可爱,327,1
4808446069180636,豆瓣娱,2022-08-31 08:28:28,河北,买个虚拟人替我上班，几年能回本,20.7万,3
4808445158493123,追剧少女张小寒,2022-08-31 08:28:28,北京,不会是经纪公司另一种洗钱方式吧,10.6万,8
4808444789391409,北京新青年,2022-08-31 08:28:28,北京,AI都可以参加明日之子了，上个学不奇怪，就是滑稽可笑罢了,1.1万,9
4808444583873694,宁那贝儿,2022-08-31 08:28:28,北京,这种靠团队后期动作捕捉、声音合成唱歌，网络P图的也算AI？,1458,13
4808556140298889,厚格电科数字,2022-08-31 15:53:06,上海,转发微博,2,0
4808318789617018,翡冷翠,2022-08-30 11:14:16,北京,欢迎,4.9万,0
4808441032607312,孟河生别二,2022-08-30 11:14:16,湖南,为什么不是黑头发？没自信还是非中国公司？,36,0
4808485718201159,非英雄面包大人,2022-08-30 11:14:16,上海,怎么录取的？虚拟人也能考试？,1.1万,0
