用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808433247716480,我真的特别騒,2022-08-31 07:46:21,河南,爱卖多少钱卖多少钱，反正他不坑穷人，我就谢谢他,0,4841
4808435806242029,Mr-Biscuit,2022-08-31 07:46:21,广东,照样打不赢小区拿木板的大爷,8972,3589
4808433557570399,didonline_real,2022-08-31 07:46:21,北京,还加了四个球，他真的，我哭死,352,852
4808434963187333,温良恭俭让先生,2022-08-31 07:46:21,浙江,附魔了吧，攻击速度+30%,351,651
4808433187948677,栗香派派,2022-08-31 07:46:21,广东,智商税,13.7万,392
4808436791642467,三希草堂,2022-08-31 07:46:21,上海,比起卖土豆被罚30万，这个罚多少？？,145,257
4808435655510517,shizuka1220,2022-08-31 07:46:21,福建,用这个球拍能打赢樊振东吗,248,243
4808436489913786,丐帮帮主118,2022-08-31 07:46:21,云南,除了中国谁买？精准割肉,27,203
4808457842590417,斗图胖虎,2022-08-31 07:46:21,安徽,这种越贵越好卖，太便宜反而卖不出去。,28.4万,128
4808463887372517,汪星人二号,2022-08-31 07:46:21,浙江,明明可以打劫，可还是送了一套乒乓套装,44.6万,87
4808436913800719,Peng笔生辉,2022-08-31 07:46:21,山东,我那爱马仕自行车还没发货呢！,9,49
4808459062608223,云娘_温水煮咸鱼,2022-08-31 07:46:21,浙江,我拿这个能打过张怡宁马龙吗？,4008,59
4808464608267056,Soleggiato_,2022-08-31 07:46:21,广东,差生文具多,158,32
4808461840027913,小南洋也,2022-08-31 07:46:21,江苏,张继科卖菜板来打乒乓球，可能大家都会争着买,444,27
4808456945013962,科技刚子,2022-08-31 07:46:21,云南,还玩个球,116.3万,18
4808434439161840,xwynhhdwydqt,2022-08-31 07:46:21,江苏,像是sm道具,165,17
4808454609568326,BG4VHP,2022-08-31 07:46:21,北京,中国队不用拍子你都没有赢的可能...,7.2万,19
4808477611131726,王者荣耀玳打小哥哥丶,2022-08-31 07:46:21,黑龙江,明明可以抢钱，还好心送你个乒乓球拍。,1.4万,8
4808465409900755,春天的_Spring,2022-08-31 07:46:21,江苏,随意，愿打愿挨的事，晚点又是限量啊秒空啊，营销造起来,490,9
4808468580796671,T一yakiyn,2022-08-31 07:46:21,广东,呜呜 lv卖个乒乓球拍袋只要两万还送你个 球拍 还有送你4个球 我哭死 腾讯争取一个塞纳的lv皮肤通行证只要你79 还送你那么多赠品 还不快给我马化腾哭 呜呜呜 他太温柔了 我要哭死,56,4
4808470073184211,木有名气的大学渣5,2022-08-31 10:05:01,美国,是我看错了吗？视频中不是17600元？,38,34
4808474674072131,解忧白泽君,2022-08-31 10:05:01,江苏,人邓亚萍用木制锅铲都可以当世界冠军讽刺不,787,98
4808479451382661,七元老师,2022-08-31 10:05:01,河北,爱卖多少钱卖多少钱，反正他不坑穷人，我就谢谢他,333.3万,67
4808468303709101,电锯大伯,2022-08-31 10:05:01,四川,智商税？,435,54
4808468236077788,青菜小兰花,2022-08-31 10:05:01,广东,他明明可以抢钱，还是要送我东西,11,29
4808484624008501,讨厌丑颜色,2022-08-31 10:05:01,北京,最近好像特别流行嘲笑有钱人买奢侈品,294,11
4808490395371987,微博视频,2022-08-31 10:05:01,,您好，恭喜您的视频荣登视频飙升榜，时尚领域第2名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》网页链接,1511.2万,0
4808480508873560,我是蔡文杰哦,2022-08-31 10:05:01,四川,用着也打不过用木板的小区大爷,669,15
4808472635377200,爱而不恃,2022-08-31 10:05:01,湖南,精准收割,23,10
4808485411750876,这儿就是我啊,2022-08-31 10:05:01,上海,买的人并不是看中其质量，而是虚荣心或者自我感觉的高贵身份的象征,102,7
4808485168219998,朕灬舞龘帝榊,2022-08-31 10:05:01,广东,LV：你香奈儿都能卖羽毛球拍我凭什么不能卖乒乓球拍，韭菜不能全让你割了,963,4
4808473239362035,请你不要到处扣扣200506,2022-08-31 10:05:01,湖北,正真爱打球的消费者必定是把其功能性放在首选项的。这个溢价明显得益于外包装上的品牌logo，买它的肯定不是真正的竞技体育爱好者。就像一个人告诉我他买了红双喜最贵的那款拍，那我除了赞叹他有💰肯定也会觉得这拍性能无敌了;but要是在朋友圈刷到这，我连赞都懒得给他点 就是单纯觉得傻¬_¬｀,15,8
4808512016221819,灰姑凉的小毛驴,2022-08-31 10:05:01,广西,他们都觉得中国人追求这些，人傻钱多,274,1
4808485004642421,每日要点关注,2022-08-31 10:05:01,山东,会做乒乓球？ 谁代工的,3.8万,0
4808484866233646,每日要点关注,2022-08-31 10:05:01,山东,转发微博,3.8万,0
4808477450441166,娃娃观海,2022-08-31 10:05:01,山东,应了那句话，差生文具多,127,4
4808474834242990,醉追月er,2022-08-31 10:05:01,广东,大部分能买的，都是送人的。而不是自己用,48,7
4808485915071251,发条小橘子,2022-08-31 10:05:01,浙江,你就是18W的拍子，中国队拿个公交车卡照样打得你怀疑人生,586,4
4808484619028318,追逐星光的小朋友,2022-08-31 10:05:01,天津,想起红双喜，大学体育课用的，实惠好用,37,3
4808481763495392,Lydia-K8,2022-08-31 10:05:01,广东,就算8万也打不赢中国队呀,234,1
4808497994402871,笑未咽人未散,2022-08-31 09:55:07,河北,卖给伊藤美诚？,244,7
4808465547006285,一看名就知道是新用户,2022-08-31 09:55:07,山东,我的评价是，不如红双喜,1,36
4808469385054452,IIID逆转,2022-08-31 09:55:07,中国香港,用了可以长生不老吗？,250,9
4808470283681868,青菜小兰花,2022-08-31 09:55:07,广东,他明明可以抢钱，还是要送我东西,11,7
4808473025975296,合一以直,2022-08-31 09:55:07,中国台湾,資訊爆炸時代 買東西都是看技術與產品材料質料等等 這種掠奪有錢人的東西 造成階級對立鬥爭 還是消失的好 中國不需要貧富階級對立,213,3
4808465451583736,溺水的鱼221,2022-08-31 09:55:07,河北,继科都打不过小区大爷,159,5
4808517615357240,银河中的一粒星子,2022-08-31 09:55:07,云南,我打球可不是为了赢炫富足够了低调又尊贵,200,2
4808468873352392,七里·扬帆,2022-08-31 09:55:07,浙江,物价局为什么不管这些东西的价格，这种不属于漫天要价吗？ 所以有很多事情逻辑都是不通的。 不过指望wjj也是属于想多了,66,2
