用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808283166084870,守护最好的小七,2022-08-30 21:49:53,广东,太恐怖了，我说这人我怎么一点印象没有，太离谱了，果然印度奇迹。。。。,28,313
4808283124930587,老微博号被夹总看中了,2022-08-30 21:49:53,上海,到底吃啥夜草了？,12,89
4808284999259942,Asphyxia0714,2022-08-30 21:49:53,湖北,21倍也太fking crazy了吧，印钞机的印原来是印度的印嘛这是,1,99
4808297650067756,Alienxzy,2022-08-30 21:49:53,海南,一个印度人，无论他的生活如何艰难，但提起印度的首富阿达尼时，便能骄傲滴挺起胸膛（大嘘,8,80
4808287364842435,玖肆年的巨蟹座,2022-08-30 21:49:53,山东,什么红顶商人胡雪岩，什么股神巴菲特，什么民国四大家族，在阿达尼面前都是弟弟 这聚财的速度也太快了吧,258,90
4808292066656365,苟全性命谈笑风生66990,2022-08-30 21:49:53,广东,不会有国人贩卖他的成功学吧😱,17,68
4808291597683447,求水山伯,2022-08-30 21:49:53,广东,还是忍不住想问：他是怎么做到的？,17,15
4808284646674147,落草的兔子,2022-08-30 21:49:53,河南,Love form India🇮🇳❤,2731,45
4808411947992422,专门用途1,2022-08-30 21:49:53,浙江,不是，这位做什么生意的这么赚钱。,85,2
4808283410142068,走自己的漫步人生路,2022-08-30 21:49:53,广东,21倍印度的爱,36,39
4808291215220181,自我形体,2022-08-30 21:49:53,重庆,他能V我50吗[多比小精灵],77,57
4808433507238360,666切克闹呀,2022-08-30 21:49:53,辽宁,一个月不到2500的人去关心人家财富1300亿美金的故事，你不觉得，自己有病吗？跟你八百辈子都打不着的关系！,218,1
4808429111348938,wuyou小茶31415926,2022-08-30 21:49:53,湖南,查了一下，做的基本都是垄断行业，大部分在我国都是国企做的，什么能源，航天，国防，天然气，港口，机场啥的。。。,174,29
4808292747188846,矢口八虎Official,2022-08-30 21:49:53,德国,🇨🇳🇮🇳热烈祝贺印度首富进入世界前三，爱来自瓷器,17,23
4808283871512973,金刚石安泰,2022-08-30 21:49:53,江苏,英雄联盟，爱来自印度,3,25
4808423260029075,斯颖19881004,2022-08-30 21:49:53,北京,中国有人特别富：贫富差距越来越大，中国输麻。印度有人特别富：民主印度发展越来越好，中国输麻。,2,9
4808295900777571,Alienxzy,2022-08-30 21:49:53,海南,接下来可以开始出他的成功学课程了,8,7
4808284990866738,流言传单,2022-08-30 21:49:53,四川,“印度超人”,4,9
4808283662060695,梦貘72530,2022-08-30 21:49:53,浙江,这不比什么锦鲤都灵验,2,10
4808333259441430,followheart678,2022-08-30 21:49:53,广东,这么厉害的奇迹，有没有可能是白手套？,50,0
4808299227124545,身经百战老艺术家,2022-08-30 22:41:03,广西,轮椅上真首富笑看榜单。,184,0
4808306800987440,深情如斯LY,2022-08-30 22:41:03,山东,图片评论,95,0
4808310078051128,杨了个佳的,2022-08-30 22:41:03,美国,♿️+17,233,0
4808300774296992,园宝爸,2022-08-30 22:41:03,山西,图片评论,8,0
4808308893942852,孤心未眠_gsosif,2022-08-30 22:41:03,广东,妙啊,0,0
4808449957040623,_Yagami-,2022-08-30 22:41:03,广东,预热之后法国首富出来说，以后我上榜单没啥意见了吧,120,0
4808324774627148,又搞这一套,2022-08-30 22:41:03,广东,路遥知马力咳咳,0,0
4808307267344699,清风梦秋,2022-08-30 22:41:03,山东,妙，真是妙啊👏👏👏,10,0
4808295837860237,小猪胖胖3356,2022-08-30 22:41:03,安徽,天机不可道破,53,0
4808453871114164,Remember丶往昔,2022-08-30 22:41:03,中国,🐸做轮椅了吗，没有吧,196,0
4808266372355594,Roger噜噜Stan嘟嘟,2022-08-30 20:34:40,广东,所以开启印度梦。太好了，美国别老盯着中国，去盯印度，印度才是美国未来的威胁。,633,9
4808284018575790,170800aA,2022-08-30 20:34:40,中国香港,🙈🙈😪,270,1
4808313662870716,双标司马庞屁奥,2022-08-30 20:34:40,内蒙古,塔塔的老板？,1130,0
4808445663118172,峰入云云如峰,2022-08-30 20:34:40,吉林,做的什么生意？,117,0
4808265684225738,枫云际会2,2022-08-30 20:34:40,黑龙江,马云感到脸红吗？成了背景板,0,2
4808501690634057,熊恒益166,2022-08-30 20:34:40,江西,莫迪的好友  这成关系就够了,0,0
4808296161088063,烟火南狐,2022-08-30 20:34:40,广东,他不可能是“低种姓”，看肤色就知道，印度人肤色越黑“种姓”也低。,38,1
4808491119941262,豆豆的豆11,2022-08-31 11:27:00,辽宁,美国上榜者科技含量有点高啊,660,0
4808446115580702,小颇颇哦,2022-08-31 08:14:31,上海,印度富豪榜上有名,936,2
4808444626340139,生活2211,2022-08-31 08:14:31,上海,贫富差距太大必然造成各种社会矛盾,1128,1
4808440130048000,slackoff的影,2022-08-31 08:14:31,浙江,共富才是目标,536,1
4808464708929625,紫色营运,2022-08-31 08:14:31,广东,是的，同人不同命,713,0
4808440767316502,锦鲤走好运,2022-08-31 08:14:31,黑龙江,大家好才是真的好,951,1
4808459709841746,WB里的锦鲤,2022-08-31 08:14:31,内蒙古,说明很不健康,1047,0
4808438430829755,把绳锯木断,2022-08-31 08:00:31,天津,小心你号,16,8
4808455200967137,呆鹿宝,2022-08-31 08:00:31,黑龙江,我单独宣布 你号没了,0,1
4808449357517870,crazy74042,2022-08-31 08:00:31,江西,大胆,1,0
4808448406195128,可爱又迷人的小辉辉,2022-08-31 08:00:31,江苏,big 胆,37,0
4808477173619115,清风挽心明月相伴,2022-08-31 08:00:31,浙江,转发微博,71,0
4808345947735310,齐司礼激推,2022-08-30 23:55:40,上海,瞎说什么也不怕号没了,17,8
4808335787819690,Kezia_,2022-08-30 23:55:40,四川,是的,159,3
4808421876174144,他的狗会喵喵叫耶,2022-08-30 23:55:40,湖南,号真的会没别问我为什么,6,1
4808360375353863,其实我不凶o,2022-08-30 23:55:40,江苏,给你点了,8,1
4808346433488140,抽象的桃子,2022-08-30 23:55:40,浙江,你号没了,80,2
4808441074288279,噜噜噜噜噜lll,2022-08-30 23:55:40,河南,外国人根本不懂什么叫富豪,9,0
4808329379186454,种花家的小兔几捏,2022-08-30 23:55:40,湖北,🤫,101,0
4808477228405812,清风挽心明月相伴,2022-08-30 23:55:40,浙江,转发微博,71,0
4808345519915031,Runyuki,2022-08-30 23:55:40,海南,不利于团结的话不要说,3,8
4808435671237942,最棒的仙人掌-018,2022-08-30 23:55:40,江苏,你他妈真敢说,93,0
4808402192302964,是咕噜喵啊,2022-08-30 23:55:40,江苏,🤫🤫小心被兔兔拉黑，我号就是这样变差的,173,0
4808385863614787,清知·,2022-08-30 23:55:40,湖北,你你你……你牛,2,0
4808405618786991,袁妙不可b妍,2022-08-31 05:38:33,四川,路过捞下,1.2万,0
4808407930896547,豆花公主西西啦,2022-08-31 05:38:33,吉林,黑色的字越看越红,437,1
4808431930703977,ScoLy--,2022-08-31 07:31:41,广东,哈哈哈本座确认过眼神是看苍兰诀的人,78,0
4808437000834253,神圣罗马帝瓜,2022-08-30 18:56:50,辽宁,和珅当时不是世界首富么,271,52
4808457716503859,慰我之忧,2022-08-30 18:56:50,河南,有我们的18➕厉害吗，二十年前都过万了，现在我都不敢想,10,4
4808409550160681,飞驰er,2022-08-30 18:56:50,江苏,请问他每餐都要来点佛额呢吗？,1,2
4808469741570310,直江山城守兼续,2022-08-30 18:56:50,河南,日本财阀笑而不语,517,0
4808464305750884,ProTrader,2022-08-30 18:56:50,广东,和莫迪老仙不无关系,25,0
4808454353720569,杨哥7186,2022-08-30 18:56:50,浙江,人家的住宅是一栋大楼，金碧辉煌，大家可以搜一下，一定惊掉下巴,61,0
4808446937926255,别人有伞我有大头丶,2022-08-30 18:56:50,江西,贝佐斯不是贝索斯,3,0
4808443678431209,差点是帅哥__,2022-08-30 18:56:50,湖南,简称阿三,0,0
4808441996771947,JarvisXT,2022-08-30 18:56:50,安徽,印度是亚洲吗,2,0
4808239575991302,我真的特别騒,2022-08-30 18:56:50,河南,感觉整个印度12亿人口的财产加起来，都没这个b的一半多，这是可以说的吗,0,14
4808454844190176,方舟8888,2022-08-31 08:37:54,广东,骂印度贫富差距吧,223,2
4808504122544232,村西头老宋家,2022-08-31 09:50:24,山东,转发啦,0,0
4808450489451279,幽谷悠笛,2022-08-31 08:40:35,甘肃,看新闻不要囫囵吞枣。STC说的是有190和国家和地区提供免费医疗【或全民医保】，提供免费医疗的只有西欧那几个。就算不援引数据，从常理推断，全球才有233个国家和地区，提供免费医疗的就有190之多，可能吗？,220,11
4808462980351877,敢跟我抢微博名,2022-08-31 08:40:35,江苏,全球有190多个免费医疗国家？,123,2
4808449743128976,释迦馍,2022-08-31 08:40:35,江苏,世界第一也没有啊。,1,1
4808468761152420,悠哉的黑色排骨,2022-08-31 09:46:33,吉林,贫富差距巨大。你的概念没错。,38,0
4808487178338977,张扬一剑风无心,2022-08-31 09:46:33,湖南,有啥好羡慕的，咱可是社会主义国家,1,0
4808459888889241,6万小时15年交易者,2022-08-31 02:56:58,江苏,一个国家贫富差距越大，说明制度越糟糕。一个国家企业规模差距越大，也说明反垄断越不得力，反垄断不得力说明制度糟糕。富裕的大国富豪多是正常的，贫穷的国家出大富豪只能说明制度糟糕。,24.1万,3
4808423088062892,rose大白羊,2022-08-31 02:56:58,浙江,笑死，印度皿煮70年了，人家企业家可以成为首富，恰恰说明皿煮。在某国，所谓的企业家其实就是泉柜的白手套，金主是泉柜,93,13
4808432588161725,贾志阳2020,2022-08-31 02:56:58,河南,印度可是西方承认的最大的民主国家,0,2
4808448036049656,萨特与加缪lll,2022-08-31 02:56:58,山西,官僚资本主义,1,2
4808443120321334,逆光看天,2022-08-31 02:56:58,福建,感觉看不懂误解的人还不少,286,2
4808489756789889,韭菜炒几弹,2022-08-31 02:56:58,广东,印度种姓制严重的拖累名著,2,0
4808361370190890,ADFSASDFA,2022-08-31 02:56:58,浙江,啥是名著啊，特有词不懂啊,41,0
