用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4806480396550757,指向北的针,2022-08-25 22:24:00,江苏,偷了叙利亚快10年价值超1000亿美金的原油不是新闻，死了一个美国鬼子才叫新闻,2,90
4806486554058473,成天摸鱼的饮冰,2022-08-25 22:24:00,北京,真是怀璧其罪，09年查明地中海油气资源以后，那里就陷入了无休无止的战争，一群鬣狗浑身淌着哈喇子都要馋死了，一个不服一个的撕吧，除了一群鬣狗还有一只八百里外赶来的秃鹫，搅乱局势顺手势偷肉吃，战争看不到头，太惨了,556,24
4806480325247370,烙月写瑕子,2022-08-25 22:24:00,四川,没死真是可惜,71,31
4806480492498020,南瓜是笨蛋,2022-08-25 22:24:00,上海,好可惜，咋没去见班德拉啊,4,14
4806501363353746,笨蛋才会重蹈覆辙,2022-08-25 22:24:00,北京,美国终将遭到反噬,182,2
4806508292081673,地平线1917,2022-08-25 22:24:00,四川,没死几个  准头不行,0,0
4806498377270866,凡人视线,2022-08-25 22:24:00,江苏,开始来大的？,5,0
4806490407572269,吴氪蓝前线军情转载,2022-08-25 22:24:00,四川,下半年还会有大的吗,7,0
4806485639168123,孤独绅士不孤单,2022-08-25 22:24:00,湖南,不得不称赞👍,127,0
4806480483855301,老王bb,2022-08-25 22:24:00,上海,小意思,55,1
4806480257353080,艺易圣慧,2022-08-25 22:24:00,天津,活该,3万,2
4806480224589240,千果儿快去画画,2022-08-25 22:24:00,广东,反美反美，全球反美,56,7
4806527342609178,夏日的微笑1030,2022-08-25 22:24:00,湖北,活该，抢人家的石油，还随意轰炸人家,160,0
4806480194438630,V789SDF,2022-08-25 22:24:00,河北,此处应有BGM:我为祖国偷石油,0,10
4806502097882520,小皮鞭888,2022-08-25 22:24:00,广西,美国把俄罗斯带入了乌克兰战争没有能力在叙利亚行动了,0,0
4806523089587670,香蕉bananaYuri,2022-08-25 22:24:00,广西,好可惜，为什么没有死透呢？,1,1
4806485646773759,我愿一生仰望你,2022-08-25 22:24:00,北京,在叙利亚的霉菌死绝了才好,360,2
4807905553679844,金融部长,2022-08-29 20:28:37,北京,作者头像是谁？刚在司马夹评论区那里看到同款头像！,2599,2
4807906543016776,大圣军武,2022-08-29 20:28:37,安徽,相比之下，乌克兰战场简直就是小儿科。,23.6万,3
4807911555471047,小二来给您上茶,2022-08-29 20:28:37,云南,第一和第二根本不是一个档次的。至少1.5代差,78,6
4807920942056574,重回阿根廷,2022-08-29 20:28:37,江苏,如果俄军的每次战况通报，都带着这样高清晰度视频，就不会被骂虚假宣传了。然而并没有～,126,5
4808051507069654,天池之虎,2022-08-29 20:28:37,吉林,阿沙德的地盘啥资源没有，留着给毛子放血的。油田，粮田全让美军和库尔德占了。,21,1
4807905846763141,金融部长,2022-08-29 20:28:37,北京,这就是美帝阴谋，围魏救赵！,2599,1
4808127805134625,邱珍仁11,2022-08-29 20:28:37,中国台湾,巴沙爾應該邀請人民解放軍去守護敘利亞,185,0
4808097661192712,用户v9dov4hhne,2022-08-29 20:28:37,广东,巴沙儿可能撑不了2年，整个🦢系势力可能全面溃败,11,1
4807938025457802,AHHAQ,2022-08-29 20:28:37,上海,强敌，至少三十年差距,195,0
4807922469044729,一个南方网友,2022-08-29 20:28:37,湖南,趁俄军陷入乌克兰战场之际、美军脚踹叙利亚,8062,0
4807982883276389,放浪不羁男,2022-08-29 20:28:37,辽宁,我笑了，扔个越战就有的激光制导炸弹就带差了。耗材可真有意思啊,3,1
4807936633471166,桥牌低手,2022-08-29 20:28:37,重庆,与鹅这样猪队友为伍,16,2
4808107860956180,杭州彩叶贸易,2022-08-29 20:28:37,浙江,反战公知呢，哪去了，怎么没见到他们了,78,1
4807911061327754,没有人能躲过铁拳的重击,2022-08-29 20:28:37,广东,伊朗人再不收敛点美以搞不好真要动手了,21,3
4807905536379245,Jerry6969,2022-08-29 20:28:37,广东,城门失火，鱼惨了,152,1
4807419655881901,未央生02,2022-08-28 11:04:22,辽宁,鹅军占乌克兰领土是为了给土地施有机肥，鹅兵就是肥料。,310,45
4807522131117234,yxx今天还是棒子舔狗啊,2022-08-28 11:04:22,河南,再衰败也是个有核大国不知道唱衰俄军的，是不是都是霉菌的舔狗一个俄乌战争，炸出来多少🐟,1,9
4807403423400610,芥末之微,2022-08-28 11:04:22,河北,占据的土地是流血的伤口，人民的反抗，海马斯的远程打击,67,12
4807435346772350,货币过剩,2022-08-28 11:04:22,河北,叙利亚反动派赶紧发力,253,12
4807434009577226,电器维修18636189200,2022-08-28 11:04:22,山西,哈哈哈哈哈哈哈你厉害,78,5
4807938159677040,喷就完事儿,2022-08-28 11:04:22,四川,这种症状出现多久了？,13,0
4807821424592216,瀚林在此,2022-08-28 11:04:22,辽宁,哈哈哈哈章口就莱,3,0
4807429256647605,李向阳a,2022-08-28 11:04:22,山东,鹅占领乌的土地，要全部变成埋葬鹅兵坟墓。,117,23
4807454967990255,白丰阁之说,2022-08-28 11:04:22,河南,侵略者必败！！,2310,12
4807722673378896,守正不出奇丶,2022-08-29 08:36:51,河南,乱七八糟,4.4万,3
4807729510877610,荢陽_632,2022-08-29 08:36:51,广东,啥都有,246,1
4807776288900539,博年兄,2022-08-29 08:36:51,河北,他想法设法搅乱世界,64,0
4807734707619828,同比与环比,2022-08-29 08:36:51,广东,低开,241,0
