用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4792252385724569,乐山消防,2022-07-17 16:10:34,,愿平安！绵阳的战友们，注意安全！🙏,47.5万,466
4792252482195218,千玺最喜欢的女孩,2022-07-17 16:10:34,安徽,愿平安,617,187
4792252398830616,羊咩咩蜜桃味牛角包,2022-07-17 16:10:34,安徽,平安,8,166
4792252419804332,高速行驶的封闭货车,2022-07-17 16:10:34,上海,愿平安🙏,6462,138
4792252327528540,落雪了-,2022-07-17 16:10:34,天津,愿平安,757,118
4792252435536562,北佲侑予,2022-07-17 16:10:34,湖北,愿平安🙏,1.3万,109
4792252415351892,湫渔遥,2022-07-17 16:10:34,河北,祝愿平安,346,97
4792252406696544,孕期囤货清单分享,2022-07-17 16:10:34,河南,🙏🙏🙏愿平安,44.1万,96
4792252477737498,carrpii,2022-07-17 16:10:34,湖南,愿平安！！,33,95
4792252368683643,玺婧少女,2022-07-17 16:10:34,安徽,愿平安🙏,1.3万,84
4792252545372436,等我来见你-,2022-07-17 16:10:34,四川,愿平安！,1031,68
4792253086697873,Y10001Y,2022-07-17 16:10:34,湖南,依稀记得这片土地是以工农联盟为基础,22,109
4792252578402831,烊七-7y,2022-07-17 16:10:34,广东,愿平安！！！,314,56
4792252401982538,狗勾跟班,2022-07-17 16:10:34,广东,愿平安！,398,59
4792253077260411,峣峣七星,2022-07-17 16:10:34,湖北,愿平安,741,45
4792252419020735,LchfieaUnn,2022-07-17 16:10:34,福建,愿平安,1986,51
4792253728163564,温柔本能,2022-07-17 16:10:34,福建,子弟兵辛苦了，愿大家都平平安安的🙏🏻,1902,43
4792252360560260,爱做梦的龙儿,2022-07-17 16:10:34,山东,希望平安！！一切安好！,0,44
4792252540651291,大奎保护好小葵IKUN,2022-07-17 16:10:34,黑龙江,愿平安,1549,36
4792231276578821,纳兰醉墨,2022-07-17 11:03:04,辽宁,真的不想喊北川加油，可是真的心疼北川人民🙏,212,66
4792207002834471,迭曳,2022-07-17 11:03:04,四川,北川加油🙏🙏🙏,534,43
4792225341376162,悦桃悦开心,2022-07-17 11:03:04,四川,太惨了，感觉今年比往年严重多了，我们这里没有下，但上游的雨水已经严重影响到下游了，希望今年大家平安渡过,118,16
4792268228395221,玺子的大宝贝呀,2022-07-17 11:03:04,安徽,愿平安！！！,53,3
4792188099365971,书摘记录,2022-07-17 11:03:04,四川,注意安全,14,2
4792229899799033,奥特曼穿jk,2022-07-17 11:03:04,江苏,北川加油💪,90,8
4792267607377650,吃饭第3名,2022-07-17 11:03:04,河南,挺住啊！这两年真的是灾年，加油等着雨过天晴！,1.6万,3
4792179135878756,WU779821,2022-07-17 11:03:04,四川,🙏🙏🙏,1649,3
4792233787917306,查宝的未婚妻,2022-07-17 11:03:04,四川,愿平安,62,4
4792282656801877,未来与我与历史,2022-07-17 11:03:04,江苏,up,0,0
4792278772615836,飞鸟骄傲地飞远我栖息着的夏天,2022-07-17 11:03:04,浙江,命运多舛的城市，加油,992,0
4792274875581278,邓伦永远睡不到的女人,2022-07-17 11:03:04,湖北,北川好累,497,1
4792268123538508,荏姝,2022-07-17 11:03:04,江苏,愿平安,4,0
4792243418042666,8043云南-高三-蓝天,2022-07-17 11:03:04,云南,🙏 🙏 🙏,1,0
4792235365236836,君兰修竹,2022-07-17 11:03:04,四川,愿平安,101,0
4792217724520698,是婷婷喔O,2022-07-17 11:03:04,四川,🙏🙏,158,0
4792179857558852,颜颜的麻麻是我,2022-07-17 11:03:04,四川,北川加油,421,1
4792178683937833,今晚扁老虎,2022-07-17 11:03:04,四川,🙏,1.1万,0
4792177761192292,S波少,2022-07-17 11:03:04,四川,愿平安🙏,988,0
4792179677465513,我是伤心懒羊羊,2022-07-17 11:20:05,湖南,愿平安🙏🙏🙏,398,733
4792179258825949,栗香派派,2022-07-17 11:20:05,广东,愿平安🙏,13.7万,262
4792208761292211,大禹120,2022-07-17 11:20:05,山东,愿平安,844,180
4792213894335165,羊又走丢了,2022-07-17 11:20:05,广西,愿逝者安息，伤者早日康复！🙏,564.7万,107
4792208757361789,旋应该_是唯一,2022-07-17 11:20:05,山西,愿平安,3498,85
4792215912060272,喂猫吃醋-,2022-07-17 11:20:05,河南,愿平安🙏🙏🙏,1298,45
4792180227706903,·性感米卡在线勾人·,2022-07-17 11:20:05,四川,愿平安🙏,642,42
4792214763340413,西溪云朵,2022-07-17 11:20:05,四川,我多灾多难的北川🙏🙏🙏,362,28
4792214842245135,BxkxZrbybbmjdndnlfd,2022-07-17 11:20:05,新疆,愿平安,102,25
