用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4807427621653248,熊喵打飞机,2022-08-28 13:10:17,贵州,网红打卡地了，网红们上啊,544,49
4807427977118570,数字用户体验,2022-08-28 13:10:17,广东,每个人都在打电话，是在报警吗,1,30
4807427985248411,2022的娜年夏天,2022-08-28 13:10:17,重庆,手足无措的草莓兵：泥奏凯别过来，别怼脸拍,916,26
4807428857662892,龚42,2022-08-28 13:10:17,湖南,这个时候………网红蹭流量的可以为国家做点贡献了。都去飞吧,363,20
4807428278846943,哥谭唱跳第一人,2022-08-28 13:10:17,山东,翼掩定真，鉴定为吓得不敢叭叭。,577,17
4807431102662048,愚翁1949,2022-08-28 13:10:17,广西,这绝不是解放军放的无人机，八成是飞友飞过去玩的。,155,14
4807429395061642,Stock环球之旅,2022-08-28 13:10:17,江苏,下次去台北总统府,26.6万,7
4807427361344292,点亮長崎的胖子,2022-08-28 13:10:17,陕西,太欺负兩栖动物了,348,8
4807428392617296,蟹大夫,2022-08-28 13:10:17,广东,要不去菜菜子闺房打个卡？,6384,5
4807427495824207,Coleeeeeeeeee,2022-08-28 13:10:17,广东,脉冲信号弹不发射？,258,4
4807441966170789,绰号灯泡,2022-08-28 13:10:17,上海,民用机千千万,950,2
4807468892294834,悪人甲,2022-08-28 13:10:17,日本,这样真的好么？,4,1
4807431433228542,著名林学研究员,2022-08-28 13:10:17,河北,墙都裂了,232,1
4807430921521323,自己负责自己的人生,2022-08-28 13:10:17,广西,看着他们也挺可怜的，完全就是炮灰的命,105,2
4807429513283678,专门造尸IZQI,2022-08-28 13:10:17,山西,我们应该投放些招降政策文件啊，比如说申领身份证的流程,92,1
4807429084415680,叁捌零陆壹壹,2022-08-28 13:10:17,广东,对付无人机的武器又要花钱买了,336,1
4807496377829260,水川-2022,2022-08-28 13:10:17,上海,多做少说，宣传之后只能适得其反，让别人觉得无能，有能力就应该在美舰上方盘旋,1,1
4807507363760939,孤风营销,2022-08-28 13:10:17,湖南,别意淫了,4,0
4807496894775470,高U高,2022-08-28 13:10:17,北京,民众无人机观台新潮流 开直播可好,734,0
4807471091419831,乐怡小院,2022-08-28 13:10:17,浙江,请示长官，不扔石块我们扔什么,7,1
4807401641083368,斗图胖虎,2022-08-28 10:23:09,安徽,乡愁是一架无人机，爹在上头，儿在扔石头,28.6万,3792
4807385514249838,巳时_,2022-08-28 10:23:09,广西,又来看你们啦,3,3179
4807387787560228,米兔豪,2022-08-28 10:23:09,浙江,在厦门无人机圈子，飞过金门的机友地位高,311,1997
4807391427956040,佳弟懂肝宁,2022-08-28 10:23:09,山东,报告！又来打卡了,64,1322
4807389503035169,半截冰棍,2022-08-28 10:23:09,四川,长此以往，草莓兵臂力大增，在座各位都有责任。,552,803
4807392989023076,安婧的老公,2022-08-28 10:23:09,陕西,大陆来检查了，快戴好口罩,106,713
4807385673632849,狐狸飞扬,2022-08-28 10:23:09,新疆,我就想知道，这事谁干的，网上的来源谁发布的，无人机爱好者嘛,268,391
4807385291692369,小敏的微笑69,2022-08-28 10:23:09,河南,在高空拍摄而已，又没在领空，有啥好大惊小怪的，真是的……,81,188
4807387003224710,君上之乌托邦,2022-08-28 10:23:09,北京,无人机：检查一下你们的军容风纪，怎么还有穿大裤衩的！这个要给差评。再见，下不为例,789,266
4807400953220409,沉沦的菩提,2022-08-28 10:23:09,山东,为了避免再被说用长焦拍的，这次选择了几乎平视的角度，这事儿整的，圆不回来了。,354,171
4807385820431481,霍格hg,2022-08-28 10:23:09,陕西,金门是毛爷爷专门留给委员长，制衡台湾的啊，不然就在大陆边上收回分分钟啊，这没啥用，要的是台湾岛,57,209
4807386999555286,新型抗病毒疫苗,2022-08-28 10:23:09,河南,搞个长巡航的，24小时网络直播，全网监视站岗,76,136
4807403717264186,炸天帮包青天,2022-08-28 10:23:09,广西,投诚螺蛳粉，管够,12,68
4807385685952329,一抹黄沙_阿布,2022-08-28 10:23:09,山东,我就说嘛，无人机爱好者网红打卡地,7,90
4807392410468737,三格百,2022-08-28 10:23:09,广东,台湾的防疫措施还是不行，不自觉，非要无人机监督才戴上口罩,200,76
4807406158877632,舍予谓得,2022-08-28 10:23:09,河南,防护意识还挺强～,2.9万,74
4807386538445474,JohnLivre,2022-08-28 10:23:09,四川,卧槽，你们tm的损不损啊,147,70
4807386458754638,莫唦聞花,2022-08-28 10:23:09,四川,草莓兵穿的大裤衩吗？,567,57
4807388496662651,再创盛唐,2022-08-28 10:23:09,浙江,接下去会有更多的无人机的，上面的国军兄弟做好成网红的准备。,966,60
4807402203906417,silme墨痕,2022-08-28 10:23:09,安徽,图片评论,42,30
4806408204192869,TheRealBean,2022-08-25 13:26:15,广东,两个士兵:你再笑，我投诚,2,210
4806465543471217,非著名舆论监督员王可,2022-08-25 13:26:15,山东,配合拿望远镜,108,82
4806462548740378,宝贝的妈咪要勇敢,2022-08-25 13:26:15,山东,解放军又开始溜猴了,25,63
4806402017069413,五点读书人,2022-08-25 13:26:15,安徽,真没子弹。,329,53
4806620817130802,骑着拖把的笨蛋,2022-08-25 13:26:15,广东,用菠萝🍍呀！,143,36
4806626726646846,闲闲堂的秋麦,2022-08-25 13:26:15,北京,单身广：腌黄光砸光,509,16
4807066297832484,第六杯玫瑰茶,2022-08-25 13:26:15,重庆,在台湾就是小兵小兵，我们这边是受人尊敬的子弟兵,136,22
4806659300396451,TureTale,2022-08-25 13:26:15,四川,神尼玛望远镜,403,21
4806504211809582,腐海無邊之妖生雷老板,2022-08-25 13:26:15,上海,全程笑点,493,22
4806495915738811,起个名字占微博,2022-08-25 13:26:15,北京,又回到了石器时代。。,6,19
4806727247331824,oneonemom123,2022-08-25 13:26:15,广东,主持人讲不出腌黄瓜,783,9
4806829718896824,1Q84_x,2022-08-25 13:26:15,广东,哈哈哈哈，我也觉得那两个小兵好可怜,73,15
4806850303757568,江南小弄堂,2022-08-25 13:26:15,江苏,哈哈哈哈，应该拿望远镜,25,10
4806788530831903,梧桐彎彎愛我華夏,2022-08-25 13:26:15,中国台湾,不拿石頭可以改用石斑魚罐頭,16,9
4806509622462531,嶺之北,2022-08-25 13:26:15,重庆,应该用三角函数算一下，命中率百分之210,317,6
4807150499006383,今天只听花言巧语,2022-08-25 13:26:15,河南,为何比笑话好笑,724,2
4806684017691613,煋寒,2022-08-25 13:26:15,新疆,还是来搞笑的嘛！,584,5
4807244970984066,夏天热成雪糕,2022-08-25 13:26:15,北京,那个姓帅的中将说的很对,90,1
4807407417692475,年下不叫姐,2022-08-25 13:26:15,辽宁,没有子弹～这是可以说的吗？,7921,3
4808549505437397,八二年老雪,2022-08-31 15:04:01,辽宁,有一天会有无数的小蜜蜂，想想都过瘾,1016,0
4808339978453254,贴贴君,2022-08-28 14:46:51,广东,完整版来啦网页链接,196.4万,4
4807467894048275,贴贴君,2022-08-28 14:46:51,广东,他还尴尬的笑了一下……,196.4万,2812
4807457765591184,贴贴君,2022-08-28 14:46:51,广东,金门岗哨位置,196.4万,861
4807579949337084,MZ敏真,2022-08-28 14:46:51,江苏,他不是有枪吗,61,545
4807555417899378,蘭宮令,2022-08-28 14:46:51,山西,乡愁是一架无人机，爹在上头，儿在扔石头,21,3044
4807453054861929,-白味小辣椒-,2022-08-28 14:46:51,四川,这么有这么柔弱的兵？,4055,1023
4807454779245310,巫巫林小虐,2022-08-28 14:46:51,中国香港,拿棍子那個好像蘇有朋啊哈哈哈,2315,1215
4807466342157546,felins2011,2022-08-28 14:46:51,北京,这算不算湾湾先开火了,166,605
4807458331298417,看我和风细雨推倒你,2022-08-28 14:46:51,福建,下次带个投影仪，往他们墙上投电视剧,42,584
4807452375909849,啾一口甜梨,2022-08-28 14:46:51,陕西,看啥呢看 大聪明哈哈哈哈哈哈哈,1299,282
4807512367566627,渣浪VIP年度会员,2022-08-28 14:46:51,山东,记住这俩，不给他们办身份证,75,282
4807455755734438,爱豆豆的静,2022-08-28 14:46:51,北京,差点被石头打到，原来🐸军一直苦练石头功,206,253
4807455030121066,王荃V,2022-08-28 14:46:51,安徽,枪是空弹？,276,67
4807464799442424,Melody3649,2022-08-28 14:46:51,山东,来大陆混娱乐圈不好吗,2,151
4807455786406103,星星加月亮等于太阳,2022-08-28 14:46:51,广东,他们是舍不得用枪打吗？,112,38
4807471682290377,厦门接发染发伊航,2022-08-28 14:46:51,福建,好可爱 好想养一只,6.2万,96
4807469089689319,你并不容易暖,2022-08-28 14:46:51,广东,这要是突袭，这个反应怕是早凉了一遍了,23,89
4807456825285188,赶时间的反三角函数,2022-08-28 14:46:51,湖南,他们手足无措的样子有点可爱,8,99
4807616204638159,柳夏breeze,2022-08-28 14:46:51,河北,第一个扔石头的没戴帽子的兵，是个狠角色，石头扔的比较准，比那两个小白脸强,1594,58
4807519442570510,没有人比我更懂搬砖,2022-08-28 14:46:51,江苏,刚开始还嬉皮笑脸，这要是无人机带俩炸弹，这两个哥们直接就见上帝去了,10,63
4808264107690418,未解密的特战,2022-08-30 17:08:22,天津,不是恐龙系统，是半身不遂。,224,0
4808150635516232,浸沿,2022-08-30 09:26:58,广东,他连用枪描准都不敢，还能指望什么？,3,0
4807462672138553,高原1218,2022-08-28 12:30:19,山东,理解为什么不提倡武力解决台湾问题了，这样是战场上遇到了打哭了，还得费心哄,217,98
4807480867818082,zkw热带的企鹅,2022-08-28 12:30:19,广东,奶声奶气的，好可爱,248,93
4807493374446305,舒克和飞鸟,2022-08-28 12:30:19,安徽,感觉我们这随便一个会所小妹过去都能给它们打哭，哭的哇哇叫哄都哄不好那种。,66,71
4807433816377475,十年-光辉岁月,2022-08-28 12:30:19,浙江,我喜欢这妹子，兄弟们别跟我抢,290,36
4807578800619976,风砾晴,2022-08-28 12:30:19,湖南,不要轻敌,203,11
4807447115468288,瑾瑟寄流年1981,2022-08-28 12:30:19,河南,这话也太多了吧,0,9
4807610023020277,FLYNN-SH,2022-08-28 12:30:19,浙江,当年大学军训女生如果这么奶声奶气会被教官骂,46,13
4807876680096834,深沉的沈大少,2022-08-28 12:30:19,江西,台湾都是这种女兵的话，我要打10个,303,6
4808237168463934,Wonder真澄,2022-08-28 12:30:19,海南,简郁珊呢？我的珊珊呢？去哪里了,3100,2
4807552828709039,雪球1002,2022-08-28 12:30:19,江西,不会中国大陆和台湾也沦为俄罗斯和乌克兰同样的境况吧？,25,6
4808313282233794,雅致自语,2022-08-28 12:30:19,辽宁,童子军,124,0
4807894967258565,热心市民刘先生125,2022-08-28 12:30:19,四川,先说好，谁打哭谁哄哈,429,4
4807960503782407,火山口的风车,2022-08-28 12:30:19,河北,多可爱，真不忍心。砰砰,1.9万,3
4808434933564421,玩儿大了哦,2022-08-28 12:30:19,北京,初中女生 军训,288,0
4808311217853516,鱼最好吃吗,2022-08-28 12:30:19,广西,我的心还是姗姗的,160,0
4808096545510291,大Meiko的脾气很好呀,2022-08-28 12:30:19,上海,保安站的都比这笔挺,491,0
4807790398542416,michelle0404,2022-08-28 12:30:19,浙江,大学新生军训么？,432,0
4807539386746902,秋天稻草人79617,2022-08-28 12:30:19,安徽,这样的兵上战场还不够哭的呢,109,1
4807497687499959,一颗大大大大大大大柠檬,2022-08-28 12:30:19,湖北,别丢人了,42,1
4808562361240718,傻克斯VIP,2022-08-28 12:30:19,四川,快收复，男的遣散，女的留下,224,0
4807927547825581,潘妮daydayup,2022-08-29 22:16:03,重庆,这两士兵一看军事素质就不行，脸白的，多久没训练了,793,8
4808481724697579,Lara-1118,2022-08-29 22:16:03,江苏,不是已经开枪了吗？怎么不打他们呢？所以说媒体那些口号都是喊给百姓听听的，真打不会那么草率的,0,0
4808008188559829,仙多拉的魔法棒,2022-08-29 22:16:03,北京,别吹了，开了枪我们只会去更多的无人机侦查,125,0
4807852168843404,QQ501232861,2022-08-29 17:11:12,广西,还没睡着,0,0
4807856618738536,江南小弄堂,2022-08-29 16:23:21,江苏,这一次淡定很多啊,25,0
4807412614170053,幽暗城的电梯管理员,2022-08-28 12:10:05,四川,悬停盯着看，侮辱性够强,15,556
4807412290162009,Construal,2022-08-28 12:10:05,福建,金门人民：啥时候统一呀，厦门房子买了很多套了,1878,338
4807415185280401,人之出__,2022-08-28 12:10:05,山东,无人机多的是，以后没事就溜达一圈，省时省力还省油。我记得寒国人好像说过，他的无人机航拍，靠近金门后，无人机就有失控的感觉，金门那边应该有干扰手段，就看彼此的技术比拼了。,8,102
4807418984533054,乄随意丶,2022-08-28 12:10:05,北京,戴口罩就很严谨了，像极了被突击检查的样子,98,113
4807419412611897,Eugene_Tam,2022-08-28 12:10:05,广东,士兵：班长，我的红旗缝好了吗!？,3,83
4807415483072952,蛰学家14,2022-08-28 12:10:05,浙江,民用无人机几次骚扰我觉得这样真的不太好 应该放一批无人机矩阵过去，每天祖国统一，反对台独这样的灯阵标语给它挂出来,522,122
4807428493544781,XW老狼兄,2022-08-28 12:10:05,湖南,从此以后，网红博主们又找到了一个聚堆的地方，还别说，在这里开播，不仅不会引反感让人骂，还都挺喜欢看。不过，一定要把无人机驾驶技术学好了，无人机也一定要买高级的。,42,79
4807413545046232,熊本縣本田株式会社首席代言熊,2022-08-28 12:10:05,广东,对讲机：今天中午吃什么了啦over,1208,48
4807412420186960,日本国父,2022-08-28 12:10:05,重庆,动作好娘,4212,17
4807413771276655,奇迹张宇,2022-08-28 12:10:05,四川,拍这些干嘛，拍些槟榔西施什么的，了解下宝岛的风土民情。,944,6
4807418519225274,兰君辉,2022-08-28 12:10:05,湖北,有人去地图看看大担岛在哪吗，比金门还近呢,137,5
4807412386630557,此珄偌相依,2022-08-28 12:10:05,山东,不敢开枪哈哈哈,263,8
4807455526096754,夏天热成雪糕,2022-08-28 12:10:05,北京,太欺负🐸了，三天两头来打卡,90,3
4807462412355555,追风的马牛,2022-08-28 12:10:05,天津,飞这么低，拉这么近，停这么久，这就跟贴你脸看你一样，没有伤害但侮辱拉满了,266,4
4807412768310326,春风益然,2022-08-28 12:10:05,安徽,时刻准备战斗，拭目以待见证历史,217,2
4807471358544145,汤爷Thomas,2022-08-28 12:10:05,安徽,金门大胆岛,121,0
4807446189835348,万众瞩目人见人爱的菊,2022-08-28 12:10:05,山东,兔子：喂！你们能不能把哨所修好点！现在拍出来效果不太好！我打钱！,247,3
4807445652182276,雪大荔,2022-08-28 12:10:05,北京,窝棚里的那个兵  举手投足好像女孩子哦！有点可爱是怎么回事,483,2
4807417047548717,sgx_xx_x,2022-08-28 12:10:05,新疆,靠北啦，一天天被小鸟机盯着真的很不哇塞，长官，中午的外卖不要辣哦,346,2
4806408204192869,TheRealBean,2022-08-25 13:26:15,广东,两个士兵:你再笑，我投诚,2,210
4806465543471217,非著名舆论监督员王可,2022-08-25 13:26:15,山东,配合拿望远镜,108,82
4806462548740378,宝贝的妈咪要勇敢,2022-08-25 13:26:15,山东,解放军又开始溜猴了,25,63
4806402017069413,五点读书人,2022-08-25 13:26:15,安徽,真没子弹。,329,53
4806620817130802,骑着拖把的笨蛋,2022-08-25 13:26:15,广东,用菠萝🍍呀！,143,36
4806626726646846,闲闲堂的秋麦,2022-08-25 13:26:15,北京,单身广：腌黄光砸光,509,16
4807066297832484,第六杯玫瑰茶,2022-08-25 13:26:15,重庆,在台湾就是小兵小兵，我们这边是受人尊敬的子弟兵,136,22
4806659300396451,TureTale,2022-08-25 13:26:15,四川,神尼玛望远镜,403,21
4806504211809582,腐海無邊之妖生雷老板,2022-08-25 13:26:15,上海,全程笑点,493,22
4806495915738811,起个名字占微博,2022-08-25 13:26:15,北京,又回到了石器时代。。,6,19
4806727247331824,oneonemom123,2022-08-25 13:26:15,广东,主持人讲不出腌黄瓜,783,9
4806829718896824,1Q84_x,2022-08-25 13:26:15,广东,哈哈哈哈，我也觉得那两个小兵好可怜,73,15
4806850303757568,江南小弄堂,2022-08-25 13:26:15,江苏,哈哈哈哈，应该拿望远镜,25,10
4806788530831903,梧桐彎彎愛我華夏,2022-08-25 13:26:15,中国台湾,不拿石頭可以改用石斑魚罐頭,16,9
4806509622462531,嶺之北,2022-08-25 13:26:15,重庆,应该用三角函数算一下，命中率百分之210,317,6
4807150499006383,今天只听花言巧语,2022-08-25 13:26:15,河南,为何比笑话好笑,724,2
4806684017691613,煋寒,2022-08-25 13:26:15,新疆,还是来搞笑的嘛！,584,5
4807244970984066,夏天热成雪糕,2022-08-25 13:26:15,北京,那个姓帅的中将说的很对,90,1
4807407417692475,年下不叫姐,2022-08-25 13:26:15,辽宁,没有子弹～这是可以说的吗？,7921,3
4807763433363410,石家庄张同学,2022-08-29 11:11:01,河北,拿弹弓打啊,454,2
4807765887292574,immo110,2022-08-29 11:11:01,北京,别乱带节奏 是民用的,12,3
4807762738156181,墙墙墙墙墙墙叁,2022-08-29 11:11:01,上海,这真的是解放军的小飞机而不是普通市民的吗？,4395,1
4807765211742286,婆老头,2022-08-29 11:11:01,广东,面对无人机，其应对能力，惊艳到所有人！,60,0
4807765862650185,饭饭饭骄傲,2022-08-29 11:11:01,江苏,可以搞个无人机比赛了,4,0
4807760896853518,Weifeng_XA,2022-08-29 11:11:01,陕西,蛙兵可以退役了，交给解放军守护祖国的领土。,433,1
4807401641083368,斗图胖虎,2022-08-28 10:23:09,安徽,乡愁是一架无人机，爹在上头，儿在扔石头,28.6万,3792
4807385514249838,巳时_,2022-08-28 10:23:09,广西,又来看你们啦,3,3179
4807387787560228,米兔豪,2022-08-28 10:23:09,浙江,在厦门无人机圈子，飞过金门的机友地位高,311,1997
4807391427956040,佳弟懂肝宁,2022-08-28 10:23:09,山东,报告！又来打卡了,64,1322
4807389503035169,半截冰棍,2022-08-28 10:23:09,四川,长此以往，草莓兵臂力大增，在座各位都有责任。,552,803
4807392989023076,安婧的老公,2022-08-28 10:23:09,陕西,大陆来检查了，快戴好口罩,106,713
4807385673632849,狐狸飞扬,2022-08-28 10:23:09,新疆,我就想知道，这事谁干的，网上的来源谁发布的，无人机爱好者嘛,268,391
4807385291692369,小敏的微笑69,2022-08-28 10:23:09,河南,在高空拍摄而已，又没在领空，有啥好大惊小怪的，真是的……,81,188
4807387003224710,君上之乌托邦,2022-08-28 10:23:09,北京,无人机：检查一下你们的军容风纪，怎么还有穿大裤衩的！这个要给差评。再见，下不为例,789,266
4807400953220409,沉沦的菩提,2022-08-28 10:23:09,山东,为了避免再被说用长焦拍的，这次选择了几乎平视的角度，这事儿整的，圆不回来了。,354,171
4807385820431481,霍格hg,2022-08-28 10:23:09,陕西,金门是毛爷爷专门留给委员长，制衡台湾的啊，不然就在大陆边上收回分分钟啊，这没啥用，要的是台湾岛,57,209
4807386999555286,新型抗病毒疫苗,2022-08-28 10:23:09,河南,搞个长巡航的，24小时网络直播，全网监视站岗,76,136
4807403717264186,炸天帮包青天,2022-08-28 10:23:09,广西,投诚螺蛳粉，管够,12,68
4807385685952329,一抹黄沙_阿布,2022-08-28 10:23:09,山东,我就说嘛，无人机爱好者网红打卡地,7,90
4807392410468737,三格百,2022-08-28 10:23:09,广东,台湾的防疫措施还是不行，不自觉，非要无人机监督才戴上口罩,200,76
4807406158877632,舍予谓得,2022-08-28 10:23:09,河南,防护意识还挺强～,2.9万,74
4807386538445474,JohnLivre,2022-08-28 10:23:09,四川,卧槽，你们tm的损不损啊,147,70
4807386458754638,莫唦聞花,2022-08-28 10:23:09,四川,草莓兵穿的大裤衩吗？,567,57
4807388496662651,再创盛唐,2022-08-28 10:23:09,浙江,接下去会有更多的无人机的，上面的国军兄弟做好成网红的准备。,966,60
4807402203906417,silme墨痕,2022-08-28 10:23:09,安徽,图片评论,42,30
4807724711809209,李先生小牛,2022-08-29 08:30:56,河南,没有人觉得民用无人机这样不合适吗？,254,7
4807769787990272,可汗68,2022-08-29 08:30:56,广东,跑金门欺负这几只随时投诚的哇哇干嘛呀，能去澎湖列岛和湾湾本岛才算给力,171,10
4807724485057859,杯子ytt_9375,2022-08-29 08:30:56,山东,这今天在金门的应该都是民用的吧,256,8
4807739932675526,双子座的地瓜,2022-08-29 08:30:56,山东,台湾已经在裸奔了,32,10
4807728247342574,至尊神帝之父,2022-08-29 08:30:56,北京,有够享受的，还得吹电风扇,50,5
4807762376657308,空山又见人,2022-08-29 08:30:56,上海,有种被玩坏的感觉～哈哈,9,2
4807759910404995,大米叔小米仔,2022-08-29 08:30:56,四川,真人CS基地！哈哈哈哈哈哈哈哈哈哈哈哈哈哈字幕君你太损了,0,4
4807734068777621,鹿鸣-luming,2022-08-29 08:30:56,天津,我去这也太高清了,882,5
4807759406829862,哼哧哼哧不可用,2022-08-29 08:30:56,江苏,金门真的是在家门口，唾手可得，没意思,138,1
4807743271339878,Zhiqiang_Ding,2022-08-29 08:30:56,宁夏,别害怕啊、戴啥口罩啊,82,1
4807740093107693,大号你好惨啊,2022-08-29 08:30:56,广西,解锁新dlc,18,1
4807975908409801,上谷畫客,2022-08-29 08:30:56,河北,偷拍蛙蛙上厕所,602,0
