用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808281313253247,雪樱梦溪,2022-08-30 21:42:42,江苏,手持12su表示，谁第一谁尴尬，明摆着要饭老子不给，12su的成像包括整款手机的完成度我觉得都是小米有史以来最高的，懂得都懂,1,553.0
4808281219929757,一心0356,2022-08-30 21:42:42,山西,12su屏幕频闪拉低了分数,245,48.0
4808282289742689,传鸿WATF江,2022-08-30 21:42:42,广东,DXO这波有何意义？给小米刷热度？把自己那仅剩的行业认可彻底作死？我不明白,50,239.0
4808283314199543,野猪_突进,2022-08-30 21:42:42,浙江,华为钱交了不少吧，p50屏幕比11u的三星屏还好？,77,154.0
4808281396610065,吃火锅不吃蘸料,2022-08-30 21:42:42,四川,根本不需要这平台背书了，这平台整这分数别人更笑话它,37,95.0
4808281534501644,o瀡渢飄o,2022-08-30 21:42:42,陕西,反正dxo已经臭了牌子，没人搭理它,223,120.0
4808283217731328,wx路漫漫其修远,2022-08-30 21:42:42,重庆,你说这种结果小米以后还会找你家评测吗？没眼力见儿啊，换我就给小米12su第一，这样显得客观，小米也觉得你还能处,7,43.0
4808315077661699,彩鴻a小宇,2022-08-30 21:42:42,四川,我打赌，米fans会不服，肯定要说别人充钱了，这也没什么，毕竟新老冲突，如果这次不加徕卡色彩，估计分数会比现在高,12,4.0
4808281850118584,吉翁什姆戴肯,2022-08-30 21:42:42,辽宁,11u那个2ke4屏87分,185,27.0
4808285846504851,想做历史老师的地理人,2022-08-30 21:42:42,江西,DXO完成了历史使命，该退出江湖了,327,29.0
4808281593223667,BESIYO,2022-08-30 21:42:42,江苏,有没有一种可能，12su这个分数反而比较合理，其他的就......,4,20.0
4808438502656537,取名真头疼啊啊啊,2022-08-30 21:42:42,四川,小米DXO第一：小米牛逼！ 友商第一：都是交钱罢了野榜不看也罢,0,4.0
4808281035642377,CXRX-陈曦瑞轩,2022-08-30 21:42:42,海南,噢噢噢，！,2239,20.0
4808281715378727,做个念头通达的步岚同学,2022-08-30 21:42:42,上海,双十一会降嘛,64,2.0
4808281644076902,短发什元,2022-08-30 21:42:42,陕西,11U前机主表示长焦一般啊,831,3.0
4808332802524815,靓仔杰的一些事一些情,2022-08-30 21:42:42,广东,我好奇，现在12su拍照这么快，是归功于8+的isp还是c2，还是MIUI更新了算法,325,0.0
4808309414040690,wzay82,2022-08-30 21:42:42,广东,12su的确是小米有史以来最好，也是最稳的。稳很重要。11u真的不值安卓之光，比11u强的x70pro+居然还低于11u,109,1.0
4808326230312634,dj70545,2022-08-30 21:42:42,广东,Dxo这是捧杀荣耀啊,8,1.0
4808285300982188,吊睛白额宋公明,2022-08-30 21:42:42,广东,11u拍照的绝对素质真的不输12苏，就是拍照体验贼拉,2,2.0
4808205462668784,L错乱,2022-08-30 16:42:03,广东,卢总k50也要追一下，同事想买小米商城都没货了,62,338.0
4808220445252025,科技新一,2022-08-30 16:42:03,山东,MIX Fold2是真心好用，我最近一直用作主力机，这款手机摸过的人基本上都会爱不释手,604.9万,146.0
4808205392412975,醉露古城,2022-08-30 16:42:03,湖南,又要亲自下车间打螺丝了吗～卢总,114,147.0
4808207145373662,王化,2022-08-30 16:42:03,北京,早上和卢总开会时还梳理了接下来几个月要发布的各种新品，其中▓▓▓、▓▓▓▓、▓▓▓▓▓、▓▓▓▓▓▓、▓▓▓▓▓▓▓……都很棒，希望不缺货……,8.7万,141.0
4808205643809833,小胖小胖人间宝藏,2022-08-30 16:42:03,北京,卢总和曾总辛苦了，某些人可以消停些了,118.8万,137.0
4808206380958157,你猴菇饼干,2022-08-30 16:42:03,重庆,管生又不管养，消费者图啥,21,30.0
4808215629662468,曾学忠-小米,2022-08-30 16:42:03,上海,一起拼，一起赢!努力追货中,122.3万,55.0
4808205538428029,长乐湄笙,2022-08-30 16:42:03,四川,还传你离职了，原来是拧螺丝去了,2,37.0
4808221166929672,科技圣斗士,2022-08-30 16:42:03,北京,哈哈哈，最近好多人传谣卢总被撸啥的，还有个人来问我。说是鸿蒙刀哥说的，这些人一天天的就嚼舌根子，和村里的老娘们一样。要是卢总哪天休年假10天不发微博，估计都能传谣已挂。,197.6万,41.0
4808207404635565,新青年科技Jack,2022-08-30 16:42:03,广东,惊！卢伟冰现身爆料年内多款新机将发，此前不实传言不攻自破。,78.5万,92.0
4808265214723690,神得强Steven,2022-08-30 16:42:03,北京,未来几个月新品非常多，敬请期待！,1145.9万,8.0
4808209325886289,Lzezok,2022-08-30 16:42:03,黑龙江,我还以为王腾在非洲的班有人接了呢,37,11.0
4808206372569239,渠洋,2022-08-30 16:42:03,山东,手机缺货，卢总和曾总在工厂帮忙拧螺丝。,164万,10.0
4808211595530108,Amor_叶叶叶,2022-08-30 16:42:03,安徽,那个某家KOL....... 不要再造谣了 谣言不攻自破 中国人不骗中国人,1077,15.0
4808205463457687,Amor_叶叶叶,2022-08-30 16:42:03,安徽,小米越来越旗舰派系 Redmi越来越通杀！,1077,11.0
4808207145373444,晓看云色,2022-08-30 16:42:03,河南,老卢，LCD新机别落下,28,7.0
4808273024263597,团团Ultra,2022-08-30 16:42:03,山东,dxo 138分怎么看？,320,8.0
4808205529516367,高科威,2022-08-30 16:42:03,上海,受谣言影响，不得不发条微博辟个谣,145,7.0
4808584070432159,北海以北是回忆,2022-08-31 17:46:05,江苏,突然想到 你是我第一个关注的女演员中玩明日之后的女孩,180,1.0
4808584267300994,放下重新开始A宝,2022-08-31 17:46:05,山东,太馋人了！看着就有食欲,2199,1.0
4808584325761895,无人区玫瑰pt2,2022-08-31 17:46:05,湖南,绝了！好想吃肉肉啊,108,0.0
4808584212251459,爱洧點槑,2022-08-31 17:46:05,河南,看着太馋人了,10.5万,0.0
4808584188138787,拜她所赐啊,2022-08-31 17:46:05,湖南,真的太好吃了,400,0.0
4808584124174096,寄个芒果给你,2022-08-31 17:46:05,河北,我也要学着做饭,621,0.0
4808584195480635,_奶音撩人酱,2022-08-31 17:46:05,广东,看着就挺不错的，有食欲呢,5.2万,0.0
4808584191807921,你是狗嘛_,2022-08-31 17:46:05,北京,哇哦，看着就好吃哇,232,0.0
4808584125483017,爱吃榴莲的菠萝啊,2022-08-31 17:46:05,四川,看起来就很好吃啊,215,0.0
4808584318422546,安琪宝宝1213,2022-08-31 17:46:05,宁夏,真的太有食欲了,159,0.0
4808584272287383,蜜桃没有水哈哈,2022-08-31 17:46:05,广东,看着口水都出来了,25,0.0
4808584251313549,星空之光a,2022-08-31 17:46:05,山西,看看美食诱人想吃了,1029,0.0
4808584158773249,爱娱乐耶-gy,2022-08-31 17:46:05,四川,看着就有食欲,5462,0.0
