用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808108172642892,六六不长胖,2022-08-30 10:10:01,浙江,🙏,2287,1
4808538759366556,谷寒地香,2022-08-30 10:10:01,浙江,终于轮到我们敦促欧美要遵守“气候公约”和碳中和承诺了，把以前欧美对我们摆出的大道理和施压手段都原样复制一下，然后反向输送回去,37,0
4808107832645866,丁丁猫的幻想,2022-08-30 10:10:01,北京,天灾,112,0
4808186559463730,Sarayi77,2022-08-30 10:10:01,日本,加油啊🙏,52,0
4808121900340366,晓丽ling2022,2022-08-30 10:10:01,江苏,🙏🙏🙏,0,0
4808292197469562,东方玉麒麟16,2022-08-30 10:10:01,四川,巴国为何那么容易发洪水呢？好像每年都不同程度的。,566,1
4808124659403941,kimkim旺,2022-08-30 10:10:01,上海,🙏🙏🙏,194,0
4808134318627469,胖就不沉底,2022-08-30 10:10:01,山东,巴铁兄弟平安,118,0
4808118259157202,果果曦Summer,2022-08-30 10:10:01,北京,我的天呐🙏🏻🙏🏻🙏🏻,309,0
4808174768753530,用户冬瓜糊涂,2022-08-30 10:10:01,山东,不要指望了，他们是漂亮话术一大堆，就是不敢实事；“大饼”画的一个比一个漂亮，只不过是海市蜃楼而已。然后反咬一口说：民主自由人权“不达标”等一堆郎闲芝麻盐的屁话连篇。,25,0
4808133052991329,DLXJ-201843,2022-08-30 10:10:01,广西,发达国家能源消耗最大吧,433,0
4808114198809956,是吴禹希,2022-08-30 10:10:01,广东,真正的碳中和，只有兔子是脚踏实地地践行了,735,2
4808113175136045,MISS崔SIR,2022-08-30 10:10:01,上海,呼吁也是白呼吁,146,0
4808112903817288,爱也要简简单单,2022-08-30 10:10:01,广东,关系好归关系好，但能不能别宣传什么铁哥们，操蛋玩意儿,6,0
4808107178591525,是未来鸭皇,2022-08-30 10:10:01,上海,巴铁抗灾  加油 ！  希望巴铁人民群众尽快安顿好居住和饮食  恢复正常生活,1325,1
4808107026286971,秋水長天orchid,2022-08-30 10:10:01,河北,🙏🙏🙏,1884,0
4808077000310846,海岛小富,2022-08-30 08:10:00,广东,全世界的水都跑到巴铁那下了吗？好惨,118,10
4808078413005117,骑猪而去,2022-08-30 08:10:00,河北,我们还能加班 可不能让巴铁和非洲兄弟受罪,85,9
4808086093300666,李眉故事,2022-08-30 08:10:00,新疆,全境三分之一被淹,5468,5
4808089389240629,幸福并快乐着GGH,2022-08-30 08:10:00,广东,中国同胞们注意安全！,55,3
4808076853777456,虚空先知之玛尔扎哈,2022-08-30 08:10:00,安徽,赶紧捐款捐物,28,2
4808085028211820,天涯_醉酒,2022-08-30 08:10:00,广东,够严重的,2088,1
4808078799145042,秋天稻草人79617,2022-08-30 08:10:00,安徽,灾害不小,109,1
4808096750768377,风筝头_Angel,2022-08-30 08:10:00,北京,100万房屋损毁,145,1
4808081286365398,不太会表达,2022-08-30 08:10:00,陕西,伤亡这么惨重,24,1
4808079462629698,自谓不痴-,2022-08-30 08:10:00,贵州,屋漏偏逢连夜雨，多灾多难的巴基斯坦,334,2
4808101699519332,Federro,2022-08-30 08:10:00,安徽,局地降雨量1722mm，去年河南是250-350mm。,139,1
4808080888695235,糖欢欢欢欢欢欢,2022-08-30 08:10:00,重庆,🙏🙏🙏,308,0
4808087343465714,萧疏湛然,2022-08-30 08:10:00,江苏,我巴基斯坦的订单已经3个月没来了,140,0
4808083425201438,冷竹清羽,2022-08-30 08:10:00,天津,巴铁是纺织品出口大国，近一半的棉花被冲了，明年可怎么过,361,1
4808077147376322,梅河口车务段,2022-08-30 08:10:00,,转发微博,1.3万,0
4807749562538140,为何吃冰棍儿,2022-08-29 10:27:07,山东,“没有一个冬天不可逾越，没有一个春天不会来临”,288,175
4807750124571888,刘学义哒酒窝,2022-08-29 10:27:07,山东,我们与巴铁同在,662,101
4807751626133310,丶zzzlj11022,2022-08-29 10:27:07,安徽,愿早日度过难关🙏🙏加油！,895,68
4807752000214262,斯文的野哥,2022-08-29 10:27:07,广东,赵叔，那个说您侄女月入千万的评论咋删了,241,19
4807758865761930,香浓调味料包,2022-08-29 10:27:07,山东,呀～叔，开始营业了,541,22
4807759189510861,旋转小马MJY,2022-08-29 10:27:07,山东,愿巴铁早日渡过难关。🙏🙏,204,22
4807749710123248,赵立坚的一枚发小,2022-08-29 10:27:07,湖北,赵叔：巴基斯坦偷走了我的心,6,28
4807751019270204,正能量的小坚果Sq,2022-08-29 10:27:07,浙江,转发微博,2685,20
4807755532077648,萌多多_芷若初心,2022-08-29 10:27:07,浙江,愿巴铁早日渡过难关。,57,15
4807752889667710,我痴故我狂-,2022-08-29 10:27:07,河北,这次给多少钱？,103,8
4807749752326559,坚叔的王发小,2022-08-29 10:27:07,海南,巴铁加油！,2,16
4807765673378002,赵叔的小迷粉,2022-08-29 10:27:07,广西,愿巴铁早日渡过难关！我们与巴铁同在,158,13
4807750661440010,诗晴星宇,2022-08-29 10:27:07,广东,巴铁加油,232,8
4807753346320839,Stock环球之旅,2022-08-29 10:27:07,江苏,都是兄弟姐妹一家人,26.6万,11
4807756898374383,小太阳挂件儿,2022-08-29 10:27:07,北京,巴基斯坦不是亲美吗？,221,3
4807761558507992,丽DXL365,2022-08-29 10:27:07,河北,中巴是全天候战略合作伙伴，是铁杆兄弟，素有守望相助、相互扶持的好传统。,15,7
4807759080458461,斌坚的迷妹,2022-08-29 10:27:07,山东,巴铁加油💪,9,6
4807752381630763,圣所小熊JJ20,2022-08-29 10:27:07,山东,We stand with Pakistan,161,5
4807783205573505,苏苏_Sueyanan,2022-08-29 10:27:07,山东,守望相助，全力支援巴铁早日度过难关，重建家园。,77,5
4807752045561436,斯文的野哥,2022-08-29 10:27:07,广东,图片评论,241,3
4808558908278366,化小硕,2022-08-31 16:04:07,北京,美国对此是如何看待的？,740,36
4808558594755316,甘礼梁同志,2022-08-31 16:04:07,重庆,锅儿巴樵夫，因为支持克里米亚加入俄罗斯，在2016年就被鸟克兰封杀了，下面有请毒立思考患者进行解读,172,21
4808558765412434,兰花之言,2022-08-31 16:04:07,湖北,美国只会开空头支票，抢劫阿富汗的钱打算啥时还,164,23
