用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808471305786573,震长,2022-08-31 08:09:46,北京,看不了这种新闻，孩子很懂事，也很坚强，不知道这种病现在治疗效果怎么样，希望能早日回归学校，和同学们一起成长。,217万,162
4808440741889394,纪录片之家,2022-08-31 08:09:46,辽宁,希望孩子能好起来，回到学校去上学,928.3万,99
4808471491384930,合金妖王刘成文,2022-08-31 08:09:46,江苏,唉…..他是真的想过和其他孩子一样的生活。,6.1万,41
4808478956196410,自种天然,2022-08-31 08:09:46,广东,愿上天眷顾好孩子,138.2万,18
4808476657982566,交通安全蜀黍,2022-08-31 08:09:46,浙江,唉，有孩子后看不得这些,200.5万,12
4808494513917623,写文的闪灵,2022-08-31 08:09:46,安徽,哎……真是看不得这个，好难过呀。,12.6万,8
4808454822695319,D冬日有雨Y,2022-08-31 08:09:46,北京,这孩子表达能力真好啊,2954,36
4808499210486821,喝水喝酒都抵不过吻你的快乐y,2022-08-31 08:09:46,河北,思维逻辑表达能力比我都好性格也超棒，她好活泼乐观，加油！！,223,35
4808445124940893,Henry729,2022-08-31 08:09:46,北京,真是看不了这种新闻……好难过……,471,24
4808486325846764,我的热爱和痛恨源于一个人,2022-08-31 08:09:46,上海,这孩子太可惜了语言表达太清楚了,13,21
4808482455032153,月光逐风者,2022-08-31 08:09:46,贵州,天妒英才🙏,241,8
4808509432011539,小猪T牙疼,2022-08-31 08:09:46,河北,看的哭唧唧了,746,1
4808490445704812,用户蕙果果,2022-08-31 08:09:46,广西,愿安康！加油！勇敢的小明友,7,3
4808503640985412,玉喵啊,2022-08-31 08:09:46,上海,这孩子又开朗又聪明，一定要好起来！,1438,5
4808516509108033,庆庆爸爸20201001,2022-08-31 08:09:46,安徽,希望孩子能好起来，回到学校去上学,206,1
4808510892939195,风之菁影,2022-08-31 08:09:46,上海,很快就能回学校了 加油,137,1
4808513677692179,我心向Z,2022-08-31 08:09:46,四川,感觉这个小女孩很懂事，而且语言表达很棒！希望你早日战胜病魔！,2,3
4808516172777473,Redamancy火锅,2022-08-31 08:09:46,甘肃,希望小朋友早点好起来,118,0
4808510767107626,还是不想起名呢,2022-08-31 08:09:46,广东,性格真好，早日康复,646,1
4808460065310372,山夕二青,2022-08-31 08:09:46,湖南,🙏,1030,0
4808481939130531,在安卡拉喝汤的西梅,2022-08-31 11:00:54,山西,什么时候定档啊,133,1206
4808482538915961,JINYM-愛海風,2022-08-31 11:00:54,韩国,什么时候定档啊,35,899
4808482597372458,在雪里打滚,2022-08-31 11:00:54,江西,好想看花戎魏枝 好想看鞠婧祎,29,700
4808483016808789,祎颗比邻星,2022-08-31 11:00:54,安徽,都开学了，花戎怎么还没播啊,77,585
4808482015150686,慕萱妤梓,2022-08-31 11:00:54,江苏,多营业啊！什么时候让花戎定档啊！！！！！！！！！！,2284,470
4808483192965762,Nice·椿霧屿禕·,2022-08-31 11:00:54,河北,啥时候能看嘤嘤嘤,161,407
