用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808213964525003,吓豆一跳,2022-08-30 14:39:10,贵州,刻入基因的谐音梗脱口而出,2823,1041
4808479322412674,奶思的鸿哥,2022-08-30 14:39:10,山东,能不能报名参加一下湖南卫视的再见爱人。。。,897,653
4808486841746525,算徽师,2022-08-30 14:39:10,广西,程璐，年柱癸水金水相生，时干癸水为用神的五行分布，月干己土财星透出克印，年干癸水被克制，但时干癸水帮身，对发展还是非常有帮助，正偏印和比劫帮身的大运，能在事业上获得好的发展收获。,96,240
4808482034813637,荆方,2022-08-30 14:39:10,广东,思文和程璐，是我觉得公众视野的离婚界最清新最自然的，可能因为真实吧。两人的职业使他们没啥不能说、不能调侃的死角，也可能两人没有太多经济和孩子等复杂撕扯，总之特别喜欢他俩。,1.8万,298
4808479442996785,且问当归,2022-08-30 14:39:10,北京,谐音梗只服王建国,109,159
4808482056051796,青春就是一把零钱,2022-08-30 14:39:10,江苏,还记得他俩分开后，思文明显没有以前那么开心了，没有精神,176,46
4808195765700147,cicerrrrrrrrrrrr,2022-08-30 14:39:10,广东,哪个是她前夫,708,56
4808478620915252,改一个想不起来的名字,2022-08-30 14:39:10,河南,我看着像故意说的,279,36
4808480173588520,在走随风的路,2022-08-30 14:39:10,福建,怀疑离婚是不是 工作需要,78,21
4808490357625890,微博视频,2022-08-30 14:39:10,,您好，恭喜您的视频荣登视频飙升榜，综艺领域第1名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》网页链接,1511.2万,0
4808331535057892,折旧事wulijia,2022-08-30 14:39:10,福建,这个好好笑啊,37,15
4808485067820298,Lkjsow,2022-08-30 14:39:10,浙江,看来俩人的确很不愉快…这情况确实非常尴尬,244,18
4808482660291190,无尤龙,2022-08-30 14:39:10,浙江,前面有人说“你打败的女人来了”，这句话显然让思文很不开心，王建国连忙救场，程璐赶紧配合。那个说“你打败的女人来了”的人，在这个公司要完蛋了。,99,16
4808481960624672,121121小白,2022-08-30 14:39:10,湖北,思文心里暗说，不愧是你,148,3
4808291337638767,是周杰伦的可爱女人呀,2022-08-30 14:39:10,湖南,救命,191,6
4808481276166794,北鸥鸿禹,2022-08-30 14:39:10,四川,提倡大家离婚！都会越来越好越来越开心,130,9
4808550776046318,吳籁皮,2022-08-30 14:39:10,广西,有幽默感真好,2.9万,1
4808482736570772,程小堡,2022-08-30 14:39:10,江苏,能不能复婚,373,5
4808569092050244,Jenny__Zh,2022-08-30 14:39:10,内蒙古,哈哈哈,374,0
4808506869811432,盐焗小糖豆,2022-08-30 14:39:10,山东,@不近男色了,167,0
4808453539498313,温泥巴,2022-08-31 09:04:50,广西,我怀疑王建国是故意的,293,1248
4808454122242714,KBDDG_7,2022-08-31 09:04:50,新疆,隔壁是玖月奇迹复婚,116,740
4808454596725714,婉婷Yayamx,2022-08-31 09:04:50,河北,隔壁玖月奇迹复婚，你们呢,129,499
4808457276622657,懒猪24825,2022-08-31 09:04:50,云南,“前六没来前妻来了”！！！,295,189
