用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808485235073689,草原啊草原啊,2022-08-31 09:26:44,河南,历史里的人物最终成了历史,318,13086
4808484132225278,卫民201808,2022-08-31 09:26:44,广东,他不敢去见马克思,378,6612
4808484766614739,烟火里的泡泡,2022-08-31 09:26:44,北京,历史课本里的人物，后来才知道他曾在电视剧中扮演自己,187,5363
4808486125047788,阿杭CHH,2022-08-31 09:26:44,四川,斯大林、列宁、赫鲁晓夫、会在下面把他揍一顿,633,5383
4808486263458382,猫耳朵小希95363,2022-08-31 09:26:44,四川,我还以为他早就去世了   没想到还活着,1,3954
4808485018274875,Atusenyin,2022-08-31 09:26:44,陕西,终于成为了历史人物~,44,1434
4808486515117496,叉叉不是虾虾,2022-08-31 09:26:44,四川,苏联人民:听我说谢谢你,4,1149
4808486778571642,欧欧欧欧77_,2022-08-31 09:26:44,山西,#戈尔巴乔夫去世# 文科生的DNA狠狠的动了 历史书上的人物也终将成为历史,37,1024
4808487693714628,妖狐师,2022-08-31 09:26:44,河南,他是不是比苏联活的还长,92,928
4808484288205571,CX_陌,2022-08-31 09:26:44,天津,停留在历史书里了,89,679
4808486964171110,G-柠檬不酸,2022-08-31 09:26:44,广东,苏联又少了一个曾经的见证人,1,588
4808487168640887,渺小的沧海,2022-08-31 09:26:44,新疆,历史书终究逃不过历史,50,212
4808484812231499,康康的家83,2022-08-31 09:26:44,四川,历史终结,322,144
4808486611586510,奈何no,2022-08-31 09:26:44,安徽,见证历史了,4310,76
4808486733748615,Da胆叼民敢害朕,2022-08-31 09:26:44,天津,上次听这个名字还是在历史书里,102,283
4808484753244952,25仔女狮子座,2022-08-31 09:26:44,广东,死后有何脸面见苏联的英雄们,3,511
4808486325850155,粪涌向前1992651963,2022-08-31 09:26:44,广东,列宁和斯大林肯定要在下面教训他,71,364
4808430634142557,HYH吴情,2022-08-31 07:32:26,湖北,历史书中的人终究成了历史,618,167
4808429476252476,非雨曉鶴,2022-08-31 07:32:26,河北,见证历史了。,55.4万,45
4808441623216574,漢-5弟,2022-08-31 07:32:26,湖北,苏联终结者终结。,437,25
4808431497643670,薄荷爱吃章鱼烧,2022-08-31 07:32:26,安徽,见证历史,619,22
4808434496572606,被召唤的少年,2022-08-31 07:32:26,陕西,数风流人物，还看今朝。,82,8
4808431279803006,琴声情深奈缘浅,2022-08-31 07:32:26,浙江,担当生前事，何计身后评。,26,3
4808432366127690,静闲轩,2022-08-31 07:32:26,广东,苏联的终结者吗,258,3
4808430332414474,兰花之言,2022-08-31 07:32:26,湖北,苏联末代总统谢幕,164,3
4808433180607927,大财神令,2022-08-31 07:32:26,山东,转发微博,3732,1
4808433062380306,等待_2024,2022-08-31 07:32:26,黑龙江,见证历史,784,2
4808452922671675,小鹿爷爷,2022-08-31 07:32:26,江西,教科书上的人物,1338,1
4808447906549435,小储CQY,2022-08-31 07:32:26,上海,苏联总统,647,1
4808444005844070,人才兄-,2022-08-31 07:32:26,广东,#戈尔巴乔夫去世# 苏联～～俄罗斯,1.4万,0
4808454940661128,少年肩上的风,2022-08-31 07:32:26,四川,见证历史了,83,0
4808454815090702,杳云流玉,2022-08-31 07:32:26,广西,一个时代最后的人回归了历史,6,1
4808439543366580,wyagbb,2022-08-31 07:32:26,辽宁,历史书上的人成了历史,4,0
4808455678070053,一树蓝色繁星,2022-08-31 07:32:26,湖北,苏联逝去了,9,1
